Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3186  1998  3293  2141 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,12-May-2025 12:00:32,
File, car_18.0 mm_25600ISO_0EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_25600ISO_0EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_25600ISO_0EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_25600ISO_0EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_25600ISO_0EV_Dist1_OFF_Focused.tiff,car_18.0 mm_25600ISO_0EV_Dist1_ON_Focused.tiff,car_18.0 mm_6400ISO_0EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_6400ISO_0EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_1600ISO_0EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_1600ISO_0EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_6400ISO_0EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_6400ISO_0EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_6400ISO_0EV_Dist1_OFF_Focused.tiff,car_18.0 mm_1600ISO_0EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_1600ISO_0EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_1600ISO_0EV_Dist1_OFF_Focused.tiff,car_18.0 mm_6400ISO_0EV_Dist1_ON_Focused.tiff,car_18.0 mm_1600ISO_0EV_Dist1_ON_Focused.tiff,car_18.0 mm_100ISO_0EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_100ISO_0EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_100ISO_0EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_100ISO_0EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_100ISO_0EV_Dist1_OFF_Focused.tiff,car_18.0 mm_100ISO_0EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0476,  0.1265,  0.0561,  0.0722,  0.1059,  0.1328,  0.0592,  0.1458,  0.0645,  0.1601,  0.0736,  0.1807,  0.1982,  0.0690,  0.1738,  0.1919,  0.1975,  0.1652,  0.0644,  0.1899,  0.0653,  0.1801,  0.1860,  0.1808
R1090 (pxl) Mean Ctr, 10.0364,  2.5964,  7.7914,  5.6261,  3.9148,  2.9723,  7.6179,  2.7823,  8.5854,  3.0913,  7.5169,  3.1633,  2.9674,  7.6605,  2.6110,  2.6125,  2.6908,  3.3280,  7.3728,  2.7962,  7.3357,  2.8706,  2.8084,  2.8828
CA (pxl) Mean Ctr,  1.0326,  1.5326,  2.7799,  1.8163,  2.8059,  1.0458,  0.9329,  0.9917,  0.3268,  0.3271,  0.3162,  0.4926,  1.0880,  0.5486,  0.1889,  0.6896,  0.2552,  0.3379,  0.1816,  0.3134,  0.2314,  0.2621,  0.3033,  0.2977
MTF50 (LW/PH) Mean Ctr,    382.6,   1016.8,    451.3,    580.4,    851.8,   1067.7,    476.3,   1172.4,    518.7,   1287.2,    591.6,   1452.7,   1593.8,    555.1,   1397.5,   1542.8,   1587.8,   1328.2,    517.9,   1526.5,    525.2,   1447.9,   1495.5,   1453.7
R1090 (/PH) Mean Ctr,    400.5,   1548.3,    516.0,    714.5,   1026.9,   1352.5,    527.7,   1444.8,    468.2,   1300.4,    534.8,   1270.8,   1354.7,    524.8,   1539.6,   1538.8,   1494.0,   1207.9,    545.2,   1437.7,    548.0,   1400.4,   1431.4,   1394.5
Peak MTF Mean Ctr,   1.000,   1.041,   1.000,   1.143,   1.000,   1.106,   1.000,   1.000,   1.000,   1.000,   1.014,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.0476,  0.1254,  0.0561,  0.4830,  0.1059,  0.5017,  0.0592,  0.1458,  0.0645,  0.1601,  0.0721,  0.1807,  0.1982,  0.0690,  0.1738,  0.1919,  0.1975,  0.1652,  0.0644,  0.1899,  0.0653,  0.1801,  0.1860,  0.1808
MTF50P (LW/PH) Mean Ctr,    382.6,   1008.4,    451.3,   3883.2,    851.8,   4034.0,    476.3,   1172.3,    518.7,   1287.2,    579.9,   1452.7,   1593.8,    555.1,   1397.5,   1542.8,   1587.8,   1328.2,    517.9,   1526.5,    525.2,   1447.9,   1495.5,   1453.7
