Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_100ISO_-2EV_Dist1_OFF_Focused.tiff
Run date,12-May-2025 12:25:56,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   74.10, 0.9953, 1.0006, 0.9933, 0.9993, 0.9953
0.0184,  148.21, 0.9790, 0.9762, 0.9794, 0.9857, 0.9790
0.0277,  222.31, 0.9575, 0.9220, 0.9704, 0.9396, 0.9575
0.0369,  296.42, 0.9299, 0.8875, 0.9454, 0.9071, 0.9299
0.0461,  370.52, 0.8975, 0.8899, 0.8992, 0.9075, 0.8975
0.0553,  444.63, 0.8752, 0.8768, 0.8745, 0.8790, 0.8752
0.0645,  518.73, 0.8587, 0.8204, 0.8726, 0.8392, 0.8587
0.0737,  592.84, 0.8293, 0.7479, 0.8576, 0.7963, 0.8293
0.0830,  666.94, 0.8091, 0.7052, 0.8495, 0.7288, 0.8091
0.0922,  741.05, 0.7898, 0.6629, 0.8417, 0.6694, 0.7898
0.1014,  815.15, 0.7550, 0.6196, 0.8085, 0.6501, 0.7550
0.1106,  889.26, 0.7281, 0.6298, 0.7671, 0.6616, 0.7281
0.1198,  963.36, 0.7090, 0.6405, 0.7360, 0.6667, 0.7090
0.1290, 1037.47, 0.6889, 0.6171, 0.7183, 0.6297, 0.6889
0.1383, 1111.57, 0.6518, 0.5425, 0.6928, 0.5986, 0.6518
0.1475, 1185.68, 0.6136, 0.4539, 0.6683, 0.5706, 0.6136
0.1567, 1259.78, 0.5916, 0.3926, 0.6604, 0.5254, 0.5916
0.1659, 1333.89, 0.5734, 0.3562, 0.6483, 0.5108, 0.5734
0.1751, 1407.99, 0.5573, 0.3801, 0.6220, 0.5076, 0.5573
0.1843, 1482.10, 0.5380, 0.4178, 0.5860, 0.5198, 0.5380
0.1936, 1556.20, 0.4903, 0.3560, 0.5358, 0.5348, 0.4903
0.2028, 1630.31, 0.4499, 0.2906, 0.5012, 0.4955, 0.4499
0.2120, 1704.41, 0.4536, 0.3166, 0.5009, 0.4199, 0.4536
0.2212, 1778.52, 0.4393, 0.3186, 0.4837, 0.3737, 0.4393
0.2304, 1852.62, 0.3920, 0.2739, 0.4324, 0.3556, 0.3920
0.2396, 1926.73, 0.3703, 0.2741, 0.4027, 0.3424, 0.3703
0.2489, 2000.83, 0.3611, 0.2856, 0.3869, 0.3397, 0.3611
0.2581, 2074.94, 0.3356, 0.2630, 0.3587, 0.3298, 0.3356
