Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3192  1977  3300  2120 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 12:25:56,12-May-2025 12:25:56,12-May-2025 12:25:56,12-May-2025 12:25:56,12-May-2025 12:25:56,12-May-2025 12:25:56,12-May-2025 12:25:56,12-May-2025 12:25:56,12-May-2025 12:25:56,12-May-2025 12:25:56,12-May-2025 12:25:56,12-May-2025 12:25:56,
File, cup_18.0 mm_6400ISO_-2EV_Dist1_OFF_Focused.tiff,cup_18.0 mm_1600ISO_-2EV_Dist1_ON_Defocus2.tiff,cup_18.0 mm_1600ISO_-2EV_Dist1_ON_Defocus1.tiff,cup_18.0 mm_1600ISO_-2EV_Dist1_OFF_Focused.tiff,cup_18.0 mm_6400ISO_-2EV_Dist1_ON_Focused.tiff,cup_18.0 mm_1600ISO_-2EV_Dist1_ON_Focused.tiff,cup_18.0 mm_100ISO_-2EV_Dist1_OFF_Defocus2.tiff,cup_18.0 mm_100ISO_-2EV_Dist1_OFF_Defocus1.tiff,cup_18.0 mm_100ISO_-2EV_Dist1_ON_Defocus2.tiff,cup_18.0 mm_100ISO_-2EV_Dist1_ON_Defocus1.tiff,cup_18.0 mm_100ISO_-2EV_Dist1_OFF_Focused.tiff,cup_18.0 mm_100ISO_-2EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , 
Lens, , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0865,  0.0277,  0.0551,  0.1866,  0.0718,  0.1787,  0.0273,  0.0525,  0.0274,  0.0553,  0.1917,  0.1952
R1090 (pxl) Mean Ctr, 12.7629, 18.0808,  8.5223,  2.7924,  3.6941,  2.6479, 16.8171,  8.6592, 16.9902,  8.8305,  2.7265,  2.7619
CA (pxl) Mean Ctr,  4.9530,  0.4774,  0.8550,  1.3814,  3.0716,  0.8401,  0.1751,  0.2121,  0.5365,  0.1000,  0.2441,  0.3274
MTF50 (LW/PH) Mean Ctr,    695.7,    222.5,    443.1,   1500.6,    577.4,   1436.4,    219.8,    421.9,    220.4,    444.5,   1541.1,   1569.8
R1090 (/PH) Mean Ctr,    315.0,    222.3,    471.7,   1439.6,   1088.2,   1518.2,    239.0,    464.2,    236.6,    455.2,   1474.4,   1455.5
Peak MTF Mean Ctr,   1.000,   1.000,   1.000,   1.000,   1.206,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.0865,  0.0277,  0.0551,  0.1866,  0.2971,  0.1787,  0.0273,  0.0525,  0.0274,  0.0553,  0.1917,  0.1952
