Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_100ISO_0EV_Dist1_OFF_Focused.tiff
Run date,12-May-2025 12:17:11,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   74.10, 0.9946, 0.9888, 0.9959, 0.9983, 0.9946
0.0184,  148.20, 0.9752, 0.9613, 0.9782, 0.9846, 0.9752
0.0276,  222.30, 0.9498, 0.9443, 0.9513, 0.9506, 0.9498
0.0369,  296.41, 0.9249, 0.9264, 0.9262, 0.9098, 0.9249
0.0461,  370.51, 0.9016, 0.8994, 0.9052, 0.8748, 0.9016
0.0553,  444.61, 0.8879, 0.8884, 0.8932, 0.8393, 0.8879
0.0645,  518.71, 0.8700, 0.8516, 0.8822, 0.8079, 0.8700
0.0737,  592.81, 0.8397, 0.7967, 0.8591, 0.7777, 0.8397
0.0829,  666.91, 0.8149, 0.7670, 0.8359, 0.7529, 0.8149
0.0922,  741.01, 0.7872, 0.7350, 0.8102, 0.7197, 0.7872
0.1014,  815.11, 0.7576, 0.7119, 0.7806, 0.6737, 0.7576
0.1106,  889.22, 0.7311, 0.6879, 0.7534, 0.6492, 0.7311
0.1198,  963.32, 0.7062, 0.6472, 0.7306, 0.6459, 0.7062
0.1290, 1037.42, 0.6822, 0.6108, 0.7115, 0.6108, 0.6822
0.1382, 1111.52, 0.6413, 0.5768, 0.6711, 0.5523, 0.6413
0.1475, 1185.62, 0.5957, 0.5410, 0.6195, 0.5412, 0.5957
0.1567, 1259.72, 0.5752, 0.5261, 0.5942, 0.5475, 0.5752
0.1659, 1333.82, 0.5652, 0.5269, 0.5805, 0.5354, 0.5652
0.1751, 1407.93, 0.5406, 0.4942, 0.5583, 0.5071, 0.5406
0.1843, 1482.03, 0.5182, 0.4594, 0.5415, 0.4628, 0.5182
