Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_1600ISO_-3EV_Dist1_ON_Defocus2.tiff
Run date,12-May-2025 12:31:23,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.80, 0.9078, 0.8761, 0.9142, 0.9258, 0.9078
0.0184,  147.59, 0.6979, 0.5671, 0.7353, 0.7008, 0.6979
0.0275,  221.39, 0.4700, 0.3241, 0.5229, 0.4429, 0.4700
0.0367,  295.18, 0.2388, 0.1440, 0.2663, 0.3054, 0.2388
0.0459,  368.98, 0.0868, 0.1636, 0.1561, 0.2039, 0.0868
0.0551,  442.78, 0.0862, 0.5072, 0.1409, 0.1295, 0.0862
0.0643,  516.57, 0.2533, 0.7094, 0.4007, 0.3125, 0.2533
0.0734,  590.37, 0.3064, 0.4506, 0.4645, 0.3376, 0.3064
0.0826,  664.17, 0.2405, 0.3681, 0.3935, 0.3892, 0.2405
0.0918,  737.96, 0.1354, 0.5864, 0.2530, 0.4504, 0.1354
0.1010,  811.76, 0.1742, 0.6403, 0.1108, 0.0868, 0.1742
0.1101,  885.55, 0.1991, 0.5743, 0.1359, 0.3439, 0.1991
0.1193,  959.35, 0.1470, 0.6433, 0.2100, 0.2088, 0.1470
0.1285, 1033.15, 0.2892, 0.3900, 0.5034, 0.1087, 0.2892
0.1377, 1106.94, 0.3538, 0.0802, 0.5086, 0.2840, 0.3538
0.1469, 1180.74, 0.3507, 0.8477, 0.5824, 0.5017, 0.3507
0.1560, 1254.54, 0.4522, 1.0030, 0.6236, 0.5443, 0.4522
0.1652, 1328.33, 0.2708, 0.5110, 0.4640, 0.2709, 0.2708
0.1744, 1402.13, 0.2227, 1.1445, 0.1976, 0.1593, 0.2227
0.1836, 1475.92, 0.2182, 0.8240, 0.1598, 0.2275, 0.2182
0.1928, 1549.72, 0.3722, 0.3099, 0.4294, 0.1443, 0.3722
0.2019, 1623.52, 0.4219, 0.4394, 0.4663, 0.1733, 0.4219
0.2111, 1697.31, 0.2790, 0.4791, 0.3074, 0.3389, 0.2790
0.2203, 1771.11, 0.2657, 0.8421, 0.2262, 0.3537, 0.2657
0.2295, 1844.91, 0.1983, 0.2850, 0.2425, 0.2105, 0.1983
0.2386, 1918.70, 0.3004, 1.0992, 0.1427, 0.2380, 0.3004
0.2478, 1992.50, 0.2075, 1.0672, 0.1920, 0.3255, 0.2075
0.2570, 2066.29, 0.2179, 0.9669, 0.1765, 0.3341, 0.2179
0.2662, 2140.09, 0.3050, 0.7444, 0.3208, 0.3056, 0.3050
0.2754, 2213.89, 0.3091, 0.5783, 0.2826, 0.0391, 0.3091
0.2845, 2287.68, 0.2805, 0.7089, 0.2371, 0.3592, 0.2805
0.2937, 2361.48, 0.4421, 0.7104, 0.4704, 0.4534, 0.4421
0.3029, 2435.27, 0.2342, 0.0300, 0.3040, 0.5371, 0.2342
0.3121, 2509.07, 0.4533, 0.6271, 0.3931, 0.7551, 0.4533
0.3213, 2582.87, 0.4979, 0.7392, 0.4628, 0.5715, 0.4979
0.3304, 2656.66, 0.1601, 0.0931, 0.2365, 0.2024, 0.1601
0.3396, 2730.46, 0.2205, 0.5600, 0.1374, 0.7202, 0.2205
