Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_25600ISO_+1EV_Dist1_ON_Defocus2.tiff
Run date,07-May-2025 09:33:07,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/cup+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  123.71, 0.8259, 0.8263, 0.8245, 0.8446, 0.8259
0.0308,  247.41, 0.4611, 0.5036, 0.4530, 0.4458, 0.4611
0.0462,  371.12, 0.1917, 0.3929, 0.2096, 0.0071, 0.1917
0.0615,  494.83, 0.0482, 0.4245, 0.1472, 0.3255, 0.0482
0.0769,  618.54, 0.0526, 0.0362, 0.0595, 0.3917, 0.0526
0.0923,  742.24, 0.0919, 0.3631, 0.0900, 0.1329, 0.0919
0.1077,  865.95, 0.1377, 0.5239, 0.0381, 0.2206, 0.1377
0.1231,  989.66, 0.1503, 0.5842, 0.0531, 0.2497, 0.1503
0.1385, 1113.36, 0.2037, 0.2932, 0.2525, 0.1147, 0.2037
0.1539, 1237.07, 0.1352, 0.3028, 0.2428, 0.3257, 0.1352
0.1693, 1360.78, 0.0829, 0.1084, 0.1229, 0.2074, 0.0829
0.1846, 1484.49, 0.1220, 0.3677, 0.0731, 0.1367, 0.1220
0.2000, 1608.19, 0.0688, 0.5738, 0.1337, 0.2221, 0.0688
0.2154, 1731.90, 0.1042, 0.3767, 0.2310, 0.1784, 0.1042
0.2308, 1855.61, 0.0508, 0.1654, 0.0953, 0.2202, 0.0508
0.2462, 1979.31, 0.0617, 0.2675, 0.1294, 0.2061, 0.0617
0.2616, 2103.02, 0.1438, 0.0723, 0.1975, 0.2233, 0.1438
0.2770, 2226.73, 0.1419, 0.0729, 0.1515, 0.2232, 0.1419
0.2923, 2350.44, 0.2434, 0.2069, 0.2845, 0.2352, 0.2434
0.3077, 2474.14, 0.1946, 0.5093, 0.1485, 0.1805, 0.1946
0.3231, 2597.85, 0.0786, 0.2157, 0.0923, 0.0093, 0.0786
0.3385, 2721.56, 0.2416, 0.3864, 0.2195, 0.2718, 0.2416
0.3539, 2845.26, 0.1783, 0.3091, 0.1533, 0.2940, 0.1783
0.3693, 2968.97, 0.1264, 0.4048, 0.0770, 0.2129, 0.1264
0.3847, 3092.68, 0.2598, 0.5222, 0.2176, 0.0842, 0.2598
0.4000, 3216.39, 0.0877, 0.1409, 0.0749, 0.1832, 0.0877
0.4154, 3340.09, 0.1630, 0.0876, 0.1897, 0.3327, 0.1630
0.4308, 3463.80, 0.1487, 0.1129, 0.1984, 0.2584, 0.1487
0.4462, 3587.51, 0.1298, 0.0951, 0.1464, 0.0732, 0.1298
0.4616, 3711.21, 0.2386, 0.2156, 0.2456, 0.2417, 0.2386
0.4770, 3834.92, 0.3171, 0.3307, 0.3255, 0.2388, 0.3171
0.4924, 3958.63, 0.2856, 0.3845, 0.3069, 0.1987, 0.2856
0.5078, 4082.34, 0.1054, 0.3134, 0.0887, 0.2815, 0.1054
0.5231, 4206.04, 0.2409, 0.3910, 0.2234, 0.0428, 0.2409
0.5385, 4329.75, 0.2767, 0.3530, 0.2512, 0.4360, 0.2767
0.5539, 4453.46, 0.2385, 0.3357, 0.2379, 0.5624, 0.2385
0.5693, 4577.16, 0.1120, 0.2973, 0.0914, 0.4346, 0.1120
0.5847, 4700.87, 0.1199, 0.3241, 0.1052, 0.2041, 0.1199
0.6001, 4824.58, 0.0389, 0.3130, 0.1129, 0.1457, 0.0389
0.6155, 4948.29, 0.2708, 0.1964, 0.3376, 0.1617, 0.2708
0.6308, 5071.99, 0.5362, 0.6225, 0.5686, 0.3630, 0.5362
0.6462, 5195.70, 0.4862, 0.8092, 0.4844, 0.6395, 0.4862
0.6616, 5319.41, 0.4477, 0.7165, 0.3942, 0.5578, 0.4477
0.6770, 5443.11, 0.3441, 0.0922, 0.3978, 0.4622, 0.3441
0.6924, 5566.82, 0.1588, 0.7840, 0.3851, 0.4195, 0.1588
0.7078, 5690.53, 0.4068, 1.9484, 0.1359, 0.3973, 0.4068
0.7232, 5814.24, 1.1594, 2.0000, 0.9769, 0.8722, 1.1594
0.7386, 5937.94, 1.2943, 1.2588, 1.3626, 0.8672, 1.2943
0.7539, 6061.65, 0.8418, 0.3570, 0.9586, 0.9690, 0.8418
0.7693, 6185.36, 0.2783, 0.7547, 0.3305, 0.9717, 0.2783
0.7847, 6309.06, 0.4199, 1.4515, 0.2434, 0.5243, 0.4199
0.8001, 6432.77, 0.6507, 1.8921, 0.5869, 0.6802, 0.6507
0.8155, 6556.48, 1.0286, 2.0000, 0.9946, 1.0820, 1.0286
0.8309, 6680.19, 0.8522, 1.7603, 0.8252, 0.1195, 0.8522
0.8463, 6803.89, 1.3279, 0.8820, 1.5663, 0.7575, 1.3279
0.8616, 6927.60, 1.3308, 0.5198, 1.8410, 0.4713, 1.3308
0.8770, 7051.31, 0.8606, 1.8872, 0.9473, 0.9970, 0.8606
0.8924, 7175.01, 0.8722, 2.0000, 0.5166, 2.0000, 0.8722
0.9078, 7298.72, 0.8263, 2.0000, 0.9340, 2.0000, 0.8263
0.9232, 7422.43, 0.3006, 0.7171, 0.7869, 2.0000, 0.3006
0.9386, 7546.14, 0.6814, 2.0000, 1.7086, 2.0000, 0.6814
0.9540, 7669.84, 0.8142, 1.8790, 1.5767, 2.0000, 0.8142
0.9693, 7793.55, 1.1595, 2.0000, 1.9120, 2.0000, 1.1595
0.9847, 7917.26, 1.0881, 2.0000, 2.0000, 2.0000, 1.0881
1.0001, 8040.96, 1.8023, 1.5229, 2.0000, 2.0000, 1.8023
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.5980, 0.6246, 0.5924, 0.5954, 0.5980
0.0500, 0.1559, 0.4008, 0.1941, 0.0866, 0.1559
0.0750, 0.0521, 0.0849, 0.0705, 0.3833, 0.0521
0.1000, 0.1148, 0.4433, 0.0641, 0.1767, 0.1148
0.1250, 0.1569, 0.5481, 0.0778, 0.2330, 0.1569
0.1500, 0.1524, 0.3004, 0.2452, 0.2727, 0.1524
0.1750, 0.0975, 0.2053, 0.1043, 0.1810, 0.0975
0.2000, 0.0689, 0.5735, 0.1336, 0.2219, 0.0689
0.2250, 0.0709, 0.2450, 0.1464, 0.2045, 0.0709
0.2500, 0.0820, 0.2191, 0.1463, 0.2104, 0.0820
0.2750, 0.1422, 0.0728, 0.1574, 0.2232, 0.1422
0.3000, 0.2191, 0.3574, 0.2168, 0.2080, 0.2191
0.3250, 0.0986, 0.2366, 0.1079, 0.0415, 0.0986
0.3500, 0.1943, 0.3287, 0.1700, 0.2884, 0.1943
0.3750, 0.1760, 0.4485, 0.1293, 0.1650, 0.1760
0.4000, 0.0882, 0.1421, 0.0754, 0.1829, 0.0882
0.4250, 0.1541, 0.1033, 0.1951, 0.2865, 0.1541
0.4500, 0.1566, 0.1248, 0.1708, 0.1148, 0.1566
0.4750, 0.3070, 0.3159, 0.3152, 0.2392, 0.3070
0.5000, 0.1962, 0.3492, 0.1987, 0.2398, 0.1962
0.5500, 0.2482, 0.3401, 0.2413, 0.5303, 0.2482
0.6000, 0.0393, 0.3131, 0.1128, 0.1460, 0.0393
0.6500, 0.4767, 0.7865, 0.4623, 0.6195, 0.4767
0.7000, 0.2814, 1.3599, 0.2619, 0.4085, 0.2814
0.7500, 0.9576, 0.5877, 1.0619, 0.9430, 0.9576
0.8000, 0.6492, 1.8893, 0.5847, 0.6792, 0.6492
0.8500, 1.3286, 0.7938, 1.6332, 0.6878, 1.3286
0.9000, 0.8496, 3.0578, 0.7224, 3.1973, 0.8496
0.9500, 0.7800, 2.1392, 1.6107, 2.6451, 0.7800
1.0000, 1.7967, 1.5408, 2.5274, 2.8720, 1.7967

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-12.00, 0.001, 0.060, 0.007, 0.045, 0.059
-11.50, 0.066, 0.066,-0.002, 0.061, 0.068
-11.00,-0.011, 0.065,-0.049, 0.043, 0.114
-10.50, 0.081, 0.060,-0.009, 0.059, 0.090
-10.00, 0.161, 0.108, 0.005, 0.110, 0.156
-9.50, 0.114, 0.029, 0.019, 0.044, 0.095
-9.00, 0.163, 0.039, 0.028, 0.061, 0.134
-8.50, 0.134, 0.008, 0.093, 0.038, 0.126
-8.00, 0.102, 0.119, 0.077, 0.113, 0.042
-7.50, 0.155, 0.067, 0.170, 0.091, 0.103
-7.00, 0.149, 0.190, 0.075, 0.174, 0.115
-6.50, 0.119, 0.110, 0.170, 0.116, 0.060
-6.00, 0.227, 0.212, 0.139, 0.210, 0.088
-5.50, 0.131, 0.197, 0.286, 0.191, 0.155
-5.00, 0.207, 0.212, 0.167, 0.208, 0.045
-4.50, 0.212, 0.273, 0.302, 0.264, 0.090
-4.00, 0.229, 0.250, 0.331, 0.252, 0.102
-3.50, 0.144, 0.298, 0.307, 0.270, 0.163
-3.00, 0.275, 0.314, 0.421, 0.314, 0.146
-2.50, 0.163, 0.273, 0.314, 0.255, 0.151
-2.00, 0.252, 0.355, 0.424, 0.341, 0.172
-1.50, 0.275, 0.389, 0.362, 0.365, 0.114
-1.00, 0.264, 0.409, 0.467, 0.386, 0.203
-0.50, 0.336, 0.468, 0.413, 0.439, 0.132
 0.00, 0.347, 0.462, 0.513, 0.445, 0.166
 0.50, 0.400, 0.517, 0.464, 0.491, 0.117
 1.00, 0.559, 0.568, 0.516, 0.562, 0.051
 1.50, 0.417, 0.555, 0.481, 0.524, 0.138
 2.00, 0.574, 0.610, 0.526, 0.597, 0.084
 2.50, 0.489, 0.626, 0.561, 0.596, 0.137
 3.00, 0.595, 0.668, 0.558, 0.646, 0.110
 3.50, 0.623, 0.707, 0.627, 0.686, 0.084
 4.00, 0.630, 0.664, 0.599, 0.653, 0.066
 4.50, 0.668, 0.703, 0.612, 0.689, 0.091
 5.00, 0.691, 0.723, 0.703, 0.715, 0.031
 5.50, 0.763, 0.706, 0.591, 0.708, 0.172
 6.00, 0.671, 0.740, 0.719, 0.726, 0.069
 6.50, 0.766, 0.761, 0.656, 0.754, 0.110
 7.00, 0.719, 0.792, 0.762, 0.776, 0.074
 7.50, 0.779, 0.781, 0.688, 0.774, 0.093
 8.00, 0.741, 0.882, 0.891, 0.856, 0.150
 8.50, 0.871, 0.771, 0.763, 0.789, 0.108
 9.00, 0.778, 0.910, 1.005, 0.892, 0.227
 9.50, 1.087, 0.853, 0.849, 0.896, 0.238
10.00, 0.858, 0.809, 1.018, 0.833, 0.209
10.50, 1.143, 0.927, 0.979, 0.971, 0.216
11.00, 1.088, 0.874, 1.054, 0.927, 0.214
11.50, 1.033, 0.912, 0.942, 0.937, 0.121
12.00, 0.955, 0.898, 1.037, 0.919, 0.139
12.50, 0.908, 0.895, 0.870, 0.895, 0.039
13.00, 0.944, 0.986, 1.021, 0.981, 0.077
13.50, 0.869, 0.927, 0.949, 0.918, 0.080
14.00, 0.876, 0.996, 1.092, 0.981, 0.215
14.50, 0.886, 0.935, 0.957, 0.927, 0.071
15.00, 0.705, 0.963, 0.993, 0.917, 0.288
15.50, 0.854, 0.986, 0.980, 0.961, 0.131
16.00, 0.727, 0.990, 0.995, 0.941, 0.268
16.50, 0.885, 1.038, 0.977, 1.005, 0.153
17.00, 0.867, 1.004, 0.987, 0.977, 0.137
17.50, 0.866, 1.019, 0.975, 0.987, 0.153
18.00, 0.863, 0.922, 0.969, 0.914, 0.106

