Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus2.tiff
Run date,07-May-2025 09:33:07,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/cup+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  123.74, 0.8183, 0.8186, 0.8138, 0.8637, 0.8183
0.0308,  247.47, 0.4291, 0.4054, 0.4273, 0.5272, 0.4291
0.0462,  371.21, 0.1116, 0.0676, 0.1229, 0.1568, 0.1116
0.0616,  494.95, 0.0358, 0.1841, 0.0893, 0.1039, 0.0358
0.0770,  618.69, 0.0572, 0.1989, 0.0480, 0.1007, 0.0572
0.0923,  742.42, 0.1123, 0.1463, 0.1178, 0.0580, 0.1123
0.1077,  866.16, 0.0897, 0.1554, 0.0862, 0.0341, 0.0897
0.1231,  989.90, 0.0812, 0.0754, 0.1203, 0.2134, 0.0812
0.1385, 1113.63, 0.1477, 0.2249, 0.1531, 0.1172, 0.1477
0.1539, 1237.37, 0.0684, 0.1982, 0.0909, 0.0302, 0.0684
0.1693, 1361.11, 0.1660, 0.4729, 0.1302, 0.0693, 0.1660
0.1847, 1484.84, 0.0762, 0.1852, 0.0818, 0.0632, 0.0762
0.2001, 1608.58, 0.1155, 0.1371, 0.1469, 0.0105, 0.1155
0.2155, 1732.32, 0.1211, 0.3761, 0.2504, 0.2082, 0.1211
0.2309, 1856.06, 0.0437, 0.5045, 0.1384, 0.3585, 0.0437
0.2462, 1979.79, 0.1438, 0.4772, 0.1693, 0.2809, 0.1438
0.2616, 2103.53, 0.0999, 0.5037, 0.0006, 0.2147, 0.0999
0.2770, 2227.27, 0.1821, 0.4728, 0.1798, 0.1939, 0.1821
0.2924, 2351.00, 0.1084, 0.2775, 0.1706, 0.1786, 0.1084
0.3078, 2474.74, 0.1180, 0.1857, 0.1637, 0.1995, 0.1180
0.3232, 2598.48, 0.1460, 0.2233, 0.1492, 0.1788, 0.1460
0.3386, 2722.21, 0.1143, 0.1333, 0.1126, 0.1613, 0.1143
0.3540, 2845.95, 0.0557, 0.1477, 0.0335, 0.0858, 0.0557
0.3694, 2969.69, 0.0992, 0.1831, 0.0956, 0.0206, 0.0992
0.3848, 3093.43, 0.0610, 0.1417, 0.0515, 0.1594, 0.0610
0.4001, 3217.16, 0.0992, 0.0983, 0.1241, 0.1367, 0.0992
0.4155, 3340.90, 0.1127, 0.0664, 0.1344, 0.0489, 0.1127
0.4309, 3464.64, 0.0539, 0.0394, 0.0829, 0.0857, 0.0539
0.4463, 3588.37, 0.0989, 0.0220, 0.1246, 0.1277, 0.0989
0.4617, 3712.11, 0.0757, 0.0130, 0.0981, 0.0563, 0.0757
0.4771, 3835.85, 0.1327, 0.1576, 0.1317, 0.0747, 0.1327
0.4925, 3959.58, 0.1594, 0.1784, 0.1668, 0.0697, 0.1594
0.5079, 4083.32, 0.1683, 0.2379, 0.1605, 0.0854, 0.1683
0.5233, 4207.06, 0.1997, 0.2031, 0.2100, 0.1261, 0.1997
0.5387, 4330.80, 0.1109, 0.1418, 0.1184, 0.0490, 0.1109
0.5540, 4454.53, 0.0967, 0.2367, 0.0737, 0.1236, 0.0967
0.5694, 4578.27, 0.0480, 0.1047, 0.0409, 0.2178, 0.0480
0.5848, 4702.01, 0.1019, 0.0783, 0.1391, 0.1315, 0.1019
0.6002, 4825.74, 0.1203, 0.2406, 0.1369, 0.0891, 0.1203
0.6156, 4949.48, 0.0750, 0.0884, 0.1168, 0.1153, 0.0750
0.6310, 5073.22, 0.3300, 0.2425, 0.4031, 0.2145, 0.3300
0.6464, 5196.95, 0.3377, 0.2342, 0.4015, 0.3200, 0.3377
0.6618, 5320.69, 0.3158, 0.1919, 0.4041, 0.1104, 0.3158
0.6772, 5444.43, 0.5898, 0.2357, 0.7542, 0.4351, 0.5898
0.6926, 5568.17, 0.4157, 0.1300, 0.5260, 0.4297, 0.4157
0.7079, 5691.90, 0.2182, 0.1739, 0.2663, 0.3708, 0.2182
0.7233, 5815.64, 0.2755, 0.5205, 0.3638, 0.1522, 0.2755
0.7387, 5939.38, 0.0223, 1.0025, 0.2593, 0.4188, 0.0223
0.7541, 6063.11, 0.2444, 1.0576, 0.5029, 0.3616, 0.2444
0.7695, 6186.85, 0.1664, 0.5220, 0.2708, 0.3713, 0.1664
0.7849, 6310.59, 0.1658, 0.5631, 0.0452, 0.5554, 0.1658
0.8003, 6434.32, 0.0805, 0.6605, 0.0832, 0.0978, 0.0805
0.8157, 6558.06, 0.2881, 0.3844, 0.3737, 0.6874, 0.2881
0.8311, 6681.80, 0.6535, 0.3906, 0.8897, 0.7369, 0.6535
0.8465, 6805.54, 0.3847, 0.7863, 0.5480, 0.2603, 0.3847
0.8618, 6929.27, 0.3388, 0.1354, 0.4981, 0.3035, 0.3388
0.8772, 7053.01, 0.6237, 0.6566, 0.8969, 0.4592, 0.6237
0.8926, 7176.75, 0.6684, 0.7832, 1.1473, 1.1995, 0.6684
0.9080, 7300.48, 1.0470, 0.4219, 1.6544, 1.3405, 1.0470
0.9234, 7424.22, 0.7624, 0.1600, 1.1553, 0.5401, 0.7624
0.9388, 7547.96, 0.3132, 1.5193, 0.5805, 0.7286, 0.3132
0.9542, 7671.70, 0.4838, 2.0000, 0.1567, 1.1716, 0.4838
0.9696, 7795.43, 0.9332, 2.0000, 0.6042, 1.0696, 0.9332
0.9850, 7919.17, 0.8576, 2.0000, 0.3777, 1.2817, 0.8576
1.0004, 8042.91, 1.5254, 1.2757, 1.6413, 1.3549, 1.5254
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.5753, 0.5606, 0.5725, 0.6536, 0.5753
0.0500, 0.0927, 0.0966, 0.1145, 0.1437, 0.0927
0.0750, 0.0545, 0.1970, 0.0532, 0.1011, 0.0545
0.1000, 0.1011, 0.1508, 0.1021, 0.0461, 0.1011
0.1250, 0.0893, 0.0936, 0.1243, 0.2016, 0.0893
0.1500, 0.0885, 0.2050, 0.1067, 0.0523, 0.0885
0.1750, 0.1327, 0.3662, 0.1122, 0.0670, 0.1327
0.2000, 0.1153, 0.1373, 0.1466, 0.0108, 0.1153
0.2250, 0.0731, 0.4556, 0.1810, 0.3013, 0.0731
0.2500, 0.1331, 0.4837, 0.1281, 0.2648, 0.1331
0.2750, 0.1713, 0.4769, 0.1562, 0.1966, 0.1713
0.3000, 0.1131, 0.2323, 0.1672, 0.1889, 0.1131
0.3250, 0.1423, 0.2127, 0.1449, 0.1767, 0.1423
0.3500, 0.0709, 0.1440, 0.0539, 0.1053, 0.0709
0.3750, 0.0852, 0.1680, 0.0794, 0.0714, 0.0852
0.4000, 0.0988, 0.0987, 0.1234, 0.1369, 0.0988
0.4250, 0.0766, 0.0498, 0.1027, 0.0715, 0.0766
0.4500, 0.0933, 0.0198, 0.1182, 0.1106, 0.0933
0.4750, 0.1249, 0.1379, 0.1272, 0.0722, 0.1249
0.5000, 0.1637, 0.2074, 0.1637, 0.0774, 0.1637
0.5500, 0.1004, 0.2117, 0.0854, 0.1040, 0.1004
0.6000, 0.1200, 0.2383, 0.1370, 0.0897, 0.1200
0.6500, 0.3326, 0.2243, 0.4021, 0.2708, 0.3326
0.7000, 0.3202, 0.1512, 0.4004, 0.4013, 0.3202
0.7500, 0.1850, 1.0429, 0.4377, 0.3769, 0.1850
0.8000, 0.0821, 0.6587, 0.0825, 0.1064, 0.0821
0.8500, 0.3742, 0.6366, 0.5365, 0.2702, 0.3742
0.9000, 0.8497, 0.6101, 1.3902, 1.2670, 0.8497
0.9500, 0.4374, 2.3256, 0.2721, 1.0509, 0.4374
1.0000, 1.5097, 1.3098, 1.6116, 1.3532, 1.5097

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-12.00, 0.051, 0.089,-0.035, 0.072, 0.125
-11.50, 0.009, 0.048, 0.017, 0.038, 0.040
-11.00, 0.019, 0.052,-0.028, 0.039, 0.081
-10.50, 0.002, 0.042, 0.001, 0.031, 0.041
-10.00, 0.029, 0.039, 0.034, 0.036, 0.009
-9.50, 0.044, 0.049, 0.002, 0.044, 0.046
-9.00, 0.109, 0.078, 0.092, 0.085, 0.031
-8.50, 0.095, 0.095, 0.042, 0.091, 0.053
-8.00, 0.127, 0.079, 0.143, 0.094, 0.064
-7.50, 0.141, 0.096, 0.065, 0.103, 0.076
-7.00, 0.199, 0.168, 0.161, 0.174, 0.038
-6.50, 0.220, 0.102, 0.088, 0.126, 0.131
-6.00, 0.204, 0.208, 0.129, 0.202, 0.080
-5.50, 0.297, 0.149, 0.142, 0.179, 0.155
-5.00, 0.228, 0.233, 0.187, 0.229, 0.046
-4.50, 0.291, 0.207, 0.213, 0.225, 0.083
-4.00, 0.304, 0.288, 0.284, 0.291, 0.020
-3.50, 0.338, 0.244, 0.251, 0.264, 0.095
-3.00, 0.396, 0.312, 0.336, 0.331, 0.084
-2.50, 0.388, 0.338, 0.302, 0.346, 0.086
-2.00, 0.416, 0.321, 0.332, 0.342, 0.094
-1.50, 0.350, 0.379, 0.315, 0.368, 0.065
-1.00, 0.475, 0.386, 0.418, 0.407, 0.089
-0.50, 0.358, 0.390, 0.405, 0.384, 0.048
 0.00, 0.550, 0.415, 0.479, 0.448, 0.135
 0.50, 0.464, 0.475, 0.484, 0.474, 0.020
 1.00, 0.578, 0.448, 0.517, 0.480, 0.129
 1.50, 0.503, 0.546, 0.458, 0.530, 0.087
 2.00, 0.510, 0.528, 0.553, 0.526, 0.043
 2.50, 0.484, 0.582, 0.521, 0.557, 0.098
 3.00, 0.575, 0.621, 0.644, 0.613, 0.069
 3.50, 0.570, 0.637, 0.615, 0.621, 0.067
 4.00, 0.721, 0.613, 0.691, 0.641, 0.108
 4.50, 0.679, 0.643, 0.684, 0.653, 0.041
 5.00, 0.790, 0.705, 0.726, 0.724, 0.085
 5.50, 0.752, 0.661, 0.770, 0.688, 0.108
 6.00, 0.716, 0.770, 0.775, 0.760, 0.059
 6.50, 0.767, 0.686, 0.810, 0.712, 0.124
 7.00, 0.742, 0.815, 0.816, 0.800, 0.074
 7.50, 0.816, 0.756, 0.868, 0.777, 0.112
 8.00, 0.840, 0.837, 0.842, 0.838, 0.005
 8.50, 0.874, 0.794, 0.894, 0.818, 0.100
 9.00, 0.954, 0.886, 0.915, 0.902, 0.068
 9.50, 0.966, 0.846, 0.946, 0.878, 0.120
10.00, 0.948, 0.892, 0.909, 0.905, 0.055
10.50, 0.957, 0.867, 0.967, 0.893, 0.100
11.00, 0.929, 0.912, 0.892, 0.914, 0.037
11.50, 0.951, 0.925, 0.982, 0.935, 0.057
12.00, 0.924, 0.925, 0.932, 0.925, 0.008
12.50, 1.023, 0.932, 1.011, 0.957, 0.091
13.00, 0.916, 0.953, 1.036, 0.951, 0.120
13.50, 1.000, 0.910, 1.031, 0.937, 0.121
13.99, 0.836, 0.935, 1.020, 0.921, 0.184
14.49, 1.035, 0.950, 1.005, 0.972, 0.085
14.99, 0.900, 1.033, 1.023, 1.005, 0.133
15.49, 1.049, 1.026, 0.993, 1.029, 0.055
15.99, 1.025, 1.070, 0.963, 1.053, 0.107
16.49, 1.026, 1.042, 1.007, 1.036, 0.036
16.99, 1.052, 1.006, 0.918, 1.009, 0.135
17.49, 1.003, 0.984, 1.017, 0.991, 0.033
17.99, 1.034, 1.032, 0.977, 1.029, 0.056

