Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_1600ISO_+1EV_Dist1_OFF_Defocus2.tiff
Run date,07-May-2025 09:49:22,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/pot+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  123.94, 0.8725, 0.8768, 0.8712, 0.8725, 0.8725
0.0308,  247.89, 0.5490, 0.5539, 0.5474, 0.5509, 0.5490
0.0462,  371.83, 0.2160, 0.2117, 0.2172, 0.2175, 0.2160
0.0617,  495.77, 0.0350, 0.0236, 0.0480, 0.0494, 0.0350
0.0771,  619.72, 0.0481, 0.1348, 0.0214, 0.0755, 0.0481
0.0925,  743.66, 0.0596, 0.1091, 0.0526, 0.0880, 0.0596
0.1079,  867.60, 0.0158, 0.0227, 0.0251, 0.0971, 0.0158
0.1233,  991.55, 0.0497, 0.0229, 0.0704, 0.0510, 0.0497
0.1387, 1115.49, 0.0338, 0.0458, 0.0367, 0.0627, 0.0338
0.1542, 1239.43, 0.0628, 0.1077, 0.0480, 0.0881, 0.0628
0.1696, 1363.37, 0.0777, 0.1599, 0.0860, 0.0910, 0.0777
0.1850, 1487.32, 0.0230, 0.1462, 0.0555, 0.1412, 0.0230
0.2004, 1611.26, 0.0795, 0.1700, 0.0923, 0.1192, 0.0795
0.2158, 1735.20, 0.1030, 0.1523, 0.1027, 0.0487, 0.1030
0.2312, 1859.15, 0.0693, 0.1078, 0.0812, 0.0206, 0.0693
0.2467, 1983.09, 0.0702, 0.1035, 0.0682, 0.0928, 0.0702
0.2621, 2107.03, 0.0575, 0.0381, 0.0633, 0.1671, 0.0575
0.2775, 2230.98, 0.0607, 0.0675, 0.0820, 0.0941, 0.0607
0.2929, 2354.92, 0.0359, 0.0969, 0.0327, 0.0150, 0.0359
0.3083, 2478.86, 0.0251, 0.0633, 0.0307, 0.0326, 0.0251
0.3237, 2602.81, 0.0223, 0.0170, 0.0368, 0.0139, 0.0223
0.3391, 2726.75, 0.0592, 0.0520, 0.0700, 0.0200, 0.0592
0.3546, 2850.69, 0.0655, 0.0762, 0.0638, 0.0872, 0.0655
0.3700, 2974.64, 0.1588, 0.2103, 0.1503, 0.1180, 0.1588
0.3854, 3098.58, 0.1173, 0.1595, 0.1101, 0.0748, 0.1173
0.4008, 3222.52, 0.0257, 0.0275, 0.0309, 0.0393, 0.0257
0.4162, 3346.47, 0.0759, 0.0933, 0.0825, 0.0111, 0.0759
0.4316, 3470.41, 0.0974, 0.1445, 0.0915, 0.0301, 0.0974
0.4471, 3594.35, 0.0550, 0.1000, 0.0482, 0.0322, 0.0550
0.4625, 3718.30, 0.0411, 0.0577, 0.0358, 0.0526, 0.0411
0.4779, 3842.24, 0.0506, 0.0324, 0.0549, 0.0699, 0.0506
0.4933, 3966.18, 0.0645, 0.0533, 0.0720, 0.0395, 0.0645
0.5087, 4090.12, 0.0812, 0.0753, 0.0830, 0.0984, 0.0812
0.5241, 4214.07, 0.0536, 0.0738, 0.0475, 0.0736, 0.0536
0.5396, 4338.01, 0.0747, 0.0641, 0.0861, 0.0697, 0.0747
0.5550, 4461.95, 0.0511, 0.0261, 0.0602, 0.1361, 0.0511
0.5704, 4585.90, 0.0498, 0.0177, 0.0485, 0.1556, 0.0498
0.5858, 4709.84, 0.0174, 0.0470, 0.0154, 0.1479, 0.0174
0.6012, 4833.78, 0.0368, 0.1131, 0.0308, 0.1209, 0.0368
0.6166, 4957.73, 0.1013, 0.2200, 0.0709, 0.1165, 0.1013
0.6320, 5081.67, 0.1196, 0.2363, 0.1006, 0.1193, 0.1196
0.6475, 5205.61, 0.0776, 0.1636, 0.1134, 0.1214, 0.0776
0.6629, 5329.56, 0.1505, 0.2488, 0.1359, 0.2566, 0.1505
0.6783, 5453.50, 0.1337, 0.1485, 0.1386, 0.1623, 0.1337
0.6937, 5577.44, 0.1628, 0.2151, 0.1640, 0.0188, 0.1628
0.7091, 5701.39, 0.2267, 0.3273, 0.2300, 0.0266, 0.2267
0.7245, 5825.33, 0.1957, 0.2044, 0.2534, 0.0911, 0.1957
0.7400, 5949.27, 0.1709, 0.0526, 0.2199, 0.2171, 0.1709
0.7554, 6073.22, 0.0516, 0.0620, 0.0861, 0.1901, 0.0516
0.7708, 6197.16, 0.1866, 0.1269, 0.2082, 0.2189, 0.1866
0.7862, 6321.10, 0.1887, 0.3265, 0.1790, 0.3461, 0.1887
0.8016, 6445.05, 0.3321, 0.6311, 0.2989, 0.1928, 0.3321
0.8170, 6568.99, 0.3117, 0.4385, 0.3018, 0.1031, 0.3117
0.8325, 6692.93, 0.3130, 0.2002, 0.4001, 0.3751, 0.3130
0.8479, 6816.87, 0.2749, 0.3535, 0.4115, 0.7410, 0.2749
0.8633, 6940.82, 0.1661, 0.5541, 0.1783, 0.8486, 0.1661
0.8787, 7064.76, 0.0975, 0.5735, 0.2271, 0.6642, 0.0975
0.8941, 7188.70, 0.1976, 0.4054, 0.3768, 0.1820, 0.1976
0.9095, 7312.65, 0.0935, 0.5967, 0.3420, 0.5109, 0.0935
0.9249, 7436.59, 0.0529, 0.8566, 0.3001, 0.6923, 0.0529
0.9404, 7560.53, 0.1083, 0.5869, 0.0470, 0.0444, 0.1083
0.9558, 7684.48, 0.2744, 0.0936, 0.3791, 0.6105, 0.2744
0.9712, 7808.42, 0.5309, 0.2091, 0.7443, 0.6873, 0.5309
0.9866, 7932.36, 1.2831, 1.2170, 1.4409, 0.4091, 1.2831
1.0020, 8056.31, 1.2973, 1.4153, 1.2495, 1.4826, 1.2973
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.6714, 0.6761, 0.6699, 0.6726, 0.6714
0.0500, 0.1719, 0.1659, 0.1761, 0.1766, 0.1719
0.0750, 0.0463, 0.1198, 0.0250, 0.0720, 0.0463
0.1000, 0.0383, 0.0671, 0.0392, 0.0924, 0.0383
0.1250, 0.0480, 0.0254, 0.0668, 0.0523, 0.0480
0.1500, 0.0549, 0.0910, 0.0449, 0.0813, 0.0549
0.1750, 0.0584, 0.1551, 0.0752, 0.1086, 0.0584
0.2000, 0.0780, 0.1694, 0.0913, 0.1198, 0.0780
0.2250, 0.0830, 0.1258, 0.0899, 0.0320, 0.0830
0.2500, 0.0674, 0.0893, 0.0671, 0.1089, 0.0674
0.2750, 0.0602, 0.0627, 0.0790, 0.1059, 0.0602
0.3000, 0.0309, 0.0814, 0.0318, 0.0231, 0.0309
0.3250, 0.0254, 0.0199, 0.0396, 0.0144, 0.0254
0.3500, 0.0636, 0.0691, 0.0656, 0.0673, 0.0636
0.3750, 0.1453, 0.1938, 0.1372, 0.1039, 0.1453
0.4000, 0.0305, 0.0345, 0.0351, 0.0412, 0.0305
0.4250, 0.0881, 0.1224, 0.0876, 0.0219, 0.0881
0.4500, 0.0524, 0.0920, 0.0458, 0.0361, 0.0524
0.4750, 0.0488, 0.0371, 0.0513, 0.0666, 0.0488
0.5000, 0.0718, 0.0628, 0.0768, 0.0651, 0.0718
0.5500, 0.0587, 0.0383, 0.0685, 0.1147, 0.0587
0.6000, 0.0352, 0.1079, 0.0296, 0.1230, 0.0352
0.6500, 0.0896, 0.1776, 0.1171, 0.1437, 0.0896
0.7000, 0.1889, 0.2608, 0.1909, 0.0220, 0.1889
0.7500, 0.0932, 0.0587, 0.1328, 0.1995, 0.0932
0.8000, 0.3170, 0.5990, 0.2863, 0.2090, 0.3170
0.8500, 0.2599, 0.3813, 0.3792, 0.7559, 0.2599
0.9000, 0.1579, 0.4784, 0.3635, 0.3075, 0.1579
0.9500, 0.2121, 0.2786, 0.2546, 0.3982, 0.2121
1.0000, 1.2955, 1.3892, 1.2746, 1.3414, 1.2955

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-10.98, 0.044, 0.037, 0.046, 0.039, 0.009
-10.48, 0.052, 0.050, 0.024, 0.049, 0.028
-9.98, 0.044, 0.046, 0.019, 0.044, 0.028
-9.48, 0.071, 0.063, 0.054, 0.064, 0.017
-8.98, 0.077, 0.080, 0.037, 0.076, 0.043
-8.48, 0.103, 0.072, 0.082, 0.079, 0.032
-7.98, 0.077, 0.096, 0.070, 0.090, 0.027
-7.48, 0.113, 0.087, 0.104, 0.093, 0.026
-6.99, 0.097, 0.118, 0.095, 0.112, 0.023
-6.49, 0.155, 0.150, 0.132, 0.150, 0.023
-5.99, 0.173, 0.171, 0.148, 0.170, 0.024
-5.49, 0.184, 0.201, 0.179, 0.196, 0.022
-4.99, 0.232, 0.219, 0.229, 0.222, 0.013
-4.49, 0.231, 0.239, 0.235, 0.237, 0.008
-3.99, 0.283, 0.263, 0.297, 0.270, 0.035
-3.49, 0.311, 0.301, 0.309, 0.304, 0.010
-2.99, 0.333, 0.300, 0.336, 0.310, 0.035
-2.49, 0.342, 0.325, 0.352, 0.331, 0.026
-2.00, 0.412, 0.370, 0.372, 0.378, 0.042
-1.50, 0.398, 0.374, 0.423, 0.383, 0.049
-1.00, 0.469, 0.433, 0.418, 0.440, 0.051
-0.50, 0.468, 0.464, 0.474, 0.466, 0.010
 0.00, 0.528, 0.497, 0.478, 0.502, 0.050
 0.50, 0.508, 0.522, 0.508, 0.518, 0.014
 1.00, 0.581, 0.556, 0.535, 0.560, 0.046
 1.50, 0.576, 0.574, 0.574, 0.574, 0.002
 2.00, 0.600, 0.595, 0.614, 0.597, 0.020
 2.49, 0.661, 0.646, 0.648, 0.649, 0.014
 2.99, 0.665, 0.668, 0.676, 0.668, 0.011
 3.49, 0.705, 0.689, 0.697, 0.693, 0.016
 3.99, 0.715, 0.725, 0.699, 0.721, 0.026
 4.49, 0.746, 0.734, 0.742, 0.737, 0.012
 4.99, 0.784, 0.784, 0.745, 0.781, 0.040
 5.49, 0.751, 0.775, 0.785, 0.771, 0.034
 5.99, 0.802, 0.818, 0.805, 0.814, 0.016
 6.49, 0.807, 0.834, 0.845, 0.829, 0.038
 6.99, 0.843, 0.851, 0.879, 0.852, 0.036
 7.48, 0.905, 0.907, 0.898, 0.906, 0.009
 7.98, 0.935, 0.888, 0.905, 0.899, 0.047
 8.48, 0.940, 0.933, 0.910, 0.933, 0.029
 8.98, 0.980, 0.934, 0.928, 0.943, 0.053
 9.48, 0.971, 0.928, 0.914, 0.936, 0.057
 9.98, 0.979, 0.971, 0.949, 0.971, 0.030
10.48, 0.988, 0.959, 0.950, 0.964, 0.038
10.98, 0.962, 0.973, 0.963, 0.970, 0.011
11.48, 0.982, 0.971, 0.961, 0.972, 0.020
11.98, 0.995, 0.988, 0.977, 0.989, 0.018
12.47, 1.016, 0.987, 1.000, 0.994, 0.029
12.97, 1.015, 0.986, 0.977, 0.992, 0.038
13.47, 1.014, 0.979, 1.024, 0.989, 0.046
13.97, 1.047, 0.990, 0.998, 1.003, 0.057
14.47, 1.016, 0.986, 1.027, 0.995, 0.040
14.97, 1.039, 1.003, 0.982, 1.009, 0.057
15.47, 1.015, 1.004, 1.031, 1.008, 0.027
15.97, 0.998, 1.009, 0.992, 1.005, 0.017
16.47, 0.981, 0.991, 1.016, 0.991, 0.035

Level and noise analysis (pixel levels: gamma-encoded and linear) for ROI 1 of 1 total
Dark pixel level  ,   74.0
Light pixel level ,  122.7
Dark level linear , 0.0842
Light level linear,  0.232

Slice orientation,Horiz (V-edge),(Profile)
Image WxH & Mpxls,6024,4020,24.216
lens_to_chart_distance_cm, 205
