Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_1600ISO_+1EV_Dist1_ON_Defocus2.tiff
Run date,07-May-2025 09:49:22,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results/pot+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0154,  123.88, 0.8471, 0.8563, 0.8413, 0.8802, 0.8471
0.0308,  247.77, 0.5117, 0.5478, 0.4929, 0.6004, 0.5117
0.0462,  371.65, 0.1784, 0.2649, 0.1430, 0.3029, 0.1784
0.0616,  495.53, 0.0333, 0.0991, 0.0795, 0.0688, 0.0333
0.0770,  619.42, 0.0643, 0.0479, 0.0947, 0.0986, 0.0643
0.0925,  743.30, 0.0201, 0.0363, 0.0181, 0.1380, 0.0201
0.1079,  867.19, 0.0082, 0.0205, 0.0234, 0.1123, 0.0082
0.1233,  991.07, 0.0231, 0.0724, 0.0185, 0.0410, 0.0231
0.1387, 1114.95, 0.0358, 0.1057, 0.0304, 0.0303, 0.0358
0.1541, 1238.84, 0.0340, 0.0786, 0.0263, 0.0298, 0.0340
0.1695, 1362.72, 0.0862, 0.1331, 0.0856, 0.0782, 0.0862
0.1849, 1486.60, 0.1263, 0.1427, 0.1424, 0.0935, 0.1263
0.2003, 1610.49, 0.0990, 0.1631, 0.0976, 0.0397, 0.0990
0.2157, 1734.37, 0.0357, 0.1340, 0.0682, 0.0222, 0.0357
0.2311, 1858.26, 0.0382, 0.0515, 0.0678, 0.0831, 0.0382
0.2465, 1982.14, 0.0324, 0.0496, 0.0534, 0.0719, 0.0324
0.2619, 2106.02, 0.0412, 0.0554, 0.0708, 0.0418, 0.0412
0.2774, 2229.91, 0.0258, 0.0512, 0.0432, 0.1680, 0.0258
0.2928, 2353.79, 0.0379, 0.0324, 0.0484, 0.1238, 0.0379
0.3082, 2477.67, 0.0841, 0.0762, 0.1025, 0.0394, 0.0841
0.3236, 2601.56, 0.0980, 0.1205, 0.0986, 0.0753, 0.0980
0.3390, 2725.44, 0.0647, 0.0870, 0.0641, 0.0234, 0.0647
0.3544, 2849.32, 0.0360, 0.0596, 0.0342, 0.0404, 0.0360
0.3698, 2973.21, 0.0117, 0.0643, 0.0309, 0.0227, 0.0117
0.3852, 3097.09, 0.0683, 0.0425, 0.0948, 0.0835, 0.0683
0.4006, 3220.98, 0.0350, 0.0370, 0.0498, 0.0634, 0.0350
0.4160, 3344.86, 0.0653, 0.0979, 0.0620, 0.0146, 0.0653
0.4314, 3468.74, 0.0471, 0.0630, 0.0474, 0.0429, 0.0471
0.4468, 3592.63, 0.0733, 0.0984, 0.0620, 0.1192, 0.0733
0.4623, 3716.51, 0.1102, 0.1062, 0.1104, 0.1222, 0.1102
0.4777, 3840.39, 0.0467, 0.0318, 0.0496, 0.0793, 0.0467
0.4931, 3964.28, 0.0305, 0.0474, 0.0344, 0.0782, 0.0305
0.5085, 4088.16, 0.0376, 0.0247, 0.0505, 0.0588, 0.0376
0.5239, 4212.05, 0.0279, 0.0713, 0.0204, 0.0917, 0.0279
0.5393, 4335.93, 0.0512, 0.0508, 0.0533, 0.0956, 0.0512
0.5547, 4459.81, 0.0698, 0.0732, 0.0763, 0.0991, 0.0698
0.5701, 4583.70, 0.1505, 0.1118, 0.1667, 0.1643, 0.1505
0.5855, 4707.58, 0.0947, 0.0912, 0.1042, 0.0506, 0.0947
0.6009, 4831.46, 0.0922, 0.1254, 0.0802, 0.1366, 0.0922
0.6163, 4955.35, 0.0270, 0.0863, 0.0245, 0.0543, 0.0270
0.6317, 5079.23, 0.0537, 0.0345, 0.0753, 0.0525, 0.0537
0.6472, 5203.11, 0.0705, 0.1957, 0.0518, 0.0434, 0.0705
0.6626, 5327.00, 0.0512, 0.1759, 0.0105, 0.1029, 0.0512
0.6780, 5450.88, 0.0383, 0.2174, 0.0424, 0.0954, 0.0383
0.6934, 5574.77, 0.0936, 0.2840, 0.0636, 0.0535, 0.0936
0.7088, 5698.65, 0.1032, 0.4528, 0.0607, 0.1692, 0.1032
0.7242, 5822.53, 0.1564, 0.1846, 0.2159, 0.2816, 0.1564
0.7396, 5946.42, 0.1894, 0.0608, 0.2615, 0.2376, 0.1894
0.7550, 6070.30, 0.1287, 0.1684, 0.1413, 0.0998, 0.1287
0.7704, 6194.18, 0.1509, 0.2243, 0.2460, 0.2196, 0.1509
0.7858, 6318.07, 0.1841, 0.1134, 0.2731, 0.1677, 0.1841
0.8012, 6441.95, 0.0553, 0.0464, 0.0782, 0.1714, 0.0553
0.8166, 6565.84, 0.2840, 0.3330, 0.2912, 0.1454, 0.2840
0.8321, 6689.72, 0.3502, 0.2660, 0.4038, 0.3257, 0.3502
0.8475, 6813.60, 0.3090, 0.3695, 0.3892, 0.2949, 0.3090
0.8629, 6937.49, 0.1634, 0.7334, 0.2516, 0.3647, 0.1634
0.8783, 7061.37, 0.0118, 0.7594, 0.2156, 0.3817, 0.0118
0.8937, 7185.25, 0.3183, 0.8673, 0.2113, 0.1490, 0.3183
0.9091, 7309.14, 0.3061, 0.6973, 0.2263, 0.2232, 0.3061
0.9245, 7433.02, 0.2564, 0.2331, 0.3234, 0.1187, 0.2564
0.9399, 7556.90, 0.3854, 0.4039, 0.4557, 0.3732, 0.3854
0.9553, 7680.79, 0.2910, 0.3646, 0.3280, 0.2896, 0.2910
0.9707, 7804.67, 0.6028, 0.0700, 0.8173, 0.3963, 0.6028
0.9861, 7928.56, 0.9056, 0.7354, 1.0947, 0.8645, 0.9056
1.0015, 8052.44, 0.8859, 1.2786, 0.8318, 0.4152, 0.8859
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.6383, 0.6642, 0.6244, 0.7060, 0.6383
0.0500, 0.1429, 0.2243, 0.1274, 0.2455, 0.1429
0.0750, 0.0602, 0.0547, 0.0927, 0.0946, 0.0602
0.1000, 0.0143, 0.0286, 0.0207, 0.1254, 0.0143
0.1250, 0.0245, 0.0761, 0.0198, 0.0398, 0.0245
0.1500, 0.0345, 0.0858, 0.0274, 0.0299, 0.0345
0.1750, 0.1005, 0.1365, 0.1059, 0.0837, 0.1005
0.2000, 0.0995, 0.1627, 0.0985, 0.0408, 0.0995
0.2250, 0.0372, 0.0843, 0.0680, 0.0589, 0.0372
0.2500, 0.0344, 0.0509, 0.0573, 0.0652, 0.0344
0.2750, 0.0282, 0.0519, 0.0474, 0.1487, 0.0282
0.3000, 0.0596, 0.0530, 0.0738, 0.0841, 0.0596
0.3250, 0.0949, 0.1174, 0.0955, 0.0705, 0.0949
0.3500, 0.0442, 0.0674, 0.0427, 0.0355, 0.0442
0.3750, 0.0308, 0.0569, 0.0524, 0.0432, 0.0308
0.4000, 0.0364, 0.0372, 0.0516, 0.0642, 0.0364
0.4250, 0.0547, 0.0776, 0.0535, 0.0311, 0.0547
0.4500, 0.0809, 0.1000, 0.0719, 0.1198, 0.0809
0.4750, 0.0577, 0.0447, 0.0601, 0.0867, 0.0577
0.5000, 0.0337, 0.0372, 0.0417, 0.0695, 0.0337
0.5500, 0.0641, 0.0664, 0.0693, 0.0980, 0.0641
0.6000, 0.0924, 0.1233, 0.0816, 0.1315, 0.0924
0.6500, 0.0669, 0.1921, 0.0442, 0.0544, 0.0669
0.7000, 0.0977, 0.3566, 0.0624, 0.1032, 0.0977
0.7500, 0.1484, 0.1334, 0.1804, 0.1447, 0.1484
0.8000, 0.0657, 0.0518, 0.0939, 0.1711, 0.0657
0.8500, 0.2850, 0.4294, 0.3665, 0.3064, 0.2850
0.9000, 0.3133, 0.7977, 0.2174, 0.1794, 0.3133
0.9500, 0.3236, 0.3782, 0.3721, 0.3185, 0.3236
1.0000, 0.8879, 1.2241, 0.8582, 0.4604, 0.8879

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-10.98, 0.058, 0.052, 0.027, 0.051, 0.031
-10.48, 0.082, 0.080, 0.058, 0.079, 0.025
-9.98, 0.076, 0.078, 0.023, 0.074, 0.055
-9.49, 0.113, 0.098, 0.064, 0.099, 0.049
-8.99, 0.091, 0.104, 0.060, 0.098, 0.044
-8.49, 0.132, 0.136, 0.091, 0.132, 0.045
-7.99, 0.113, 0.132, 0.090, 0.125, 0.042
-7.49, 0.156, 0.176, 0.122, 0.168, 0.055
-6.99, 0.149, 0.164, 0.125, 0.158, 0.039
-6.49, 0.160, 0.205, 0.162, 0.193, 0.046
-5.99, 0.194, 0.203, 0.170, 0.199, 0.033
-5.49, 0.200, 0.248, 0.218, 0.236, 0.047
-4.99, 0.258, 0.272, 0.260, 0.268, 0.013
-4.49, 0.288, 0.308, 0.258, 0.301, 0.050
-3.99, 0.308, 0.315, 0.297, 0.313, 0.018
-3.49, 0.352, 0.366, 0.313, 0.359, 0.053
-3.00, 0.345, 0.356, 0.354, 0.354, 0.011
-2.50, 0.402, 0.410, 0.382, 0.406, 0.028
-2.00, 0.393, 0.398, 0.403, 0.397, 0.010
-1.50, 0.456, 0.447, 0.443, 0.449, 0.013
-1.00, 0.442, 0.459, 0.487, 0.457, 0.045
-0.50, 0.511, 0.496, 0.509, 0.500, 0.015
 0.00, 0.521, 0.491, 0.527, 0.500, 0.036
 0.50, 0.578, 0.537, 0.566, 0.548, 0.041
 1.00, 0.638, 0.564, 0.582, 0.580, 0.074
 1.50, 0.657, 0.591, 0.627, 0.607, 0.066
 2.00, 0.704, 0.620, 0.646, 0.639, 0.084
 2.50, 0.702, 0.661, 0.674, 0.670, 0.041
 3.00, 0.735, 0.658, 0.712, 0.677, 0.078
 3.49, 0.753, 0.700, 0.730, 0.713, 0.053
 3.99, 0.767, 0.708, 0.765, 0.724, 0.059
 4.49, 0.801, 0.741, 0.820, 0.759, 0.079
 4.99, 0.811, 0.757, 0.833, 0.773, 0.075
 5.49, 0.837, 0.775, 0.871, 0.794, 0.096
 5.99, 0.875, 0.811, 0.911, 0.831, 0.100
 6.49, 0.878, 0.825, 0.909, 0.842, 0.083
 6.99, 0.900, 0.855, 0.925, 0.869, 0.070
 7.49, 0.924, 0.896, 0.957, 0.906, 0.061
 7.99, 0.936, 0.914, 0.963, 0.922, 0.049
 8.49, 0.947, 0.915, 0.980, 0.927, 0.065
 8.99, 0.926, 0.921, 0.972, 0.925, 0.051
 9.49, 0.981, 0.937, 0.990, 0.950, 0.053
 9.98, 0.968, 0.954, 0.998, 0.960, 0.045
10.48, 0.994, 0.964, 0.973, 0.971, 0.030
10.98, 1.003, 0.988, 0.988, 0.991, 0.015
11.48, 0.985, 0.991, 0.985, 0.989, 0.006
11.98, 0.976, 1.020, 0.978, 1.008, 0.044
12.48, 1.010, 0.998, 0.995, 1.000, 0.014
12.98, 0.970, 1.042, 1.004, 1.025, 0.072
13.48, 1.021, 0.983, 0.979, 0.991, 0.042
13.98, 0.987, 1.010, 0.997, 1.004, 0.023
14.48, 0.995, 0.996, 0.961, 0.993, 0.034
14.98, 1.023, 1.006, 1.019, 1.010, 0.017
15.48, 0.984, 0.998, 0.973, 0.994, 0.025
15.98, 0.996, 0.988, 1.028, 0.993, 0.040
16.47, 1.013, 1.003, 1.017, 1.006, 0.014

Level and noise analysis (pixel levels: gamma-encoded and linear) for ROI 1 of 1 total
Dark pixel level  ,   74.1
Light pixel level ,  122.9
Dark level linear , 0.0845
Light level linear,  0.232

Slice orientation,Horiz (V-edge),(Profile)
Image WxH & Mpxls,6024,4020,24.216
lens_to_chart_distance_cm, 205
