Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_25600ISO_-3EV_Dist1_OFF_Defocus2.tiff
Run date,12-May-2025 13:27:30,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.76, 1.9937, 0.7419, 0.8775, 0.8295, 1.9937
0.0183,  147.53, 2.0548, 0.4873, 0.4630, 0.4351, 2.0548
0.0275,  221.29, 1.2046, 0.4165, 0.4210, 0.2388, 1.2046
0.0367,  295.05, 1.1098, 0.3302, 0.3715, 0.2518, 1.1098
0.0459,  368.82, 0.8717, 0.2276, 0.0521, 0.3294, 0.8717
0.0550,  442.58, 1.7650, 0.2466, 0.3439, 0.4093, 1.7650
0.0642,  516.34, 3.4272, 0.1274, 0.5946, 0.4627, 3.4272
0.0734,  590.11, 6.0576, 0.1636, 1.0090, 0.4669, 6.0576
0.0826,  663.87, 8.3000, 0.5178, 1.5083, 0.3949, 8.3000
0.0917,  737.63, 7.3466, 0.7512, 1.6329, 0.5859, 7.3466
0.1009,  811.40, 3.6734, 0.5502, 1.1877, 0.7475, 3.6734
0.1101,  885.16, 5.2092, 0.1149, 0.6324, 0.6779, 5.2092
0.1193,  958.93, 6.9753, 0.4886, 0.6030, 0.5460, 6.9753
0.1284, 1032.69, 6.1538, 0.6328, 0.4725, 0.2941, 6.1538
0.1376, 1106.45, 4.5042, 0.7889, 0.7311, 0.6206, 4.5042
0.1468, 1180.22, 5.1779, 0.5245, 1.0457, 0.8076, 5.1779
0.1560, 1253.98, 9.7688, 0.4404, 1.0776, 0.5685, 9.7688
0.1651, 1327.74,12.2208, 0.6310, 1.1676, 0.7131,12.2208
0.1743, 1401.51,11.7918, 0.1361, 1.5606, 0.7511,11.7918
0.1835, 1475.27,10.1037, 0.6366, 2.0035, 0.4886,10.1037
0.1927, 1549.03, 8.0368, 0.9325, 1.9945, 0.4746, 8.0368
0.2018, 1622.80, 7.9113, 0.7556, 1.7716, 0.4642, 7.9113
0.2110, 1696.56, 9.6336, 0.7017, 1.6579, 0.3512, 9.6336
0.2202, 1770.32, 9.4824, 0.8497, 1.1703, 0.8998, 9.4824
0.2294, 1844.09, 8.1608, 0.9233, 0.6481, 1.0059, 8.1608
0.2385, 1917.85,10.2771, 0.8918, 0.6813, 0.6744,10.2771
0.2477, 1991.61,14.6663, 0.8992, 1.3581, 0.8681,14.6663
0.2569, 2065.38,14.8682, 0.4937, 1.9893, 0.5970,14.8682
0.2661, 2139.14, 7.9892, 0.4254, 1.5427, 0.4688, 7.9892
0.2752, 2212.90, 1.8297, 0.5444, 0.3060, 0.7937, 1.8297
0.2844, 2286.67, 6.8022, 0.1999, 0.7929, 0.7801, 6.8022
0.2936, 2360.43, 4.5046, 0.2381, 0.3191, 0.7236, 4.5046
0.3028, 2434.19, 1.2859, 0.5398, 0.7135, 0.4569, 1.2859
0.3119, 2507.96, 4.8104, 0.4717, 1.0250, 0.0917, 4.8104
0.3211, 2581.72, 6.0615, 0.5674, 0.5016, 0.5857, 6.0615
0.3303, 2655.48, 5.2832, 0.8737, 0.2627, 1.1435, 5.2832
0.3395, 2729.25, 1.0332, 0.7077, 0.3829, 1.4794, 1.0332
0.3486, 2803.01, 7.3759, 0.5924, 0.5091, 1.0050, 7.3759
0.3578, 2876.78,15.3281, 0.7106, 1.6504, 0.1763,15.3281
0.3670, 2950.54,16.2457, 0.4703, 2.0739, 0.4647,16.2457
0.3762, 3024.30, 9.1386, 0.1031, 1.3063, 0.0820, 9.1386
0.3853, 3098.07, 8.2557, 0.0896, 1.1098, 0.6918, 8.2557
0.3945, 3171.83,15.3508, 0.4239, 1.9753, 0.9812,15.3508
0.4037, 3245.59,16.4521, 0.7858, 1.8557, 0.4882,16.4521
0.4129, 3319.36,12.3737, 0.8211, 0.9434, 0.4954,12.3737
0.4220, 3393.12, 7.9708, 0.5291, 0.9018, 0.8041, 7.9708
0.4312, 3466.88, 5.2785, 0.4376, 1.1218, 0.4963, 5.2785
0.4404, 3540.65, 4.3335, 0.5741, 0.9687, 0.6631, 4.3335
0.4496, 3614.41, 6.2399, 0.6229, 0.6301, 0.7186, 6.2399
0.4587, 3688.17, 9.4047, 0.4439, 0.9597, 0.4149, 9.4047
0.4679, 3761.94, 9.5521, 0.3756, 1.4689, 0.9603, 9.5521
0.4771, 3835.70, 5.4109, 0.7286, 1.3092, 1.1654, 5.4109
0.4863, 3909.46, 4.1786, 0.9081, 0.4072, 0.6450, 4.1786
0.4954, 3983.23, 2.0000, 0.8594, 0.7351, 0.1234, 2.0000
0.5046, 4056.99, 2.0000, 0.6965, 1.2930, 0.4401, 2.0000
0.5138, 4130.75, 2.0000, 0.4566, 1.6328, 0.7688, 2.0000
0.5229, 4204.52, 2.0000, 0.2715, 1.7538, 0.9232, 2.0000
0.5321, 4278.28, 2.0000, 0.3333, 0.9745, 0.2233, 2.0000
0.5413, 4352.04, 2.0000, 0.3656, 0.9326, 0.8138, 2.0000
0.5505, 4425.81, 2.0000, 0.3477, 1.8157, 1.3530, 2.0000
0.5596, 4499.57, 2.0000, 0.3207, 1.9162, 1.5044, 2.0000
0.5688, 4573.33, 2.0000, 0.3392, 1.6164, 1.8542, 2.0000
0.5780, 4647.10, 2.0000, 0.4138, 1.8494, 1.9067, 2.0000
0.5872, 4720.86, 2.0000, 0.3703, 1.4396, 1.3110, 2.0000
0.5963, 4794.63, 2.0000, 0.4637, 0.6492, 1.0983, 2.0000
0.6055, 4868.39, 2.0000, 0.6503, 0.6615, 1.4303, 2.0000
0.6147, 4942.15, 2.0000, 0.7833, 0.9506, 1.4245, 2.0000
0.6239, 5015.92, 2.0000, 0.6619, 1.4326, 0.7777, 2.0000
0.6330, 5089.68, 2.0000, 0.6101, 1.5453, 0.2935, 2.0000
0.6422, 5163.44, 2.0000, 1.0417, 0.8568, 0.7917, 2.0000
0.6514, 5237.21, 2.0000, 1.0692, 0.8678, 0.5322, 2.0000
0.6606, 5310.97, 2.0000, 0.5510, 2.0000, 0.1500, 2.0000
0.6697, 5384.73, 2.0000, 0.2022, 2.0000, 0.4855, 2.0000
0.6789, 5458.50, 2.0000, 0.1592, 1.5774, 0.4736, 2.0000
0.6881, 5532.26, 2.0000, 0.7352, 2.0000, 0.3753, 2.0000
0.6973, 5606.02, 2.0000, 1.1141, 1.9328, 0.2495, 2.0000
0.7064, 5679.79, 2.0000, 1.4159, 0.8000, 0.3877, 2.0000
0.7156, 5753.55, 2.0000, 1.3972, 0.8969, 1.1132, 2.0000
0.7248, 5827.31, 2.0000, 0.9373, 1.8806, 1.3613, 2.0000
0.7340, 5901.08, 2.0000, 1.3557, 1.6109, 1.4441, 2.0000
0.7431, 5974.84, 2.0000, 2.0000, 1.2797, 1.8195, 2.0000
0.7523, 6048.60, 2.0000, 2.0000, 2.0000, 1.5284, 2.0000
0.7615, 6122.37, 2.0000, 2.0000, 2.0000, 0.2414, 2.0000
0.7707, 6196.13, 2.0000, 1.7943, 2.0000, 1.6556, 2.0000
0.7798, 6269.89, 2.0000, 1.8524, 2.0000, 2.0000, 2.0000
0.7890, 6343.66, 2.0000, 1.4111, 2.0000, 1.5281, 2.0000
0.7982, 6417.42, 2.0000, 0.6610, 2.0000, 1.8529, 2.0000
0.8074, 6491.18, 2.0000, 1.5534, 2.0000, 1.1807, 2.0000
0.8165, 6564.95, 2.0000, 1.2543, 2.0000, 0.7675, 2.0000
0.8257, 6638.71, 2.0000, 0.5781, 2.0000, 2.0000, 2.0000
0.8349, 6712.48, 2.0000, 1.1642, 2.0000, 2.0000, 2.0000
0.8441, 6786.24, 2.0000, 1.7649, 2.0000, 2.0000, 2.0000
0.8532, 6860.00, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.8624, 6933.77, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.8716, 7007.53, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.8808, 7081.29, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.8899, 7155.06, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.8991, 7228.82, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.9083, 7302.58, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.9175, 7376.35, 2.0000, 1.5180, 2.0000, 2.0000, 2.0000
0.9266, 7450.11, 2.0000, 1.0145, 2.0000, 2.0000, 2.0000
0.9358, 7523.87, 2.0000, 1.8577, 2.0000, 2.0000, 2.0000
0.9450, 7597.64, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
0.9542, 7671.40, 2.0000, 1.9172, 2.0000, 2.0000, 2.0000
0.9633, 7745.16, 2.0000, 0.6800, 2.0000, 2.0000, 2.0000
0.9725, 7818.93, 2.0000, 0.2416, 2.0000, 2.0000, 2.0000
0.9817, 7892.69, 2.0000, 1.2980, 2.0000, 2.0000, 2.0000
0.9909, 7966.45, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
1.0000, 8040.22, 2.0000, 2.0000, 2.0000, 2.0000, 2.0000
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 1.4385, 0.4360, 0.4325, 0.2928, 1.4385
0.0500, 1.2735, 0.2362, 0.1834, 0.3654, 1.2735
0.0750, 6.4496, 0.2255, 1.0963, 0.4543, 6.4496
0.1000, 4.0418, 0.5703, 1.2323, 0.7313, 4.0418
0.1250, 6.4622, 0.5786, 0.5215, 0.3886, 6.4622
0.1500, 6.7827, 0.4951, 1.0568, 0.7240, 6.7827
0.1750,11.6660, 0.1734, 1.5936, 0.7315,11.6660
0.2000, 7.9365, 0.7911, 1.8163, 0.4663, 7.9365
0.2250, 8.7894, 0.8883, 0.8965, 0.9554, 8.7894
0.2500,14.7166, 0.7981, 1.5155, 0.8005,14.7166
0.2750, 1.9887, 0.5414, 0.3380, 0.7853, 1.9887
0.3000, 2.2544, 0.4490, 0.5948, 0.5372, 2.2544
0.3250, 5.7315, 0.6973, 0.4003, 0.8222, 5.7315
0.3500, 8.5605, 0.6100, 0.6791, 0.8815, 8.5605
0.3750,10.0349, 0.1494, 1.4031, 0.1303,10.0349
0.4000,16.0103, 0.6406, 1.9037, 0.6860,16.0103
0.4250, 7.0992, 0.4995, 0.9730, 0.7045, 7.0992
0.4500, 6.3939, 0.6142, 0.6461, 0.7038, 6.3939
0.4750, 6.3484, 0.6487, 1.3454, 1.1190, 6.3484
0.5000,12.4677, 0.7782, 1.0132, 0.2813,12.4677
0.5500,15.9637, 0.3486, 1.7702, 1.3252,15.9637
0.6000, 9.7008, 0.5380, 0.6541, 1.2305, 9.7008
0.6500, 9.9003, 1.0650, 0.8661, 0.5716, 9.9003
0.7000,19.7549, 1.2040, 1.5953, 0.2907,19.7549
0.7500,11.5599, 2.0997, 2.7466, 1.6018,11.5599
0.8000,52.5095, 0.8374, 6.8062, 1.7200,52.5095
0.8500,30.4396, 2.2918, 2.9872, 2.8337,30.4396
0.9000,96.6535, 3.6631,13.4632, 3.9133,96.6535
0.9500,16.9413, 2.1368, 5.5291, 5.7574,16.9413
1.0000,42.5183, 2.1630, 6.6751, 2.9679,42.5183

Edge profile, Region 1 of 1 total
x (pixels),R Edge, G Edge, B Edge, Y Edge,CA (max Delta)
-6.00,-0.051, 1.420, 1.074, 3.866, 3.917
-5.50, 0.088, 1.105, 1.107, 2.692, 2.603
-5.00, 0.024, 1.644, 1.067, 7.278, 7.254
-4.50, 0.070, 1.255, 1.144, 4.103, 4.033
-4.00, 0.026, 1.473, 1.045, 5.453, 5.427
-3.50,-0.057, 1.081, 1.163, 0.508, 1.220
