Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3213  1977  3277  2121 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,07-May-2025 09:49:22,
File, potted plant_18.0 mm_100ISO_+1EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_100ISO_+1EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_100ISO_+1EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_100ISO_+1EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_100ISO_+1EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_100ISO_+1EV_Dist1_ON_Focused.tiff,potted plant_18.0 mm_1600ISO_+1EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_1600ISO_+1EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_1600ISO_+1EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_1600ISO_+1EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_1600ISO_+1EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_1600ISO_+1EV_Dist1_ON_Focused.tiff,potted plant_18.0 mm_25600ISO_+1EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_25600ISO_+1EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_25600ISO_+1EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_25600ISO_+1EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_25600ISO_+1EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_25600ISO_+1EV_Dist1_ON_Focused.tiff,potted plant_18.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus1.tiff,potted plant_18.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus2.tiff,potted plant_18.0 mm_6400ISO_+1EV_Dist1_OFF_Focused.tiff,potted plant_18.0 mm_6400ISO_+1EV_Dist1_ON_Defocus1.tiff,potted plant_18.0 mm_6400ISO_+1EV_Dist1_ON_Defocus2.tiff,potted plant_18.0 mm_6400ISO_+1EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0633,  0.0321,  0.1889,  0.0613,  0.0325,  0.1868,  0.0626,  0.0331,  0.1767,  0.0623,  0.0314,  0.1847,  0.0619,  0.0337,  0.1228,  0.0642,  0.0338,  0.1464,  0.0651,  0.0316,  0.1955,  0.0641,  0.0303,  0.1561
R1090 (pxl) Mean Ctr,  7.8256, 15.3931,  2.8981,  8.0114, 15.1022,  2.8106,  7.8463, 14.8316,  3.2231,  7.8781, 16.3607,  3.0701, 12.5151, 14.1978,  2.9350,  7.9445, 14.8867,  2.6387,  8.2918, 16.1882,  2.6627,  8.1584, 15.9548,  3.4626
CA (pxl) Mean Ctr,  0.2773,  0.3114,  0.2820,  0.2200,  0.2969,  0.2832,  0.4665,  0.3316,  0.4196,  0.3906,  0.3741,  0.3645,  0.4282,  0.6362,  1.4191,  0.8579,  3.3882,  1.1371,  0.5891,  0.9928,  0.3115,  0.8428,  1.0096,  0.5002
MTF50 (LW/PH) Mean Ctr,    508.8,    257.7,   1518.7,    492.7,    260.9,   1501.5,    503.4,    266.1,   1420.3,    500.8,    252.1,   1484.6,    497.3,    271.1,    987.3,    516.0,    272.0,   1176.7,    523.8,    254.3,   1571.6,    515.3,    244.0,   1254.8
R1090 (/PH) Mean Ctr,    513.7,    261.2,   1387.1,    501.8,    266.2,   1430.3,    512.3,    271.0,   1247.2,    510.3,    245.7,   1309.4,    321.2,    283.1,   1369.7,    506.0,    270.0,   1523.5,    484.8,    248.3,   1509.7,    492.7,    252.0,   1161.0
Peak MTF Mean Ctr,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.051,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.0633,  0.0321,  0.1889,  0.0613,  0.0325,  0.1868,  0.0626,  0.0331,  0.1767,  0.0623,  0.0314,  0.1847,  0.0619,  0.0337,  0.1228,  0.0642,  0.0338,  0.1425,  0.0651,  0.0316,  0.1955,  0.0641,  0.0303,  0.1561
MTF50P (LW/PH) Mean Ctr,    508.8,    257.7,   1518.7,    492.7,    260.9,   1501.5,    503.4,    266.1,   1420.3,    500.8,    252.1,   1484.6,    497.3,    271.1,    987.3,    516.0,    272.0,   1145.9,    523.8,    254.3,   1571.6,    515.3,    244.0,   1254.8
