Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_6400ISO_0EV_Dist1_OFF_Focused.tiff
Run date,12-May-2025 12:33:54,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   74.11, 0.9951, 0.9652, 1.0024, 1.0111, 0.9951
0.0184,  148.23, 0.9749, 0.9363, 0.9828, 1.0277, 0.9749
0.0277,  222.34, 0.9333, 0.9770, 0.9163, 1.0346, 0.9333
0.0369,  296.46, 0.9130, 0.9598, 0.8955, 0.9796, 0.9130
0.0461,  370.57, 0.9124, 0.8827, 0.9216, 0.9204, 0.9124
0.0553,  444.69, 0.9001, 0.9103, 0.9163, 0.8837, 0.9001
0.0645,  518.80, 0.9035, 0.9528, 0.9220, 0.8047, 0.9035
0.0737,  592.91, 0.8352, 0.8582, 0.8385, 0.8011, 0.8352
0.0830,  667.03, 0.7359, 0.7311, 0.7360, 0.8233, 0.7359
0.0922,  741.14, 0.7088, 0.6994, 0.7301, 0.7397, 0.7088
0.1014,  815.26, 0.7472, 0.7100, 0.7824, 0.6247, 0.7472
0.1106,  889.37, 0.7862, 0.7310, 0.8163, 0.6412, 0.7862
0.1198,  963.49, 0.7343, 0.6310, 0.8037, 0.6982, 0.7343
0.1291, 1037.60, 0.6790, 0.6668, 0.7620, 0.5684, 0.6790
0.1383, 1111.72, 0.6183, 0.7725, 0.6243, 0.5367, 0.6183
0.1475, 1185.83, 0.5530, 0.9193, 0.5035, 0.5929, 0.5530
0.1567, 1259.94, 0.5550, 1.0238, 0.4366, 0.6377, 0.5550
0.1659, 1334.06, 0.5227, 0.9246, 0.4106, 0.7679, 0.5227
0.1751, 1408.17, 0.4279, 0.6885, 0.3871, 0.7706, 0.4279
0.1844, 1482.29, 0.3722, 0.5672, 0.3378, 0.6068, 0.3722
0.1936, 1556.40, 0.3477, 0.5236, 0.3170, 0.3813, 0.3477
0.2028, 1630.52, 0.3176, 0.5127, 0.2691, 0.2637, 0.3176
0.2120, 1704.63, 0.3038, 0.5094, 0.2504, 0.2799, 0.3038
0.2212, 1778.74, 0.2617, 0.3796, 0.2445, 0.2625, 0.2617
0.2305, 1852.86, 0.1899, 0.3742, 0.1803, 0.2447, 0.1899
0.2397, 1926.97, 0.1947, 0.2895, 0.1906, 0.2251, 0.1947
0.2489, 2001.09, 0.2085, 0.3631, 0.1724, 0.3037, 0.2085
0.2581, 2075.20, 0.1657, 0.3457, 0.1052, 0.4068, 0.1657
0.2673, 2149.32, 0.1575, 0.4049, 0.0824, 0.3771, 0.1575
0.2765, 2223.43, 0.1653, 0.3874, 0.0933, 0.3630, 0.1653
0.2858, 2297.55, 0.1478, 0.3476, 0.0737, 0.3976, 0.1478
0.2950, 2371.66, 0.1172, 0.3185, 0.0439, 0.3594, 0.1172
0.3042, 2445.77, 0.0990, 0.2560, 0.0421, 0.3390, 0.0990
0.3134, 2519.89, 0.0811, 0.1911, 0.0338, 0.3412, 0.0811
0.3226, 2594.00, 0.0631, 0.1918, 0.0269, 0.3022, 0.0631
0.3319, 2668.12, 0.0538, 0.2375, 0.0541, 0.2680, 0.0538
0.3411, 2742.23, 0.0450, 0.2579, 0.0605, 0.2277, 0.0450
0.3503, 2816.35, 0.0399, 0.2390, 0.0780, 0.1829, 0.0399
0.3595, 2890.46, 0.0572, 0.2023, 0.1054, 0.1415, 0.0572
0.3687, 2964.57, 0.0867, 0.1563, 0.1346, 0.1017, 0.0867
0.3779, 3038.69, 0.1247, 0.1071, 0.1663, 0.0808, 0.1247
0.3872, 3112.80, 0.1756, 0.1108, 0.2075, 0.1002, 0.1756
0.3964, 3186.92, 0.2140, 0.1705, 0.2351, 0.1245, 0.2140
0.4056, 3261.03, 0.2403, 0.2449, 0.2498, 0.1304, 0.2403
0.4148, 3335.15, 0.2724, 0.3230, 0.2717, 0.1473, 0.2724
0.4240, 3409.26, 0.2935, 0.3757, 0.2843, 0.1874, 0.2935
