Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_1600ISO_-1EV_Dist1_OFF_Defocus2.tiff
Run date,12-May-2025 11:40:09,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0093,   74.50, 0.8919, 0.9001, 0.8870, 0.9204, 0.8919
0.0185,  149.00, 0.6243, 0.6203, 0.6185, 0.6975, 0.6243
0.0278,  223.50, 0.3312, 0.3036, 0.3314, 0.4190, 0.3312
0.0371,  298.00, 0.1160, 0.1235, 0.1194, 0.0913, 0.1160
0.0463,  372.49, 0.0225, 0.0524, 0.0524, 0.1295, 0.0225
0.0556,  446.99, 0.0538, 0.0467, 0.0583, 0.0784, 0.0538
0.0649,  521.49, 0.0645, 0.0856, 0.1111, 0.0920, 0.0645
0.0741,  595.99, 0.0624, 0.1952, 0.1379, 0.1515, 0.0624
0.0834,  670.49, 0.0869, 0.1566, 0.0984, 0.0802, 0.0869
0.0927,  744.99, 0.0441, 0.1423, 0.0727, 0.0474, 0.0441
0.1019,  819.49, 0.0536, 0.1316, 0.0984, 0.0438, 0.0536
0.1112,  893.99, 0.0767, 0.0623, 0.0922, 0.1198, 0.0767
0.1205,  968.48, 0.0829, 0.1553, 0.0979, 0.2450, 0.0829
0.1297, 1042.98, 0.1305, 0.2678, 0.1481, 0.2184, 0.1305
0.1390, 1117.48, 0.1043, 0.2996, 0.1189, 0.0720, 0.1043
0.1483, 1191.98, 0.0522, 0.1112, 0.0766, 0.1611, 0.0522
0.1575, 1266.48, 0.0570, 0.1728, 0.1043, 0.2018, 0.0570
0.1668, 1340.98, 0.0525, 0.1782, 0.0591, 0.1134, 0.0525
0.1761, 1415.48, 0.0412, 0.0726, 0.0752, 0.0876, 0.0412
0.1853, 1489.98, 0.2046, 0.0562, 0.2624, 0.0918, 0.2046
0.1946, 1564.47, 0.2665, 0.1285, 0.3404, 0.2750, 0.2665
0.2039, 1638.97, 0.1792, 0.0535, 0.2591, 0.2457, 0.1792
0.2131, 1713.47, 0.0748, 0.1810, 0.1588, 0.1660, 0.0748
0.2224, 1787.97, 0.0564, 0.1023, 0.0974, 0.1145, 0.0564
0.2317, 1862.47, 0.1382, 0.2193, 0.2146, 0.1964, 0.1382
0.2409, 1936.97, 0.1777, 0.4409, 0.2542, 0.1337, 0.1777
0.2502, 2011.47, 0.2153, 0.5395, 0.2464, 0.1102, 0.2153
0.2594, 2085.97, 0.1981, 0.5300, 0.2063, 0.2058, 0.1981
0.2687, 2160.47, 0.0947, 0.4277, 0.0113, 0.2483, 0.0947
0.2780, 2234.96, 0.1781, 0.3868, 0.1350, 0.1561, 0.1781
0.2872, 2309.46, 0.1130, 0.4548, 0.0473, 0.0546, 0.1130
0.2965, 2383.96, 0.1524, 0.5320, 0.0580, 0.1567, 0.1524
0.3058, 2458.46, 0.1568, 0.2628, 0.1452, 0.1069, 0.1568
0.3150, 2532.96, 0.1002, 0.2119, 0.1787, 0.1411, 0.1002
0.3243, 2607.46, 0.0170, 0.1806, 0.0667, 0.2510, 0.0170
0.3336, 2681.96, 0.3798, 0.2714, 0.4042, 0.4579, 0.3798
0.3428, 2756.46, 0.4861, 0.4136, 0.5126, 0.4399, 0.4861
0.3521, 2830.95, 0.3445, 0.4475, 0.3322, 0.2356, 0.3445
0.3614, 2905.45, 0.2127, 0.4055, 0.1735, 0.2303, 0.2127
0.3706, 2979.95, 0.0976, 0.1952, 0.0562, 0.3461, 0.0976
0.3799, 3054.45, 0.1456, 0.1883, 0.1165, 0.3229, 0.1456
0.3892, 3128.95, 0.1973, 0.2372, 0.1789, 0.2919, 0.1973
0.3984, 3203.45, 0.2202, 0.3391, 0.1927, 0.1903, 0.2202
0.4077, 3277.95, 0.1050, 0.3015, 0.0730, 0.1506, 0.1050
0.4170, 3352.45, 0.2371, 0.2257, 0.2547, 0.5140, 0.2371
0.4262, 3426.94, 0.2239, 0.2555, 0.2176, 0.4663, 0.2239
0.4355, 3501.44, 0.0626, 0.2234, 0.0537, 0.0935, 0.0626
0.4448, 3575.94, 0.0967, 0.0338, 0.1135, 0.1387, 0.0967
0.4540, 3650.44, 0.0326, 0.1613, 0.0604, 0.1491, 0.0326
0.4633, 3724.94, 0.0435, 0.0233, 0.0512, 0.1453, 0.0435
0.4726, 3799.44, 0.0744, 0.0611, 0.0885, 0.0915, 0.0744
0.4818, 3873.94, 0.0575, 0.0482, 0.0656, 0.1099, 0.0575
0.4911, 3948.44, 0.0737, 0.0637, 0.0827, 0.1008, 0.0737
0.5004, 4022.94, 0.1295, 0.0741, 0.1423, 0.1767, 0.1295
0.5096, 4097.43, 0.2701, 0.1885, 0.2931, 0.2908, 0.2701
0.5189, 4171.93, 0.3063, 0.2978, 0.3107, 0.3430, 0.3063
0.5282, 4246.43, 0.1503, 0.1742, 0.1481, 0.1093, 0.1503
0.5374, 4320.93, 0.0912, 0.2130, 0.0552, 0.1565, 0.0912
0.5467, 4395.43, 0.0388, 0.1390, 0.0659, 0.1586, 0.0388
0.5560, 4469.93, 0.2250, 0.2489, 0.2405, 0.1864, 0.2250
0.5652, 4544.43, 0.1980, 0.0318, 0.2460, 0.2022, 0.1980
0.5745, 4618.93, 0.3274, 0.3180, 0.3487, 0.2095, 0.3274
0.5838, 4693.42, 0.2556, 0.3115, 0.2677, 0.0653, 0.2556
0.5930, 4767.92, 0.1721, 0.3148, 0.1596, 0.0822, 0.1721
0.6023, 4842.42, 0.1298, 0.3062, 0.0996, 0.0494, 0.1298
0.6116, 4916.92, 0.1671, 0.2403, 0.2106, 0.1722, 0.1671
0.6208, 4991.42, 0.1121, 0.3382, 0.1467, 0.2122, 0.1121
0.6301, 5065.92, 0.1650, 0.2895, 0.1462, 0.1306, 0.1650
0.6394, 5140.42, 0.0962, 0.0491, 0.1521, 0.2803, 0.0962
0.6486, 5214.92, 0.0567, 0.1692, 0.0606, 0.3451, 0.0567
0.6579, 5289.41, 0.1964, 0.5830, 0.1150, 0.2491, 0.1964
0.6672, 5363.91, 0.1946, 0.5275, 0.1309, 0.2254, 0.1946
0.6764, 5438.41, 0.2345, 0.2968, 0.2712, 0.3076, 0.2345
0.6857, 5512.91, 0.3730, 0.3469, 0.4342, 0.1440, 0.3730
0.6950, 5587.41, 0.5030, 0.8600, 0.4962, 0.2942, 0.5030
0.7042, 5661.91, 0.4188, 0.9511, 0.4783, 0.3610, 0.4188
0.7135, 5736.41, 0.2479, 0.6408, 0.4306, 0.5237, 0.2479
0.7227, 5810.91, 0.2423, 0.7309, 0.3083, 0.7240, 0.2423
0.7320, 5885.41, 0.6246, 0.2623, 0.8116, 0.4983, 0.6246
0.7413, 5959.90, 0.7889, 0.9050, 0.8695, 0.1038, 0.7889
0.7505, 6034.40, 0.7368, 1.2213, 0.7356, 0.5536, 0.7368
0.7598, 6108.90, 0.7109, 1.2278, 0.6801, 0.4805, 0.7109
0.7691, 6183.40, 0.6587, 1.5455, 0.6696, 0.3101, 0.6587
0.7783, 6257.90, 0.4906, 1.9942, 0.2242, 0.4129, 0.4906
0.7876, 6332.40, 0.2018, 0.6817, 0.3069, 0.8439, 0.2018
0.7969, 6406.90, 0.5215, 0.5342, 0.7265, 1.4593, 0.5215
0.8061, 6481.40, 0.7339, 1.2654, 0.7604, 1.1154, 0.7339
0.8154, 6555.89, 0.8430, 1.2681, 0.7416, 0.9843, 0.8430
0.8247, 6630.39, 0.7435, 0.5129, 0.8323, 0.7068, 0.7435
0.8339, 6704.89, 0.4931, 0.7749, 0.5806, 0.6078, 0.4931
0.8432, 6779.39, 0.5693, 0.8650, 0.9446, 0.9465, 0.5693
0.8525, 6853.89, 0.1851, 1.3228, 0.5883, 0.4375, 0.1851
0.8617, 6928.39, 0.0834, 0.4152, 0.2260, 0.9867, 0.0834
0.8710, 7002.89, 0.5148, 1.3678, 0.4932, 1.4591, 0.5148
0.8803, 7077.39, 0.6736, 0.5489, 0.7547, 0.8174, 0.6736
0.8895, 7151.88, 0.0803, 1.6109, 0.3621, 0.6796, 0.0803
0.8988, 7226.38, 0.1562, 1.2817, 0.2370, 1.2449, 0.1562
0.9081, 7300.88, 0.7005, 0.8517, 0.9999, 1.4874, 0.7005
0.9173, 7375.38, 0.6253, 1.4858, 0.4215, 0.8530, 0.6253
0.9266, 7449.88, 0.7853, 2.0000, 1.0601, 0.2642, 0.7853
0.9359, 7524.38, 0.6103, 1.1551, 0.7410, 0.8898, 0.6103
0.9451, 7598.88, 0.0553, 1.4229, 0.4171, 1.7227, 0.0553
0.9544, 7673.38, 0.2112, 1.5536, 0.3897, 1.2494, 0.2112
0.9637, 7747.88, 0.1110, 2.0000, 0.7059, 2.0000, 0.1110
0.9729, 7822.37, 0.0906, 2.0000, 0.8600, 2.0000, 0.0906
0.9822, 7896.87, 0.2086, 2.0000, 1.1606, 1.7529, 0.2086
0.9915, 7971.37, 0.9831, 2.0000, 1.4128, 1.0836, 0.9831
1.0007, 8045.87, 0.4550, 1.1859, 0.6450, 2.0000, 0.4550
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.4197, 0.3992, 0.4181, 0.5031, 0.4197
0.0500, 0.0349, 0.0502, 0.0547, 0.1093, 0.0349
0.0750, 0.0647, 0.1916, 0.1342, 0.1448, 0.0647
0.1000, 0.0516, 0.1338, 0.0931, 0.0445, 0.0516
0.1250, 0.1062, 0.2105, 0.1225, 0.2320, 0.1062
0.1500, 0.0531, 0.1228, 0.0818, 0.1688, 0.0531
0.1750, 0.0425, 0.0846, 0.0734, 0.0905, 0.0425
0.2000, 0.2155, 0.0847, 0.2929, 0.2578, 0.2155
0.2250, 0.0795, 0.1353, 0.1305, 0.1376, 0.0795
0.2500, 0.2145, 0.5376, 0.2466, 0.1107, 0.2145
0.2750, 0.1513, 0.3999, 0.0952, 0.1858, 0.1513
0.3000, 0.1540, 0.4307, 0.0908, 0.1380, 0.1540
0.3250, 0.0440, 0.1874, 0.0918, 0.2664, 0.0440
0.3500, 0.3767, 0.4398, 0.3733, 0.2821, 0.3767
0.3750, 0.1202, 0.1920, 0.0846, 0.3352, 0.1202
0.4000, 0.2008, 0.3328, 0.1725, 0.1837, 0.2008
0.4250, 0.2256, 0.2515, 0.2225, 0.4727, 0.2256
0.4500, 0.0605, 0.1058, 0.0835, 0.1446, 0.0605
0.4750, 0.0700, 0.0577, 0.0825, 0.0963, 0.0700
0.5000, 0.1273, 0.0737, 0.1399, 0.1737, 0.1273
0.5500, 0.1052, 0.1782, 0.1282, 0.1685, 0.1052
0.6000, 0.1403, 0.3083, 0.1145, 0.0575, 0.1403
0.6500, 0.0775, 0.2308, 0.0687, 0.3308, 0.0775
0.7000, 0.4571, 0.9096, 0.4864, 0.3306, 0.4571
0.7500, 0.7399, 1.2027, 0.7435, 0.5270, 0.7399
0.8000, 0.5931, 0.7806, 0.7379, 1.3434, 0.5931
0.8500, 0.2877, 1.2006, 0.6834, 0.5734, 0.2877
0.9000, 0.2264, 1.2262, 0.3355, 1.2762, 0.2264
0.9500, 0.1371, 1.4916, 0.4027, 1.4742, 0.1371
