Imatest,24.2.6, Master, SFR
File,sports ball_18.0 mm_25600ISO_0EV_Dist1_ON_Defocus2.tiff
Run date,12-May-2025 11:33:15,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0093,   74.45, 0.9296, 0.9895, 0.9278, 0.8201, 0.9296
0.0185,  148.89, 0.6941, 0.7815, 0.7001, 0.4726, 0.6941
0.0278,  223.34, 0.2988, 0.2699, 0.3143, 0.3861, 0.2988
0.0370,  297.79, 0.1036, 0.3500, 0.1564, 0.2995, 0.1036
0.0463,  372.24, 0.1543, 0.6751, 0.1220, 0.0857, 0.1543
0.0556,  446.68, 0.1460, 0.8000, 0.1721, 0.1938, 0.1460
0.0648,  521.13, 0.1678, 0.3809, 0.3376, 0.3309, 0.1678
0.0741,  595.58, 0.1712, 0.8910, 0.4649, 0.3078, 0.1712
0.0833,  670.03, 0.2028, 0.9111, 0.4781, 0.0487, 0.2028
0.0926,  744.47, 0.1289, 0.8815, 0.3782, 0.2261, 0.1289
0.1019,  818.92, 0.2645, 0.3104, 0.4445, 0.2411, 0.2645
0.1111,  893.37, 0.3997, 0.5809, 0.5730, 0.1894, 0.3997
0.1204,  967.82, 0.3208, 0.4846, 0.4780, 0.2538, 0.3208
0.1296, 1042.26, 0.2055, 0.4456, 0.2272, 0.2987, 0.2055
0.1389, 1116.71, 0.2590, 0.1303, 0.3407, 0.2356, 0.2590
0.1482, 1191.16, 0.5693, 0.3992, 0.7635, 0.4129, 0.5693
0.1574, 1265.60, 0.2637, 0.4888, 0.4074, 0.8006, 0.2637
0.1667, 1340.05, 0.2187, 0.8229, 0.4747, 0.6673, 0.2187
0.1759, 1414.50, 0.5333, 0.8504, 0.8129, 0.5755, 0.5333
0.1852, 1488.95, 0.3061, 0.6812, 0.4442, 0.4635, 0.3061
0.1945, 1563.39, 0.1448, 0.9618, 0.1406, 0.3496, 0.1448
0.2037, 1637.84, 0.3206, 1.0410, 0.3024, 0.0569, 0.3206
0.2130, 1712.29, 0.3749, 1.2240, 0.3218, 0.4445, 0.3749
0.2222, 1786.74, 0.3849, 0.6298, 0.4749, 0.3998, 0.3849
0.2315, 1861.18, 0.2781, 0.2743, 0.2988, 0.6178, 0.2781
0.2408, 1935.63, 0.4458, 0.2278, 0.5579, 0.7350, 0.4458
0.2500, 2010.08, 0.5904, 0.5870, 0.8603, 0.6459, 0.5904
0.2593, 2084.53, 0.5347, 0.5476, 0.7344, 1.0379, 0.5347
0.2685, 2158.97, 0.1565, 0.4580, 0.2255, 0.8544, 0.1565
0.2778, 2233.42, 0.0778, 0.1067, 0.1407, 0.2974, 0.0778
0.2870, 2307.87, 0.1787, 0.7353, 0.0811, 0.4052, 0.1787
0.2963, 2382.31, 0.3473, 0.4728, 0.3717, 0.4955, 0.3473
0.3056, 2456.76, 0.4907, 0.8607, 0.5107, 0.8611, 0.4907
0.3148, 2531.21, 0.1476, 0.6695, 0.3193, 0.6270, 0.1476
0.3241, 2605.66, 0.3232, 0.7687, 0.2791, 0.3069, 0.3232
0.3333, 2680.10, 0.7528, 0.7377, 0.7834, 0.8090, 0.7528
0.3426, 2754.55, 0.8257, 0.7332, 0.8222, 1.1152, 0.8257
0.3519, 2829.00, 0.9540, 0.8116, 0.9538, 1.3191, 0.9540
0.3611, 2903.45, 0.6796, 0.8020, 0.6390, 0.8499, 0.6796
0.3704, 2977.89, 0.3788, 0.6679, 0.2987, 0.5459, 0.3788
0.3796, 3052.34, 0.4310, 0.5525, 0.4277, 0.2527, 0.4310
0.3889, 3126.79, 0.0436, 0.1612, 0.0424, 0.2742, 0.0436
0.3982, 3201.24, 0.4398, 0.7987, 0.3631, 0.5676, 0.4398
0.4074, 3275.68, 0.4065, 0.7888, 0.3031, 0.6335, 0.4065
0.4167, 3350.13, 0.4407, 0.7153, 0.3635, 0.5827, 0.4407
0.4259, 3424.58, 0.3246, 0.7125, 0.2479, 0.5855, 0.3246
