Imatest,24.2.6, Master, SFR
File,car_55.0 mm_100ISO_+1EV_Dist1_OFF_Defocus2.tiff
Run date,07-May-2025 10:01:26,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0036,   29.28, 0.8932, 0.8947, 0.8921, 0.9001, 0.8932
0.0073,   58.56, 0.6114, 0.6121, 0.6092, 0.6305, 0.6114
0.0109,   87.83, 0.2838, 0.2791, 0.2827, 0.3069, 0.2838
0.0146,  117.11, 0.0306, 0.0283, 0.0294, 0.0508, 0.0306
0.0182,  146.39, 0.0910, 0.0930, 0.0915, 0.0813, 0.0910
0.0218,  175.67, 0.0890, 0.0962, 0.0869, 0.0892, 0.0890
0.0255,  204.94, 0.0327, 0.0395, 0.0308, 0.0357, 0.0327
0.0291,  234.22, 0.0274, 0.0281, 0.0284, 0.0203, 0.0274
0.0328,  263.50, 0.0530, 0.0543, 0.0537, 0.0442, 0.0530
0.0364,  292.78, 0.0365, 0.0360, 0.0368, 0.0361, 0.0365
0.0401,  322.06, 0.0110, 0.0068, 0.0135, 0.0069, 0.0110
0.0437,  351.33, 0.0261, 0.0258, 0.0288, 0.0322, 0.0261
0.0473,  380.61, 0.0267, 0.0416, 0.0233, 0.0479, 0.0267
0.0510,  409.89, 0.0193, 0.0318, 0.0167, 0.0253, 0.0193
0.0546,  439.17, 0.0136, 0.0230, 0.0161, 0.0063, 0.0136
0.0583,  468.45, 0.0110, 0.0129, 0.0173, 0.0165, 0.0110
0.0619,  497.72, 0.0100, 0.0092, 0.0136, 0.0061, 0.0100
0.0655,  527.00, 0.0008, 0.0083, 0.0029, 0.0132, 0.0008
0.0692,  556.28, 0.0126, 0.0036, 0.0153, 0.0271, 0.0126
0.0728,  585.56, 0.0198, 0.0119, 0.0300, 0.0361, 0.0198
0.0765,  614.83, 0.0102, 0.0359, 0.0249, 0.0368, 0.0102
0.0801,  644.11, 0.0111, 0.0212, 0.0226, 0.0348, 0.0111
0.0838,  673.39, 0.0107, 0.0227, 0.0122, 0.0270, 0.0107
0.0874,  702.67, 0.0038, 0.0134, 0.0055, 0.0212, 0.0038
0.0910,  731.95, 0.0163, 0.0353, 0.0142, 0.0403, 0.0163
0.0947,  761.22, 0.0217, 0.0220, 0.0234, 0.0366, 0.0217
0.0983,  790.50, 0.0108, 0.0183, 0.0187, 0.0092, 0.0108
0.1020,  819.78, 0.0051, 0.0323, 0.0047, 0.0195, 0.0051
0.1056,  849.06, 0.0078, 0.0133, 0.0105, 0.0296, 0.0078
0.1092,  878.34, 0.0086, 0.0244, 0.0040, 0.0352, 0.0086
0.1129,  907.61, 0.0044, 0.0499, 0.0228, 0.0528, 0.0044
0.1165,  936.89, 0.0171, 0.0350, 0.0288, 0.0467, 0.0171
0.1202,  966.17, 0.0100, 0.0156, 0.0135, 0.0110, 0.0100
0.1238,  995.45, 0.0020, 0.0053, 0.0010, 0.0098, 0.0020
0.1275, 1024.72, 0.0077, 0.0141, 0.0156, 0.0184, 0.0077
0.1311, 1054.00, 0.0111, 0.0344, 0.0093, 0.0260, 0.0111
0.1347, 1083.28, 0.0037, 0.0489, 0.0102, 0.0430, 0.0037
0.1384, 1112.56, 0.0124, 0.0154, 0.0185, 0.0317, 0.0124
0.1420, 1141.84, 0.0203, 0.0079, 0.0308, 0.0308, 0.0203
0.1457, 1171.11, 0.0260, 0.0164, 0.0380, 0.0450, 0.0260
0.1493, 1200.39, 0.0171, 0.0124, 0.0300, 0.0270, 0.0171
0.1529, 1229.67, 0.0122, 0.0272, 0.0245, 0.0487, 0.0122
0.1566, 1258.95, 0.0143, 0.0253, 0.0221, 0.0495, 0.0143
0.1602, 1288.23, 0.0138, 0.0282, 0.0205, 0.0287, 0.0138
0.1639, 1317.50, 0.0058, 0.0183, 0.0049, 0.0267, 0.0058
0.1675, 1346.78, 0.0191, 0.0576, 0.0109, 0.0098, 0.0191
0.1712, 1376.06, 0.0252, 0.0526, 0.0188, 0.0208, 0.0252
0.1748, 1405.34, 0.0140, 0.0238, 0.0164, 0.0359, 0.0140
0.1784, 1434.61, 0.0068, 0.0231, 0.0052, 0.0048, 0.0068
0.1821, 1463.89, 0.0146, 0.0432, 0.0123, 0.0483, 0.0146
0.1857, 1493.17, 0.0219, 0.0490, 0.0179, 0.0449, 0.0219
0.1894, 1522.45, 0.0204, 0.0153, 0.0272, 0.0379, 0.0204
0.1930, 1551.73, 0.0088, 0.0464, 0.0081, 0.0207, 0.0088
0.1966, 1581.00, 0.0078, 0.0512, 0.0054, 0.0225, 0.0078
0.2003, 1610.28, 0.0065, 0.0192, 0.0145, 0.0365, 0.0065
0.2039, 1639.56, 0.0062, 0.0130, 0.0107, 0.0229, 0.0062
0.2076, 1668.84, 0.0185, 0.0184, 0.0198, 0.0185, 0.0185
0.2112, 1698.12, 0.0297, 0.0429, 0.0318, 0.0271, 0.0297
0.2148, 1727.39, 0.0208, 0.0669, 0.0116, 0.0215, 0.0208
0.2185, 1756.67, 0.0121, 0.0416, 0.0052, 0.0161, 0.0121
0.2221, 1785.95, 0.0110, 0.0135, 0.0113, 0.0216, 0.0110
0.2258, 1815.23, 0.0038, 0.0411, 0.0094, 0.0219, 0.0038
0.2294, 1844.50, 0.0078, 0.0478, 0.0062, 0.0309, 0.0078
0.2331, 1873.78, 0.0003, 0.0362, 0.0122, 0.0166, 0.0003
