Imatest,24.2.6, Master, SFR
File,car_55.0 mm_1600ISO_+1EV_Dist1_ON_Defocus2.tiff
Run date,07-May-2025 10:01:26,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0036,   29.26, 0.8961, 0.9003, 0.8940, 0.9057, 0.8961
0.0073,   58.51, 0.6087, 0.6007, 0.6090, 0.6285, 0.6087
0.0109,   87.77, 0.2846, 0.2873, 0.2823, 0.3004, 0.2846
0.0146,  117.03, 0.0358, 0.0494, 0.0329, 0.0352, 0.0358
0.0182,  146.28, 0.0809, 0.0740, 0.0817, 0.0967, 0.0809
0.0218,  175.54, 0.0816, 0.0708, 0.0862, 0.0815, 0.0816
0.0255,  204.79, 0.0320, 0.0252, 0.0386, 0.0481, 0.0320
0.0291,  234.05, 0.0281, 0.0279, 0.0311, 0.0283, 0.0281
0.0327,  263.31, 0.0393, 0.0433, 0.0461, 0.0595, 0.0393
0.0364,  292.56, 0.0328, 0.0589, 0.0470, 0.0670, 0.0328
0.0400,  321.82, 0.0093, 0.0291, 0.0183, 0.0449, 0.0093
0.0437,  351.08, 0.0119, 0.0241, 0.0149, 0.0548, 0.0119
0.0473,  380.33, 0.0123, 0.0306, 0.0112, 0.0146, 0.0123
0.0509,  409.59, 0.0082, 0.0096, 0.0100, 0.0239, 0.0082
0.0546,  438.84, 0.0122, 0.0186, 0.0156, 0.0339, 0.0122
0.0582,  468.10, 0.0079, 0.0150, 0.0065, 0.0020, 0.0079
0.0619,  497.36, 0.0277, 0.0733, 0.0345, 0.0686, 0.0277
0.0655,  526.61, 0.0263, 0.0672, 0.0469, 0.0701, 0.0263
0.0691,  555.87, 0.0071, 0.0557, 0.0114, 0.0533, 0.0071
0.0728,  585.13, 0.0225, 0.0202, 0.0316, 0.0540, 0.0225
0.0764,  614.38, 0.0081, 0.0611, 0.0247, 0.0156, 0.0081
0.0801,  643.64, 0.0363, 0.0617, 0.0368, 0.0600, 0.0363
0.0837,  672.90, 0.0467, 0.1360, 0.0317, 0.0395, 0.0467
0.0873,  702.15, 0.0170, 0.0725, 0.0205, 0.0173, 0.0170
0.0910,  731.41, 0.0299, 0.0822, 0.0578, 0.0393, 0.0299
0.0946,  760.66, 0.0558, 0.1031, 0.1153, 0.1040, 0.0558
0.0982,  789.92, 0.0542, 0.0253, 0.0894, 0.1216, 0.0542
0.1019,  819.18, 0.0589, 0.0403, 0.0840, 0.0512, 0.0589
0.1055,  848.43, 0.0608, 0.0639, 0.1074, 0.1169, 0.0608
0.1092,  877.69, 0.0484, 0.0872, 0.0856, 0.0765, 0.0484
0.1128,  906.95, 0.0411, 0.0494, 0.0622, 0.0568, 0.0411
0.1164,  936.20, 0.0023, 0.0348, 0.0144, 0.1136, 0.0023
0.1201,  965.46, 0.0176, 0.0249, 0.0351, 0.1127, 0.0176
0.1237,  994.71, 0.0460, 0.0663, 0.0657, 0.0835, 0.0460
0.1274, 1023.97, 0.0740, 0.1027, 0.1104, 0.0871, 0.0740
0.1310, 1053.23, 0.0732, 0.1205, 0.1198, 0.0583, 0.0732
0.1346, 1082.48, 0.0639, 0.1163, 0.1205, 0.1262, 0.0639
0.1383, 1111.74, 0.0684, 0.0716, 0.1181, 0.1416, 0.0684
0.1419, 1141.00, 0.0468, 0.1148, 0.0949, 0.0761, 0.0468
0.1456, 1170.25, 0.0660, 0.0698, 0.0971, 0.0217, 0.0660
0.1492, 1199.51, 0.0434, 0.0900, 0.0666, 0.0465, 0.0434
0.1528, 1228.77, 0.0690, 0.0785, 0.0873, 0.1160, 0.0690
0.1565, 1258.02, 0.0875, 0.1585, 0.1170, 0.1940, 0.0875
0.1601, 1287.28, 0.0886, 0.1095, 0.1496, 0.1470, 0.0886
0.1637, 1316.53, 0.0728, 0.0455, 0.1127, 0.0301, 0.0728
0.1674, 1345.79, 0.0490, 0.0308, 0.0537, 0.0764, 0.0490
0.1710, 1375.05, 0.0762, 0.0652, 0.0807, 0.0703, 0.0762
0.1747, 1404.30, 0.0524, 0.0889, 0.0448, 0.0628, 0.0524
0.1783, 1433.56, 0.0496, 0.1213, 0.0750, 0.0121, 0.0496
0.1819, 1462.82, 0.0293, 0.1405, 0.0453, 0.0168, 0.0293
0.1856, 1492.07, 0.0181, 0.0639, 0.0422, 0.0877, 0.0181
0.1892, 1521.33, 0.0303, 0.0440, 0.0283, 0.0825, 0.0303
0.1929, 1550.58, 0.0066, 0.0999, 0.0258, 0.1762, 0.0066
0.1965, 1579.84, 0.0261, 0.1946, 0.0203, 0.1762, 0.0261
0.2001, 1609.10, 0.0332, 0.1863, 0.0367, 0.0551, 0.0332
0.2038, 1638.35, 0.0434, 0.1471, 0.0316, 0.0743, 0.0434
0.2074, 1667.61, 0.0388, 0.1767, 0.0848, 0.1054, 0.0388
0.2111, 1696.87, 0.0353, 0.2450, 0.0196, 0.0646, 0.0353
0.2147, 1726.12, 0.0468, 0.1363, 0.0346, 0.0928, 0.0468
