Imatest,24.2.6, Master, SFR
File,car_55.0 mm_25600ISO_+1EV_Dist1_OFF_Focused.tiff
Run date,07-May-2025 10:01:26,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0036,   29.32, 1.0018, 0.9914, 1.0052, 1.0000, 1.0018
0.0073,   58.64, 0.9965, 0.9896, 0.9993, 0.9933, 0.9965
0.0109,   87.95, 0.9965, 1.0216, 0.9905, 0.9909, 0.9965
0.0146,  117.27, 1.0046, 0.9863, 1.0096, 1.0338, 1.0046
0.0182,  146.59, 1.0312, 0.9135, 1.0686, 1.0565, 1.0312
0.0219,  175.91, 1.0605, 0.9010, 1.1221, 0.9640, 1.0605
0.0255,  205.23, 1.0445, 0.9685, 1.0829, 0.9219, 1.0445
0.0292,  234.55, 1.0098, 1.0744, 0.9974, 0.9713, 1.0098
0.0328,  263.86, 0.9691, 1.0332, 0.9463, 1.0622, 0.9691
0.0365,  293.18, 0.9146, 0.9149, 0.9145, 1.1534, 0.9146
0.0401,  322.50, 0.9110, 0.9322, 0.9170, 1.0493, 0.9110
0.0438,  351.82, 0.9031, 0.9025, 0.9036, 0.9449, 0.9031
0.0474,  381.14, 0.8167, 0.7139, 0.8280, 1.0053, 0.8167
0.0511,  410.45, 0.7739, 0.4659, 0.8486, 0.9431, 0.7739
0.0547,  439.77, 0.8441, 0.4438, 0.9866, 0.6746, 0.8441
0.0583,  469.09, 0.8989, 0.6539, 1.0112, 0.5389, 0.8989
0.0620,  498.41, 0.8917, 0.7725, 0.9736, 0.5813, 0.8917
0.0656,  527.73, 0.8423, 0.8904, 0.8943, 0.5974, 0.8423
0.0693,  557.05, 0.7948, 0.7225, 0.8857, 0.4427, 0.7948
0.0729,  586.36, 0.7667, 0.3346, 0.9620, 0.4243, 0.7667
0.0766,  615.68, 0.7133, 0.3784, 0.8754, 0.5644, 0.7133
0.0802,  645.00, 0.6998, 0.5325, 0.7900, 0.5657, 0.6998
0.0839,  674.32, 0.7346, 0.5421, 0.8086, 0.6633, 0.7346
0.0875,  703.64, 0.6862, 0.4369, 0.7725, 0.7492, 0.6862
0.0912,  732.96, 0.6791, 0.4799, 0.8232, 0.7622, 0.6791
0.0948,  762.27, 0.8104, 0.2430, 1.0367, 0.5363, 0.8104
0.0985,  791.59, 0.8049, 0.5889, 1.0086, 0.4123, 0.8049
0.1021,  820.91, 0.6392, 0.5178, 0.7908, 0.4684, 0.6392
0.1057,  850.23, 0.4988, 0.3488, 0.6114, 0.5669, 0.4988
0.1094,  879.55, 0.5399, 0.9097, 0.4972, 0.8110, 0.5399
0.1130,  908.86, 0.5165, 0.4717, 0.5571, 0.8451, 0.5165
0.1167,  938.18, 0.4183, 0.0847, 0.5461, 0.3244, 0.4183
0.1203,  967.50, 0.4596, 0.5863, 0.5059, 0.0568, 0.4596
0.1240,  996.82, 0.5832, 0.9182, 0.5512, 0.3239, 0.5832
0.1276, 1026.14, 0.5921, 0.9751, 0.5194, 0.5312, 0.5921
0.1313, 1055.46, 0.5003, 0.8473, 0.4218, 0.5503, 0.5003
0.1349, 1084.77, 0.3445, 0.5990, 0.2741, 0.6042, 0.3445
0.1386, 1114.09, 0.3598, 0.6085, 0.2903, 0.6025, 0.3598
0.1422, 1143.41, 0.3983, 0.3752, 0.4251, 0.4666, 0.3983
0.1459, 1172.73, 0.3639, 0.2328, 0.4477, 0.3794, 0.3639
0.1495, 1202.05, 0.3616, 0.3718, 0.4222, 0.3412, 0.3616
0.1532, 1231.36, 0.4146, 0.4096, 0.4340, 0.5797, 0.4146
0.1568, 1260.68, 0.4599, 0.5409, 0.5090, 0.5016, 0.4599
0.1604, 1290.00, 0.4432, 0.2756, 0.5273, 0.2795, 0.4432
0.1641, 1319.32, 0.3517, 0.1896, 0.4502, 0.1604, 0.3517
0.1677, 1348.64, 0.3973, 0.4101, 0.4590, 0.2589, 0.3973
0.1714, 1377.96, 0.5399, 0.7343, 0.5465, 0.1198, 0.5399
0.1750, 1407.27, 0.4725, 0.6136, 0.4670, 0.1946, 0.4725
0.1787, 1436.59, 0.3728, 0.3973, 0.3954, 0.2853, 0.3728
0.1823, 1465.91, 0.4838, 0.4302, 0.5658, 0.1812, 0.4838
0.1860, 1495.23, 0.5433, 0.3585, 0.6930, 0.1113, 0.5433
0.1896, 1524.55, 0.5277, 0.3856, 0.6908, 0.1066, 0.5277
0.1933, 1553.87, 0.4088, 0.4552, 0.5149, 0.1368, 0.4088
0.1969, 1583.18, 0.2944, 0.3721, 0.3724, 0.0595, 0.2944
0.2006, 1612.50, 0.3880, 0.2240, 0.5410, 0.1424, 0.3880
0.2042, 1641.82, 0.4230, 0.2649, 0.6143, 0.2548, 0.4230
0.2079, 1671.14, 0.5246, 0.5040, 0.6714, 0.3326, 0.5246
0.2115, 1700.46, 0.4464, 0.4622, 0.5738, 0.3999, 0.4464
0.2151, 1729.77, 0.1449, 0.3960, 0.2729, 0.4345, 0.1449
0.2188, 1759.09, 0.1377, 0.5682, 0.1730, 0.3906, 0.1377
0.2224, 1788.41, 0.0387, 0.4855, 0.1358, 0.3092, 0.0387
0.2261, 1817.73, 0.0448, 0.2998, 0.0804, 0.2259, 0.0448
0.2297, 1847.05, 0.1035, 0.2823, 0.1428, 0.1427, 0.1035
0.2334, 1876.37, 0.1282, 0.3509, 0.2174, 0.2095, 0.1282
0.2370, 1905.68, 0.1577, 0.2954, 0.2142, 0.2621, 0.1577
0.2407, 1935.00, 0.1404, 0.1815, 0.1539, 0.1788, 0.1404
0.2443, 1964.32, 0.0159, 0.1580, 0.0230, 0.1438, 0.0159
0.2480, 1993.64, 0.1104, 0.1880, 0.1968, 0.1490, 0.1104
0.2516, 2022.96, 0.0972, 0.2260, 0.2016, 0.1161, 0.0972
0.2553, 2052.27, 0.1399, 0.2433, 0.2367, 0.1655, 0.1399
0.2589, 2081.59, 0.0895, 0.1824, 0.2008, 0.2573, 0.0895
0.2626, 2110.91, 0.1736, 0.1731, 0.2831, 0.2844, 0.1736
0.2662, 2140.23, 0.2879, 0.2335, 0.3791, 0.1882, 0.2879
0.2698, 2169.55, 0.3683, 0.2543, 0.4374, 0.0632, 0.3683
0.2735, 2198.87, 0.3772, 0.2382, 0.4495, 0.1628, 0.3772
0.2771, 2228.18, 0.2947, 0.0945, 0.3904, 0.1303, 0.2947
0.2808, 2257.50, 0.2716, 0.1632, 0.3799, 0.1658, 0.2716
0.2844, 2286.82, 0.3446, 0.2900, 0.4502, 0.0919, 0.3446
0.2881, 2316.14, 0.3079, 0.2253, 0.4218, 0.0819, 0.3079
0.2917, 2345.46, 0.3048, 0.2004, 0.4141, 0.1328, 0.3048
0.2954, 2374.78, 0.2862, 0.2924, 0.3636, 0.1305, 0.2862
0.2990, 2404.09, 0.2591, 0.3113, 0.3184, 0.1431, 0.2591
0.3027, 2433.41, 0.2650, 0.2668, 0.3184, 0.1341, 0.2650
0.3063, 2462.73, 0.2420, 0.2296, 0.2801, 0.1797, 0.2420
0.3100, 2492.05, 0.1699, 0.1764, 0.1951, 0.1422, 0.1699
0.3136, 2521.37, 0.1611, 0.2170, 0.1697, 0.0496, 0.1611
0.3172, 2550.68, 0.2323, 0.2874, 0.2403, 0.0290, 0.2323
0.3209, 2580.00, 0.2368, 0.2345, 0.2612, 0.0445, 0.2368
0.3245, 2609.32, 0.1731, 0.1456, 0.2045, 0.0172, 0.1731
0.3282, 2638.64, 0.1516, 0.1358, 0.1716, 0.1135, 0.1516
0.3318, 2667.96, 0.1691, 0.1424, 0.1858, 0.1687, 0.1691
0.3355, 2697.28, 0.1100, 0.1135, 0.1194, 0.1634, 0.1100
0.3391, 2726.59, 0.0861, 0.1500, 0.0709, 0.1567, 0.0861
0.3428, 2755.91, 0.1236, 0.1848, 0.1095, 0.1453, 0.1236
0.3464, 2785.23, 0.1447, 0.1931, 0.1385, 0.1214, 0.1447
0.3501, 2814.55, 0.1409, 0.1711, 0.1476, 0.0856, 0.1409
0.3537, 2843.87, 0.1496, 0.1552, 0.1730, 0.0561, 0.1496
0.3574, 2873.18, 0.1565, 0.1444, 0.1919, 0.0703, 0.1565
0.3610, 2902.50, 0.1561, 0.1362, 0.1976, 0.0907, 0.1561
0.3647, 2931.82, 0.1602, 0.1526, 0.2001, 0.0948, 0.1602
0.3683, 2961.14, 0.1660, 0.1863, 0.1976, 0.0695, 0.1660
0.3719, 2990.46, 0.1758, 0.2312, 0.1952, 0.0193, 0.1758
0.3756, 3019.78, 0.1857, 0.2778, 0.1910, 0.0567, 0.1857
0.3792, 3049.09, 0.2057, 0.3431, 0.1912, 0.1251, 0.2057
0.3829, 3078.41, 0.2389, 0.4128, 0.2044, 0.2153, 0.2389
0.3865, 3107.73, 0.2719, 0.4610, 0.2240, 0.3030, 0.2719
0.3902, 3137.05, 0.2675, 0.4710, 0.2090, 0.3301, 0.2675
0.3938, 3166.37, 0.2468, 0.4575, 0.1861, 0.3346, 0.2468
0.3975, 3195.68, 0.2447, 0.4402, 0.1921, 0.3493, 0.2447
0.4011, 3225.00, 0.2504, 0.4120, 0.2063, 0.3285, 0.2504
0.4048, 3254.32, 0.2370, 0.3547, 0.2080, 0.2638, 0.2370
0.4084, 3283.64, 0.1703, 0.2440, 0.1641, 0.1782, 0.1703
0.4121, 3312.96, 0.1154, 0.1475, 0.1253, 0.1852, 0.1154
0.4157, 3342.28, 0.1196, 0.1053, 0.1355, 0.1863, 0.1196
0.4194, 3371.59, 0.1059, 0.0637, 0.1349, 0.1180, 0.1059
0.4230, 3400.91, 0.0941, 0.0975, 0.1186, 0.0438, 0.0941
0.4266, 3430.23, 0.1111, 0.1584, 0.1098, 0.0902, 0.1111
0.4303, 3459.55, 0.1189, 0.1588, 0.1137, 0.1113, 0.1189
0.4339, 3488.87, 0.1000, 0.1304, 0.1046, 0.0772, 0.1000
0.4376, 3518.19, 0.0379, 0.1176, 0.0439, 0.1124, 0.0379
0.4412, 3547.50, 0.0343, 0.1533, 0.0278, 0.1718, 0.0343
0.4449, 3576.82, 0.0925, 0.2204, 0.0853, 0.1702, 0.0925
0.4485, 3606.14, 0.0889, 0.2282, 0.0677, 0.2177, 0.0889
0.4522, 3635.46, 0.0042, 0.1337, 0.0364, 0.2391, 0.0042
0.4558, 3664.78, 0.0716, 0.0626, 0.1120, 0.2395, 0.0716
0.4595, 3694.09, 0.0767, 0.0754, 0.1151, 0.2432, 0.0767
0.4631, 3723.41, 0.1046, 0.0428, 0.1574, 0.2023, 0.1046
0.4668, 3752.73, 0.2124, 0.0388, 0.2806, 0.1682, 0.2124
0.4704, 3782.05, 0.3217, 0.1400, 0.3941, 0.2031, 0.3217
0.4741, 3811.37, 0.2991, 0.1500, 0.3624, 0.1290, 0.2991
0.4777, 3840.69, 0.2643, 0.1299, 0.3253, 0.1077, 0.2643
0.4813, 3870.00, 0.3796, 0.2193, 0.4448, 0.2580, 0.3796
0.4850, 3899.32, 0.4831, 0.2901, 0.5469, 0.4460, 0.4831
0.4886, 3928.64, 0.4481, 0.2288, 0.5093, 0.4968, 0.4481
0.4923, 3957.96, 0.3238, 0.0949, 0.3835, 0.4047, 0.3238
0.4959, 3987.28, 0.2563, 0.0930, 0.2988, 0.3536, 0.2563
0.4996, 4016.59, 0.2515, 0.1847, 0.2720, 0.3529, 0.2515
0.5032, 4045.91, 0.2108, 0.1651, 0.2224, 0.3526, 0.2108
0.5069, 4075.23, 0.2134, 0.1604, 0.2195, 0.3975, 0.2134
0.5105, 4104.55, 0.1855, 0.2149, 0.1768, 0.3508, 0.1855
0.5142, 4133.87, 0.1001, 0.2107, 0.0911, 0.2741, 0.1001
0.5178, 4163.19, 0.0784, 0.2304, 0.1060, 0.2138, 0.0784
0.5215, 4192.50, 0.0177, 0.2494, 0.0917, 0.0620, 0.0177
0.5251, 4221.82, 0.0885, 0.2319, 0.1241, 0.1572, 0.0885
0.5287, 4251.14, 0.1528, 0.2102, 0.1635, 0.3242, 0.1528
0.5324, 4280.46, 0.1346, 0.1509, 0.1425, 0.4041, 0.1346
0.5360, 4309.78, 0.1335, 0.1478, 0.1271, 0.4508, 0.1335
0.5397, 4339.10, 0.1460, 0.1566, 0.1438, 0.4373, 0.1460
0.5433, 4368.41, 0.1328, 0.1294, 0.1230, 0.4801, 0.1328
0.5470, 4397.73, 0.2727, 0.2545, 0.2512, 0.6043, 0.2727
0.5506, 4427.05, 0.4091, 0.3874, 0.3965, 0.6204, 0.4091
0.5543, 4456.37, 0.3917, 0.3314, 0.4009, 0.4913, 0.3917
0.5579, 4485.69, 0.2294, 0.1325, 0.2507, 0.3084, 0.2294
0.5616, 4515.00, 0.0421, 0.0669, 0.0552, 0.1897, 0.0421
0.5652, 4544.32, 0.2046, 0.2171, 0.2157, 0.2870, 0.2046
0.5689, 4573.64, 0.3190, 0.2991, 0.3327, 0.3641, 0.3190
0.5725, 4602.96, 0.3689, 0.3154, 0.3866, 0.4171, 0.3689
0.5762, 4632.28, 0.3977, 0.3114, 0.4222, 0.4799, 0.3977
0.5798, 4661.60, 0.3658, 0.2416, 0.4022, 0.4615, 0.3658
0.5834, 4690.91, 0.3092, 0.1590, 0.3555, 0.4064, 0.3092
0.5871, 4720.23, 0.3575, 0.1918, 0.4121, 0.4651, 0.3575
0.5907, 4749.55, 0.4294, 0.2572, 0.4971, 0.5728, 0.4294
0.5944, 4778.87, 0.3914, 0.2242, 0.4444, 0.6069, 0.3914
0.5980, 4808.19, 0.2303, 0.1108, 0.2510, 0.5201, 0.2303
0.6017, 4837.50, 0.0344, 0.1069, 0.0716, 0.3057, 0.0344
0.6053, 4866.82, 0.0497, 0.0943, 0.0813, 0.1559, 0.0497
0.6090, 4896.14, 0.0654, 0.1520, 0.0320, 0.1974, 0.0654
0.6126, 4925.46, 0.1291, 0.2047, 0.1045, 0.2435, 0.1291
0.6163, 4954.78, 0.2297, 0.2351, 0.2314, 0.2870, 0.2297
0.6199, 4984.10, 0.2387, 0.2320, 0.2318, 0.3686, 0.2387
0.6236, 5013.41, 0.1723, 0.1739, 0.1502, 0.4065, 0.1723
0.6272, 5042.73, 0.1503, 0.1634, 0.1316, 0.4395, 0.1503
0.6309, 5072.05, 0.0836, 0.1213, 0.0845, 0.4336, 0.0836
0.6345, 5101.37, 0.0719, 0.0378, 0.1440, 0.4334, 0.0719
0.6381, 5130.69, 0.2341, 0.2454, 0.2993, 0.4477, 0.2341
