Imatest,24.2.6, Master, SFR
File,car_55.0 mm_25600ISO_+1EV_Dist1_ON_Focused.tiff
Run date,07-May-2025 10:05:43,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0036,   29.31, 1.0022, 1.0028, 1.0027, 0.9961, 1.0022
0.0073,   58.63, 0.9948, 0.9717, 1.0003, 1.0066, 0.9948
0.0109,   87.94, 0.9646, 0.9124, 0.9710, 1.0460, 0.9646
0.0146,  117.25, 0.9344, 0.9271, 0.9224, 1.0636, 0.9344
0.0182,  146.57, 0.9536, 1.0522, 0.9191, 1.0071, 0.9536
0.0219,  175.88, 0.9567, 1.0497, 0.9269, 0.9934, 0.9567
0.0255,  205.19, 0.9286, 0.8575, 0.9415, 1.0298, 0.9286
0.0292,  234.50, 0.9337, 0.8502, 0.9527, 1.0047, 0.9337
0.0328,  263.82, 0.9000, 0.9269, 0.8977, 0.9227, 0.9000
0.0365,  293.13, 0.8840, 0.6809, 0.9642, 0.7889, 0.8840
0.0401,  322.44, 0.9407, 0.5172, 1.0881, 0.7281, 0.9407
0.0438,  351.76, 0.9279, 0.7355, 1.0080, 0.7878, 0.9279
0.0474,  381.07, 0.8396, 0.7024, 0.8822, 0.8278, 0.8396
0.0510,  410.38, 0.8234, 0.5085, 0.9552, 0.7792, 0.8234
0.0547,  439.70, 0.9148, 0.3593, 1.1248, 0.6544, 0.9148
0.0583,  469.01, 0.9439, 0.4399, 1.1549, 0.5595, 0.9439
0.0620,  498.32, 0.7448, 0.4834, 0.8794, 0.6489, 0.7448
0.0656,  527.64, 0.5844, 0.6227, 0.5729, 0.8698, 0.5844
0.0693,  556.95, 0.6215, 0.5506, 0.6186, 0.9570, 0.6215
0.0729,  586.26, 0.6587, 0.2338, 0.7736, 0.8525, 0.6587
0.0766,  615.58, 0.7232, 0.3943, 0.8672, 0.5560, 0.7232
0.0802,  644.89, 0.7921, 0.7733, 0.8555, 0.4078, 0.7921
0.0839,  674.20, 0.7996, 0.7814, 0.8646, 0.3962, 0.7996
0.0875,  703.51, 0.7995, 0.3872, 0.9935, 0.4109, 0.7995
0.0911,  732.83, 0.7485, 0.5835, 0.8963, 0.5252, 0.7485
0.0948,  762.14, 0.6429, 0.6741, 0.6696, 0.6771, 0.6429
0.0984,  791.45, 0.4885, 0.7046, 0.4915, 0.7314, 0.4885
0.1021,  820.77, 0.3946, 0.3480, 0.3975, 0.5109, 0.3946
0.1057,  850.08, 0.4331, 0.3908, 0.5450, 0.3376, 0.4331
0.1094,  879.39, 0.4596, 0.4288, 0.4817, 0.5155, 0.4596
0.1130,  908.71, 0.4992, 0.7669, 0.4964, 0.2999, 0.4992
0.1167,  938.02, 0.5122, 0.5718, 0.5605, 0.0714, 0.5122
0.1203,  967.33, 0.3884, 0.7703, 0.3214, 0.0878, 0.3884
0.1240,  996.65, 0.2797, 0.8258, 0.1638, 0.2895, 0.2797
0.1276, 1025.96, 0.3567, 0.4246, 0.3742, 0.1639, 0.3567
0.1313, 1055.27, 0.4252, 0.1555, 0.5538, 0.0891, 0.4252
