Imatest,24.2.6, Master, SFR
File,car_55.0 mm_25600ISO_-2EV_Dist1_ON_Focused.tiff
Run date,12-May-2025 16:08:14,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0032,   26.12, 0.9713, 0.8459, 1.0038, 1.0062, 0.9713
0.0065,   52.24, 0.8394, 0.3838, 0.9599, 1.0184, 0.8394
0.0097,   78.36, 0.7598, 0.2271, 0.9170, 0.8461, 0.7598
0.0130,  104.48, 0.7099, 0.7027, 0.7553, 0.4855, 0.7099
0.0162,  130.60, 0.5895, 1.0020, 0.4742, 0.6230, 0.5895
0.0195,  156.72, 0.5565, 0.9560, 0.4878, 0.3035, 0.5565
0.0227,  182.84, 0.5617, 0.8655, 0.6260, 0.6691, 0.5617
0.0260,  208.96, 0.2241, 0.4011, 0.2652, 0.5681, 0.2241
0.0292,  235.09, 0.6210, 1.8987, 0.3616, 0.4083, 0.6210
0.0325,  261.21, 0.5670, 1.3365, 0.4217, 0.1660, 0.5670
0.0357,  287.33, 0.2482, 0.3326, 0.2050, 0.6835, 0.2482
0.0390,  313.45, 0.2289, 0.8304, 0.3145, 0.4144, 0.2289
0.0422,  339.57, 0.2586, 0.8849, 0.6534, 1.1195, 0.2586
0.0455,  365.69, 0.4601, 1.2408, 0.4738, 0.9302, 0.4601
0.0487,  391.81, 0.4477, 2.6111, 0.8555, 0.9713, 0.4477
0.0520,  417.93, 0.1867, 1.7173, 0.6035, 0.5924, 0.1867
0.0552,  444.05, 0.0885, 1.3722, 0.4455, 0.3156, 0.0885
0.0585,  470.17, 0.2665, 0.8884, 0.2178, 1.2458, 0.2665
0.0617,  496.29, 0.3740, 0.1287, 0.5874, 1.3892, 0.3740
0.0650,  522.41, 0.5032, 0.9443, 0.8924, 2.0216, 0.5032
0.0682,  548.53, 0.4145, 1.7038, 0.7734, 1.2030, 0.4145
0.0715,  574.65, 0.5221, 2.7118, 0.9251, 0.6255, 0.5221
0.0747,  600.77, 0.6439, 1.7734, 1.2007, 0.5735, 0.6439
0.0780,  626.89, 0.4216, 1.0301, 0.7777, 2.0336, 0.4216
0.0812,  653.01, 0.2469, 1.6213, 0.5835, 1.6950, 0.2469
0.0845,  679.14, 0.2659, 2.4894, 0.6664, 0.1953, 0.2659
0.0877,  705.26, 0.7490, 2.9337, 1.2875, 0.5727, 0.7490
0.0910,  731.38, 0.9090, 3.1446, 1.7075, 0.4097, 0.9090
0.0942,  757.50, 0.5475, 4.2945, 1.6527, 1.4377, 0.5475
0.0975,  783.62, 0.4013, 2.2843, 1.1019, 1.4522, 0.4013
0.1007,  809.74, 0.4668, 0.4672, 0.5999, 1.1537, 0.4668
0.1040,  835.86, 0.6956, 1.6936, 1.2097, 0.5047, 0.6956
0.1072,  861.98, 0.9115, 2.0828, 1.6243, 1.7956, 0.9115
0.1105,  888.10, 0.5537, 1.0881, 0.7705, 2.2128, 0.5537
0.1137,  914.22, 0.9826, 0.2612, 1.4325, 1.6585, 0.9826
0.1170,  940.34, 1.3515, 2.7534, 1.8205, 1.8518, 1.3515
