Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3411  1905  3718  2315 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,12-May-2025 16:11:13,
File, car_55.0 mm_1600ISO_-3EV_Dist1_OFF_Defocus2.tiff,car_55.0 mm_1600ISO_-3EV_Dist1_OFF_Focused.tiff,car_55.0 mm_1600ISO_-3EV_Dist1_ON_Defocus1.tiff,car_55.0 mm_1600ISO_-3EV_Dist1_ON_Defocus2.tiff,car_55.0 mm_1600ISO_-3EV_Dist1_ON_Focused.tiff,car_55.0 mm_6400ISO_-3EV_Dist1_OFF_Defocus1.tiff,car_55.0 mm_6400ISO_-3EV_Dist1_OFF_Defocus2.tiff,car_55.0 mm_6400ISO_-3EV_Dist1_OFF_Focused.tiff,car_55.0 mm_6400ISO_-3EV_Dist1_ON_Defocus1.tiff,car_55.0 mm_6400ISO_-3EV_Dist1_ON_Defocus2.tiff,car_55.0 mm_6400ISO_-3EV_Dist1_ON_Focused.tiff,car_55.0 mm_25600ISO_-3EV_Dist1_OFF_Defocus1.tiff,car_55.0 mm_25600ISO_-3EV_Dist1_OFF_Defocus2.tiff,car_55.0 mm_25600ISO_-3EV_Dist1_OFF_Focused.tiff,car_55.0 mm_25600ISO_-3EV_Dist1_ON_Defocus1.tiff,car_55.0 mm_25600ISO_-3EV_Dist1_ON_Defocus2.tiff,car_55.0 mm_25600ISO_-3EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0082,  0.0809,  0.0133,  0.0085,  0.0515,  0.0142,  0.0086,  0.0265,  0.0159,  0.0076,  0.0489,  0.0077,  0.0057,  0.0058,  0.0056,  0.0044,  0.0165
R1090 (pxl) Mean Ctr, 55.6252,  7.3561, 29.8493, 41.2392,  6.7730, 27.2718, 43.8078, 12.7777, 15.5539, 55.5193,  7.2425, 278.9683, -22.0377, 281.4459, 133.6902, 177.8936, 36.8819
CA (pxl) Mean Ctr,  2.4039,  0.9952, 29.0980, 547.0571,  0.3223, 150.8828, 427.1732, 11.9620, 31.4944, 66.6130,  3.6151, 228.5957, 14.7441, 15.6236, 16.8215, 233.4770, 88.3477
MTF50 (LW/PH) Mean Ctr,     66.2,    650.1,    106.6,     68.3,    413.9,    113.9,     69.0,    213.2,    127.7,     60.9,    393.1,     62.2,     46.1,     46.7,     44.9,     35.4,    132.9
R1090 (/PH) Mean Ctr,     72.3,    546.5,    134.7,     97.5,    593.5,    147.4,     91.8,    314.6,    258.5,     72.4,    555.1,     14.4,   -182.4,     14.3,     30.1,     22.6,    109.0
Peak MTF Mean Ctr,   1.208,   1.130,   1.000,   1.190,   1.000,   2.382,   3.302,   2.722,   1.921,   2.966,   1.871,   5.762,   1.625,   2.665,   2.731,   3.661,   6.213
MTF50P (Cy/Pxl) Mean Ctr,  0.4612,  0.3676,  0.0133,  0.4436,  0.0515,  0.5130,  0.4955,  0.2904,  0.3407,  0.3519,  0.3561,  0.4090,  0.4862,  0.4850,  0.3629,  0.3185,  0.5036
MTF50P (LW/PH) Mean Ctr,   3708.1,   2955.4,    106.6,   3566.7,    413.9,   4124.5,   3984.1,   2334.8,   2739.0,   2829.6,   2862.7,   3288.5,   3909.1,   3899.7,   2917.3,   2561.1,   4048.6
