Imatest,24.2.6, Master, SFR
File,car_55.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus1.tiff
Run date,08-May-2025 09:48:24,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0045,   35.81, 0.9706, 0.9779, 0.9674, 0.9821, 0.9706
0.0089,   71.62, 0.8676, 0.8527, 0.8692, 0.8959, 0.8676
0.0134,  107.43, 0.7098, 0.6707, 0.7186, 0.7336, 0.7098
0.0178,  143.24, 0.5408, 0.5080, 0.5485, 0.5599, 0.5408
0.0223,  179.05, 0.3684, 0.3174, 0.3794, 0.4037, 0.3684
0.0267,  214.86, 0.2045, 0.1897, 0.2031, 0.2680, 0.2045
0.0312,  250.67, 0.0873, 0.1735, 0.0557, 0.1618, 0.0873
0.0356,  286.48, 0.0219, 0.0624, 0.0345, 0.0493, 0.0219
0.0401,  322.28, 0.0697, 0.0940, 0.0666, 0.0862, 0.0697
0.0445,  358.09, 0.1109, 0.1092, 0.1314, 0.0818, 0.1109
0.0490,  393.90, 0.1065, 0.0472, 0.1518, 0.0349, 0.1065
0.0534,  429.71, 0.0635, 0.1451, 0.1115, 0.0871, 0.0635
0.0579,  465.52, 0.0044, 0.2405, 0.0716, 0.1094, 0.0044
0.0624,  501.33, 0.0333, 0.1066, 0.0425, 0.2286, 0.0333
0.0668,  537.14, 0.0327, 0.0955, 0.0581, 0.1542, 0.0327
0.0713,  572.95, 0.0203, 0.0504, 0.0191, 0.0223, 0.0203
0.0757,  608.76, 0.0582, 0.1768, 0.0456, 0.0529, 0.0582
0.0802,  644.57, 0.0702, 0.2404, 0.0760, 0.2030, 0.0702
0.0846,  680.38, 0.0428, 0.1416, 0.0596, 0.1805, 0.0428
0.0891,  716.19, 0.0405, 0.2269, 0.0658, 0.1041, 0.0405
0.0935,  752.00, 0.0944, 0.2689, 0.1522, 0.1900, 0.0944
0.0980,  787.81, 0.0487, 0.1196, 0.0755, 0.1352, 0.0487
0.1024,  823.62, 0.0130, 0.2184, 0.0582, 0.0963, 0.0130
0.1069,  859.43, 0.0140, 0.2087, 0.0737, 0.0646, 0.0140
0.1113,  895.24, 0.0366, 0.0955, 0.0525, 0.1272, 0.0366
0.1158,  931.05, 0.0618, 0.0870, 0.0829, 0.1996, 0.0618
0.1203,  966.85, 0.0467, 0.0380, 0.0740, 0.1868, 0.0467
0.1247, 1002.66, 0.0450, 0.0546, 0.0453, 0.1034, 0.0450
0.1292, 1038.47, 0.0855, 0.0124, 0.1338, 0.1581, 0.0855
0.1336, 1074.28, 0.0979, 0.0895, 0.1562, 0.2259, 0.0979
0.1381, 1110.09, 0.0605, 0.1566, 0.1357, 0.1987, 0.0605
0.1425, 1145.90, 0.0585, 0.4866, 0.1504, 0.2260, 0.0585
0.1470, 1181.71, 0.0595, 0.3411, 0.0690, 0.2103, 0.0595
0.1514, 1217.52, 0.0432, 0.1584, 0.0724, 0.1384, 0.0432
0.1559, 1253.33, 0.0788, 0.1606, 0.1669, 0.1281, 0.0788
0.1603, 1289.14, 0.1975, 0.1605, 0.3454, 0.2344, 0.1975
0.1648, 1324.95, 0.2506, 0.0641, 0.3688, 0.1946, 0.2506
0.1692, 1360.76, 0.1331, 0.0872, 0.1851, 0.2164, 0.1331
0.1737, 1396.57, 0.0302, 0.2074, 0.0590, 0.2327, 0.0302
0.1782, 1432.38, 0.1224, 0.4757, 0.1949, 0.1242, 0.1224
0.1826, 1468.19, 0.1118, 0.2720, 0.0964, 0.0689, 0.1118
0.1871, 1504.00, 0.0255, 0.2443, 0.0922, 0.1318, 0.0255
0.1915, 1539.81, 0.0780, 0.2072, 0.0706, 0.1182, 0.0780
0.1960, 1575.61, 0.0947, 0.1777, 0.0903, 0.0616, 0.0947
0.2004, 1611.42, 0.1422, 0.2948, 0.1363, 0.2112, 0.1422
0.2049, 1647.23, 0.2189, 0.4583, 0.1826, 0.2163, 0.2189
0.2093, 1683.04, 0.2944, 0.4723, 0.2584, 0.3539, 0.2944
0.2138, 1718.85, 0.2326, 0.3332, 0.2207, 0.1208, 0.2326
0.2182, 1754.66, 0.0396, 0.1053, 0.0570, 0.2089, 0.0396
0.2227, 1790.47, 0.1828, 0.0709, 0.2459, 0.1536, 0.1828
0.2271, 1826.28, 0.0903, 0.1765, 0.1782, 0.0767, 0.0903
0.2316, 1862.09, 0.0123, 0.2401, 0.0593, 0.0515, 0.0123
0.2361, 1897.90, 0.0472, 0.1866, 0.0397, 0.0869, 0.0472
0.2405, 1933.71, 0.2154, 0.2031, 0.2370, 0.1553, 0.2154
0.2450, 1969.52, 0.3059, 0.1516, 0.3631, 0.2051, 0.3059
0.2494, 2005.33, 0.2027, 0.1197, 0.2600, 0.0297, 0.2027
0.2539, 2041.14, 0.1776, 0.2267, 0.1866, 0.1134, 0.1776
0.2583, 2076.95, 0.1929, 0.2563, 0.2020, 0.0935, 0.1929
0.2628, 2112.76, 0.0996, 0.0802, 0.1550, 0.1666, 0.0996
0.2672, 2148.57, 0.0170, 0.3909, 0.1151, 0.3274, 0.0170
0.2717, 2184.38, 0.1262, 0.4958, 0.1181, 0.2589, 0.1262
0.2761, 2220.18, 0.1819, 0.3520, 0.1661, 0.0827, 0.1819
0.2806, 2255.99, 0.1515, 0.1733, 0.1647, 0.0394, 0.1515
0.2851, 2291.80, 0.1463, 0.1197, 0.1626, 0.0735, 0.1463
0.2895, 2327.61, 0.1212, 0.0895, 0.1458, 0.1638, 0.1212
0.2940, 2363.42, 0.1453, 0.1809, 0.1351, 0.2105, 0.1453
0.2984, 2399.23, 0.1879, 0.2250, 0.2164, 0.1086, 0.1879
0.3029, 2435.04, 0.1139, 0.1115, 0.1332, 0.0792, 0.1139
0.3073, 2470.85, 0.0718, 0.1689, 0.0850, 0.1518, 0.0718
0.3118, 2506.66, 0.2345, 0.3008, 0.2498, 0.0590, 0.2345
0.3162, 2542.47, 0.2330, 0.2461, 0.2387, 0.1575, 0.2330
0.3207, 2578.28, 0.1021, 0.0570, 0.1014, 0.2979, 0.1021
