Imatest,24.2.6, Master, SFR
File,car_55.0 mm_6400ISO_+1EV_Dist1_OFF_Focused.tiff
Run date,08-May-2025 09:48:24,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0045,   35.90, 0.9977, 1.0005, 0.9962, 1.0044, 0.9977
0.0089,   71.80, 0.9820, 0.9774, 0.9827, 0.9887, 0.9820
0.0134,  107.71, 0.9738, 0.9412, 0.9871, 0.9447, 0.9738
0.0179,  143.61, 0.9773, 0.9440, 0.9979, 0.8965, 0.9773
0.0223,  179.51, 0.9622, 0.9593, 0.9740, 0.8890, 0.9622
0.0268,  215.41, 0.9346, 0.9459, 0.9365, 0.9074, 0.9346
0.0313,  251.31, 0.9149, 0.9229, 0.9185, 0.8765, 0.9149
0.0357,  287.21, 0.8954, 0.8920, 0.9002, 0.8848, 0.8954
0.0402,  323.12, 0.8701, 0.8491, 0.8710, 0.9343, 0.8701
0.0447,  359.02, 0.8629, 0.8234, 0.8737, 0.8743, 0.8629
0.0491,  394.92, 0.8583, 0.7976, 0.8854, 0.7845, 0.8583
0.0536,  430.82, 0.8552, 0.7992, 0.8826, 0.7956, 0.8552
0.0581,  466.72, 0.8559, 0.8332, 0.8741, 0.7821, 0.8559
0.0625,  502.62, 0.8288, 0.8303, 0.8414, 0.7344, 0.8288
0.0670,  538.53, 0.7828, 0.7550, 0.7998, 0.7557, 0.7828
0.0714,  574.43, 0.7376, 0.6827, 0.7562, 0.7916, 0.7376
0.0759,  610.33, 0.6811, 0.6499, 0.6908, 0.8048, 0.6811
0.0804,  646.23, 0.6631, 0.5745, 0.6908, 0.7543, 0.6631
0.0848,  682.13, 0.6988, 0.4993, 0.7694, 0.7136, 0.6988
0.0893,  718.03, 0.6837, 0.4117, 0.7623, 0.8172, 0.6837
0.0938,  753.94, 0.6576, 0.4147, 0.7259, 0.8186, 0.6576
0.0982,  789.84, 0.6716, 0.5566, 0.7184, 0.7045, 0.6716
0.1027,  825.74, 0.6437, 0.5959, 0.6652, 0.6219, 0.6437
0.1072,  861.64, 0.6093, 0.5391, 0.6419, 0.5062, 0.6093
0.1116,  897.54, 0.6126, 0.5875, 0.6457, 0.4081, 0.6126
0.1161,  933.44, 0.6280, 0.6449, 0.6432, 0.4925, 0.6280
0.1206,  969.35, 0.6466, 0.6468, 0.6518, 0.6156, 0.6466
0.1250, 1005.25, 0.6328, 0.6134, 0.6460, 0.6098, 0.6328
0.1295, 1041.15, 0.6025, 0.4691, 0.6663, 0.6037, 0.6025
0.1340, 1077.05, 0.5869, 0.2427, 0.6987, 0.6015, 0.5869
0.1384, 1112.95, 0.5580, 0.2834, 0.6406, 0.5808, 0.5580
0.1429, 1148.85, 0.5284, 0.3367, 0.5894, 0.5275, 0.5284
0.1474, 1184.76, 0.5283, 0.2830, 0.6086, 0.4859, 0.5283
0.1518, 1220.66, 0.5608, 0.3747, 0.6328, 0.4794, 0.5608
0.1563, 1256.56, 0.5741, 0.5162, 0.6181, 0.3833, 0.5741
0.1608, 1292.46, 0.5098, 0.5784, 0.5237, 0.3170, 0.5098
0.1652, 1328.36, 0.4415, 0.4911, 0.4578, 0.4086, 0.4415
0.1697, 1364.27, 0.4523, 0.3711, 0.5029, 0.4034, 0.4523
0.1742, 1400.17, 0.4842, 0.3596, 0.5452, 0.4077, 0.4842
0.1786, 1436.07, 0.5181, 0.4002, 0.5953, 0.5134, 0.5181
0.1831, 1471.97, 0.4779, 0.4050, 0.5281, 0.5309, 0.4779
0.1875, 1507.87, 0.3970, 0.4517, 0.3824, 0.4621, 0.3970
0.1920, 1543.77, 0.3691, 0.4192, 0.3535, 0.3851, 0.3691
0.1965, 1579.68, 0.3482, 0.3305, 0.3555, 0.3473, 0.3482
0.2009, 1615.58, 0.3596, 0.3389, 0.3751, 0.3975, 0.3596
0.2054, 1651.48, 0.3446, 0.3275, 0.3689, 0.4320, 0.3446
0.2099, 1687.38, 0.2910, 0.2968, 0.3017, 0.4102, 0.2910
0.2143, 1723.28, 0.2959, 0.3656, 0.2757, 0.4036, 0.2959
0.2188, 1759.18, 0.3286, 0.4414, 0.2926, 0.3948, 0.3286
0.2233, 1795.09, 0.2704, 0.3326, 0.2426, 0.3894, 0.2704
0.2277, 1830.99, 0.1987, 0.1866, 0.1888, 0.3451, 0.1987
0.2322, 1866.89, 0.2006, 0.1617, 0.2096, 0.2332, 0.2006
0.2367, 1902.79, 0.2142, 0.2024, 0.2288, 0.1615, 0.2142
0.2411, 1938.69, 0.2085, 0.2852, 0.1932, 0.1680, 0.2085
0.2456, 1974.59, 0.1857, 0.2297, 0.1681, 0.2352, 0.1857
0.2501, 2010.50, 0.1785, 0.1672, 0.1758, 0.2739, 0.1785
0.2545, 2046.40, 0.2012, 0.1566, 0.2104, 0.2538, 0.2012
0.2590, 2082.30, 0.2058, 0.1698, 0.2224, 0.2777, 0.2058
0.2635, 2118.20, 0.1963, 0.1660, 0.2108, 0.3320, 0.1963
0.2679, 2154.10, 0.2202, 0.1739, 0.2354, 0.3277, 0.2202
0.2724, 2190.00, 0.2521, 0.2133, 0.2636, 0.2999, 0.2521
0.2769, 2225.91, 0.2853, 0.2538, 0.2935, 0.3058, 0.2853
0.2813, 2261.81, 0.2943, 0.2573, 0.3057, 0.2940, 0.2943
0.2858, 2297.71, 0.2750, 0.2490, 0.2842, 0.2621, 0.2750
0.2903, 2333.61, 0.2487, 0.2160, 0.2589, 0.2478, 0.2487
0.2947, 2369.51, 0.2322, 0.1961, 0.2423, 0.2390, 0.2322
0.2992, 2405.42, 0.2024, 0.1822, 0.2068, 0.2173, 0.2024
0.3036, 2441.32, 0.1775, 0.1618, 0.1832, 0.1771, 0.1775
0.3081, 2477.22, 0.2014, 0.1855, 0.2097, 0.1764, 0.2014
0.3126, 2513.12, 0.2270, 0.2241, 0.2321, 0.1957, 0.2270
0.3170, 2549.02, 0.2257, 0.2152, 0.2350, 0.1842, 0.2257
0.3215, 2584.92, 0.2113, 0.1724, 0.2307, 0.1537, 0.2113
0.3260, 2620.83, 0.2062, 0.1677, 0.2270, 0.1399, 0.2062
0.3304, 2656.73, 0.2061, 0.1774, 0.2255, 0.1335, 0.2061
0.3349, 2692.63, 0.2061, 0.1729, 0.2276, 0.1204, 0.2061
0.3394, 2728.53, 0.2045, 0.1698, 0.2279, 0.1117, 0.2045
0.3438, 2764.43, 0.1914, 0.1637, 0.2141, 0.0990, 0.1914
0.3483, 2800.33, 0.1812, 0.1614, 0.2028, 0.0823, 0.1812
