Imatest,24.2.6, Master, SFR
File,car_55.0 mm_6400ISO_+1EV_Dist1_ON_Defocus1.tiff
Run date,08-May-2025 09:48:24,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0045,   35.80, 0.9647, 0.9664, 0.9632, 0.9755, 0.9647
0.0089,   71.59, 0.8589, 0.8430, 0.8610, 0.8843, 0.8589
0.0134,  107.39, 0.7040, 0.6930, 0.7032, 0.7435, 0.7040
0.0178,  143.19, 0.5332, 0.5213, 0.5284, 0.6190, 0.5332
0.0223,  178.99, 0.3647, 0.3275, 0.3641, 0.4787, 0.3647
0.0267,  214.78, 0.2446, 0.3080, 0.2315, 0.2575, 0.2446
0.0312,  250.58, 0.1333, 0.2793, 0.1012, 0.1101, 0.1333
0.0356,  286.38, 0.0275, 0.1094, 0.0269, 0.0781, 0.0275
0.0401,  322.18, 0.0632, 0.0882, 0.0817, 0.0230, 0.0632
0.0445,  357.97, 0.1305, 0.0770, 0.1654, 0.0505, 0.1305
0.0490,  393.77, 0.1554, 0.1684, 0.1727, 0.0770, 0.1554
0.0534,  429.57, 0.1119, 0.1941, 0.0959, 0.0923, 0.1119
0.0579,  465.37, 0.0387, 0.1281, 0.0263, 0.1743, 0.0387
0.0623,  501.16, 0.0182, 0.1334, 0.0367, 0.0936, 0.0182
0.0668,  536.96, 0.0473, 0.1288, 0.0413, 0.1402, 0.0473
0.0712,  572.76, 0.0235, 0.0499, 0.0511, 0.1266, 0.0235
0.0757,  608.55, 0.0472, 0.1191, 0.0621, 0.1423, 0.0472
0.0801,  644.35, 0.0801, 0.0823, 0.1024, 0.1413, 0.0801
0.0846,  680.15, 0.0867, 0.1589, 0.1069, 0.1372, 0.0867
0.0890,  715.95, 0.0299, 0.2608, 0.0577, 0.0870, 0.0299
0.0935,  751.74, 0.0440, 0.1509, 0.0950, 0.1221, 0.0440
0.0980,  787.54, 0.0680, 0.0963, 0.1315, 0.1652, 0.0680
0.1024,  823.34, 0.1078, 0.1009, 0.1366, 0.1063, 0.1078
0.1069,  859.14, 0.1188, 0.2400, 0.1267, 0.1795, 0.1188
0.1113,  894.93, 0.0646, 0.0924, 0.1171, 0.1451, 0.0646
0.1158,  930.73, 0.0910, 0.2346, 0.1407, 0.1042, 0.0910
0.1202,  966.53, 0.0551, 0.2971, 0.1450, 0.1064, 0.0551
0.1247, 1002.33, 0.0397, 0.2428, 0.0895, 0.1773, 0.0397
0.1291, 1038.12, 0.0091, 0.0779, 0.0404, 0.0693, 0.0091
0.1336, 1073.92, 0.0274, 0.0983, 0.0190, 0.1462, 0.0274
0.1380, 1109.72, 0.0526, 0.1286, 0.0673, 0.1824, 0.0526
0.1425, 1145.52, 0.0808, 0.1244, 0.1028, 0.1076, 0.0808
0.1469, 1181.31, 0.0170, 0.1047, 0.0248, 0.1415, 0.0170
0.1514, 1217.11, 0.0302, 0.0871, 0.0443, 0.0966, 0.0302
