Imatest,24.2.6, Master, SFR
File,car_55.0 mm_6400ISO_+1EV_Dist1_ON_Focused.tiff
Run date,08-May-2025 09:48:24,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0045,   35.90, 1.0002, 0.9940, 1.0020, 0.9990, 1.0002
0.0089,   71.80, 0.9893, 0.9683, 0.9971, 0.9725, 0.9893
0.0134,  107.70, 0.9770, 0.9377, 0.9933, 0.9291, 0.9770
0.0179,  143.60, 0.9779, 0.9289, 1.0000, 0.9043, 0.9779
0.0223,  179.50, 0.9748, 0.9042, 1.0029, 0.9077, 0.9748
0.0268,  215.40, 0.9504, 0.8520, 0.9818, 0.9371, 0.9504
0.0313,  251.30, 0.9234, 0.8499, 0.9439, 0.9489, 0.9234
0.0357,  287.20, 0.9143, 0.8663, 0.9312, 0.9028, 0.9143
0.0402,  323.10, 0.9114, 0.8576, 0.9273, 0.9086, 0.9114
0.0447,  359.00, 0.8830, 0.8863, 0.8740, 0.9873, 0.8830
0.0491,  394.89, 0.8426, 0.8811, 0.8241, 0.9766, 0.8426
0.0536,  430.79, 0.8525, 0.8350, 0.8571, 0.9133, 0.8525
0.0580,  466.69, 0.8654, 0.7958, 0.8850, 0.8949, 0.8654
0.0625,  502.59, 0.8579, 0.8227, 0.8702, 0.8527, 0.8579
0.0670,  538.49, 0.8561, 0.9814, 0.8310, 0.7597, 0.8561
0.0714,  574.39, 0.8261, 0.9872, 0.7946, 0.7126, 0.8261
0.0759,  610.29, 0.8025, 0.7722, 0.8232, 0.7434, 0.8025
0.0804,  646.19, 0.7810, 0.7321, 0.8033, 0.8130, 0.7810
0.0848,  682.09, 0.7820, 0.8237, 0.7799, 0.8272, 0.7820
0.0893,  717.99, 0.7845, 0.7357, 0.8076, 0.7562, 0.7845
0.0938,  753.89, 0.7250, 0.5449, 0.7788, 0.7484, 0.7250
0.0982,  789.79, 0.6989, 0.3860, 0.7950, 0.7794, 0.6989
0.1027,  825.69, 0.7393, 0.3428, 0.8544, 0.7502, 0.7393
0.1072,  861.59, 0.7878, 0.5596, 0.8653, 0.6661, 0.7878
0.1116,  897.49, 0.7440, 0.6213, 0.8062, 0.6166, 0.7440
0.1161,  933.39, 0.6394, 0.6300, 0.6969, 0.6362, 0.6394
0.1206,  969.29, 0.6073, 0.6077, 0.6251, 0.6781, 0.6073
0.1250, 1005.19, 0.6276, 0.5204, 0.6557, 0.6814, 0.6276
0.1295, 1041.09, 0.6790, 0.3677, 0.7805, 0.5989, 0.6790
0.1340, 1076.99, 0.6818, 0.3074, 0.8236, 0.4790, 0.6818
0.1384, 1112.89, 0.6284, 0.2774, 0.7643, 0.4462, 0.6284
0.1429, 1148.78, 0.5797, 0.2999, 0.6823, 0.4556, 0.5797
0.1473, 1184.68, 0.5587, 0.3406, 0.6359, 0.4794, 0.5587
0.1518, 1220.58, 0.5659, 0.4112, 0.6427, 0.5144, 0.5659
0.1563, 1256.48, 0.5215, 0.4041, 0.5977, 0.5163, 0.5215
0.1607, 1292.38, 0.4779, 0.2867, 0.5477, 0.4762, 0.4779
0.1652, 1328.28, 0.5048, 0.3786, 0.5454, 0.5503, 0.5048
0.1697, 1364.18, 0.4926, 0.4156, 0.5279, 0.4769, 0.4926
0.1741, 1400.08, 0.4431, 0.3885, 0.4964, 0.3345, 0.4431
0.1786, 1435.98, 0.4296, 0.3944, 0.4799, 0.4565, 0.4296
0.1831, 1471.88, 0.4234, 0.3965, 0.4754, 0.5095, 0.4234
0.1875, 1507.78, 0.4115, 0.2197, 0.4912, 0.4031, 0.4115
0.1920, 1543.68, 0.3563, 0.1173, 0.4259, 0.4712, 0.3563
0.1965, 1579.58, 0.3301, 0.1455, 0.3838, 0.5484, 0.3301
0.2009, 1615.48, 0.4319, 0.3044, 0.5070, 0.4285, 0.4319
0.2054, 1651.38, 0.4438, 0.3555, 0.5163, 0.3542, 0.4438
0.2099, 1687.28, 0.3632, 0.2317, 0.4151, 0.3808, 0.3632
0.2143, 1723.18, 0.3177, 0.2220, 0.3428, 0.3995, 0.3177
0.2188, 1759.08, 0.3203, 0.2901, 0.3281, 0.4338, 0.3203
0.2233, 1794.98, 0.3767, 0.3599, 0.3834, 0.4136, 0.3767
0.2277, 1830.88, 0.3631, 0.3591, 0.3653, 0.3685, 0.3631
0.2322, 1866.78, 0.3065, 0.2783, 0.3091, 0.3797, 0.3065
0.2367, 1902.67, 0.2911, 0.3284, 0.2777, 0.3459, 0.2911
0.2411, 1938.57, 0.2765, 0.3323, 0.2646, 0.2654, 0.2765
0.2456, 1974.47, 0.2465, 0.2229, 0.2484, 0.3109, 0.2465
0.2500, 2010.37, 0.2380, 0.1954, 0.2364, 0.3854, 0.2380
0.2545, 2046.27, 0.2857, 0.2729, 0.2833, 0.3881, 0.2857
0.2590, 2082.17, 0.2941, 0.3562, 0.2761, 0.3583, 0.2941
0.2634, 2118.07, 0.2528, 0.3461, 0.2242, 0.3079, 0.2528
0.2679, 2153.97, 0.1992, 0.2811, 0.1739, 0.2673, 0.1992
0.2724, 2189.87, 0.1543, 0.2141, 0.1333, 0.2509, 0.1543
0.2768, 2225.77, 0.1701, 0.2094, 0.1613, 0.2010, 0.1701
0.2813, 2261.67, 0.2288, 0.2951, 0.2225, 0.1555, 0.2288
0.2858, 2297.57, 0.2303, 0.3114, 0.2220, 0.1263, 0.2303
0.2902, 2333.47, 0.1949, 0.2394, 0.1925, 0.1358, 0.1949
0.2947, 2369.37, 0.1848, 0.2044, 0.1847, 0.1871, 0.1848
0.2992, 2405.27, 0.1729, 0.2014, 0.1688, 0.1889, 0.1729
0.3036, 2441.17, 0.1411, 0.1676, 0.1353, 0.1596, 0.1411
0.3081, 2477.07, 0.1274, 0.1631, 0.1198, 0.1393, 0.1274
0.3126, 2512.97, 0.1281, 0.1994, 0.1173, 0.1164, 0.1281
0.3170, 2548.87, 0.1123, 0.1881, 0.1021, 0.0798, 0.1123
0.3215, 2584.77, 0.1020, 0.1458, 0.0991, 0.0464, 0.1020
0.3260, 2620.67, 0.1115, 0.1641, 0.1079, 0.0516, 0.1115
0.3304, 2656.56, 0.1087, 0.1707, 0.1045, 0.0609, 0.1087
0.3349, 2692.46, 0.0981, 0.1361, 0.0997, 0.0455, 0.0981
0.3393, 2728.36, 0.0900, 0.1200, 0.0933, 0.0331, 0.0900
0.3438, 2764.26, 0.0742, 0.1042, 0.0772, 0.0257, 0.0742
0.3483, 2800.16, 0.0670, 0.0905, 0.0703, 0.0249, 0.0670
0.3527, 2836.06, 0.0727, 0.0860, 0.0781, 0.0255, 0.0727
0.3572, 2871.96, 0.0764, 0.0860, 0.0832, 0.0280, 0.0764
0.3617, 2907.86, 0.0781, 0.0892, 0.0847, 0.0321, 0.0781
0.3661, 2943.76, 0.0798, 0.0915, 0.0865, 0.0357, 0.0798
0.3706, 2979.66, 0.0817, 0.0956, 0.0878, 0.0414, 0.0817
0.3751, 3015.56, 0.0878, 0.1022, 0.0941, 0.0414, 0.0878
0.3795, 3051.46, 0.0957, 0.1120, 0.1020, 0.0398, 0.0957
0.3840, 3087.36, 0.0955, 0.1114, 0.1019, 0.0401, 0.0955
0.3885, 3123.26, 0.0939, 0.1109, 0.1004, 0.0322, 0.0939
0.3929, 3159.16, 0.0921, 0.1181, 0.0969, 0.0279, 0.0921
0.3974, 3195.06, 0.0906, 0.1291, 0.0917, 0.0413, 0.0906
0.4019, 3230.96, 0.1010, 0.1542, 0.0975, 0.0487, 0.1010
0.4063, 3266.86, 0.1009, 0.1561, 0.0981, 0.0339, 0.1009
0.4108, 3302.76, 0.0886, 0.1334, 0.0890, 0.0336, 0.0886
0.4153, 3338.66, 0.0791, 0.1248, 0.0780, 0.0446, 0.0791
0.4197, 3374.56, 0.0863, 0.1341, 0.0836, 0.0625, 0.0863
0.4242, 3410.45, 0.0788, 0.1292, 0.0752, 0.0743, 0.0788
