Imatest,24.2.6, Master, SFR
File,car_55.0 mm_6400ISO_-1EV_Dist1_OFF_Defocus2.tiff
Run date,12-May-2025 16:05:04,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0032,   26.11, 0.9003, 0.9091, 0.8967, 0.9137, 0.9003
0.0065,   52.22, 0.6440, 0.6528, 0.6385, 0.6800, 0.6440
0.0097,   78.33, 0.3375, 0.3237, 0.3340, 0.4126, 0.3375
0.0130,  104.45, 0.1089, 0.0987, 0.1091, 0.1326, 0.1089
0.0162,  130.56, 0.0136, 0.0884, 0.0236, 0.1049, 0.0136
0.0195,  156.67, 0.0516, 0.1762, 0.0399, 0.1202, 0.0516
0.0227,  182.78, 0.0200, 0.1283, 0.0109, 0.0257, 0.0200
0.0260,  208.89, 0.0491, 0.1062, 0.0526, 0.1719, 0.0491
0.0292,  235.00, 0.0488, 0.2548, 0.0572, 0.2406, 0.0488
0.0325,  261.12, 0.0114, 0.1931, 0.0551, 0.1662, 0.0114
0.0357,  287.23, 0.0645, 0.2958, 0.0255, 0.0610, 0.0645
0.0390,  313.34, 0.0465, 0.4797, 0.0911, 0.2349, 0.0465
0.0422,  339.45, 0.0399, 0.3291, 0.1003, 0.1187, 0.0399
0.0455,  365.56, 0.0608, 0.1131, 0.1064, 0.1908, 0.0608
0.0487,  391.67, 0.0656, 0.2546, 0.1407, 0.3245, 0.0656
0.0520,  417.78, 0.1013, 0.0971, 0.1090, 0.2464, 0.1013
0.0552,  443.90, 0.1615, 0.3330, 0.1210, 0.1518, 0.1615
0.0585,  470.01, 0.1919, 0.4492, 0.2566, 0.3097, 0.1919
0.0617,  496.12, 0.2123, 0.5814, 0.2894, 0.1704, 0.2123
0.0650,  522.23, 0.2062, 0.7573, 0.0900, 0.2995, 0.2062
0.0682,  548.34, 0.1541, 0.6850, 0.0824, 0.2588, 0.1541
0.0714,  574.45, 0.0654, 0.6195, 0.0754, 0.2759, 0.0654
0.0747,  600.57, 0.1710, 0.5298, 0.1541, 0.4790, 0.1710
0.0779,  626.68, 0.2425, 0.1127, 0.3929, 0.4637, 0.2425
0.0812,  652.79, 0.1017, 0.3420, 0.2356, 0.1938, 0.1017
0.0844,  678.90, 0.1089, 0.5406, 0.2322, 0.2115, 0.1089
0.0877,  705.01, 0.1531, 0.5246, 0.2325, 0.2228, 0.1531
0.0909,  731.12, 0.0094, 0.3605, 0.1522, 0.4550, 0.0094
0.0942,  757.23, 0.0728, 0.3013, 0.2353, 0.6068, 0.0728
0.0974,  783.35, 0.0772, 0.4442, 0.2367, 0.5126, 0.0772
0.1007,  809.46, 0.1503, 0.4667, 0.2769, 0.2353, 0.1503
0.1039,  835.57, 0.1691, 0.2980, 0.2574, 0.1620, 0.1691
0.1072,  861.68, 0.3095, 0.6503, 0.5555, 0.4292, 0.3095
0.1104,  887.79, 0.3740, 0.5028, 0.7215, 0.8590, 0.3740
0.1137,  913.90, 0.1449, 0.1376, 0.2260, 0.5146, 0.1449
0.1169,  940.01, 0.2752, 0.3019, 0.4174, 0.3951, 0.2752
0.1202,  966.13, 0.3282, 0.3971, 0.3898, 0.3493, 0.3282
0.1234,  992.24, 0.3658, 0.2754, 0.4978, 0.3381, 0.3658
0.1267, 1018.35, 0.0899, 0.4675, 0.1177, 0.1721, 0.0899
0.1299, 1044.46, 0.4606, 0.8829, 0.5004, 0.1864, 0.4606
0.1332, 1070.57, 0.4249, 0.7365, 0.3800, 0.1060, 0.4249
0.1364, 1096.68, 0.1817, 0.4990, 0.2259, 0.1414, 0.1817
0.1397, 1122.80, 0.2867, 0.6793, 0.3160, 0.1590, 0.2867
0.1429, 1148.91, 0.4220, 0.6717, 0.5907, 0.2274, 0.4220
0.1461, 1175.02, 0.2971, 0.1135, 0.4064, 0.0393, 0.2971
0.1494, 1201.13, 0.3789, 0.5724, 0.4870, 0.3242, 0.3789
0.1526, 1227.24, 0.2412, 0.3541, 0.3831, 0.2951, 0.2412
0.1559, 1253.35, 0.1126, 0.1708, 0.1560, 0.4107, 0.1126
0.1591, 1279.46, 0.1553, 0.2030, 0.2060, 0.3118, 0.1553
0.1624, 1305.58, 0.1094, 0.1452, 0.1485, 0.0830, 0.1094
0.1656, 1331.69, 0.1063, 0.1236, 0.0974, 0.6481, 0.1063
0.1689, 1357.80, 0.1737, 0.5305, 0.2280, 0.9647, 0.1737
0.1721, 1383.91, 0.2222, 0.7944, 0.2331, 0.6653, 0.2222
0.1754, 1410.02, 0.2751, 0.8386, 0.1930, 0.3495, 0.2751
0.1786, 1436.13, 0.2366, 0.1234, 0.3131, 0.2070, 0.2366
0.1819, 1462.25, 0.2171, 1.2638, 0.5512, 0.4731, 0.2171
0.1851, 1488.36, 0.1177, 1.0406, 0.3744, 0.4475, 0.1177
0.1884, 1514.47, 0.1177, 0.6614, 0.1267, 0.2027, 0.1177
0.1916, 1540.58, 0.2798, 0.6695, 0.3619, 0.2226, 0.2798
0.1949, 1566.69, 0.3317, 0.2501, 0.5068, 0.0761, 0.3317
0.1981, 1592.80, 0.1856, 0.2212, 0.3097, 0.2132, 0.1856
0.2014, 1618.91, 0.3869, 0.4962, 0.4402, 0.1859, 0.3869
0.2046, 1645.03, 0.4117, 0.7698, 0.4365, 0.0611, 0.4117
0.2079, 1671.14, 0.5765, 0.6795, 0.6975, 0.1860, 0.5765
