Imatest,24.2.6, Master, SFR
File,car_55.0 mm_6400ISO_-2EV_Dist1_OFF_Focused.tiff
Run date,12-May-2025 16:08:14,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0033,   26.14, 0.9805, 0.9409, 0.9879, 1.0061, 0.9805
0.0065,   52.28, 0.9096, 0.8618, 0.9189, 0.9410, 0.9096
0.0098,   78.42, 0.8089, 0.9291, 0.7774, 0.8335, 0.8089
0.0130,  104.56, 0.7053, 0.8640, 0.6673, 0.7392, 0.7053
0.0163,  130.70, 0.5933, 0.5976, 0.6008, 0.6105, 0.5933
0.0195,  156.84, 0.5375, 0.5172, 0.5610, 0.3823, 0.5375
0.0228,  182.98, 0.4945, 0.3862, 0.5323, 0.3787, 0.4945
0.0260,  209.12, 0.4377, 0.1325, 0.5134, 0.5573, 0.4377
0.0293,  235.26, 0.4953, 0.1162, 0.5810, 0.6697, 0.4953
0.0325,  261.40, 0.5803, 0.2802, 0.6514, 0.6181, 0.5803
0.0358,  287.54, 0.5717, 0.3229, 0.6508, 0.4421, 0.5717
0.0390,  313.68, 0.5414, 0.4428, 0.5914, 0.4384, 0.5414
0.0423,  339.81, 0.5018, 0.5718, 0.4768, 0.6157, 0.5018
0.0455,  365.95, 0.4657, 0.6142, 0.4445, 0.7578, 0.4657
0.0488,  392.09, 0.5890, 0.3073, 0.7093, 0.4282, 0.5890
0.0520,  418.23, 0.6159, 0.2661, 0.7555, 0.1742, 0.6159
0.0553,  444.37, 0.3833, 0.7666, 0.3288, 0.1310, 0.3833
0.0585,  470.51, 0.3446, 0.8927, 0.2631, 0.3670, 0.3446
0.0618,  496.65, 0.4322, 1.0409, 0.4260, 0.4846, 0.4322
0.0650,  522.79, 0.4180, 1.5105, 0.2752, 0.4703, 0.4180
0.0683,  548.93, 0.4561, 1.4647, 0.2723, 0.5196, 0.4561
0.0715,  575.07, 0.4493, 1.0576, 0.3208, 0.5803, 0.4493
0.0748,  601.21, 0.3882, 0.6193, 0.3394, 0.5131, 0.3882
0.0780,  627.35, 0.4599, 0.4547, 0.5466, 0.5124, 0.4599
0.0813,  653.49, 0.2486, 0.2215, 0.3076, 0.2862, 0.2486
0.0845,  679.63, 0.1397, 0.6856, 0.2004, 0.6026, 0.1397
0.0878,  705.77, 0.3377, 1.0756, 0.3630, 1.0652, 0.3377
0.0910,  731.91, 0.2137, 1.4074, 0.0984, 0.5373, 0.2137
0.0943,  758.05, 0.2271, 0.5828, 0.1109, 0.5695, 0.2271
0.0975,  784.19, 0.4707, 0.4629, 0.5852, 0.2778, 0.4707
0.1008,  810.33, 0.5219, 0.9220, 0.5259, 0.5748, 0.5219
0.1040,  836.47, 0.4039, 1.2554, 0.3054, 0.8993, 0.4039
0.1073,  862.61, 0.3965, 1.3384, 0.3735, 0.9411, 0.3965
0.1105,  888.75, 0.2535, 1.5354, 0.0968, 0.5777, 0.2535
0.1138,  914.89, 0.4187, 0.6868, 0.4268, 0.1026, 0.4187
0.1170,  941.03, 0.4518, 1.1934, 0.5530, 0.1716, 0.4518
0.1203,  967.16, 0.5128, 1.3350, 0.4218, 0.5413, 0.5128
0.1235,  993.30, 0.5161, 1.0585, 0.5296, 1.1229, 0.5161
0.1268, 1019.44, 0.4893, 1.5051, 0.4042, 1.2244, 0.4893
0.1300, 1045.58, 0.4243, 2.7839, 0.3659, 0.8515, 0.4243
0.1333, 1071.72, 0.1661, 2.4539, 0.6888, 0.5299, 0.1661
0.1366, 1097.86, 0.4440, 1.2701, 0.7495, 0.9565, 0.4440
0.1398, 1124.00, 0.0428, 0.4907, 0.1802, 0.4563, 0.0428
0.1431, 1150.14, 0.1328, 0.4371, 0.3141, 0.5278, 0.1328
0.1463, 1176.28, 0.2004, 0.8758, 0.1199, 1.3557, 0.2004
0.1496, 1202.42, 0.3108, 0.8074, 0.1228, 1.2024, 0.3108
0.1528, 1228.56, 0.4205, 0.6204, 0.3585, 0.5865, 0.4205
0.1561, 1254.70, 0.5104, 1.0120, 0.4748, 0.8929, 0.5104
0.1593, 1280.84, 0.5902, 1.0585, 0.4938, 1.5953, 0.5902
0.1626, 1306.98, 0.5816, 0.7860, 0.5254, 1.6434, 0.5816
