Imatest,24.2.6, Master, SFR
File,car_55.0 mm_6400ISO_-2EV_Dist1_ON_Defocus1.tiff
Run date,12-May-2025 16:08:14,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0032,   26.12, 0.9794, 0.9569, 0.9901, 0.9315, 0.9794
0.0065,   52.25, 0.8696, 0.8105, 0.8898, 0.8247, 0.8696
0.0097,   78.37, 0.6574, 0.6463, 0.6572, 0.7083, 0.6574
0.0130,  104.50, 0.4361, 0.5407, 0.4018, 0.5258, 0.4361
0.0162,  130.62, 0.2840, 0.4665, 0.2382, 0.2939, 0.2840
0.0195,  156.75, 0.1587, 0.3135, 0.1450, 0.1396, 0.1587
0.0227,  182.87, 0.0387, 0.1794, 0.0504, 0.0209, 0.0387
0.0260,  208.99, 0.0638, 0.1106, 0.0520, 0.0603, 0.0638
0.0292,  235.12, 0.0487, 0.2297, 0.0729, 0.2606, 0.0487
0.0325,  261.24, 0.1087, 0.0754, 0.1755, 0.4191, 0.1087
0.0357,  287.37, 0.0712, 0.1005, 0.0716, 0.2431, 0.0712
0.0390,  313.49, 0.2362, 0.2528, 0.2602, 0.0633, 0.2362
0.0422,  339.62, 0.1998, 0.3234, 0.1768, 0.1206, 0.1998
0.0455,  365.74, 0.1289, 0.3473, 0.2552, 0.1118, 0.1289
0.0487,  391.86, 0.0701, 0.3671, 0.1974, 0.2413, 0.0701
0.0520,  417.99, 0.0583, 0.5422, 0.2439, 0.4731, 0.0583
0.0552,  444.11, 0.1302, 0.6939, 0.2882, 0.3397, 0.1302
0.0585,  470.24, 0.1368, 0.2424, 0.2513, 0.2989, 0.1368
0.0617,  496.36, 0.0434, 0.7805, 0.2456, 0.2752, 0.0434
0.0650,  522.49, 0.0256, 0.6768, 0.2083, 0.3630, 0.0256
0.0682,  548.61, 0.0609, 0.5155, 0.0599, 0.3441, 0.0609
0.0715,  574.73, 0.1945, 0.6942, 0.1579, 0.2844, 0.1945
0.0747,  600.86, 0.2639, 0.9027, 0.3957, 0.3291, 0.2639
0.0780,  626.98, 0.3333, 0.5834, 0.5811, 0.3593, 0.3333
0.0812,  653.11, 0.3770, 0.1701, 0.5790, 0.6964, 0.3770
0.0845,  679.23, 0.3900, 0.3612, 0.6092, 0.5017, 0.3900
0.0877,  705.36, 0.3175, 0.3941, 0.5768, 0.7682, 0.3175
0.0910,  731.48, 0.2166, 0.9859, 0.6474, 1.0985, 0.2166
0.0942,  757.60, 0.1717, 0.7229, 0.4865, 1.1266, 0.1717
0.0975,  783.73, 0.0830, 0.9375, 0.1234, 0.6546, 0.0830
0.1007,  809.85, 0.1320, 0.6976, 0.3666, 0.5608, 0.1320
0.1040,  835.98, 0.1087, 1.0436, 0.3284, 1.0582, 0.1087
0.1072,  862.10, 0.1229, 1.2271, 0.3608, 0.9877, 0.1229
0.1105,  888.23, 0.3442, 1.5296, 0.0669, 0.6461, 0.3442
0.1137,  914.35, 0.1377, 0.5288, 0.0626, 0.1597, 0.1377
0.1170,  940.47, 0.2656, 0.9739, 0.1457, 0.5839, 0.2656
0.1202,  966.60, 0.2283, 0.2341, 0.2762, 0.3779, 0.2283
0.1235,  992.72, 0.2998, 0.8049, 0.3274, 0.1342, 0.2998
0.1267, 1018.85, 0.2383, 0.9383, 0.2548, 1.1933, 0.2383
0.1300, 1044.97, 0.3416, 0.6095, 0.2834, 1.2354, 0.3416
0.1332, 1071.10, 0.4871, 0.7640, 0.5873, 0.6651, 0.4871
0.1365, 1097.22, 0.4301, 0.7303, 0.5948, 0.4246, 0.4301
0.1397, 1123.35, 0.2271, 0.5065, 0.1889, 0.1099, 0.2271
0.1430, 1149.47, 0.0347, 0.5945, 0.1184, 0.5738, 0.0347
0.1462, 1175.59, 0.2373, 0.9689, 0.1866, 0.9251, 0.2373
0.1495, 1201.72, 0.2421, 1.0399, 0.2909, 0.8681, 0.2421
0.1527, 1227.84, 0.3240, 0.9346, 0.5743, 0.6902, 0.3240
0.1560, 1253.97, 0.5259, 0.7669, 0.5878, 0.6671, 0.5259
0.1592, 1280.09, 0.6638, 1.3850, 0.7683, 1.0015, 0.6638
0.1625, 1306.22, 0.9582, 1.2458, 1.1276, 1.1500, 0.9582
0.1657, 1332.34, 0.9940, 1.5925, 0.9996, 0.8406, 0.9940
0.1690, 1358.46, 0.5584, 0.9092, 0.4678, 0.8525, 0.5584
0.1722, 1384.59, 0.4686, 0.9613, 0.3981, 0.3742, 0.4686
0.1755, 1410.71, 0.5278, 1.2470, 0.6130, 0.5217, 0.5278
0.1787, 1436.84, 0.4985, 1.2584, 0.4086, 0.5030, 0.4985
0.1820, 1462.96, 0.5146, 1.5214, 0.4490, 0.1969, 0.5146
0.1852, 1489.09, 0.7132, 1.3286, 0.6782, 0.4935, 0.7132
0.1885, 1515.21, 0.5760, 0.9207, 0.6031, 0.6771, 0.5760
0.1917, 1541.33, 0.3025, 0.3539, 0.2932, 0.7866, 0.3025
0.1950, 1567.46, 0.3790, 1.0406, 0.3895, 0.3941, 0.3790
0.1982, 1593.58, 0.5405, 0.7230, 0.8746, 1.5863, 0.5405
0.2015, 1619.71, 0.3889, 0.5246, 0.7476, 1.1807, 0.3889
0.2047, 1645.83, 0.3939, 1.4462, 0.7434, 0.2944, 0.3939
0.2080, 1671.96, 0.5948, 1.3884, 1.0724, 0.9517, 0.5948
0.2112, 1698.08, 0.4584, 0.6748, 0.8511, 1.2177, 0.4584
0.2145, 1724.20, 0.5186, 0.7669, 0.5455, 0.0730, 0.5186
0.2177, 1750.33, 0.8664, 1.5224, 0.8379, 0.3333, 0.8664
0.2210, 1776.45, 0.7303, 1.5450, 0.5458, 0.5962, 0.7303
0.2242, 1802.58, 0.5538, 0.5451, 0.7020, 1.1010, 0.5538
0.2275, 1828.70, 0.1592, 0.8688, 0.4002, 1.5091, 0.1592
0.2307, 1854.83, 0.1994, 0.8538, 0.3208, 1.5526, 0.1994
0.2339, 1880.95, 0.4266, 0.4428, 0.7358, 1.6482, 0.4266
