Imatest,24.2.6, Master, SFR
File,car_55.0 mm_6400ISO_0EV_Dist1_OFF_Focused.tiff
Run date,12-May-2025 16:00:59,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0033,   26.21, 1.0003, 1.0005, 1.0001, 1.0028, 1.0003
0.0065,   52.43, 0.9942, 0.9869, 0.9954, 1.0019, 0.9942
0.0098,   78.64, 0.9748, 0.9538, 0.9777, 0.9985, 0.9748
0.0130,  104.85, 0.9529, 0.9548, 0.9452, 1.0269, 0.9529
0.0163,  131.07, 0.9571, 1.0366, 0.9286, 1.0475, 0.9571
0.0196,  157.28, 0.9705, 1.0470, 0.9484, 1.0163, 0.9705
0.0228,  183.49, 0.9760, 0.9888, 0.9731, 0.9777, 0.9760
0.0261,  209.71, 0.9819, 1.0252, 0.9766, 0.9369, 0.9819
0.0293,  235.92, 0.9604, 0.9835, 0.9546, 0.9683, 0.9604
0.0326,  262.13, 0.9314, 0.8860, 0.9361, 1.0438, 0.9314
0.0359,  288.35, 0.9523, 0.9213, 0.9578, 0.9833, 0.9523
0.0391,  314.56, 0.9460, 0.9839, 0.9399, 0.9253, 0.9460
0.0424,  340.77, 0.9024, 0.9707, 0.8847, 0.9216, 0.9024
0.0456,  366.99, 0.8929, 1.0210, 0.8605, 0.9010, 0.8929
0.0489,  393.20, 0.8747, 0.9963, 0.8426, 0.9261, 0.8747
0.0522,  419.41, 0.8470, 0.9208, 0.8234, 0.9432, 0.8470
0.0554,  445.63, 0.8215, 1.0148, 0.7660, 0.9596, 0.8215
0.0587,  471.84, 0.8043, 1.0557, 0.7605, 0.9010, 0.8043
0.0619,  498.05, 0.8270, 0.9834, 0.8231, 0.6882, 0.8270
0.0652,  524.27, 0.8703, 1.0948, 0.8396, 0.6238, 0.8703
0.0685,  550.48, 0.8859, 1.0983, 0.8356, 0.8735, 0.8859
0.0717,  576.69, 0.8824, 0.8628, 0.8890, 0.9275, 0.8824
0.0750,  602.91, 0.8753, 0.7164, 0.9389, 0.7426, 0.8753
0.0782,  629.12, 0.8256, 0.8032, 0.8532, 0.6877, 0.8256
0.0815,  655.33, 0.7630, 0.9548, 0.7438, 0.6272, 0.7630
0.0848,  681.55, 0.8083, 1.0487, 0.7946, 0.6107, 0.8083
0.0880,  707.76, 0.8639, 1.0970, 0.8635, 0.6139, 0.8639
0.0913,  733.97, 0.7907, 0.9650, 0.7754, 0.7286, 0.7907
0.0946,  760.19, 0.7021, 0.7322, 0.6867, 0.8396, 0.7021
0.0978,  786.40, 0.7034, 0.6553, 0.7144, 0.7391, 0.7034
0.1011,  812.61, 0.7488, 0.7224, 0.7759, 0.6071, 0.7488
0.1043,  838.83, 0.7665, 0.9154, 0.7681, 0.5397, 0.7665
0.1076,  865.04, 0.6925, 1.2352, 0.5810, 0.4852, 0.6925
0.1109,  891.25, 0.6499, 1.3061, 0.5050, 0.6047, 0.6499
0.1141,  917.47, 0.7084, 0.9352, 0.6842, 0.5859, 0.7084
0.1174,  943.68, 0.6980, 0.7305, 0.7377, 0.4004, 0.6980
0.1206,  969.89, 0.6629, 0.6529, 0.7049, 0.3056, 0.6629
0.1239,  996.11, 0.7232, 0.7062, 0.7824, 0.2473, 0.7232
0.1272, 1022.32, 0.6864, 0.9243, 0.6902, 0.2225, 0.6864
0.1304, 1048.53, 0.5665, 1.1422, 0.4762, 0.3815, 0.5665
0.1337, 1074.75, 0.5749, 1.1582, 0.4654, 0.5715, 0.5749
0.1369, 1100.96, 0.6149, 1.0720, 0.5139, 0.7031, 0.6149
0.1402, 1127.17, 0.6040, 1.0064, 0.5151, 0.5983, 0.6040
0.1435, 1153.39, 0.5921, 0.7114, 0.5928, 0.3724, 0.5921
0.1467, 1179.60, 0.6110, 0.6279, 0.6466, 0.3002, 0.6110
0.1500, 1205.81, 0.6639, 0.6900, 0.6787, 0.4829, 0.6639
0.1532, 1232.03, 0.6445, 0.6011, 0.6838, 0.5203, 0.6445
0.1565, 1258.24, 0.6067, 0.7721, 0.6060, 0.3290, 0.6067
0.1598, 1284.45, 0.6116, 0.9479, 0.5761, 0.3828, 0.6116
0.1630, 1310.67, 0.5947, 0.6628, 0.6345, 0.5444, 0.5947
0.1663, 1336.88, 0.5448, 0.2496, 0.6936, 0.4506, 0.5448
0.1695, 1363.09, 0.5182, 0.3076, 0.7204, 0.4033, 0.5182
0.1728, 1389.31, 0.4526, 0.1428, 0.5593, 0.4980, 0.4526
0.1761, 1415.52, 0.3481, 0.4771, 0.3505, 0.4765, 0.3481
0.1793, 1441.73, 0.3284, 0.3549, 0.3278, 0.3670, 0.3284
0.1826, 1467.95, 0.4517, 0.2785, 0.5530, 0.3946, 0.4517
0.1858, 1494.16, 0.5197, 0.0833, 0.6689, 0.4771, 0.5197
0.1891, 1520.37, 0.4352, 0.3505, 0.5084, 0.4805, 0.4352
0.1924, 1546.59, 0.3875, 0.4872, 0.3806, 0.4295, 0.3875
0.1956, 1572.80, 0.3461, 0.4466, 0.3325, 0.2432, 0.3461
0.1989, 1599.01, 0.3351, 0.6080, 0.3006, 0.1561, 0.3351
0.2021, 1625.23, 0.3525, 0.5355, 0.3445, 0.2686, 0.3525
0.2054, 1651.44, 0.3187, 0.2904, 0.3682, 0.3479, 0.3187
0.2087, 1677.65, 0.2986, 0.0600, 0.3719, 0.4173, 0.2986
0.2119, 1703.87, 0.2802, 0.1107, 0.3763, 0.3772, 0.2802
0.2152, 1730.08, 0.2914, 0.1332, 0.3953, 0.1631, 0.2914
0.2184, 1756.29, 0.3243, 0.2239, 0.3893, 0.1306, 0.3243
0.2217, 1782.51, 0.3090, 0.4025, 0.3177, 0.3197, 0.3090
0.2250, 1808.72, 0.3065, 0.4043, 0.2899, 0.4549, 0.3065
0.2282, 1834.93, 0.2757, 0.1953, 0.2845, 0.3958, 0.2757
0.2315, 1861.15, 0.2454, 0.1240, 0.2699, 0.3701, 0.2454
0.2347, 1887.36, 0.2658, 0.3212, 0.2487, 0.4487, 0.2658
0.2380, 1913.57, 0.3107, 0.3997, 0.2866, 0.4695, 0.3107
