Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3411  1886  3738  2287 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,07-May-2025 11:37:26,
File, cup_55.0 mm_25600ISO_+1EV_Dist1_OFF_Defocus2.tiff,cup_55.0 mm_25600ISO_+1EV_Dist1_OFF_Defocus1.tiff,cup_55.0 mm_25600ISO_+1EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_25600ISO_+1EV_Dist1_ON_Defocus1.tiff,cup_55.0 mm_25600ISO_+1EV_Dist1_OFF_Focused.tiff,cup_55.0 mm_25600ISO_+1EV_Dist1_ON_Focused.tiff,cup_55.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus2.tiff,cup_55.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus1.tiff,cup_55.0 mm_1600ISO_+1EV_Dist1_OFF_Defocus2.tiff,cup_55.0 mm_1600ISO_+1EV_Dist1_OFF_Defocus1.tiff,cup_55.0 mm_6400ISO_+1EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_6400ISO_+1EV_Dist1_ON_Defocus1.tiff,cup_55.0 mm_6400ISO_+1EV_Dist1_OFF_Focused.tiff,cup_55.0 mm_1600ISO_+1EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_1600ISO_+1EV_Dist1_ON_Defocus1.tiff,cup_55.0 mm_1600ISO_+1EV_Dist1_OFF_Focused.tiff,cup_55.0 mm_6400ISO_+1EV_Dist1_ON_Focused.tiff,cup_55.0 mm_1600ISO_+1EV_Dist1_ON_Focused.tiff,cup_55.0 mm_100ISO_+1EV_Dist1_OFF_Defocus2.tiff,cup_55.0 mm_100ISO_+1EV_Dist1_OFF_Defocus1.tiff,cup_55.0 mm_100ISO_+1EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_100ISO_+1EV_Dist1_ON_Defocus1.tiff,cup_55.0 mm_100ISO_+1EV_Dist1_OFF_Focused.tiff,cup_55.0 mm_100ISO_+1EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0085,  0.0207,  0.0088,  0.0217,  0.1161,  0.1066,  0.0089,  0.0216,  0.0089,  0.0208,  0.0089,  0.0209,  0.1264,  0.0089,  0.0210,  0.1698,  0.1716,  0.1577,  0.0089,  0.0209,  0.0089,  0.0208,  0.1718,  0.1728
R1090 (pxl) Mean Ctr, 59.1444, 19.3373, 52.5556, 20.9053,  4.3314,  3.6911, 45.5618, 21.6380, 53.2569, 21.7941, 47.2695, 22.9881,  2.8569, 47.7828, 21.6519,  2.8903,  3.1287,  3.0639, 51.5662, 21.9131, 52.1177, 21.9860,  3.0051,  2.9535
CA (pxl) Mean Ctr,  2.7069, 14.2727, 23.4269,  1.0281,  1.2041,  1.0707, 14.0485,  0.9097,  6.4988,  1.5836, 10.5192,  6.5313,  1.5283,  2.6889,  0.7203,  0.7705,  0.7925,  0.6966,  0.5835,  0.5091,  1.2604,  0.5885,  0.9401,  0.9071
MTF50 (LW/PH) Mean Ctr,     68.3,    166.8,     70.6,    174.1,    933.4,    857.2,     71.9,    173.3,     71.4,    167.0,     71.8,    168.4,   1016.0,     71.3,    168.9,   1365.3,   1379.5,   1267.6,     71.7,    167.7,     71.7,    166.9,   1381.6,   1388.9
R1090 (/PH) Mean Ctr,     68.0,    207.9,     76.5,    192.3,    928.1,   1089.1,     88.2,    185.8,     75.5,    184.5,     85.0,    174.9,   1407.1,     84.1,    185.7,   1390.9,   1284.9,   1312.1,     78.0,    183.5,     77.1,    182.8,   1337.7,   1361.1
Peak MTF Mean Ctr,   1.000,   1.000,   1.017,   1.000,   1.001,   1.046,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.002,   1.000,   1.000,   1.001,   1.000,   1.001,   1.000,   1.000,   1.000,   1.000,   1.001,   1.001
MTF50P (Cy/Pxl) Mean Ctr,  0.0085,  0.0207,  0.4892,  0.0217,  0.1161,  0.1061,  0.0089,  0.0216,  0.0089,  0.0208,  0.0089,  0.0209,  0.1263,  0.0089,  0.0210,  0.1698,  0.1716,  0.1576,  0.0089,  0.0209,  0.0089,  0.0208,  0.1718,  0.1727
MTF50P (LW/PH) Mean Ctr,     68.3,    166.8,   3933.4,    174.1,    933.2,    853.0,     71.9,    173.3,     71.4,    167.0,     71.8,    168.4,   1015.8,     71.3,    168.9,   1364.9,   1379.5,   1267.2,     71.7,    167.7,     71.7,    166.9,   1381.1,   1388.2
