Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_100ISO_0EV_Dist1_ON_Focused.tiff
Run date,12-May-2025 16:14:41,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0033,   26.23, 1.0002, 1.0002, 1.0001, 1.0011, 1.0002
0.0065,   52.45, 0.9943, 0.9925, 0.9947, 0.9950, 0.9943
0.0098,   78.68, 0.9831, 0.9790, 0.9849, 0.9789, 0.9831
0.0130,  104.90, 0.9671, 0.9634, 0.9689, 0.9625, 0.9671
0.0163,  131.13, 0.9547, 0.9515, 0.9561, 0.9537, 0.9547
0.0196,  157.36, 0.9531, 0.9431, 0.9576, 0.9420, 0.9531
0.0228,  183.58, 0.9517, 0.9333, 0.9596, 0.9308, 0.9517
0.0261,  209.81, 0.9432, 0.9216, 0.9518, 0.9273, 0.9432
0.0294,  236.03, 0.9337, 0.9081, 0.9429, 0.9233, 0.9337
0.0326,  262.26, 0.9256, 0.9005, 0.9354, 0.9101, 0.9256
0.0359,  288.49, 0.9140, 0.8911, 0.9244, 0.8888, 0.9140
0.0391,  314.71, 0.9026, 0.8816, 0.9126, 0.8775, 0.9026
0.0424,  340.94, 0.8978, 0.8766, 0.9087, 0.8660, 0.8978
0.0457,  367.16, 0.8884, 0.8595, 0.9033, 0.8439, 0.8884
0.0489,  393.39, 0.8719, 0.8420, 0.8870, 0.8281, 0.8719
0.0522,  419.62, 0.8645, 0.8474, 0.8766, 0.8152, 0.8645
0.0555,  445.84, 0.8567, 0.8438, 0.8687, 0.8020, 0.8567
0.0587,  472.07, 0.8506, 0.8280, 0.8658, 0.7935, 0.8506
0.0620,  498.30, 0.8501, 0.8307, 0.8668, 0.7700, 0.8501
0.0652,  524.52, 0.8365, 0.8262, 0.8521, 0.7445, 0.8365
0.0685,  550.75, 0.8181, 0.8059, 0.8330, 0.7445, 0.8181
0.0718,  576.97, 0.8077, 0.7871, 0.8247, 0.7382, 0.8077
0.0750,  603.20, 0.7908, 0.7617, 0.8111, 0.7127, 0.7908
0.0783,  629.43, 0.7574, 0.7197, 0.7822, 0.6669, 0.7574
0.0815,  655.65, 0.7306, 0.6908, 0.7577, 0.6186, 0.7306
0.0848,  681.88, 0.7485, 0.7157, 0.7751, 0.6195, 0.7485
0.0881,  708.10, 0.7611, 0.7365, 0.7847, 0.6513, 0.7611
0.0913,  734.33, 0.7397, 0.7247, 0.7584, 0.6636, 0.7397
0.0946,  760.56, 0.7309, 0.7032, 0.7546, 0.6406, 0.7309
0.0979,  786.78, 0.7303, 0.6806, 0.7626, 0.6163, 0.7303
0.1011,  813.01, 0.7138, 0.6481, 0.7505, 0.6079, 0.7138
0.1044,  839.23, 0.7010, 0.6357, 0.7373, 0.5917, 0.7010
0.1076,  865.46, 0.7018, 0.6575, 0.7348, 0.5649, 0.7018
0.1109,  891.69, 0.7000, 0.6555, 0.7362, 0.5493, 0.7000
0.1142,  917.91, 0.6865, 0.6358, 0.7240, 0.5399, 0.6865
0.1174,  944.14, 0.6737, 0.6299, 0.7096, 0.5196, 0.6737
0.1207,  970.36, 0.6685, 0.6346, 0.7023, 0.5175, 0.6685
0.1240,  996.59, 0.6645, 0.6354, 0.6945, 0.5264, 0.6645
0.1272, 1022.82, 0.6511, 0.6200, 0.6792, 0.5279, 0.6511
0.1305, 1049.04, 0.6382, 0.6056, 0.6667, 0.5295, 0.6382
0.1337, 1075.27, 0.6309, 0.5894, 0.6647, 0.5125, 0.6309
0.1370, 1101.49, 0.6149, 0.5617, 0.6556, 0.4619, 0.6149
0.1403, 1127.72, 0.5991, 0.5377, 0.6447, 0.4140, 0.5991
0.1435, 1153.95, 0.5876, 0.5246, 0.6326, 0.4059, 0.5876
0.1468, 1180.17, 0.5825, 0.5189, 0.6268, 0.4009, 0.5825
0.1500, 1206.40, 0.5837, 0.5070, 0.6332, 0.3765, 0.5837
0.1533, 1232.63, 0.5731, 0.4850, 0.6231, 0.3956, 0.5731
0.1566, 1258.85, 0.5579, 0.4985, 0.5940, 0.4300, 0.5579
0.1598, 1285.08, 0.5361, 0.5087, 0.5617, 0.4096, 0.5361
0.1631, 1311.30, 0.5198, 0.4816, 0.5508, 0.3770, 0.5198
0.1664, 1337.53, 0.5399, 0.4750, 0.5817, 0.3856, 0.5399
0.1696, 1363.76, 0.5368, 0.4599, 0.5806, 0.4041, 0.5368
0.1729, 1389.98, 0.5030, 0.4352, 0.5387, 0.4040, 0.5030
0.1761, 1416.21, 0.4996, 0.4336, 0.5356, 0.3674, 0.4996
0.1794, 1442.43, 0.5020, 0.4378, 0.5425, 0.3089, 0.5020
0.1827, 1468.66, 0.4791, 0.4348, 0.5140, 0.2887, 0.4791
0.1859, 1494.89, 0.4440, 0.4225, 0.4686, 0.3060, 0.4440
0.1892, 1521.11, 0.4160, 0.4102, 0.4340, 0.3084, 0.4160
0.1925, 1547.34, 0.3988, 0.3840, 0.4169, 0.3056, 0.3988
0.1957, 1573.56, 0.4013, 0.3810, 0.4200, 0.3028, 0.4013
0.1990, 1599.79, 0.4110, 0.4072, 0.4267, 0.2896, 0.4110
0.2022, 1626.02, 0.4050, 0.3961, 0.4250, 0.2687, 0.4050
0.2055, 1652.24, 0.3900, 0.3439, 0.4221, 0.2540, 0.3900
0.2088, 1678.47, 0.3868, 0.3339, 0.4192, 0.2477, 0.3868
0.2120, 1704.69, 0.3993, 0.3776, 0.4232, 0.2453, 0.3993
0.2153, 1730.92, 0.3899, 0.3824, 0.4115, 0.2268, 0.3899
0.2186, 1757.15, 0.3586, 0.3517, 0.3798, 0.2112, 0.3586
0.2218, 1783.37, 0.3440, 0.3296, 0.3648, 0.2215, 0.3440
0.2251, 1809.60, 0.3406, 0.3231, 0.3611, 0.2250, 0.3406
0.2283, 1835.82, 0.3293, 0.3195, 0.3465, 0.2209, 0.3293
0.2316, 1862.05, 0.3227, 0.3193, 0.3380, 0.2161, 0.3227
0.2349, 1888.28, 0.3211, 0.3183, 0.3360, 0.2086, 0.3211
0.2381, 1914.50, 0.3058, 0.2966, 0.3207, 0.2042, 0.3058
0.2414, 1940.73, 0.2902, 0.2755, 0.3064, 0.1978, 0.2902
0.2446, 1966.96, 0.2775, 0.2577, 0.2955, 0.1943, 0.2775
0.2479, 1993.18, 0.2634, 0.2417, 0.2817, 0.1874, 0.2634
0.2512, 2019.41, 0.2577, 0.2331, 0.2772, 0.1787, 0.2577
0.2544, 2045.63, 0.2614, 0.2352, 0.2812, 0.1825, 0.2614
0.2577, 2071.86, 0.2613, 0.2377, 0.2790, 0.1826, 0.2613
0.2610, 2098.09, 0.2483, 0.2254, 0.2639, 0.1756, 0.2483
0.2642, 2124.31, 0.2397, 0.2207, 0.2537, 0.1694, 0.2397
0.2675, 2150.54, 0.2430, 0.2218, 0.2597, 0.1600, 0.2430
0.2707, 2176.76, 0.2395, 0.2149, 0.2575, 0.1618, 0.2395
0.2740, 2202.99, 0.2283, 0.2065, 0.2427, 0.1762, 0.2283
0.2773, 2229.22, 0.2252, 0.2034, 0.2382, 0.1832, 0.2252
0.2805, 2255.44, 0.2184, 0.1909, 0.2333, 0.1765, 0.2184
