Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_1600ISO_+1EV_Dist1_OFF_Defocus1.tiff
Run date,07-May-2025 11:37:26,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.61, 0.9933, 0.9952, 0.9922, 0.9993, 0.9933
0.0061,   49.22, 0.9554, 0.9686, 0.9490, 0.9826, 0.9554
0.0092,   73.83, 0.8860, 0.9181, 0.8715, 0.9417, 0.8860
0.0122,   98.45, 0.7933, 0.8370, 0.7734, 0.8724, 0.7933
0.0153,  123.06, 0.6891, 0.7195, 0.6709, 0.7883, 0.6891
0.0184,  147.67, 0.5846, 0.6018, 0.5702, 0.6821, 0.5846
0.0214,  172.28, 0.4770, 0.5010, 0.4620, 0.5625, 0.4770
0.0245,  196.89, 0.3766, 0.3989, 0.3632, 0.4565, 0.3766
0.0276,  221.50, 0.2850, 0.3031, 0.2739, 0.3658, 0.2850
0.0306,  246.11, 0.1966, 0.2035, 0.1870, 0.3067, 0.1966
0.0337,  270.73, 0.1141, 0.0821, 0.1158, 0.2331, 0.1141
0.0367,  295.34, 0.0517, 0.0541, 0.0543, 0.1439, 0.0517
0.0398,  319.95, 0.0574, 0.0530, 0.0719, 0.0740, 0.0574
0.0429,  344.56, 0.0968, 0.0479, 0.1213, 0.0411, 0.0968
0.0459,  369.17, 0.1124, 0.0464, 0.1412, 0.0294, 0.1124
0.0490,  393.78, 0.0988, 0.0151, 0.1307, 0.0269, 0.0988
0.0520,  418.39, 0.0899, 0.0561, 0.1091, 0.0438, 0.0899
0.0551,  443.01, 0.1084, 0.1546, 0.1030, 0.0465, 0.1084
0.0582,  467.62, 0.0932, 0.1805, 0.0718, 0.0791, 0.0932
0.0612,  492.23, 0.0648, 0.1325, 0.0467, 0.1367, 0.0648
0.0643,  516.84, 0.0633, 0.1543, 0.0366, 0.1448, 0.0633
0.0673,  541.45, 0.0505, 0.1403, 0.0215, 0.0964, 0.0505
0.0704,  566.06, 0.0167, 0.0761, 0.0052, 0.0703, 0.0167
0.0735,  590.67, 0.0198, 0.0615, 0.0084, 0.0616, 0.0198
0.0765,  615.29, 0.0353, 0.0795, 0.0343, 0.0339, 0.0353
0.0796,  639.90, 0.0406, 0.0496, 0.0417, 0.0626, 0.0406
0.0827,  664.51, 0.0477, 0.1062, 0.0516, 0.0624, 0.0477
0.0857,  689.12, 0.0543, 0.0911, 0.0808, 0.0268, 0.0543
0.0888,  713.73, 0.0626, 0.0782, 0.1109, 0.0819, 0.0626
0.0918,  738.34, 0.0670, 0.1145, 0.1300, 0.1012, 0.0670
0.0949,  762.95, 0.0752, 0.0898, 0.1296, 0.0756, 0.0752
0.0980,  787.57, 0.0701, 0.1004, 0.0816, 0.1144, 0.0701
0.1010,  812.18, 0.0467, 0.1471, 0.0382, 0.1648, 0.0467
0.1041,  836.79, 0.0320, 0.1256, 0.0432, 0.1395, 0.0320
0.1071,  861.40, 0.0240, 0.0577, 0.0095, 0.0903, 0.0240
0.1102,  886.01, 0.0133, 0.0615, 0.0218, 0.0141, 0.0133
0.1133,  910.62, 0.0246, 0.0843, 0.0469, 0.0255, 0.0246
0.1163,  935.23, 0.0259, 0.0779, 0.0135, 0.0824, 0.0259
0.1194,  959.85, 0.0623, 0.1072, 0.0617, 0.1657, 0.0623
0.1224,  984.46, 0.0550, 0.1561, 0.0500, 0.2169, 0.0550
0.1255, 1009.07, 0.0279, 0.1732, 0.0134, 0.2004, 0.0279
0.1286, 1033.68, 0.0377, 0.1996, 0.0151, 0.1002, 0.0377
0.1316, 1058.29, 0.0647, 0.1705, 0.0482, 0.0869, 0.0647
0.1347, 1082.90, 0.0666, 0.1086, 0.0721, 0.1147, 0.0666
0.1378, 1107.51, 0.0464, 0.1000, 0.0654, 0.0745, 0.0464
0.1408, 1132.13, 0.0331, 0.0747, 0.0659, 0.0500, 0.0331
0.1439, 1156.74, 0.0653, 0.1282, 0.0803, 0.0492, 0.0653
0.1469, 1181.35, 0.0593, 0.1485, 0.0399, 0.0660, 0.0593
0.1500, 1205.96, 0.0602, 0.1559, 0.0282, 0.1312, 0.0602
0.1531, 1230.57, 0.0368, 0.1419, 0.0128, 0.1224, 0.0368
0.1561, 1255.18, 0.0293, 0.0432, 0.0466, 0.0610, 0.0293
0.1592, 1279.79, 0.0450, 0.0880, 0.0565, 0.0889, 0.0450
0.1622, 1304.41, 0.0332, 0.0775, 0.0590, 0.1053, 0.0332
0.1653, 1329.02, 0.0179, 0.1496, 0.0663, 0.0584, 0.0179
0.1684, 1353.63, 0.0186, 0.1806, 0.0425, 0.0963, 0.0186
0.1714, 1378.24, 0.0333, 0.0932, 0.0339, 0.1053, 0.0333
0.1745, 1402.85, 0.0260, 0.0211, 0.0412, 0.1270, 0.0260
0.1775, 1427.46, 0.0181, 0.0270, 0.0373, 0.1421, 0.0181
0.1806, 1452.07, 0.0570, 0.0295, 0.0952, 0.1452, 0.0570
0.1837, 1476.69, 0.0871, 0.0949, 0.1378, 0.1268, 0.0871
0.1867, 1501.30, 0.0852, 0.1520, 0.1427, 0.1246, 0.0852
