Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_1600ISO_+1EV_Dist1_ON_Focused.tiff
Run date,07-May-2025 11:37:26,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.63, 1.0007, 0.9975, 1.0017, 1.0005, 1.0007
0.0061,   49.26, 0.9968, 0.9913, 0.9992, 0.9897, 0.9968
0.0092,   73.88, 0.9870, 0.9900, 0.9867, 0.9840, 0.9870
0.0123,   98.51, 0.9696, 0.9777, 0.9655, 0.9901, 0.9696
0.0153,  123.14, 0.9572, 0.9593, 0.9541, 0.9867, 0.9572
0.0184,  147.77, 0.9546, 0.9528, 0.9542, 0.9744, 0.9546
0.0214,  172.39, 0.9546, 0.9546, 0.9553, 0.9612, 0.9546
0.0245,  197.02, 0.9555, 0.9556, 0.9582, 0.9390, 0.9555
0.0276,  221.65, 0.9566, 0.9511, 0.9632, 0.9173, 0.9566
0.0306,  246.28, 0.9482, 0.9487, 0.9509, 0.9391, 0.9482
0.0337,  270.91, 0.9253, 0.9386, 0.9203, 0.9639, 0.9253
0.0368,  295.53, 0.9109, 0.8971, 0.9178, 0.9147, 0.9109
0.0398,  320.16, 0.9034, 0.8693, 0.9218, 0.8536, 0.9034
0.0429,  344.79, 0.9089, 0.8741, 0.9286, 0.8536, 0.9089
0.0459,  369.42, 0.9192, 0.8802, 0.9407, 0.8545, 0.9192
0.0490,  394.04, 0.8982, 0.8782, 0.9137, 0.8422, 0.8982
0.0521,  418.67, 0.8680, 0.8369, 0.8850, 0.8408, 0.8680
0.0551,  443.30, 0.8560, 0.8290, 0.8727, 0.8369, 0.8560
0.0582,  467.93, 0.8603, 0.8313, 0.8811, 0.7989, 0.8603
