Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_25600ISO_+1EV_Dist1_ON_Defocus2.tiff
Run date,07-May-2025 11:37:26,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.54, 0.9305, 0.9466, 0.9280, 0.9148, 0.9305
0.0061,   49.07, 0.7342, 0.7634, 0.7261, 0.7392, 0.7342
0.0092,   73.61, 0.4676, 0.4844, 0.4614, 0.4863, 0.4676
0.0122,   98.14, 0.2021, 0.1700, 0.2053, 0.2792, 0.2021
0.0153,  122.68, 0.0274, 0.1180, 0.0640, 0.0772, 0.0274
0.0183,  147.21, 0.0495, 0.1981, 0.0778, 0.1582, 0.0495
0.0214,  171.75, 0.0868, 0.1080, 0.0819, 0.1931, 0.0868
0.0244,  196.28, 0.0634, 0.0319, 0.0591, 0.2420, 0.0634
0.0275,  220.82, 0.0139, 0.1385, 0.0687, 0.2406, 0.0139
0.0305,  245.35, 0.0477, 0.1174, 0.1185, 0.2008, 0.0477
0.0336,  269.89, 0.0374, 0.1012, 0.0416, 0.1912, 0.0374
0.0366,  294.42, 0.0467, 0.1232, 0.0288, 0.0367, 0.0467
0.0397,  318.96, 0.0682, 0.0669, 0.0873, 0.0688, 0.0682
0.0427,  343.49, 0.0588, 0.0769, 0.1180, 0.2128, 0.0588
0.0458,  368.03, 0.1206, 0.1768, 0.2201, 0.4327, 0.1206
0.0488,  392.56, 0.1262, 0.3846, 0.3023, 0.2984, 0.1262
0.0519,  417.10, 0.0585, 0.3259, 0.1674, 0.1508, 0.0585
0.0549,  441.63, 0.0602, 0.1914, 0.0871, 0.3265, 0.0602
0.0580,  466.17, 0.0791, 0.2375, 0.1805, 0.3360, 0.0791
0.0610,  490.70, 0.0705, 0.3787, 0.1086, 0.2503, 0.0705
0.0641,  515.24, 0.1148, 0.6897, 0.0908, 0.1240, 0.1148
