Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_25600ISO_-1EV_Dist1_ON_Focused.tiff
Run date,12-May-2025 16:18:49,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0033,   26.14, 0.9910, 0.9531, 1.0001, 0.9876, 0.9910
0.0065,   52.27, 0.9543, 0.9212, 0.9587, 0.9937, 0.9543
0.0098,   78.41, 0.8881, 0.9791, 0.8579, 1.0289, 0.8881
0.0130,  104.55, 0.8438, 1.0787, 0.7898, 0.9325, 0.8438
0.0163,  130.69, 0.8253, 1.0726, 0.7769, 0.7956, 0.8253
0.0195,  156.82, 0.7331, 1.0597, 0.6664, 0.7221, 0.7331
0.0228,  182.96, 0.5795, 0.6661, 0.5755, 0.5167, 0.5795
0.0260,  209.10, 0.5093, 0.4575, 0.6339, 0.1055, 0.5093
0.0293,  235.23, 0.4426, 0.3514, 0.5491, 0.2648, 0.4426
0.0325,  261.37, 0.3512, 0.4133, 0.3736, 0.5423, 0.3512
0.0358,  287.51, 0.3481, 0.2061, 0.4061, 0.2886, 0.3481
0.0390,  313.65, 0.2809, 0.8857, 0.3814, 0.4894, 0.2809
0.0423,  339.78, 0.1450, 1.0361, 0.1714, 0.4469, 0.1450
0.0455,  365.92, 0.1323, 0.3100, 0.1477, 0.3460, 0.1323
0.0488,  392.06, 0.2706, 0.6906, 0.2750, 0.5218, 0.2706
0.0520,  418.20, 0.1858, 1.1146, 0.0679, 0.3724, 0.1858
0.0553,  444.33, 0.1833, 1.0550, 0.2637, 0.5101, 0.1833
0.0585,  470.47, 0.1291, 1.4277, 0.1545, 0.2388, 0.1291
0.0618,  496.61, 0.1801, 1.3653, 0.4079, 0.2964, 0.1801
0.0650,  522.74, 0.1130, 0.6756, 0.3006, 0.2969, 0.1130
0.0683,  548.88, 0.3596, 0.2220, 0.4280, 0.1270, 0.3596
0.0715,  575.02, 0.3036, 0.7112, 0.2611, 0.6071, 0.3036
0.0748,  601.16, 0.3894, 1.4686, 0.1484, 0.8875, 0.3894
0.0780,  627.29, 0.3328, 1.2129, 0.2418, 1.0952, 0.3328
0.0813,  653.43, 0.3113, 1.6014, 0.1962, 0.9707, 0.3113
0.0845,  679.57, 0.1178, 0.5638, 0.0756, 0.3319, 0.1178
0.0878,  705.70, 0.1303, 1.6586, 0.1627, 1.0614, 0.1303
0.0910,  731.84, 0.0953, 1.3090, 0.1811, 0.5665, 0.0953
0.0943,  757.98, 0.3127, 1.7390, 0.2490, 0.6820, 0.3127
0.0975,  784.12, 0.5458, 1.6371, 0.6925, 0.7091, 0.5458
0.1008,  810.25, 0.5100, 1.3877, 0.8976, 0.4612, 0.5100
0.1040,  836.39, 0.4870, 1.4966, 0.6470, 0.2099, 0.4870
0.1073,  862.53, 0.3855, 1.8147, 0.2847, 1.2857, 0.3855
0.1105,  888.66, 0.1022, 0.2221, 0.0996, 0.7978, 0.1022
0.1138,  914.80, 0.4019, 2.8076, 0.4883, 0.5975, 0.4019
0.1170,  940.94, 0.3957, 2.5097, 0.1862, 0.7112, 0.3957
0.1203,  967.08, 0.2204, 1.2292, 0.0338, 0.7056, 0.2204
0.1235,  993.21, 0.4442, 1.2632, 0.5597, 0.4117, 0.4442
0.1268, 1019.35, 0.7872, 1.7212, 0.8485, 0.5850, 0.7872
0.1300, 1045.49, 0.4677, 2.1447, 0.1150, 0.5553, 0.4677
0.1333, 1071.62, 0.5283, 1.5304, 0.5477, 0.3547, 0.5283
0.1365, 1097.76, 0.5489, 1.2239, 0.8204, 0.3620, 0.5489
0.1398, 1123.90, 0.7927, 0.5129, 1.1685, 0.6020, 0.7927
0.1430, 1150.04, 0.6057, 1.0453, 1.0416, 0.8556, 0.6057
0.1463, 1176.17, 0.8291, 2.5923, 1.2497, 0.2423, 0.8291
0.1495, 1202.31, 0.8288, 2.6803, 0.8489, 0.6756, 0.8288
0.1528, 1228.45, 0.4773, 0.8752, 0.4046, 0.3815, 0.4773
0.1560, 1254.59, 0.2086, 1.4620, 0.3015, 0.3575, 0.2086
0.1593, 1280.72, 0.4865, 1.8669, 0.6473, 0.4812, 0.4865
0.1625, 1306.86, 0.5333, 0.1093, 0.5807, 0.9936, 0.5333
0.1658, 1333.00, 0.0953, 0.9446, 0.3007, 1.6493, 0.0953
0.1690, 1359.13, 0.4607, 1.0251, 0.4861, 1.5515, 0.4607
0.1723, 1385.27, 0.4855, 0.4221, 0.5996, 0.9512, 0.4855
0.1755, 1411.41, 0.5664, 1.6318, 0.7501, 0.6440, 0.5664
0.1788, 1437.55, 0.1484, 0.3546, 0.2261, 0.5398, 0.1484
0.1821, 1463.68, 0.5572, 1.2466, 0.5872, 0.5316, 0.5572
0.1853, 1489.82, 0.5736, 1.3334, 0.5488, 0.6996, 0.5736
0.1886, 1515.96, 0.6124, 0.8045, 0.7925, 1.1087, 0.6124
0.1918, 1542.09, 0.9746, 1.8699, 1.4674, 0.6805, 0.9746
0.1951, 1568.23, 0.7821, 2.5423, 1.0091, 1.1993, 0.7821
0.1983, 1594.37, 0.7308, 1.7952, 0.5546, 1.7930, 0.7308
0.2016, 1620.51, 0.4869, 2.0059, 0.7021, 1.1881, 0.4869
0.2048, 1646.64, 0.8134, 1.2511, 1.3639, 0.6031, 0.8134
0.2081, 1672.78, 1.1992, 0.1476, 1.6341, 0.9704, 1.1992
0.2113, 1698.92, 0.5778, 0.5922, 0.7438, 1.2185, 0.5778
0.2146, 1725.05, 0.2643, 0.5002, 0.3783, 0.7008, 0.2643
0.2178, 1751.19, 0.2573, 0.5315, 0.4486, 1.0928, 0.2573
0.2211, 1777.33, 0.7895, 1.6118, 1.2433, 1.6340, 0.7895
0.2243, 1803.47, 0.8733, 1.8909, 1.3429, 0.5441, 0.8733
0.2276, 1829.60, 0.5078, 1.3299, 0.7258, 1.6273, 0.5078
0.2308, 1855.74, 1.1925, 2.4640, 0.8579, 2.0694, 1.1925
0.2341, 1881.88, 1.3765, 3.7739, 0.9944, 0.8021, 1.3765
0.2373, 1908.02, 0.6258, 1.3466, 0.5863, 0.5616, 0.6258
0.2406, 1934.15, 0.3495, 1.4874, 0.1193, 0.4383, 0.3495
0.2438, 1960.29, 1.0702, 1.8752, 1.0747, 0.5110, 1.0702
0.2471, 1986.43, 0.9910, 2.0190, 0.8873, 0.1776, 0.9910
0.2503, 2012.56, 0.6882, 1.1151, 0.8151, 1.0995, 0.6882
0.2536, 2038.70, 1.1151, 0.7258, 1.3233, 1.2835, 1.1151
0.2568, 2064.84, 0.7001, 0.8749, 0.9273, 1.7710, 0.7001
0.2601, 2090.98, 0.5560, 1.1711, 0.7558, 1.2160, 0.5560
0.2633, 2117.11, 0.8471, 0.5875, 0.9630, 0.7021, 0.8471
0.2666, 2143.25, 1.1821, 2.4392, 1.0793, 1.3632, 1.1821
0.2698, 2169.39, 0.7802, 1.9402, 0.6744, 0.6921, 0.7802
0.2731, 2195.52, 0.9470, 1.3306, 0.9671, 1.0377, 0.9470
0.2763, 2221.66, 0.8403, 1.5028, 0.7184, 1.3259, 0.8403
0.2796, 2247.80, 0.3260, 0.5901, 0.3886, 0.8355, 0.3260
0.2828, 2273.94, 1.0948, 1.4036, 1.4442, 0.5145, 1.0948
0.2861, 2300.07, 0.5237, 1.7446, 1.0717, 1.3161, 0.5237
0.2893, 2326.21, 0.5593, 1.9356, 0.2914, 1.9964, 0.5593
0.2926, 2352.35, 0.4750, 1.5780, 0.2726, 0.9835, 0.4750
0.2958, 2378.48, 0.8694, 2.1278, 0.8692, 0.8176, 0.8694
0.2991, 2404.62, 0.5769, 2.6087, 0.4089, 0.6634, 0.5769
0.3023, 2430.76, 0.6039, 0.5198, 0.5943, 1.1980, 0.6039
0.3056, 2456.90, 1.4227, 2.0304, 1.3305, 1.4246, 1.4227
0.3088, 2483.03, 0.9066, 1.0025, 0.9699, 1.1781, 0.9066
0.3121, 2509.17, 0.5780, 0.7167, 0.6621, 1.1505, 0.5780
0.3153, 2535.31, 0.6972, 0.8826, 0.6026, 2.0564, 0.6972
0.3186, 2561.44, 0.7203, 1.9747, 0.5000, 1.2089, 0.7203
0.3218, 2587.58, 0.8533, 1.8808, 0.7383, 0.1793, 0.8533
0.3251, 2613.72, 0.4139, 1.1389, 0.4279, 0.8916, 0.4139
0.3283, 2639.86, 1.4649, 0.7279, 1.6628, 1.2557, 1.4649
0.3316, 2665.99, 1.4901, 1.7446, 1.6486, 0.0900, 1.4901
0.3348, 2692.13, 0.7791, 1.1929, 0.8601, 0.9628, 0.7791
0.3381, 2718.27, 0.7943, 1.7073, 0.7771, 0.9365, 0.7943
0.3413, 2744.41, 0.5488, 1.0462, 0.6779, 0.7603, 0.5488
0.3446, 2770.54, 0.5335, 0.7344, 0.4657, 1.0435, 0.5335
0.3478, 2796.68, 0.9150, 1.3084, 0.8292, 1.2955, 0.9150
0.3511, 2822.82, 0.5977, 1.1644, 0.4973, 1.2203, 0.5977
0.3543, 2848.95, 0.2684, 1.0764, 0.2682, 0.3962, 0.2684
0.3576, 2875.09, 0.4898, 0.4786, 0.6426, 1.0215, 0.4898
0.3608, 2901.23, 0.5323, 0.8858, 0.5266, 0.6638, 0.5323
0.3641, 2927.37, 0.7829, 1.4101, 0.7508, 0.3864, 0.7829
0.3674, 2953.50, 0.8687, 1.6488, 0.8046, 0.4644, 0.8687
0.3706, 2979.64, 0.7598, 1.2390, 0.7938, 0.3483, 0.7598
0.3739, 3005.78, 0.8401, 1.8125, 0.8708, 1.1246, 0.8401
0.3771, 3031.91, 0.4276, 1.3479, 0.5537, 0.6983, 0.4276
0.3804, 3058.05, 0.5031, 1.6299, 0.3502, 0.8646, 0.5031
0.3836, 3084.19, 0.5514, 1.3259, 0.3416, 1.1937, 0.5514
0.3869, 3110.33, 0.6273, 0.6091, 0.6147, 0.9046, 0.6273
0.3901, 3136.46, 1.0671, 0.6916, 1.1597, 1.1512, 1.0671
0.3934, 3162.60, 1.2743, 0.9549, 1.4193, 0.7108, 1.2743
0.3966, 3188.74, 0.6533, 1.1070, 0.6267, 0.3714, 0.6533
0.3999, 3214.87, 0.8970, 1.8580, 0.7345, 0.8458, 0.8970
0.4031, 3241.01, 0.2774, 0.6088, 0.3619, 0.2773, 0.2774
0.4064, 3267.15, 0.6020, 0.3359, 0.6910, 0.8686, 0.6020
0.4096, 3293.29, 0.7962, 0.6426, 0.9919, 1.0098, 0.7962
0.4129, 3319.42, 0.8422, 0.7195, 1.0449, 0.4796, 0.8422
0.4161, 3345.56, 0.7092, 1.1887, 0.7154, 0.6203, 0.7092
0.4194, 3371.70, 0.3664, 0.6677, 0.3237, 0.4840, 0.3664
