Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3416  1881  3723  2291 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,12-May-2025 16:28:02,
File, cup_55.0 mm_100ISO_-3EV_Dist1_OFF_Defocus1.tiff,cup_55.0 mm_100ISO_-3EV_Dist1_OFF_Defocus2.tiff,cup_55.0 mm_100ISO_-3EV_Dist1_OFF_Focused.tiff,cup_55.0 mm_100ISO_-3EV_Dist1_ON_Defocus1.tiff,cup_55.0 mm_100ISO_-3EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_100ISO_-3EV_Dist1_ON_Focused.tiff,cup_55.0 mm_1600ISO_-3EV_Dist1_OFF_Defocus1.tiff,cup_55.0 mm_1600ISO_-3EV_Dist1_OFF_Defocus2.tiff,cup_55.0 mm_1600ISO_-3EV_Dist1_OFF_Focused.tiff,cup_55.0 mm_1600ISO_-3EV_Dist1_ON_Defocus1.tiff,cup_55.0 mm_1600ISO_-3EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_1600ISO_-3EV_Dist1_ON_Focused.tiff,cup_55.0 mm_6400ISO_-3EV_Dist1_OFF_Defocus1.tiff,cup_55.0 mm_6400ISO_-3EV_Dist1_OFF_Defocus2.tiff,cup_55.0 mm_6400ISO_-3EV_Dist1_OFF_Focused.tiff,cup_55.0 mm_6400ISO_-3EV_Dist1_ON_Defocus1.tiff,cup_55.0 mm_6400ISO_-3EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_6400ISO_-3EV_Dist1_ON_Focused.tiff,cup_55.0 mm_25600ISO_-3EV_Dist1_OFF_Defocus1.tiff,cup_55.0 mm_25600ISO_-3EV_Dist1_OFF_Defocus2.tiff,cup_55.0 mm_25600ISO_-3EV_Dist1_OFF_Focused.tiff,cup_55.0 mm_25600ISO_-3EV_Dist1_ON_Defocus1.tiff,cup_55.0 mm_25600ISO_-3EV_Dist1_ON_Defocus2.tiff,cup_55.0 mm_25600ISO_-3EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0209,  0.0091,  0.1777,  0.0213,  0.0090,  0.1835,  0.0157,  0.0087,  0.0889,  0.0163,  0.0086,  0.0610,  0.0173,  0.0086,  0.0212,  0.0146,  0.0080,  0.0218,  0.0201,  0.0042,  0.0107,  0.0059,  0.0043,  0.0031
R1090 (pxl) Mean Ctr, 21.9987, 55.6607,  2.9255, 21.6510, 55.0270,  2.7929, 30.0489, 47.8586,  3.9963, 23.0760, 56.0721,  6.2458, 19.2802, 168.1364, 17.1626, 27.4232, 33.5400, 18.4370, 257.5669, 177.2743, 172.2964, 128.3504, 221.8696, 186.9234
CA (pxl) Mean Ctr,  1.6674,  1.2044,  0.6913,  1.1912,  0.4177,  1.0039,  7.1227, 24.8664,  0.6642, 13.2713, 13.4837,  0.3115, 20.7115, 413.4276, 20.2320, 19.4326, 33.4031,  6.0893, 140.4708, 194.2890, 278.0719, 99.1299, 43.8915, 113.4071
MTF50 (LW/PH) Mean Ctr,    167.6,     72.8,   1428.5,    170.9,     72.4,   1475.6,    126.6,     69.7,    715.0,    131.3,     69.3,    490.2,    139.3,     69.1,    170.6,    117.0,     64.3,    175.6,    161.7,     33.6,     86.3,     47.6,     34.2,     25.0
R1090 (/PH) Mean Ctr,    182.7,     72.2,   1374.1,    185.7,     73.1,   1439.4,    133.8,     84.0,   1005.9,    174.2,     71.7,    643.6,    208.5,     23.9,    234.2,    146.6,    119.9,    218.0,     15.6,     22.7,     23.3,     31.3,     18.1,     21.5
Peak MTF Mean Ctr,   1.000,   1.000,   1.001,   1.000,   1.000,   1.002,   1.000,   1.000,   1.002,   1.000,   1.000,   1.000,   1.646,   2.342,   2.178,   1.880,   2.341,   2.000,   6.503,   2.185,  10.917,   4.928,   2.181,   8.231
MTF50P (Cy/Pxl) Mean Ctr,  0.0209,  0.0091,  0.1776,  0.0213,  0.0090,  0.1834,  0.0157,  0.0087,  0.0888,  0.0163,  0.0086,  0.0610,  0.3326,  0.4622,  0.4533,  0.3930,  0.3705,  0.3930,  0.4936,  0.5039,  0.3405,  0.3801,  0.4178,  0.3006
MTF50P (LW/PH) Mean Ctr,    167.6,     72.8,   1428.3,    170.9,     72.4,   1474.6,    126.6,     69.7,    714.1,    131.3,     69.3,    490.2,   2674.3,   3716.1,   3644.7,   3159.7,   2978.5,   3159.4,   3968.9,   4051.1,   2737.8,   3056.1,   3358.8,   2416.5
