Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_25600ISO_0EV_Dist1_OFF_Defocus1.tiff
Run date,12-May-2025 16:14:41,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0032,   26.11, 0.9552, 0.9365, 0.9606, 0.9567, 0.9552
0.0065,   52.23, 0.8196, 0.7470, 0.8409, 0.8291, 0.8196
0.0097,   78.34, 0.6240, 0.5483, 0.6397, 0.7001, 0.6240
0.0130,  104.45, 0.4197, 0.3643, 0.4202, 0.5508, 0.4197
0.0162,  130.57, 0.2599, 0.2073, 0.2674, 0.3632, 0.2599
0.0195,  156.68, 0.1822, 0.3552, 0.1413, 0.2361, 0.1822
0.0227,  182.79, 0.0860, 0.3573, 0.0137, 0.2281, 0.0860
0.0260,  208.91, 0.0765, 0.2455, 0.0859, 0.3052, 0.0765
0.0292,  235.02, 0.0605, 0.2566, 0.0533, 0.1730, 0.0605
0.0325,  261.13, 0.0901, 0.0703, 0.1053, 0.2171, 0.0901
0.0357,  287.25, 0.0394, 0.1893, 0.1113, 0.2847, 0.0394
0.0390,  313.36, 0.1136, 0.4090, 0.1420, 0.2264, 0.1136
0.0422,  339.48, 0.1168, 0.2748, 0.1245, 0.3302, 0.1168
0.0455,  365.59, 0.1866, 0.0874, 0.2036, 0.3945, 0.1866
0.0487,  391.70, 0.0991, 0.4488, 0.1459, 0.3198, 0.0991
0.0520,  417.82, 0.0956, 0.4216, 0.0771, 0.2188, 0.0956
0.0552,  443.93, 0.0817, 0.3630, 0.1970, 0.1789, 0.0817
0.0585,  470.04, 0.0844, 0.4413, 0.2231, 0.0760, 0.0844
0.0617,  496.16, 0.1981, 0.4458, 0.2594, 0.1664, 0.1981
0.0650,  522.27, 0.2398, 0.3366, 0.2469, 0.3969, 0.2398
0.0682,  548.38, 0.1875, 0.4808, 0.2524, 0.5986, 0.1875
0.0715,  574.50, 0.1232, 0.6248, 0.1208, 0.2778, 0.1232
0.0747,  600.61, 0.1542, 0.8698, 0.2694, 0.4630, 0.1542
0.0780,  626.72, 0.1830, 1.0967, 0.3230, 0.2543, 0.1830
0.0812,  652.84, 0.1314, 0.8487, 0.4001, 0.3155, 0.1314
0.0844,  678.95, 0.1578, 1.1514, 0.5249, 0.4019, 0.1578
0.0877,  705.06, 0.1806, 1.1563, 0.5994, 0.7007, 0.1806
0.0909,  731.18, 0.1900, 0.6638, 0.4364, 0.5861, 0.1900
0.0942,  757.29, 0.2128, 0.3525, 0.2168, 0.4684, 0.2128
0.0974,  783.40, 0.1589, 0.1345, 0.2053, 0.5185, 0.1589
0.1007,  809.52, 0.1892, 0.1039, 0.3170, 0.7454, 0.1892
0.1039,  835.63, 0.1874, 0.2212, 0.3661, 0.6656, 0.1874
0.1072,  861.74, 0.1464, 0.8997, 0.1187, 0.4462, 0.1464
0.1104,  887.86, 0.4473, 0.8126, 0.4507, 0.3366, 0.4473
0.1137,  913.97, 0.6833, 0.5346, 0.8908, 0.8052, 0.6833
0.1169,  940.08, 0.7156, 0.3916, 0.9232, 1.0180, 0.7156
0.1202,  966.20, 0.6090, 0.8701, 0.6007, 0.3315, 0.6090
0.1234,  992.31, 0.4535, 0.5938, 0.5858, 0.5109, 0.4535
0.1267, 1018.43, 0.4012, 0.8675, 0.3641, 0.7379, 0.4012
0.1299, 1044.54, 0.1659, 0.9153, 0.0308, 0.8813, 0.1659
0.1332, 1070.65, 0.1604, 0.4266, 0.3050, 1.1731, 0.1604
0.1364, 1096.77, 0.0213, 0.7240, 0.2189, 0.6608, 0.0213
0.1397, 1122.88, 0.3060, 1.3599, 0.5732, 0.8305, 0.3060
0.1429, 1148.99, 0.2772, 1.4791, 0.6225, 0.8674, 0.2772
0.1462, 1175.11, 0.1875, 1.1493, 0.2765, 0.8618, 0.1875
0.1494, 1201.22, 0.1483, 0.9528, 0.3517, 0.8208, 0.1483
0.1527, 1227.33, 0.4009, 1.2282, 0.2461, 0.4408, 0.4009
0.1559, 1253.45, 0.4630, 0.9234, 0.5520, 0.1369, 0.4630
0.1591, 1279.56, 0.2483, 1.2250, 0.5502, 0.4150, 0.2483
0.1624, 1305.67, 0.1052, 1.1353, 0.1740, 0.2329, 0.1052
0.1656, 1331.79, 0.1703, 0.6966, 0.1312, 0.8557, 0.1703
0.1689, 1357.90, 0.3150, 0.7539, 0.4682, 0.4054, 0.3150
0.1721, 1384.01, 0.1839, 0.6586, 0.4431, 0.3615, 0.1839
0.1754, 1410.13, 0.1706, 0.4725, 0.1124, 0.4927, 0.1706
0.1786, 1436.24, 0.1682, 1.2178, 0.1002, 0.3408, 0.1682
0.1819, 1462.35, 0.2958, 1.0308, 0.5473, 0.4587, 0.2958
0.1851, 1488.47, 0.3135, 0.7002, 0.5956, 0.3768, 0.3135
0.1884, 1514.58, 0.5383, 1.3815, 1.0050, 0.3570, 0.5383
0.1916, 1540.69, 0.8244, 0.6465, 1.1698, 0.3606, 0.8244
0.1949, 1566.81, 0.5729, 0.0271, 0.8332, 0.6761, 0.5729
0.1981, 1592.92, 0.4385, 0.4077, 0.5992, 0.9143, 0.4385
0.2014, 1619.03, 0.5085, 1.0560, 0.5489, 0.3807, 0.5085
0.2046, 1645.15, 0.3148, 1.0071, 0.6236, 0.2562, 0.3148
0.2079, 1671.26, 0.5021, 0.8126, 0.7958, 0.1369, 0.5021
0.2111, 1697.38, 0.5519, 0.8245, 0.8237, 0.3938, 0.5519
0.2144, 1723.49, 0.5488, 0.6428, 0.7983, 0.5263, 0.5488
0.2176, 1749.60, 0.4108, 0.9701, 0.6973, 0.5708, 0.4108
0.2209, 1775.72, 0.2851, 0.9731, 0.6727, 0.5539, 0.2851
0.2241, 1801.83, 0.4745, 1.4491, 0.7825, 0.5376, 0.4745
0.2274, 1827.94, 0.5110, 1.2875, 0.4685, 0.3579, 0.5110
0.2306, 1854.06, 0.1509, 0.8219, 0.0861, 0.5305, 0.1509
0.2339, 1880.17, 0.2730, 1.0995, 0.1882, 0.1805, 0.2730
0.2371, 1906.28, 0.6649, 1.7715, 0.5467, 0.5266, 0.6649
0.2403, 1932.40, 0.3363, 1.2873, 0.3988, 0.5589, 0.3363
0.2436, 1958.51, 0.2646, 0.1690, 0.2880, 0.7189, 0.2646
0.2468, 1984.62, 0.3505, 0.2861, 0.2752, 1.3663, 0.3505
0.2501, 2010.74, 0.4262, 0.6255, 0.5151, 1.3081, 0.4262
0.2533, 2036.85, 0.2679, 0.4725, 0.3695, 0.6210, 0.2679
0.2566, 2062.96, 0.3080, 0.2726, 0.2720, 0.7716, 0.3080
0.2598, 2089.08, 0.2087, 0.8829, 0.0791, 0.8283, 0.2087
0.2631, 2115.19, 0.3226, 0.9175, 0.4085, 0.5742, 0.3226
0.2663, 2141.30, 0.3034, 0.1088, 0.4047, 0.1472, 0.3034
0.2696, 2167.42, 0.2437, 0.8530, 0.4499, 0.7133, 0.2437
0.2728, 2193.53, 0.2081, 0.6689, 0.3573, 0.4897, 0.2081
0.2761, 2219.64, 0.1892, 0.2445, 0.2857, 0.4019, 0.1892
0.2793, 2245.76, 0.3427, 0.5664, 0.2900, 0.3925, 0.3427
0.2826, 2271.87, 0.1869, 0.8668, 0.1306, 0.1785, 0.1869
0.2858, 2297.98, 0.2455, 0.4783, 0.3618, 0.3676, 0.2455
0.2891, 2324.10, 0.1893, 0.2263, 0.3382, 0.2600, 0.1893
0.2923, 2350.21, 0.2707, 0.3621, 0.3238, 0.7425, 0.2707
0.2956, 2376.33, 0.1338, 0.6937, 0.2103, 0.9085, 0.1338
0.2988, 2402.44, 0.1456, 0.0809, 0.2118, 0.3760, 0.1456
0.3021, 2428.55, 0.2634, 0.9873, 0.2333, 0.3104, 0.2634
0.3053, 2454.67, 0.3265, 0.6447, 0.3946, 0.5481, 0.3265
0.3086, 2480.78, 0.0585, 0.3476, 0.1505, 0.6667, 0.0585
0.3118, 2506.89, 0.6094, 1.0277, 0.5136, 0.9110, 0.6094
