Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_6400ISO_+1EV_Dist1_OFF_Focused.tiff
Run date,07-May-2025 11:37:26,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.63, 1.0017, 1.0071, 1.0008, 0.9972, 1.0017
0.0061,   49.26, 1.0001, 1.0005, 1.0016, 0.9845, 1.0001
0.0092,   73.88, 0.9862, 0.9745, 0.9907, 0.9747, 0.9862
0.0123,   98.51, 0.9705, 0.9613, 0.9739, 0.9652, 0.9705
0.0153,  123.14, 0.9721, 0.9763, 0.9733, 0.9568, 0.9721
0.0184,  147.77, 0.9741, 0.9744, 0.9777, 0.9542, 0.9741
0.0214,  172.40, 0.9711, 0.9594, 0.9770, 0.9628, 0.9711
0.0245,  197.03, 0.9597, 1.0182, 0.9429, 0.9813, 0.9597
0.0276,  221.65, 0.9395, 1.0421, 0.9108, 0.9608, 0.9395
0.0306,  246.28, 0.9398, 1.0013, 0.9336, 0.8501, 0.9398
0.0337,  270.91, 0.9501, 1.0332, 0.9500, 0.7707, 0.9501
0.0368,  295.54, 0.9472, 1.0286, 0.9440, 0.8214, 0.9472
0.0398,  320.17, 0.9466, 0.9252, 0.9661, 0.8549, 0.9466
0.0429,  344.80, 0.9274, 0.8543, 0.9589, 0.8483, 0.9274
0.0459,  369.42, 0.8643, 0.9020, 0.8611, 0.8690, 0.8643
0.0490,  394.05, 0.8451, 1.0312, 0.8015, 0.8697, 0.8451
0.0521,  418.68, 0.8633, 1.0789, 0.8123, 0.8702, 0.8633
0.0551,  443.31, 0.8494, 1.0313, 0.8165, 0.8984, 0.8494
0.0582,  467.94, 0.8800, 1.0279, 0.8721, 0.8639, 0.8800
0.0613,  492.57, 0.9238, 0.9812, 0.9370, 0.7770, 0.9238
0.0643,  517.19, 0.9017, 0.8583, 0.9324, 0.7409, 0.9017
0.0674,  541.82, 0.8430, 0.8545, 0.8640, 0.7240, 0.8430
0.0705,  566.45, 0.8129, 0.9657, 0.7883, 0.6850, 0.8129
0.0735,  591.08, 0.8319, 1.0929, 0.7819, 0.7372, 0.8319
0.0766,  615.71, 0.8155, 0.9300, 0.7953, 0.7957, 0.8155
0.0796,  640.33, 0.7425, 0.6608, 0.7706, 0.7600, 0.7425
0.0827,  664.96, 0.7083, 0.6668, 0.7296, 0.6858, 0.7083
0.0858,  689.59, 0.7691, 0.9217, 0.7539, 0.6127, 0.7691
0.0888,  714.22, 0.8023, 1.0964, 0.7479, 0.7011, 0.8023
0.0919,  738.85, 0.7656, 0.9340, 0.7324, 0.7780, 0.7656
0.0950,  763.48, 0.7596, 0.6826, 0.8098, 0.6414, 0.7596
0.0980,  788.10, 0.7524, 0.7330, 0.7923, 0.5841, 0.7524
0.1011,  812.73, 0.7100, 0.7431, 0.7340, 0.5592, 0.7100
0.1041,  837.36, 0.6860, 0.5776, 0.7444, 0.4480, 0.6860
0.1072,  861.99, 0.6955, 0.6042, 0.7444, 0.5181, 0.6955
0.1103,  886.62, 0.6911, 0.6670, 0.7267, 0.6188, 0.6911
0.1133,  911.25, 0.6885, 0.6340, 0.7289, 0.5121, 0.6885
