Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_6400ISO_-3EV_Dist1_OFF_Focused.tiff
Run date,12-May-2025 16:28:02,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0033,   26.13, 0.9816, 0.9506, 0.9898, 0.9820, 0.9816
0.0065,   52.26, 0.9498, 0.9034, 0.9623, 0.9438, 0.9498
0.0098,   78.39, 0.9111, 0.9755, 0.9057, 0.7993, 0.9111
0.0130,  104.53, 0.8473, 1.0352, 0.8150, 0.6748, 0.8473
0.0163,  130.66, 0.6802, 0.8050, 0.6512, 0.7165, 0.6802
0.0195,  156.79, 0.5259, 0.4890, 0.5506, 0.7458, 0.5259
0.0228,  182.92, 0.4769, 0.4077, 0.5118, 0.6995, 0.4769
0.0260,  209.05, 0.3419, 0.0927, 0.3681, 0.8259, 0.3419
0.0293,  235.18, 0.2241, 0.5110, 0.2480, 0.9482, 0.2241
0.0325,  261.31, 0.2518, 0.6171, 0.3678, 0.7513, 0.2518
0.0358,  287.45, 0.2366, 0.3861, 0.3495, 0.2999, 0.2366
0.0390,  313.58, 0.3200, 0.3918, 0.3641, 0.0903, 0.3200
0.0423,  339.71, 0.4167, 0.2501, 0.5354, 0.2167, 0.4167
0.0455,  365.84, 0.2741, 0.9107, 0.3688, 0.5846, 0.2741
0.0488,  391.97, 0.2214, 0.9709, 0.0294, 0.4552, 0.2214
0.0520,  418.10, 0.3074, 0.3451, 0.3993, 0.2540, 0.3074
0.0553,  444.23, 0.2349, 0.2233, 0.4133, 0.7188, 0.2349
0.0585,  470.37, 0.1507, 0.2791, 0.1977, 0.6494, 0.1507
0.0618,  496.50, 0.3315, 0.6090, 0.5754, 0.6851, 0.3315
0.0650,  522.63, 0.4427, 1.0130, 0.4733, 0.6613, 0.4427
0.0683,  548.76, 0.5601, 1.4406, 0.4457, 0.5046, 0.5601
0.0715,  574.89, 0.6375, 0.2731, 0.7710, 0.2539, 0.6375
0.0748,  601.02, 0.4934, 0.6560, 0.7004, 0.6250, 0.4934
0.0780,  627.15, 0.5952, 1.0422, 0.9391, 0.7925, 0.5952
0.0813,  653.29, 0.9400, 0.7499, 1.3638, 0.7690, 0.9400
0.0845,  679.42, 1.0898, 0.8530, 1.2760, 0.6984, 1.0898
0.0878,  705.55, 0.9118, 0.8870, 1.1625, 1.2576, 0.9118
0.0910,  731.68, 0.5900, 1.2945, 0.7790, 0.9713, 0.5900
0.0943,  757.81, 0.5467, 1.8521, 0.4083, 0.9200, 0.5467
0.0975,  783.94, 0.3212, 1.7582, 0.2982, 1.0057, 0.3212
0.1008,  810.07, 0.2274, 1.7183, 0.1991, 0.7093, 0.2274
0.1040,  836.21, 0.1068, 2.1649, 0.3410, 1.0149, 0.1068
0.1073,  862.34, 0.1312, 1.9166, 0.4008, 1.2444, 0.1312
0.1105,  888.47, 0.3810, 0.3897, 0.4392, 0.5838, 0.3810
0.1138,  914.60, 0.5520, 0.7856, 0.7427, 1.3893, 0.5520
0.1170,  940.73, 0.4818, 1.0123, 0.5468, 1.4872, 0.4818
0.1203,  966.86, 0.3970, 1.5334, 0.6366, 0.9594, 0.3970
0.1235,  992.99, 0.5106, 1.6484, 0.9670, 0.9338, 0.5106
0.1268, 1019.13, 0.5329, 2.1582, 0.9591, 0.8937, 0.5329
0.1300, 1045.26, 0.4166, 2.6750, 0.7307, 1.2840, 0.4166
0.1333, 1071.39, 0.3829, 1.1341, 0.5394, 1.2805, 0.3829
0.1365, 1097.52, 0.7047, 2.1393, 0.4725, 0.1991, 0.7047
0.1398, 1123.65, 0.6133, 3.2857, 0.2492, 1.3341, 0.6133
0.1430, 1149.78, 0.4046, 2.1262, 0.4498, 1.3987, 0.4046
0.1463, 1175.91, 0.3845, 2.4497, 0.4757, 0.2882, 0.3845
0.1495, 1202.05, 0.6894, 3.2447, 0.1091, 1.4397, 0.6894
0.1528, 1228.18, 0.3488, 2.0658, 0.0342, 0.7237, 0.3488
0.1560, 1254.31, 0.1607, 0.5890, 0.2912, 0.6124, 0.1607
0.1593, 1280.44, 0.1458, 0.6021, 0.3715, 0.4885, 0.1458
