Imatest,24.2.6, Master, SFR
File,cup_55.0 mm_6400ISO_0EV_Dist1_ON_Defocus2.tiff
Run date,12-May-2025 16:14:41,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0032,   26.12, 0.9170, 0.9153, 0.9164, 0.9273, 0.9170
0.0065,   52.24, 0.7004, 0.7177, 0.6939, 0.7164, 0.7004
0.0097,   78.36, 0.4127, 0.4521, 0.3969, 0.4640, 0.4127
0.0130,  104.48, 0.1528, 0.1914, 0.1392, 0.2270, 0.1528
0.0162,  130.60, 0.0280, 0.0695, 0.0583, 0.0689, 0.0280
0.0195,  156.72, 0.0879, 0.0502, 0.1075, 0.0509, 0.0879
0.0227,  182.84, 0.0562, 0.0513, 0.0600, 0.0894, 0.0562
0.0260,  208.96, 0.0109, 0.0696, 0.0143, 0.0845, 0.0109
0.0292,  235.08, 0.0497, 0.1522, 0.0296, 0.0508, 0.0497
0.0325,  261.19, 0.0370, 0.1270, 0.0363, 0.0866, 0.0370
0.0357,  287.31, 0.0093, 0.1486, 0.0390, 0.1299, 0.0093
0.0390,  313.43, 0.0382, 0.1259, 0.0217, 0.0899, 0.0382
0.0422,  339.55, 0.0621, 0.1790, 0.0675, 0.1378, 0.0621
0.0455,  365.67, 0.0191, 0.2010, 0.0345, 0.0313, 0.0191
0.0487,  391.79, 0.0572, 0.1607, 0.1286, 0.2632, 0.0572
0.0520,  417.91, 0.1009, 0.0620, 0.1736, 0.3227, 0.1009
0.0552,  444.03, 0.0975, 0.1024, 0.1470, 0.2748, 0.0975
0.0585,  470.15, 0.0906, 0.3048, 0.0687, 0.2498, 0.0906
0.0617,  496.27, 0.0818, 0.2878, 0.0595, 0.2546, 0.0818
0.0650,  522.39, 0.0581, 0.2191, 0.0485, 0.2945, 0.0581
0.0682,  548.51, 0.0296, 0.1980, 0.0231, 0.3361, 0.0296
0.0715,  574.63, 0.0480, 0.1123, 0.0487, 0.2097, 0.0480
0.0747,  600.75, 0.0744, 0.2255, 0.0525, 0.1341, 0.0744
0.0780,  626.87, 0.1154, 0.2637, 0.2066, 0.2017, 0.1154
0.0812,  652.99, 0.1408, 0.2742, 0.2936, 0.1979, 0.1408
0.0845,  679.11, 0.0488, 0.3823, 0.1800, 0.1400, 0.0488
0.0877,  705.23, 0.0882, 0.4350, 0.1141, 0.0266, 0.0882
0.0910,  731.35, 0.0078, 0.3263, 0.0921, 0.2390, 0.0078
0.0942,  757.46, 0.0770, 0.2703, 0.1594, 0.2292, 0.0770
0.0975,  783.58, 0.0143, 0.3351, 0.0973, 0.1285, 0.0143
0.1007,  809.70, 0.0165, 0.2141, 0.0635, 0.2942, 0.0165
0.1040,  835.82, 0.1089, 0.2827, 0.0748, 0.3814, 0.1089
0.1072,  861.94, 0.1955, 0.3474, 0.2260, 0.3194, 0.1955
0.1105,  888.06, 0.1787, 0.3139, 0.2027, 0.2156, 0.1787
0.1137,  914.18, 0.1246, 0.4579, 0.1806, 0.3360, 0.1246
0.1170,  940.30, 0.0919, 0.2370, 0.1049, 0.2813, 0.0919
0.1202,  966.42, 0.1675, 0.7494, 0.0770, 0.1078, 0.1675
0.1235,  992.54, 0.0917, 0.3082, 0.1780, 0.2322, 0.0917
0.1267, 1018.66, 0.1146, 0.3539, 0.0821, 0.2799, 0.1146
0.1299, 1044.78, 0.0210, 0.3016, 0.1350, 0.1990, 0.0210
0.1332, 1070.90, 0.1189, 0.4101, 0.0735, 0.2150, 0.1189
0.1364, 1097.02, 0.1186, 0.4108, 0.0859, 0.1211, 0.1186
0.1397, 1123.14, 0.1269, 0.4347, 0.0336, 0.2864, 0.1269
0.1429, 1149.26, 0.1602, 0.5608, 0.1613, 0.1111, 0.1602
0.1462, 1175.38, 0.2475, 0.3320, 0.4266, 0.1044, 0.2475
0.1494, 1201.50, 0.1737, 0.4093, 0.3595, 0.2914, 0.1737
0.1527, 1227.62, 0.1004, 0.5575, 0.2399, 0.3257, 0.1004
0.1559, 1253.73, 0.1566, 0.5416, 0.2036, 0.1086, 0.1566
0.1592, 1279.85, 0.1422, 0.3917, 0.1848, 0.2432, 0.1422
0.1624, 1305.97, 0.0778, 0.2037, 0.1215, 0.1721, 0.0778
0.1657, 1332.09, 0.1763, 0.3816, 0.2409, 0.3067, 0.1763
0.1689, 1358.21, 0.2027, 0.5068, 0.2585, 0.3228, 0.2027
0.1722, 1384.33, 0.1834, 0.6535, 0.2360, 0.3902, 0.1834
0.1754, 1410.45, 0.2658, 0.6509, 0.2644, 0.2087, 0.2658
0.1787, 1436.57, 0.1393, 0.3169, 0.1026, 0.3471, 0.1393
0.1819, 1462.69, 0.1179, 0.1760, 0.2214, 0.5043, 0.1179
0.1852, 1488.81, 0.1964, 0.0639, 0.2765, 0.3812, 0.1964
0.1884, 1514.93, 0.2369, 0.2790, 0.2962, 0.1574, 0.2369
0.1917, 1541.05, 0.1740, 0.0958, 0.2647, 0.1026, 0.1740
0.1949, 1567.17, 0.2707, 0.3366, 0.2790, 0.2547, 0.2707
0.1982, 1593.29, 0.3946, 0.4793, 0.4351, 0.3119, 0.3946
0.2014, 1619.41, 0.1476, 0.3135, 0.1314, 0.3386, 0.1476
0.2047, 1645.53, 0.2121, 0.1477, 0.2843, 0.3807, 0.2121
0.2079, 1671.65, 0.2712, 0.2130, 0.2881, 0.6252, 0.2712
0.2112, 1697.77, 0.1373, 0.1728, 0.2086, 0.5012, 0.1373
0.2144, 1723.88, 0.0343, 0.5229, 0.0891, 0.3421, 0.0343
0.2177, 1750.00, 0.2068, 0.3303, 0.2061, 0.2104, 0.2068
0.2209, 1776.12, 0.2472, 0.4000, 0.2866, 0.1101, 0.2472
0.2242, 1802.24, 0.2273, 0.4404, 0.2365, 0.0663, 0.2273
0.2274, 1828.36, 0.1306, 0.3779, 0.1676, 0.2702, 0.1306
0.2307, 1854.48, 0.0893, 0.3598, 0.1436, 0.2685, 0.0893
0.2339, 1880.60, 0.1718, 0.5362, 0.1190, 0.2204, 0.1718
0.2372, 1906.72, 0.0336, 0.3679, 0.1043, 0.3046, 0.0336
0.2404, 1932.84, 0.2935, 0.3214, 0.3020, 0.6241, 0.2935
0.2437, 1958.96, 0.4805, 0.4566, 0.5320, 0.7249, 0.4805
0.2469, 1985.08, 0.3903, 0.3577, 0.4871, 0.5330, 0.3903
0.2501, 2011.20, 0.2697, 0.4212, 0.4291, 0.2334, 0.2697
0.2534, 2037.32, 0.1236, 0.8139, 0.1944, 0.1404, 0.1236
0.2566, 2063.44, 0.2185, 0.8177, 0.0935, 0.2319, 0.2185
0.2599, 2089.56, 0.0683, 0.7936, 0.1554, 0.0958, 0.0683
0.2631, 2115.68, 0.1719, 0.4470, 0.3511, 0.0809, 0.1719
0.2664, 2141.80, 0.2036, 0.3044, 0.3264, 0.2903, 0.2036
0.2696, 2167.92, 0.1675, 0.4151, 0.2972, 0.2252, 0.1675
0.2729, 2194.04, 0.1505, 0.5314, 0.2184, 0.4311, 0.1505
0.2761, 2220.15, 0.3137, 0.7604, 0.3115, 0.5988, 0.3137
0.2794, 2246.27, 0.2237, 0.7026, 0.1478, 0.5396, 0.2237
0.2826, 2272.39, 0.1549, 0.2706, 0.1067, 0.4109, 0.1549
0.2859, 2298.51, 0.0496, 0.1411, 0.1107, 0.3571, 0.0496
0.2891, 2324.63, 0.1145, 0.3261, 0.1327, 0.2847, 0.1145
0.2924, 2350.75, 0.0513, 0.5233, 0.1008, 0.2709, 0.0513
0.2956, 2376.87, 0.1608, 0.6122, 0.0497, 0.3042, 0.1608
0.2989, 2402.99, 0.3181, 0.3521, 0.3397, 0.0537, 0.3181
0.3021, 2429.11, 0.3625, 0.3505, 0.4481, 0.2775, 0.3625
0.3054, 2455.23, 0.3917, 0.5763, 0.3948, 0.5051, 0.3917
0.3086, 2481.35, 0.4599, 0.9315, 0.3734, 0.4727, 0.4599
0.3119, 2507.47, 0.2244, 0.4764, 0.1545, 0.3431, 0.2244
0.3151, 2533.59, 0.0782, 0.2772, 0.1162, 0.2650, 0.0782
0.3184, 2559.71, 0.0628, 0.0599, 0.1373, 0.3713, 0.0628
0.3216, 2585.83, 0.0649, 0.1448, 0.0798, 0.2479, 0.0649
0.3249, 2611.95, 0.1230, 0.1408, 0.1301, 0.1134, 0.1230
0.3281, 2638.07, 0.2899, 0.3183, 0.2921, 0.1973, 0.2899
0.3314, 2664.19, 0.1868, 0.1366, 0.2288, 0.2362, 0.1868
0.3346, 2690.31, 0.0392, 0.2566, 0.0225, 0.2054, 0.0392
0.3379, 2716.42, 0.2649, 0.4124, 0.2432, 0.2193, 0.2649
0.3411, 2742.54, 0.1643, 0.2259, 0.1500, 0.1765, 0.1643
0.3444, 2768.66, 0.0273, 0.1597, 0.0219, 0.0433, 0.0273
0.3476, 2794.78, 0.2401, 0.4210, 0.2452, 0.3115, 0.2401
0.3509, 2820.90, 0.2009, 0.3435, 0.1930, 0.2454, 0.2009
0.3541, 2847.02, 0.2878, 0.3295, 0.2805, 0.4258, 0.2878
0.3574, 2873.14, 0.0849, 0.1202, 0.0670, 0.2027, 0.0849
0.3606, 2899.26, 0.1667, 0.1546, 0.2378, 0.4322, 0.1667
0.3639, 2925.38, 0.2073, 0.2172, 0.2551, 0.2416, 0.2073
0.3671, 2951.50, 0.0855, 0.1291, 0.1649, 0.1216, 0.0855
0.3704, 2977.62, 0.1970, 0.1394, 0.2520, 0.1732, 0.1970
0.3736, 3003.74, 0.2378, 0.2440, 0.2712, 0.2147, 0.2378
0.3768, 3029.86, 0.1739, 0.0740, 0.2322, 0.0998, 0.1739
0.3801, 3055.98, 0.0396, 0.1828, 0.1144, 0.1087, 0.0396
0.3833, 3082.10, 0.3034, 0.3543, 0.3447, 0.1851, 0.3034
0.3866, 3108.22, 0.4181, 0.4120, 0.4683, 0.3048, 0.4181
0.3898, 3134.34, 0.1173, 0.2948, 0.1115, 0.1321, 0.1173
0.3931, 3160.46, 0.1992, 0.1752, 0.2021, 0.2810, 0.1992
0.3963, 3186.58, 0.3697, 0.3850, 0.3827, 0.3298, 0.3697
0.3996, 3212.69, 0.3784, 0.4446, 0.4032, 0.4833, 0.3784
0.4028, 3238.81, 0.2035, 0.0163, 0.2516, 0.3537, 0.2035
0.4061, 3264.93, 0.1932, 0.1571, 0.1987, 0.3419, 0.1932
0.4093, 3291.05, 0.1198, 0.0814, 0.1229, 0.2489, 0.1198
0.4126, 3317.17, 0.1892, 0.3529, 0.1473, 0.2404, 0.1892
0.4158, 3343.29, 0.1818, 0.3294, 0.1468, 0.1946, 0.1818
0.4191, 3369.41, 0.1502, 0.0665, 0.1785, 0.1702, 0.1502
0.4223, 3395.53, 0.3562, 0.3275, 0.3777, 0.2515, 0.3562
0.4256, 3421.65, 0.4390, 0.4704, 0.4363, 0.3980, 0.4390
0.4288, 3447.77, 0.2346, 0.3518, 0.1982, 0.3010, 0.2346
0.4321, 3473.89, 0.1863, 0.0983, 0.2349, 0.3273, 0.1863
0.4353, 3500.01, 0.1954, 0.1441, 0.2244, 0.3159, 0.1954
0.4386, 3526.13, 0.1619, 0.1812, 0.1637, 0.2323, 0.1619
0.4418, 3552.25, 0.3309, 0.2899, 0.3590, 0.2817, 0.3309
0.4451, 3578.37, 0.4356, 0.4892, 0.4256, 0.4055, 0.4356
0.4483, 3604.49, 0.3187, 0.3039, 0.3135, 0.4157, 0.3187
0.4516, 3630.61, 0.1968, 0.0737, 0.2421, 0.1353, 0.1968
0.4548, 3656.73, 0.1406, 0.1476, 0.1600, 0.1242, 0.1406
0.4581, 3682.85, 0.1905, 0.1527, 0.1999, 0.2281, 0.1905
0.4613, 3708.96, 0.4333, 0.3776, 0.4488, 0.4635, 0.4333
0.4646, 3735.08, 0.5099, 0.4712, 0.5362, 0.3969, 0.5099
0.4678, 3761.20, 0.3275, 0.2158, 0.3812, 0.2612, 0.3275
0.4711, 3787.32, 0.1401, 0.2546, 0.0855, 0.3686, 0.1401
0.4743, 3813.44, 0.3375, 0.3075, 0.3518, 0.4427, 0.3375
0.4776, 3839.56, 0.3009, 0.1468, 0.3529, 0.3593, 0.3009
0.4808, 3865.68, 0.0846, 0.2070, 0.1143, 0.0668, 0.0846
0.4841, 3891.80, 0.2753, 0.4154, 0.2588, 0.1281, 0.2753
0.4873, 3917.92, 0.2098, 0.2715, 0.2088, 0.1415, 0.2098
0.4906, 3944.04, 0.3487, 0.3062, 0.3946, 0.0704, 0.3487
0.4938, 3970.16, 0.3015, 0.1714, 0.3717, 0.0918, 0.3015
0.4970, 3996.28, 0.2066, 0.2808, 0.2304, 0.1943, 0.2066
0.5003, 4022.40, 0.1686, 0.1165, 0.2066, 0.2021, 0.1686
0.5035, 4048.52, 0.1246, 0.2902, 0.0910, 0.0231, 0.1246
0.5068, 4074.64, 0.0863, 0.2367, 0.0580, 0.0601, 0.0863
0.5100, 4100.76, 0.1624, 0.3320, 0.1263, 0.1011, 0.1624
0.5133, 4126.88, 0.3381, 0.4704, 0.3217, 0.1669, 0.3381
0.5165, 4153.00, 0.3386, 0.4105, 0.3479, 0.0958, 0.3386
0.5198, 4179.12, 0.2534, 0.2108, 0.2880, 0.1193, 0.2534
0.5230, 4205.23, 0.2040, 0.0591, 0.2398, 0.3368, 0.2040
0.5263, 4231.35, 0.2678, 0.1164, 0.3016, 0.3874, 0.2678
0.5295, 4257.47, 0.0863, 0.0308, 0.1006, 0.1487, 0.0863
0.5328, 4283.59, 0.2859, 0.2231, 0.3270, 0.1245, 0.2859
0.5360, 4309.71, 0.1134, 0.0274, 0.1703, 0.1511, 0.1134
0.5393, 4335.83, 0.2221, 0.2458, 0.1903, 0.4821, 0.2221
0.5425, 4361.95, 0.3708, 0.4263, 0.3613, 0.4740, 0.3708
0.5458, 4388.07, 0.4793, 0.4771, 0.5167, 0.1869, 0.4793
0.5490, 4414.19, 0.4918, 0.4896, 0.5258, 0.2006, 0.4918
0.5523, 4440.31, 0.5892, 0.5734, 0.6030, 0.5090, 0.5892
0.5555, 4466.43, 0.4836, 0.4613, 0.4875, 0.5278, 0.4836
0.5588, 4492.55, 0.2615, 0.2455, 0.2647, 0.2895, 0.2615
0.5620, 4518.67, 0.1158, 0.1374, 0.1109, 0.1619, 0.1158
0.5653, 4544.79, 0.2294, 0.3109, 0.2172, 0.1409, 0.2294
0.5685, 4570.91, 0.3466, 0.4614, 0.3338, 0.2413, 0.3466
0.5718, 4597.03, 0.3511, 0.3669, 0.3501, 0.3808, 0.3511
0.5750, 4623.15, 0.1558, 0.3184, 0.1160, 0.2164, 0.1558
0.5783, 4649.27, 0.4918, 0.6094, 0.4882, 0.2145, 0.4918
0.5815, 4675.38, 0.5721, 0.4618, 0.6246, 0.4037, 0.5721
0.5848, 4701.50, 0.4580, 0.3648, 0.5119, 0.2891, 0.4580
0.5880, 4727.62, 0.3337, 0.4547, 0.3227, 0.1732, 0.3337
0.5913, 4753.74, 0.0927, 0.1169, 0.0943, 0.0566, 0.0927
0.5945, 4779.86, 0.0971, 0.2006, 0.0824, 0.1447, 0.0971
0.5978, 4805.98, 0.3088, 0.3898, 0.3101, 0.1012, 0.3088
0.6010, 4832.10, 0.3539, 0.1964, 0.4122, 0.4129, 0.3539
0.6043, 4858.22, 0.5920, 0.2905, 0.6949, 0.6363, 0.5920
0.6075, 4884.34, 0.6279, 0.5047, 0.6694, 0.6704, 0.6279
