Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_100ISO_+1EV_Dist1_ON_Defocus1.tiff
Run date,07-May-2025 11:39:18,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.59, 0.9709, 0.9678, 0.9709, 0.9792, 0.9709
0.0061,   49.17, 0.8740, 0.8655, 0.8741, 0.8968, 0.8740
0.0092,   73.76, 0.7269, 0.7157, 0.7268, 0.7590, 0.7269
0.0122,   98.34, 0.5587, 0.5494, 0.5581, 0.5915, 0.5587
0.0153,  122.93, 0.3925, 0.3843, 0.3907, 0.4348, 0.3925
0.0183,  147.51, 0.2386, 0.2341, 0.2343, 0.2941, 0.2386
0.0214,  172.10, 0.0979, 0.0958, 0.0933, 0.1484, 0.0979
0.0245,  196.68, 0.0104, 0.0134, 0.0144, 0.0332, 0.0104
0.0275,  221.27, 0.0768, 0.0733, 0.0814, 0.0453, 0.0768
0.0306,  245.85, 0.0990, 0.0984, 0.1002, 0.0918, 0.0990
0.0336,  270.44, 0.0976, 0.0992, 0.0957, 0.1132, 0.0976
0.0367,  295.03, 0.0815, 0.0833, 0.0776, 0.1172, 0.0815
0.0398,  319.61, 0.0474, 0.0532, 0.0409, 0.0992, 0.0474
0.0428,  344.20, 0.0134, 0.0227, 0.0064, 0.0588, 0.0134
0.0459,  368.78, 0.0122, 0.0028, 0.0186, 0.0217, 0.0122
0.0489,  393.37, 0.0281, 0.0133, 0.0348, 0.0066, 0.0281
0.0520,  417.95, 0.0477, 0.0373, 0.0552, 0.0362, 0.0477
0.0550,  442.54, 0.0650, 0.0855, 0.0654, 0.0669, 0.0650
0.0581,  467.12, 0.0578, 0.1006, 0.0446, 0.0792, 0.0578
0.0612,  491.71, 0.0361, 0.0635, 0.0266, 0.0605, 0.0361
0.0642,  516.30, 0.0185, 0.0200, 0.0205, 0.0289, 0.0185
0.0673,  540.88, 0.0112, 0.0119, 0.0173, 0.0140, 0.0112
0.0703,  565.47, 0.0074, 0.0099, 0.0067, 0.0160, 0.0074
0.0734,  590.05, 0.0175, 0.0183, 0.0218, 0.0301, 0.0175
0.0764,  614.64, 0.0174, 0.0091, 0.0180, 0.0411, 0.0174
0.0795,  639.22, 0.0136, 0.0221, 0.0101, 0.0342, 0.0136
0.0826,  663.81, 0.0156, 0.0104, 0.0176, 0.0178, 0.0156
0.0856,  688.39, 0.0155, 0.0108, 0.0218, 0.0216, 0.0155
0.0887,  712.98, 0.0195, 0.0267, 0.0234, 0.0257, 0.0195
0.0917,  737.56, 0.0078, 0.0305, 0.0048, 0.0249, 0.0078
0.0948,  762.15, 0.0188, 0.0131, 0.0232, 0.0380, 0.0188
0.0979,  786.74, 0.0200, 0.0034, 0.0282, 0.0286, 0.0200
0.1009,  811.32, 0.0185, 0.0339, 0.0268, 0.0104, 0.0185
0.1040,  835.91, 0.0199, 0.0162, 0.0277, 0.0038, 0.0199
0.1070,  860.49, 0.0296, 0.0351, 0.0343, 0.0140, 0.0296
0.1101,  885.08, 0.0374, 0.0609, 0.0337, 0.0107, 0.0374
0.1131,  909.66, 0.0248, 0.0533, 0.0243, 0.0298, 0.0248
0.1162,  934.25, 0.0168, 0.0321, 0.0348, 0.0481, 0.0168
0.1193,  958.83, 0.0144, 0.0309, 0.0330, 0.0438, 0.0144
0.1223,  983.42, 0.0152, 0.0248, 0.0232, 0.0379, 0.0152
0.1254, 1008.00, 0.0254, 0.0134, 0.0303, 0.0447, 0.0254
0.1284, 1032.59, 0.0119, 0.0108, 0.0113, 0.0458, 0.0119
0.1315, 1057.18, 0.0100, 0.0334, 0.0142, 0.0268, 0.0100
0.1345, 1081.76, 0.0126, 0.0294, 0.0089, 0.0336, 0.0126
0.1376, 1106.35, 0.0039, 0.0183, 0.0086, 0.0101, 0.0039
0.1407, 1130.93, 0.0152, 0.0257, 0.0163, 0.0242, 0.0152
0.1437, 1155.52, 0.0091, 0.0281, 0.0075, 0.0261, 0.0091
0.1468, 1180.10, 0.0155, 0.0249, 0.0292, 0.0293, 0.0155
0.1498, 1204.69, 0.0240, 0.0213, 0.0424, 0.0338, 0.0240
0.1529, 1229.27, 0.0068, 0.0148, 0.0144, 0.0407, 0.0068
0.1560, 1253.86, 0.0041, 0.0158, 0.0044, 0.0141, 0.0041
0.1590, 1278.44, 0.0216, 0.0338, 0.0188, 0.0350, 0.0216
0.1621, 1303.03, 0.0255, 0.0396, 0.0249, 0.0291, 0.0255
0.1651, 1327.62, 0.0312, 0.0216, 0.0391, 0.0160, 0.0312
0.1682, 1352.20, 0.0320, 0.0170, 0.0471, 0.0230, 0.0320
0.1712, 1376.79, 0.0307, 0.0492, 0.0483, 0.0356, 0.0307
0.1743, 1401.37, 0.0317, 0.0529, 0.0440, 0.0201, 0.0317
0.1774, 1425.96, 0.0244, 0.0223, 0.0319, 0.0128, 0.0244
0.1804, 1450.54, 0.0321, 0.0283, 0.0381, 0.0196, 0.0321
0.1835, 1475.13, 0.0204, 0.0539, 0.0261, 0.0431, 0.0204
