Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_100ISO_0EV_Dist1_OFF_Defocus2.tiff
Run date,12-May-2025 16:34:14,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0033,   26.14, 0.9028, 0.9028, 0.9024, 0.9073, 0.9028
0.0065,   52.28, 0.6522, 0.6538, 0.6498, 0.6703, 0.6522
0.0098,   78.42, 0.3420, 0.3438, 0.3388, 0.3677, 0.3420
0.0130,  104.56, 0.0923, 0.0944, 0.0902, 0.1075, 0.0923
0.0163,  130.71, 0.0709, 0.0584, 0.0759, 0.0576, 0.0709
0.0195,  156.85, 0.1006, 0.0813, 0.1076, 0.0870, 0.1006
0.0228,  182.99, 0.0641, 0.0511, 0.0689, 0.0550, 0.0641
0.0260,  209.13, 0.0156, 0.0136, 0.0168, 0.0190, 0.0156
0.0293,  235.27, 0.0407, 0.0452, 0.0383, 0.0535, 0.0407
0.0325,  261.41, 0.0506, 0.0582, 0.0483, 0.0545, 0.0506
0.0358,  287.55, 0.0214, 0.0225, 0.0206, 0.0330, 0.0214
0.0390,  313.69, 0.0130, 0.0052, 0.0151, 0.0170, 0.0130
0.0423,  339.83, 0.0296, 0.0236, 0.0313, 0.0316, 0.0296
0.0455,  365.97, 0.0200, 0.0166, 0.0213, 0.0274, 0.0200
0.0488,  392.12, 0.0101, 0.0308, 0.0141, 0.0202, 0.0101
0.0520,  418.26, 0.0082, 0.0486, 0.0258, 0.0056, 0.0082
0.0553,  444.40, 0.0140, 0.0346, 0.0282, 0.0217, 0.0140
0.0585,  470.54, 0.0142, 0.0016, 0.0150, 0.0455, 0.0142
0.0618,  496.68, 0.0097, 0.0099, 0.0127, 0.0280, 0.0097
0.0650,  522.82, 0.0076, 0.0130, 0.0148, 0.0099, 0.0076
0.0683,  548.96, 0.0153, 0.0274, 0.0182, 0.0245, 0.0153
0.0715,  575.10, 0.0204, 0.0314, 0.0215, 0.0121, 0.0204
0.0748,  601.24, 0.0165, 0.0310, 0.0205, 0.0106, 0.0165
0.0780,  627.38, 0.0073, 0.0380, 0.0049, 0.0051, 0.0073
0.0813,  653.53, 0.0070, 0.0222, 0.0070, 0.0244, 0.0070
0.0845,  679.67, 0.0055, 0.0307, 0.0121, 0.0291, 0.0055
0.0878,  705.81, 0.0074, 0.0475, 0.0103, 0.0284, 0.0074
0.0910,  731.95, 0.0076, 0.0724, 0.0305, 0.0116, 0.0076
0.0943,  758.09, 0.0069, 0.0864, 0.0234, 0.0198, 0.0069
0.0975,  784.23, 0.0122, 0.0258, 0.0139, 0.0404, 0.0122
0.1008,  810.37, 0.0135, 0.0454, 0.0223, 0.0121, 0.0135
0.1040,  836.51, 0.0146, 0.0171, 0.0189, 0.0140, 0.0146
0.1073,  862.65, 0.0034, 0.0341, 0.0056, 0.0036, 0.0034
0.1105,  888.79, 0.0069, 0.0243, 0.0163, 0.0008, 0.0069
0.1138,  914.94, 0.0014, 0.0437, 0.0131, 0.0026, 0.0014
0.1170,  941.08, 0.0054, 0.0357, 0.0119, 0.0333, 0.0054
0.1203,  967.22, 0.0087, 0.0659, 0.0271, 0.0387, 0.0087
0.1236,  993.36, 0.0131, 0.0110, 0.0208, 0.0229, 0.0131
0.1268, 1019.50, 0.0163, 0.0678, 0.0095, 0.0293, 0.0163
0.1301, 1045.64, 0.0327, 0.0905, 0.0303, 0.0415, 0.0327
0.1333, 1071.78, 0.0368, 0.0953, 0.0295, 0.0261, 0.0368
0.1366, 1097.92, 0.0049, 0.0467, 0.0189, 0.0499, 0.0049
0.1398, 1124.06, 0.0162, 0.0454, 0.0237, 0.0485, 0.0162
0.1431, 1150.20, 0.0051, 0.0207, 0.0018, 0.0149, 0.0051
0.1463, 1176.35, 0.0055, 0.0141, 0.0089, 0.0300, 0.0055
0.1496, 1202.49, 0.0199, 0.0506, 0.0123, 0.0274, 0.0199
0.1528, 1228.63, 0.0339, 0.0704, 0.0286, 0.0513, 0.0339
0.1561, 1254.77, 0.0142, 0.0367, 0.0206, 0.0523, 0.0142
0.1593, 1280.91, 0.0212, 0.0421, 0.0215, 0.0251, 0.0212
0.1626, 1307.05, 0.0358, 0.0270, 0.0448, 0.0354, 0.0358
0.1658, 1333.19, 0.0356, 0.0406, 0.0437, 0.0429, 0.0356
0.1691, 1359.33, 0.0225, 0.0576, 0.0391, 0.0679, 0.0225
0.1723, 1385.47, 0.0305, 0.0299, 0.0420, 0.0737, 0.0305
0.1756, 1411.61, 0.0235, 0.0246, 0.0231, 0.0580, 0.0235
0.1788, 1437.76, 0.0077, 0.0249, 0.0038, 0.0027, 0.0077
0.1821, 1463.90, 0.0087, 0.0116, 0.0171, 0.0358, 0.0087
0.1853, 1490.04, 0.0184, 0.0099, 0.0301, 0.0258, 0.0184
0.1886, 1516.18, 0.0247, 0.0198, 0.0359, 0.0490, 0.0247
0.1918, 1542.32, 0.0278, 0.0475, 0.0340, 0.0381, 0.0278
