Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_1600ISO_+1EV_Dist1_OFF_Defocus1.tiff
Run date,07-May-2025 11:39:18,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.59, 0.9692, 0.9643, 0.9706, 0.9700, 0.9692
0.0061,   49.19, 0.8757, 0.8766, 0.8751, 0.8801, 0.8757
0.0092,   73.78, 0.7327, 0.7292, 0.7314, 0.7552, 0.7327
0.0122,   98.38, 0.5698, 0.5504, 0.5731, 0.5933, 0.5698
0.0153,  122.97, 0.4007, 0.4004, 0.3975, 0.4344, 0.4007
0.0184,  147.56, 0.2446, 0.2549, 0.2353, 0.3083, 0.2446
0.0214,  172.16, 0.1087, 0.1188, 0.1006, 0.1701, 0.1087
0.0245,  196.75, 0.0136, 0.0371, 0.0302, 0.0536, 0.0136
0.0275,  221.34, 0.0788, 0.0215, 0.1016, 0.0326, 0.0788
0.0306,  245.94, 0.1101, 0.0669, 0.1349, 0.0969, 0.1101
0.0336,  270.53, 0.1105, 0.0776, 0.1220, 0.1374, 0.1105
0.0367,  295.13, 0.0956, 0.0632, 0.1038, 0.1343, 0.0956
0.0398,  319.72, 0.0660, 0.0526, 0.0667, 0.1233, 0.0660
0.0428,  344.31, 0.0262, 0.0443, 0.0203, 0.0947, 0.0262
0.0459,  368.91, 0.0114, 0.0505, 0.0315, 0.0471, 0.0114
0.0489,  393.50, 0.0258, 0.0626, 0.0348, 0.0353, 0.0258
0.0520,  418.10, 0.0495, 0.0485, 0.0538, 0.0672, 0.0495
0.0551,  442.69, 0.0617, 0.1248, 0.0454, 0.0655, 0.0617
0.0581,  467.28, 0.0605, 0.0986, 0.0516, 0.0502, 0.0605
0.0612,  491.88, 0.0470, 0.0249, 0.0639, 0.0656, 0.0470
0.0642,  516.47, 0.0410, 0.0378, 0.0536, 0.0968, 0.0410
0.0673,  541.07, 0.0113, 0.0720, 0.0206, 0.0943, 0.0113
0.0704,  565.66, 0.0426, 0.0431, 0.0586, 0.1156, 0.0426
0.0734,  590.25, 0.0298, 0.0684, 0.0511, 0.0604, 0.0298
0.0765,  614.85, 0.0392, 0.1159, 0.0174, 0.0535, 0.0392
0.0795,  639.44, 0.0757, 0.1074, 0.0756, 0.0602, 0.0757
0.0826,  664.03, 0.0652, 0.0760, 0.0805, 0.1129, 0.0652
0.0857,  688.63, 0.0203, 0.0652, 0.0443, 0.0341, 0.0203
0.0887,  713.22, 0.0200, 0.0934, 0.0484, 0.0564, 0.0200
0.0918,  737.82, 0.0356, 0.1105, 0.0727, 0.0526, 0.0356
0.0948,  762.41, 0.0274, 0.1140, 0.0608, 0.1005, 0.0274
0.0979,  787.00, 0.0042, 0.0915, 0.0144, 0.1483, 0.0042
0.1009,  811.60, 0.0352, 0.1062, 0.0506, 0.0852, 0.0352
0.1040,  836.19, 0.0656, 0.0600, 0.0932, 0.0275, 0.0656
0.1071,  860.79, 0.0234, 0.0388, 0.0302, 0.0169, 0.0234
0.1101,  885.38, 0.0128, 0.0917, 0.0232, 0.0339, 0.0128
0.1132,  909.97, 0.0403, 0.0802, 0.0877, 0.0895, 0.0403
0.1162,  934.57, 0.0486, 0.0632, 0.0848, 0.0567, 0.0486
0.1193,  959.16, 0.0503, 0.0576, 0.0648, 0.0544, 0.0503
0.1224,  983.76, 0.0660, 0.2418, 0.0444, 0.1445, 0.0660
0.1254, 1008.35, 0.0309, 0.2260, 0.0329, 0.1480, 0.0309
0.1285, 1032.94, 0.0325, 0.1440, 0.0796, 0.0618, 0.0325
0.1315, 1057.54, 0.0517, 0.1747, 0.1215, 0.0201, 0.0517
0.1346, 1082.13, 0.0691, 0.2551, 0.1777, 0.1049, 0.0691
0.1377, 1106.72, 0.0678, 0.1049, 0.1454, 0.2159, 0.0678
0.1407, 1131.32, 0.0597, 0.0608, 0.0812, 0.1226, 0.0597
0.1438, 1155.91, 0.0617, 0.1035, 0.1013, 0.0475, 0.0617
0.1468, 1180.51, 0.0668, 0.1240, 0.1128, 0.0849, 0.0668
0.1499, 1205.10, 0.0582, 0.1301, 0.0907, 0.1040, 0.0582
0.1529, 1229.69, 0.0049, 0.0108, 0.0081, 0.0314, 0.0049
0.1560, 1254.29, 0.0501, 0.1705, 0.0622, 0.0617, 0.0501
0.1591, 1278.88, 0.0510, 0.1455, 0.0494, 0.0036, 0.0510
0.1621, 1303.48, 0.0300, 0.1703, 0.0169, 0.0554, 0.0300
0.1652, 1328.07, 0.0161, 0.1719, 0.0483, 0.0223, 0.0161
0.1682, 1352.66, 0.0165, 0.1775, 0.0602, 0.1496, 0.0165
0.1713, 1377.26, 0.0124, 0.2216, 0.0636, 0.1504, 0.0124
0.1744, 1401.85, 0.0297, 0.1607, 0.0931, 0.0732, 0.0297
0.1774, 1426.45, 0.0710, 0.0805, 0.1110, 0.0396, 0.0710
0.1805, 1451.04, 0.0505, 0.1234, 0.0929, 0.1190, 0.0505
0.1835, 1475.63, 0.0299, 0.0931, 0.0822, 0.1602, 0.0299
0.1866, 1500.23, 0.0135, 0.0733, 0.0506, 0.1353, 0.0135
0.1897, 1524.82, 0.0062, 0.0766, 0.0258, 0.0978, 0.0062
0.1927, 1549.41, 0.0156, 0.1671, 0.0730, 0.1244, 0.0156
0.1958, 1574.01, 0.0272, 0.1015, 0.0336, 0.1066, 0.0272
0.1988, 1598.60, 0.0198, 0.0673, 0.0173, 0.0585, 0.0198
0.2019, 1623.20, 0.0381, 0.1158, 0.0495, 0.1388, 0.0381
0.2049, 1647.79, 0.0256, 0.0581, 0.0460, 0.0956, 0.0256
0.2080, 1672.38, 0.0421, 0.1552, 0.0674, 0.0509, 0.0421
0.2111, 1696.98, 0.0209, 0.1056, 0.0176, 0.0485, 0.0209
0.2141, 1721.57, 0.0155, 0.0897, 0.0388, 0.1829, 0.0155
0.2172, 1746.17, 0.0527, 0.1160, 0.0743, 0.1464, 0.0527
0.2202, 1770.76, 0.0738, 0.1594, 0.1343, 0.0755, 0.0738
0.2233, 1795.35, 0.0443, 0.1988, 0.0990, 0.0066, 0.0443
0.2264, 1819.95, 0.0377, 0.1536, 0.0691, 0.0373, 0.0377
0.2294, 1844.54, 0.0715, 0.1093, 0.0622, 0.0570, 0.0715
0.2325, 1869.14, 0.0748, 0.0883, 0.1066, 0.1257, 0.0748
0.2355, 1893.73, 0.0267, 0.1148, 0.0651, 0.0230, 0.0267
0.2386, 1918.32, 0.1003, 0.1267, 0.0939, 0.1513, 0.1003
0.2417, 1942.92, 0.1322, 0.0912, 0.1643, 0.1661, 0.1322
0.2447, 1967.51, 0.0445, 0.1329, 0.0849, 0.0937, 0.0445
0.2478, 1992.10, 0.0385, 0.0898, 0.0511, 0.0475, 0.0385
0.2508, 2016.70, 0.0137, 0.1269, 0.0211, 0.0603, 0.0137
0.2539, 2041.29, 0.0173, 0.0957, 0.0198, 0.0125, 0.0173
0.2570, 2065.89, 0.1099, 0.0725, 0.1462, 0.0224, 0.1099
