Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_1600ISO_+1EV_Dist1_OFF_Focused.tiff
Run date,07-May-2025 11:39:18,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.63, 0.9998, 0.9979, 1.0004, 0.9998, 0.9998
0.0061,   49.25, 0.9922, 0.9901, 0.9930, 0.9900, 0.9922
0.0092,   73.88, 0.9783, 0.9860, 0.9754, 0.9849, 0.9783
0.0123,   98.51, 0.9625, 0.9774, 0.9565, 0.9818, 0.9625
0.0153,  123.13, 0.9553, 0.9649, 0.9511, 0.9705, 0.9553
0.0184,  147.76, 0.9563, 0.9463, 0.9598, 0.9514, 0.9563
0.0214,  172.39, 0.9547, 0.9245, 0.9655, 0.9360, 0.9547
0.0245,  197.01, 0.9503, 0.9214, 0.9600, 0.9433, 0.9503
0.0276,  221.64, 0.9496, 0.9357, 0.9539, 0.9549, 0.9496
0.0306,  246.27, 0.9414, 0.9483, 0.9391, 0.9557, 0.9414
0.0337,  270.89, 0.9211, 0.9276, 0.9197, 0.9325, 0.9211
0.0368,  295.52, 0.8954, 0.8773, 0.8998, 0.9194, 0.8954
0.0398,  320.15, 0.8799, 0.9049, 0.8660, 0.9587, 0.8799
0.0429,  344.77, 0.8836, 0.9637, 0.8519, 0.9827, 0.8836
0.0459,  369.40, 0.8837, 0.9191, 0.8714, 0.9213, 0.8837
0.0490,  394.02, 0.8839, 0.8770, 0.8897, 0.8596, 0.8839
0.0521,  418.65, 0.8880, 0.8928, 0.8900, 0.8881, 0.8880
0.0551,  443.28, 0.8775, 0.9170, 0.8647, 0.9299, 0.8775
0.0582,  467.90, 0.8652, 0.9329, 0.8447, 0.9118, 0.8652
0.0613,  492.53, 0.8678, 0.8861, 0.8660, 0.8588, 0.8678
0.0643,  517.16, 0.8623, 0.8624, 0.8705, 0.8167, 0.8623
0.0674,  541.78, 0.8261, 0.8847, 0.8142, 0.8071, 0.8261
0.0704,  566.41, 0.8077, 0.8598, 0.7941, 0.8123, 0.8077
0.0735,  591.04, 0.8282, 0.8141, 0.8386, 0.8097, 0.8282
0.0766,  615.66, 0.8216, 0.7854, 0.8433, 0.7706, 0.8216
0.0796,  640.29, 0.7790, 0.7465, 0.8028, 0.6902, 0.7790
0.0827,  664.92, 0.7383, 0.7262, 0.7515, 0.7140, 0.7383
0.0858,  689.54, 0.7598, 0.7945, 0.7539, 0.7847, 0.7598
0.0888,  714.17, 0.8033, 0.9003, 0.7871, 0.7511, 0.8033
0.0919,  738.80, 0.7972, 0.8965, 0.7867, 0.7391, 0.7972
0.0950,  763.42, 0.7720, 0.7373, 0.7981, 0.7536, 0.7720
0.0980,  788.05, 0.7548, 0.6546, 0.7929, 0.7394, 0.7548
0.1011,  812.68, 0.7279, 0.7378, 0.7286, 0.7588, 0.7279
0.1041,  837.30, 0.6876, 0.7584, 0.6639, 0.7476, 0.6876
0.1072,  861.93, 0.6874, 0.6930, 0.6908, 0.6495, 0.6874
0.1103,  886.56, 0.7031, 0.6668, 0.7318, 0.5831, 0.7031
0.1133,  911.18, 0.7065, 0.6973, 0.7275, 0.6002, 0.7065
0.1164,  935.81, 0.7086, 0.7359, 0.7132, 0.6519, 0.7086
0.1195,  960.44, 0.6908, 0.7543, 0.6807, 0.6517, 0.6908
0.1225,  985.06, 0.6773, 0.7305, 0.6698, 0.6203, 0.6773
0.1256, 1009.69, 0.6869, 0.7237, 0.6847, 0.6330, 0.6869
0.1286, 1034.31, 0.6859, 0.7521, 0.6820, 0.6149, 0.6859
0.1317, 1058.94, 0.6582, 0.6972, 0.6652, 0.5793, 0.6582
0.1348, 1083.57, 0.6252, 0.6392, 0.6323, 0.5637, 0.6252
0.1378, 1108.19, 0.6061, 0.7447, 0.5754, 0.5640, 0.6061
