Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_1600ISO_0EV_Dist1_ON_Focused.tiff
Run date,12-May-2025 16:34:14,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0033,   26.22, 0.9985, 1.0024, 0.9974, 0.9996, 0.9985
0.0065,   52.45, 0.9904, 0.9984, 0.9874, 0.9985, 0.9904
0.0098,   78.67, 0.9777, 0.9747, 0.9762, 1.0017, 0.9777
0.0130,  104.90, 0.9645, 0.9539, 0.9656, 0.9831, 0.9645
0.0163,  131.12, 0.9554, 0.9573, 0.9554, 0.9499, 0.9554
0.0196,  157.35, 0.9583, 0.9810, 0.9539, 0.9406, 0.9583
0.0228,  183.57, 0.9659, 0.9954, 0.9610, 0.9364, 0.9659
0.0261,  209.80, 0.9597, 0.9702, 0.9601, 0.9359, 0.9597
0.0294,  236.02, 0.9478, 0.9541, 0.9472, 0.9456, 0.9478
0.0326,  262.25, 0.9385, 0.9791, 0.9277, 0.9406, 0.9385
0.0359,  288.47, 0.9128, 1.0049, 0.8872, 0.9256, 0.9128
0.0391,  314.70, 0.8963, 1.0011, 0.8673, 0.8988, 0.8963
0.0424,  340.92, 0.9287, 0.9771, 0.9245, 0.8599, 0.9287
0.0457,  367.15, 0.9423, 0.9430, 0.9564, 0.8430, 0.9423
0.0489,  393.37, 0.9137, 0.9060, 0.9250, 0.8628, 0.9137
0.0522,  419.60, 0.9038, 0.8374, 0.9322, 0.8355, 0.9038
0.0555,  445.82, 0.9088, 0.7790, 0.9625, 0.7617, 0.9088
0.0587,  472.05, 0.9088, 0.8714, 0.9370, 0.7752, 0.9088
0.0620,  498.27, 0.8929, 0.9742, 0.8826, 0.8225, 0.8929
0.0652,  524.50, 0.8491, 0.8873, 0.8403, 0.8636, 0.8491
0.0685,  550.72, 0.8215, 0.8219, 0.8165, 0.8990, 0.8215
0.0718,  576.95, 0.8443, 0.8380, 0.8503, 0.8406, 0.8443
0.0750,  603.17, 0.8341, 0.7254, 0.8788, 0.7557, 0.8341
0.0783,  629.40, 0.7635, 0.6258, 0.8117, 0.7330, 0.7635
0.0815,  655.62, 0.7423, 0.7079, 0.7581, 0.7088, 0.7423
0.0848,  681.84, 0.8160, 0.8829, 0.8161, 0.6513, 0.8160
0.0881,  708.07, 0.8555, 1.0720, 0.8196, 0.6385, 0.8555
0.0913,  734.29, 0.8265, 1.2025, 0.7411, 0.6638, 0.8265
0.0946,  760.52, 0.7838, 1.1246, 0.7099, 0.6782, 0.7838
0.0979,  786.74, 0.7336, 0.8815, 0.7102, 0.6985, 0.7336
0.1011,  812.97, 0.7305, 0.7333, 0.7482, 0.7173, 0.7305
