Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_25600ISO_+1EV_Dist1_ON_Focused.tiff
Run date,07-May-2025 11:39:18,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.58, 1.0364, 1.0325, 1.0419, 1.0069, 1.0364
0.0061,   49.15, 1.0951, 1.0714, 1.1154, 0.9959, 1.0951
0.0092,   73.73, 1.0927, 1.0608, 1.1213, 0.9569, 1.0927
0.0122,   98.31, 1.0201, 1.0266, 1.0320, 0.9169, 1.0201
0.0153,  122.89, 0.9420, 1.0137, 0.9227, 0.9559, 0.9420
0.0183,  147.46, 0.8978, 0.9944, 0.8594, 1.0190, 0.8978
0.0214,  172.04, 0.9162, 1.0032, 0.8799, 1.0582, 0.9162
0.0245,  196.62, 0.9995, 1.0297, 0.9941, 1.0285, 0.9995
0.0275,  221.20, 1.0169, 0.8683, 1.0640, 0.9875, 1.0169
0.0306,  245.77, 0.9139, 0.6653, 0.9834, 0.9859, 0.9139
0.0336,  270.35, 0.8170, 0.7373, 0.8471, 0.8649, 0.8170
0.0367,  294.93, 0.7990, 0.8234, 0.7913, 0.8201, 0.7990
0.0397,  319.51, 0.8815, 0.7920, 0.9028, 0.9206, 0.8815
0.0428,  344.08, 0.9786, 0.6921, 1.0689, 0.8798, 0.9786
0.0459,  368.66, 0.9298, 0.6176, 1.0374, 0.7680, 0.9298
0.0489,  393.24, 0.7598, 0.5828, 0.8013, 0.9198, 0.7598
0.0520,  417.82, 0.6973, 0.5573, 0.7059, 1.0245, 0.6973
0.0550,  442.39, 0.8114, 0.6302, 0.9086, 0.8022, 0.8114
0.0581,  466.97, 0.8522, 0.7213, 0.9667, 0.7353, 0.8522
0.0611,  491.55, 0.8650, 0.8590, 0.9189, 0.8075, 0.8650
0.0642,  516.13, 0.8640, 0.8352, 0.9663, 0.7443, 0.8640
0.0673,  540.70, 0.7761, 0.8368, 0.8727, 0.7681, 0.7761
0.0703,  565.28, 0.7738, 0.9261, 0.7673, 0.8376, 0.7738
0.0734,  589.86, 0.8621, 0.7645, 0.9372, 0.7398, 0.8621
0.0764,  614.43, 0.8593, 0.6945, 1.0936, 0.5441, 0.8593
0.0795,  639.01, 0.7151, 0.7541, 0.8656, 0.3665, 0.7151
0.0825,  663.59, 0.4973, 0.8552, 0.5098, 0.4146, 0.4973
0.0856,  688.17, 0.4838, 0.8332, 0.6466, 0.5559, 0.4838
0.0886,  712.74, 0.5204, 0.4225, 0.6613, 0.5610, 0.5204
0.0917,  737.32, 0.5430, 0.4727, 0.5513, 0.6836, 0.5430
0.0948,  761.90, 0.6644, 0.6594, 0.6940, 0.8538, 0.6644
0.0978,  786.48, 0.7931, 0.4478, 0.9920, 0.5653, 0.7931
0.1009,  811.05, 0.7643, 0.3586, 1.0270, 0.1689, 0.7643
0.1039,  835.63, 0.6418, 0.6456, 0.7798, 0.2484, 0.6418
0.1070,  860.21, 0.5894, 0.7162, 0.5868, 0.5226, 0.5894
0.1100,  884.79, 0.7251, 0.6613, 0.7941, 0.6796, 0.7251
0.1131,  909.36, 0.8663, 0.1416, 1.1491, 0.3808, 0.8663
0.1162,  933.94, 0.7730, 0.5594, 1.1426, 0.1125, 0.7730
0.1192,  958.52, 0.5264, 0.7619, 0.8811, 0.2258, 0.5264
0.1223,  983.10, 0.2989, 0.5019, 0.5125, 0.3722, 0.2989
0.1253, 1007.67, 0.2883, 0.3880, 0.3724, 0.3967, 0.2883
0.1284, 1032.25, 0.5162, 0.3235, 0.6316, 0.1872, 0.5162
0.1314, 1056.83, 0.5861, 0.6242, 0.6918, 0.1707, 0.5861
0.1345, 1081.41, 0.4514, 0.8965, 0.4317, 0.2496, 0.4514
0.1376, 1105.98, 0.2926, 0.5547, 0.2344, 0.3957, 0.2926
0.1406, 1130.56, 0.3285, 0.7470, 0.2045, 0.4469, 0.3285
0.1437, 1155.14, 0.4729, 0.8211, 0.4097, 0.4600, 0.4729
0.1467, 1179.71, 0.4923, 0.3890, 0.5388, 0.5107, 0.4923
0.1498, 1204.29, 0.4538, 0.1953, 0.6243, 0.3167, 0.4538
0.1528, 1228.87, 0.4474, 0.2198, 0.6060, 0.2499, 0.4474
0.1559, 1253.45, 0.3926, 0.3272, 0.5511, 0.2702, 0.3926
0.1590, 1278.02, 0.3596, 0.5610, 0.5357, 0.2590, 0.3596
0.1620, 1302.60, 0.4813, 0.6769, 0.6476, 0.3426, 0.4813
0.1651, 1327.18, 0.5895, 0.5496, 0.8050, 0.2254, 0.5895
0.1681, 1351.76, 0.5756, 0.3697, 0.7948, 0.2171, 0.5756
0.1712, 1376.33, 0.4651, 0.0844, 0.6488, 0.3094, 0.4651
0.1742, 1400.91, 0.3009, 0.2166, 0.4099, 0.4549, 0.3009
0.1773, 1425.49, 0.2898, 0.2585, 0.3066, 0.4486, 0.2898
0.1804, 1450.07, 0.3284, 0.3376, 0.3438, 0.3521, 0.3284
0.1834, 1474.64, 0.2946, 0.4374, 0.2843, 0.3080, 0.2946
0.1865, 1499.22, 0.1618, 0.5456, 0.0958, 0.2880, 0.1618
0.1895, 1523.80, 0.1629, 0.3652, 0.2191, 0.3852, 0.1629
0.1926, 1548.38, 0.3515, 0.4060, 0.5594, 0.3614, 0.3515
0.1956, 1572.95, 0.4364, 0.5412, 0.6397, 0.4580, 0.4364
0.1987, 1597.53, 0.4113, 0.7179, 0.4658, 0.5113, 0.4113
0.2018, 1622.11, 0.4579, 1.0839, 0.4223, 0.4661, 0.4579
0.2048, 1646.69, 0.3539, 1.0323, 0.3522, 0.4811, 0.3539
0.2079, 1671.26, 0.1948, 0.8032, 0.1851, 0.4356, 0.1948
0.2109, 1695.84, 0.2122, 0.6951, 0.3377, 0.3170, 0.2122
0.2140, 1720.42, 0.5153, 0.4586, 0.7131, 0.2875, 0.5153
0.2170, 1745.00, 0.5652, 0.2173, 0.7495, 0.2135, 0.5652
0.2201, 1769.57, 0.4284, 0.2783, 0.5548, 0.1507, 0.4284
0.2232, 1794.15, 0.3682, 0.4953, 0.3970, 0.2617, 0.3682
0.2262, 1818.73, 0.3066, 0.3416, 0.3374, 0.1646, 0.3066
0.2293, 1843.30, 0.2152, 0.0614, 0.2977, 0.0741, 0.2152
0.2323, 1867.88, 0.1645, 0.4733, 0.3477, 0.1551, 0.1645
0.2354, 1892.46, 0.1399, 0.6443, 0.3448, 0.3984, 0.1399
0.2384, 1917.04, 0.0858, 0.6048, 0.2161, 0.2791, 0.0858
0.2415, 1941.61, 0.2716, 0.6456, 0.2259, 0.1359, 0.2716
0.2446, 1966.19, 0.4966, 0.7316, 0.4977, 0.1298, 0.4966
0.2476, 1990.77, 0.4645, 0.7668, 0.4753, 0.0303, 0.4645
0.2507, 2015.35, 0.3181, 0.5242, 0.3436, 0.0805, 0.3181
0.2537, 2039.92, 0.2619, 0.2340, 0.3027, 0.1500, 0.2619
0.2568, 2064.50, 0.2194, 0.2085, 0.2214, 0.3362, 0.2194
0.2598, 2089.08, 0.2394, 0.2353, 0.2990, 0.3947, 0.2394
0.2629, 2113.66, 0.2045, 0.2667, 0.2544, 0.4641, 0.2045
0.2659, 2138.23, 0.1259, 0.1346, 0.0823, 0.5413, 0.1259
0.2690, 2162.81, 0.1709, 0.0925, 0.2196, 0.4415, 0.1709
0.2721, 2187.39, 0.2117, 0.3299, 0.3287, 0.2958, 0.2117
0.2751, 2211.97, 0.2193, 0.5953, 0.3200, 0.4421, 0.2193
0.2782, 2236.54, 0.1228, 0.7134, 0.1707, 0.6085, 0.1228
0.2812, 2261.12, 0.1012, 0.6617, 0.1210, 0.6355, 0.1012
0.2843, 2285.70, 0.2574, 0.5172, 0.3253, 0.6042, 0.2574
0.2873, 2310.28, 0.2973, 0.3839, 0.4422, 0.4742, 0.2973
0.2904, 2334.85, 0.3016, 0.2559, 0.4552, 0.3852, 0.3016
0.2935, 2359.43, 0.2879, 0.2233, 0.3959, 0.3480, 0.2879
0.2965, 2384.01, 0.1670, 0.2370, 0.2225, 0.2409, 0.1670
0.2996, 2408.58, 0.0983, 0.1708, 0.0937, 0.2131, 0.0983
0.3026, 2433.16, 0.1463, 0.0708, 0.1589, 0.3532, 0.1463
0.3057, 2457.74, 0.2982, 0.2117, 0.3090, 0.5556, 0.2982
