Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3416  1884  3723  2294 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,12-May-2025 16:40:34,
File, potted plant_55.0 mm_100ISO_-1EV_Dist1_OFF_Defocus1.tiff,potted plant_55.0 mm_100ISO_-1EV_Dist1_OFF_Defocus2.tiff,potted plant_55.0 mm_100ISO_-1EV_Dist1_OFF_Focused.tiff,potted plant_55.0 mm_100ISO_-1EV_Dist1_ON_Defocus1.tiff,potted plant_55.0 mm_100ISO_-1EV_Dist1_ON_Defocus2.tiff,potted plant_55.0 mm_100ISO_-1EV_Dist1_ON_Focused.tiff,potted plant_55.0 mm_1600ISO_-1EV_Dist1_OFF_Defocus1.tiff,potted plant_55.0 mm_1600ISO_-1EV_Dist1_OFF_Defocus2.tiff,potted plant_55.0 mm_1600ISO_-1EV_Dist1_OFF_Focused.tiff,potted plant_55.0 mm_1600ISO_-1EV_Dist1_ON_Defocus1.tiff,potted plant_55.0 mm_1600ISO_-1EV_Dist1_ON_Defocus2.tiff,potted plant_55.0 mm_1600ISO_-1EV_Dist1_ON_Focused.tiff,potted plant_55.0 mm_6400ISO_-1EV_Dist1_OFF_Defocus1.tiff,potted plant_55.0 mm_6400ISO_-1EV_Dist1_OFF_Defocus2.tiff,potted plant_55.0 mm_6400ISO_-1EV_Dist1_OFF_Focused.tiff,potted plant_55.0 mm_6400ISO_-1EV_Dist1_ON_Defocus1.tiff,potted plant_55.0 mm_6400ISO_-1EV_Dist1_ON_Defocus2.tiff,potted plant_55.0 mm_6400ISO_-1EV_Dist1_ON_Focused.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist1_OFF_Defocus1.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist1_OFF_Defocus2.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist1_OFF_Focused.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist1_ON_Defocus1.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist1_ON_Defocus2.tiff,potted plant_55.0 mm_25600ISO_-1EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0134,  0.0081,  0.1748,  0.0135,  0.0081,  0.1612,  0.0134,  0.0080,  0.1392,  0.0131,  0.0080,  0.1462,  0.0119,  0.0081,  0.1014,  0.0124,  0.0079,  0.0926,  0.0129,  0.0078,  0.0167,  0.0125,  0.0071,  0.0147
R1090 (pxl) Mean Ctr, 35.6586, 59.6152,  2.9555, 34.1012, 61.2024,  3.1702, 35.5683, 53.3005,  3.2658, 34.5438, 55.5922,  3.1409, 34.0484, 61.0234,  4.7199, 154.4895, 51.1560,  5.3745, 30.2995, 55.5044, 28.4632, 21.3633, 45.3939, 22.5569
CA (pxl) Mean Ctr,  0.6801,  2.5824,  0.9480,  1.0527,  0.8600,  0.7294,  0.7919,  9.9286,  1.3705,  0.2105,  7.4375,  1.0599,  1.1213, 30.5023,  1.3079,  9.6438, 40.2581,  2.1672, 16.2813, 111.3842, 62.9645, 37.4727, 53.9359,  7.7214
MTF50 (LW/PH) Mean Ctr,    107.8,     65.1,   1405.6,    108.5,     65.5,   1296.1,    108.1,     64.5,   1118.9,    105.6,     64.7,   1175.1,     95.7,     65.0,    815.2,     99.8,     63.7,    744.5,    103.8,     62.4,    134.4,    100.3,     57.3,    118.1
R1090 (/PH) Mean Ctr,    112.7,     67.4,   1360.2,    117.9,     65.7,   1268.1,    113.0,     75.4,   1230.9,    116.4,     72.3,   1279.9,    118.1,     65.9,    851.7,     26.0,     78.6,    748.0,    132.7,     72.4,    141.2,    188.2,     88.6,    178.2
Peak MTF Mean Ctr,   1.000,   1.000,   1.001,   1.000,   1.000,   1.001,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.003,   1.157,   1.073,   1.002,   2.308,   2.722,   2.367,   2.441,   2.830,   2.853
MTF50P (Cy/Pxl) Mean Ctr,  0.0134,  0.0081,  0.1748,  0.0135,  0.0081,  0.1611,  0.0134,  0.0080,  0.1392,  0.0131,  0.0080,  0.1462,  0.0119,  0.0081,  0.1014,  0.4567,  0.4734,  0.0926,  0.5194,  0.2743,  0.2205,  0.5026,  0.4103,  0.4291
MTF50P (LW/PH) Mean Ctr,    107.8,     65.1,   1405.2,    108.5,     65.5,   1295.4,    108.1,     64.5,   1118.9,    105.6,     64.7,   1175.1,     95.7,     65.0,    814.9,   3671.5,   3806.2,    744.2,   4175.9,   2205.6,   1772.8,   4040.5,   3298.8,   3449.8
