Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3416  1884  3723  2294 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,12-May-2025 17:01:43,
File, potted plant_55.0 mm_1600ISO_-3EV_Dist1_ON_Defocus2.tiff,potted plant_55.0 mm_1600ISO_-3EV_Dist1_ON_Focused.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist1_OFF_Defocus1.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist1_OFF_Defocus2.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist1_OFF_Focused.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist1_ON_Defocus1.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist1_ON_Defocus2.tiff,potted plant_55.0 mm_6400ISO_-3EV_Dist1_ON_Focused.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist1_OFF_Defocus1.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist1_OFF_Defocus2.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist1_OFF_Focused.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist1_ON_Defocus1.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist1_ON_Defocus2.tiff,potted plant_55.0 mm_25600ISO_-3EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0079,  0.0593,  0.0131,  0.0058,  0.0260,  0.0107,  0.0080,  0.0197,  0.0061,  0.0060,  0.0051,  0.0072,  0.0056,  0.0055
R1090 (pxl) Mean Ctr, 58.0316,  7.3964, 25.0120, -20.1596, 12.9727, 37.1597, 40.2276, 196.3061, 286.5205, 261.2374, 136.7796, 12.7058, 143.5145, -21.9273
CA (pxl) Mean Ctr, 48.0198,  2.5258, 16.5756,  4.0109,  1.9220, 55.5589, 65.8918, 113.3311,  8.1629, 17.8037, 376.6002,  5.1792, 153.5754,  1.8547
MTF50 (LW/PH) Mean Ctr,     63.2,    476.6,    105.6,     47.0,    208.9,     86.4,     64.1,    158.7,     49.4,     47.9,     41.0,     58.1,     45.2,     44.6
R1090 (/PH) Mean Ctr,     69.3,    543.5,    160.7,   -199.4,    309.9,    108.2,     99.9,     20.5,     14.0,     15.4,     29.4,    316.4,     28.0,   -183.3
Peak MTF Mean Ctr,   1.000,   1.001,   2.159,   1.247,   2.040,   2.694,   1.697,   2.617,   2.898,   1.867,  10.213,   6.864,   5.465,   1.211
MTF50P (Cy/Pxl) Mean Ctr,  0.0079,  0.0593,  0.3089,  0.4749,  0.3307,  0.4923,  0.4053,  0.4303,  0.2710,  0.4147,  0.5099,  0.4518,  0.4204,  0.4851
MTF50P (LW/PH) Mean Ctr,     63.2,    476.5,   2483.5,   3818.3,   2658.9,   3958.5,   3258.3,   3459.9,   2179.2,   3333.8,   4099.3,   3632.6,   3380.3,   3900.4
MTF20 (Cy/Pxl) Mean Ctr,  0.0114,  0.0940,  0.0193,  0.0420,  0.0527,  0.0169,  0.0132,  0.0360,  0.0114,  0.0175,  0.0180,  0.0113,  0.0383,  0.0100
MTF20 (LW/PH) Mean Ctr,     91.9,    755.4,    155.2,    337.7,    424.0,    135.6,    106.1,    289.7,     91.3,    140.4,    144.8,     90.9,    308.1,     80.3
LSF PW50 (pxl) Mean Ctr,  0.2615,  0.3112,  0.2474,  0.2675,  0.2061,  0.3524,  0.3588,  0.2830,  0.3811,  0.3315,  0.2386,  0.4130,  0.2012,  0.2825
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr, -18.05490, -0.97631,  7.36846, -0.00000,  0.24832,  1.06545, -8.60579, -1.44368,  6.55108, -0.00000,  3.87889,  0.94209, -18.04988, -0.00000
CA (B-G %) Mean Ctr,  6.22813,  0.42059, -6.24118, -0.00000,  1.10434,  0.92348, 18.41779, 10.50600,  6.55108, -0.00000, 46.94773,  1.62406, -37.44959, -0.00000
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1691,  0.1829,  0.1818,  0.1743,  0.1896,  0.1285,  0.2074,  0.2024,  0.1395,  0.1906,  0.1254,  0.1549,  0.1909,  0.1837
