Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_6400ISO_-1EV_Dist1_OFF_Focused.tiff
Run date,12-May-2025 16:40:34,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0033,   26.16, 1.0030, 0.9976, 1.0047, 1.0007, 1.0030
0.0065,   52.33, 0.9974, 1.0027, 0.9977, 0.9830, 0.9974
0.0098,   78.49, 0.9881, 0.9863, 0.9945, 0.9383, 0.9881
0.0130,  104.65, 0.9848, 0.9825, 0.9938, 0.9098, 0.9848
0.0163,  130.82, 0.9644, 1.0156, 0.9556, 0.9369, 0.9644
0.0195,  156.98, 0.9428, 1.0053, 0.9243, 0.9741, 0.9428
0.0228,  183.14, 0.9554, 0.9988, 0.9450, 0.9626, 0.9554
0.0260,  209.31, 0.9711, 1.0061, 0.9724, 0.8825, 0.9711
0.0293,  235.47, 0.9514, 0.9696, 0.9617, 0.8358, 0.9514
0.0325,  261.63, 0.8989, 0.8232, 0.9193, 0.9004, 0.8989
0.0358,  287.80, 0.8963, 0.8298, 0.9105, 0.9451, 0.8963
0.0390,  313.96, 0.9665, 0.8390, 1.0062, 0.9181, 0.9665
0.0423,  340.12, 0.9857, 0.7921, 1.0601, 0.8733, 0.9857
0.0456,  366.29, 0.8826, 0.9036, 0.8935, 0.9076, 0.8826
0.0488,  392.45, 0.8157, 1.0771, 0.7494, 0.9911, 0.8157
0.0521,  418.61, 0.7998, 1.0717, 0.7218, 1.0804, 0.7998
0.0553,  444.78, 0.7452, 1.0104, 0.6518, 1.1521, 0.7452
0.0586,  470.94, 0.7190, 0.9620, 0.6248, 1.0403, 0.7190
0.0618,  497.10, 0.7389, 0.9537, 0.6689, 0.9386, 0.7389
0.0651,  523.27, 0.7326, 0.8427, 0.7075, 0.9525, 0.7326
0.0683,  549.43, 0.7135, 0.8336, 0.7765, 0.7759, 0.7135
0.0716,  575.59, 0.7582, 0.7879, 0.8515, 0.3961, 0.7582
0.0748,  601.76, 0.8075, 0.6970, 0.8909, 0.3267, 0.8075
0.0781,  627.92, 0.7647, 0.7891, 0.8125, 0.5550, 0.7647
0.0814,  654.09, 0.6498, 0.5960, 0.6969, 0.4614, 0.6498
0.0846,  680.25, 0.5686, 0.4078, 0.6326, 0.3927, 0.5686
0.0879,  706.41, 0.5713, 0.7778, 0.5097, 0.6659, 0.5713
0.0911,  732.58, 0.6244, 1.2277, 0.4672, 0.6985, 0.6244
0.0944,  758.74, 0.6846, 1.2341, 0.5754, 0.4655, 0.6846
0.0976,  784.90, 0.6341, 1.4016, 0.4896, 0.4716, 0.6341
0.1009,  811.07, 0.5194, 1.5795, 0.2887, 0.6652, 0.5194
0.1041,  837.23, 0.3975, 1.1574, 0.2291, 0.8306, 0.3975
0.1074,  863.39, 0.4354, 0.7995, 0.4492, 0.8280, 0.4354
0.1106,  889.56, 0.6402, 0.6129, 0.6695, 0.7813, 0.6402
