Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_6400ISO_-1EV_Dist1_ON_Focused.tiff
Run date,12-May-2025 16:40:34,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0033,   26.18, 1.0025, 1.0029, 1.0028, 0.9998, 1.0025
0.0065,   52.35, 0.9982, 1.0246, 0.9929, 0.9888, 0.9982
0.0098,   78.53, 0.9762, 1.0224, 0.9662, 0.9748, 0.9762
0.0130,  104.71, 0.9404, 0.9784, 0.9291, 0.9736, 0.9404
0.0163,  130.89, 0.9142, 0.9266, 0.9077, 0.9711, 0.9142
0.0195,  157.06, 0.9285, 0.8865, 0.9402, 0.9416, 0.9285
0.0228,  183.24, 0.9393, 0.9535, 0.9353, 0.9522, 0.9393
0.0260,  209.42, 0.9196, 1.0823, 0.8758, 0.9589, 0.9196
0.0293,  235.60, 0.9111, 1.0626, 0.8749, 0.8881, 0.9111
0.0326,  261.77, 0.8815, 0.8740, 0.8968, 0.8937, 0.8815
0.0358,  287.95, 0.7997, 0.6410, 0.8574, 0.9381, 0.7997
0.0391,  314.13, 0.7932, 0.5358, 0.8569, 0.8858, 0.7932
0.0423,  340.31, 0.8761, 0.6641, 0.9470, 0.7492, 0.8761
0.0456,  366.48, 0.9039, 0.7018, 0.9756, 0.7387, 0.9039
0.0488,  392.66, 0.8543, 0.7412, 0.8926, 0.7954, 0.8543
0.0521,  418.84, 0.7586, 0.6925, 0.7916, 0.7642, 0.7586
0.0554,  445.02, 0.7216, 0.7952, 0.7331, 0.8158, 0.7216
0.0586,  471.19, 0.7213, 0.8710, 0.6888, 0.9773, 0.7213
0.0619,  497.37, 0.6149, 0.7082, 0.5618, 0.9647, 0.6149
0.0651,  523.55, 0.5194, 0.8989, 0.3923, 0.8231, 0.5194
0.0684,  549.72, 0.5290, 1.0893, 0.4123, 0.7466, 0.5290
0.0716,  575.90, 0.6131, 0.7730, 0.6299, 0.5638, 0.6131
0.0749,  602.08, 0.6675, 0.4633, 0.7497, 0.4245, 0.6675
0.0781,  628.26, 0.5961, 0.6033, 0.6047, 0.5251, 0.5961
0.0814,  654.43, 0.6199, 0.6717, 0.6413, 0.4551, 0.6199
0.0847,  680.61, 0.7891, 0.8144, 0.9073, 0.2622, 0.7891
0.0879,  706.79, 0.7626, 0.6649, 0.9197, 0.4238, 0.7626
0.0912,  732.97, 0.5622, 0.3382, 0.7457, 0.4840, 0.5622
0.0944,  759.14, 0.4207, 0.4364, 0.6630, 0.3295, 0.4207
0.0977,  785.32, 0.3883, 0.5365, 0.6628, 0.0579, 0.3883
0.1009,  811.50, 0.4356, 0.4203, 0.6962, 0.2542, 0.4356
0.1042,  837.68, 0.4311, 0.1686, 0.6134, 0.4765, 0.4311
0.1074,  863.85, 0.4435, 0.6499, 0.4639, 0.3369, 0.4435
0.1107,  890.03, 0.5147, 0.7485, 0.4997, 0.0944, 0.5147
0.1140,  916.21, 0.4826, 0.5576, 0.5234, 0.1452, 0.4826
0.1172,  942.39, 0.4262, 0.3141, 0.5739, 0.4521, 0.4262
0.1205,  968.56, 0.3444, 0.2500, 0.5071, 0.4006, 0.3444
0.1237,  994.74, 0.4888, 0.2170, 0.5868, 0.5509, 0.4888
0.1270, 1020.92, 0.3924, 0.3849, 0.4222, 0.4885, 0.3924
0.1302, 1047.10, 0.2686, 0.3726, 0.2460, 0.4836, 0.2686
0.1335, 1073.27, 0.3996, 0.5177, 0.4057, 0.3178, 0.3996
0.1367, 1099.45, 0.4560, 0.3739, 0.5485, 0.0685, 0.4560
0.1400, 1125.63, 0.3750, 0.2445, 0.4671, 0.2228, 0.3750
0.1433, 1151.80, 0.2184, 0.0650, 0.3262, 0.2863, 0.2184
0.1465, 1177.98, 0.2569, 0.4776, 0.2974, 0.1980, 0.2569
0.1498, 1204.16, 0.3438, 0.3885, 0.3907, 0.1158, 0.3438
0.1530, 1230.34, 0.3111, 0.2590, 0.3847, 0.1656, 0.3111
0.1563, 1256.51, 0.2976, 0.3116, 0.3924, 0.2317, 0.2976
0.1595, 1282.69, 0.4094, 0.1842, 0.5597, 0.2947, 0.4094
0.1628, 1308.87, 0.5228, 0.5089, 0.6176, 0.2707, 0.5228
0.1661, 1335.05, 0.4441, 0.8212, 0.4041, 0.1655, 0.4441
0.1693, 1361.22, 0.3260, 0.9026, 0.2393, 0.4951, 0.3260
0.1726, 1387.40, 0.4049, 0.9130, 0.3610, 0.4848, 0.4049
0.1758, 1413.58, 0.3271, 0.4954, 0.3471, 0.4325, 0.3271
0.1791, 1439.76, 0.1581, 0.1875, 0.1537, 0.4062, 0.1581
0.1823, 1465.93, 0.1324, 0.3265, 0.1232, 0.4037, 0.1324
0.1856, 1492.11, 0.2091, 0.3255, 0.2395, 0.5224, 0.2091
0.1888, 1518.29, 0.2763, 0.3646, 0.2490, 0.4356, 0.2763
0.1921, 1544.47, 0.2063, 0.2695, 0.1916, 0.1952, 0.2063
0.1954, 1570.64, 0.2099, 0.2033, 0.2186, 0.1959, 0.2099
