Imatest,24.2.6, Master, SFR
File,potted plant_55.0 mm_6400ISO_0EV_Dist1_ON_Defocus2.tiff
Run date,12-May-2025 16:34:14,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0032,   26.12, 0.9009, 0.8871, 0.9037, 0.9130, 0.9009
0.0065,   52.23, 0.6508, 0.6711, 0.6440, 0.6639, 0.6508
0.0097,   78.35, 0.3451, 0.3150, 0.3550, 0.3391, 0.3451
0.0130,  104.46, 0.1033, 0.0836, 0.1156, 0.0832, 0.1033
0.0162,  130.58, 0.0571, 0.0504, 0.0588, 0.0722, 0.0571
0.0195,  156.69, 0.0570, 0.1050, 0.0437, 0.1420, 0.0570
0.0227,  182.81, 0.0295, 0.1713, 0.0450, 0.1319, 0.0295
0.0260,  208.93, 0.0254, 0.1395, 0.0791, 0.0947, 0.0254
0.0292,  235.04, 0.0243, 0.1341, 0.0175, 0.0944, 0.0243
0.0325,  261.16, 0.0380, 0.2157, 0.0539, 0.1650, 0.0380
0.0357,  287.27, 0.0224, 0.1479, 0.0427, 0.2048, 0.0224
0.0390,  313.39, 0.0152, 0.0238, 0.0376, 0.1053, 0.0152
0.0422,  339.50, 0.0335, 0.0522, 0.0493, 0.0749, 0.0335
0.0455,  365.62, 0.0448, 0.1885, 0.0290, 0.0885, 0.0448
0.0487,  391.74, 0.0799, 0.2865, 0.0614, 0.0698, 0.0799
0.0520,  417.85, 0.0815, 0.2205, 0.0559, 0.0971, 0.0815
0.0552,  443.97, 0.0439, 0.3337, 0.1124, 0.1575, 0.0439
0.0585,  470.08, 0.0741, 0.4405, 0.1981, 0.1326, 0.0741
0.0617,  496.20, 0.1010, 0.3613, 0.2118, 0.1976, 0.1010
0.0650,  522.31, 0.0459, 0.1362, 0.1190, 0.2061, 0.0459
0.0682,  548.43, 0.0287, 0.1686, 0.0418, 0.0105, 0.0287
0.0715,  574.55, 0.0306, 0.4529, 0.0809, 0.1454, 0.0306
0.0747,  600.66, 0.0298, 0.4943, 0.1090, 0.0845, 0.0298
0.0780,  626.78, 0.1121, 0.3071, 0.2336, 0.2372, 0.1121
0.0812,  652.89, 0.0687, 0.0698, 0.1266, 0.1781, 0.0687
0.0845,  679.01, 0.1072, 0.0532, 0.1456, 0.1179, 0.1072
0.0877,  705.13, 0.1123, 0.3977, 0.2569, 0.0302, 0.1123
0.0910,  731.24, 0.0249, 0.6285, 0.1601, 0.1641, 0.0249
0.0942,  757.36, 0.1612, 0.4577, 0.1620, 0.1967, 0.1612
0.0974,  783.47, 0.2094, 0.4976, 0.2035, 0.3225, 0.2094
0.1007,  809.59, 0.0632, 0.5364, 0.1220, 0.5152, 0.0632
0.1039,  835.70, 0.0560, 0.4251, 0.2453, 0.4596, 0.0560
0.1072,  861.82, 0.0742, 0.4441, 0.1866, 0.3013, 0.0742
0.1104,  887.94, 0.1721, 0.2462, 0.3005, 0.2744, 0.1721
0.1137,  914.05, 0.2039, 0.4423, 0.3917, 0.2070, 0.2039
0.1169,  940.17, 0.1200, 0.2991, 0.2127, 0.3146, 0.1200
