Imatest,24.2.6, Master, SFR
File,sports ball_55.0 mm_100ISO_+1EV_Dist1_OFF_Focused.tiff
Run date,07-May-2025 11:32:46,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.63, 1.0011, 0.9999, 1.0017, 0.9996, 1.0011
0.0061,   49.25, 0.9963, 0.9940, 0.9973, 0.9934, 0.9963
0.0092,   73.88, 0.9861, 0.9851, 0.9867, 0.9840, 0.9861
0.0123,   98.51, 0.9728, 0.9709, 0.9740, 0.9686, 0.9728
0.0153,  123.13, 0.9627, 0.9552, 0.9661, 0.9522, 0.9627
0.0184,  147.76, 0.9574, 0.9471, 0.9617, 0.9475, 0.9574
0.0214,  172.39, 0.9539, 0.9411, 0.9582, 0.9522, 0.9539
0.0245,  197.02, 0.9488, 0.9298, 0.9553, 0.9455, 0.9488
0.0276,  221.64, 0.9420, 0.9189, 0.9506, 0.9312, 0.9420
0.0306,  246.27, 0.9330, 0.9102, 0.9413, 0.9267, 0.9330
0.0337,  270.90, 0.9191, 0.8968, 0.9267, 0.9190, 0.9191
0.0368,  295.52, 0.9086, 0.8801, 0.9182, 0.9083, 0.9086
0.0398,  320.15, 0.9015, 0.8724, 0.9113, 0.9017, 0.9015
0.0429,  344.78, 0.9007, 0.8812, 0.9091, 0.8896, 0.9007
0.0459,  369.40, 0.8917, 0.8728, 0.9014, 0.8650, 0.8917
0.0490,  394.03, 0.8725, 0.8420, 0.8852, 0.8523, 0.8725
0.0521,  418.66, 0.8653, 0.8186, 0.8838, 0.8365, 0.8653
0.0551,  443.28, 0.8589, 0.8064, 0.8810, 0.8143, 0.8589
0.0582,  467.91, 0.8488, 0.8031, 0.8683, 0.8138, 0.8488
0.0613,  492.54, 0.8432, 0.7877, 0.8654, 0.8108, 0.8432
0.0643,  517.17, 0.8326, 0.7618, 0.8591, 0.8053, 0.8326
0.0674,  541.79, 0.8178, 0.7697, 0.8372, 0.8002, 0.8178
0.0705,  566.42, 0.8058, 0.7825, 0.8188, 0.7829, 0.8058
0.0735,  591.05, 0.7909, 0.7502, 0.8101, 0.7578, 0.7909
0.0766,  615.67, 0.7725, 0.7229, 0.7954, 0.7298, 0.7725
0.0796,  640.30, 0.7423, 0.7040, 0.7627, 0.6941, 0.7423
0.0827,  664.93, 0.7266, 0.6732, 0.7540, 0.6544, 0.7266
0.0858,  689.55, 0.7523, 0.6830, 0.7887, 0.6486, 0.7523
0.0888,  714.18, 0.7572, 0.6927, 0.7934, 0.6603, 0.7572
0.0919,  738.81, 0.7416, 0.6677, 0.7785, 0.6600, 0.7416
0.0950,  763.43, 0.7348, 0.6531, 0.7726, 0.6557, 0.7348
0.0980,  788.06, 0.7206, 0.6526, 0.7540, 0.6425, 0.7206
0.1011,  812.69, 0.7062, 0.6630, 0.7316, 0.6292, 0.7062
0.1041,  837.32, 0.6987, 0.6692, 0.7204, 0.6143, 0.6987
0.1072,  861.94, 0.6963, 0.6469, 0.7265, 0.5937, 0.6963
0.1103,  886.57, 0.6941, 0.6166, 0.7338, 0.5847, 0.6941
0.1133,  911.20, 0.6894, 0.6092, 0.7304, 0.5673, 0.6894
0.1164,  935.82, 0.6806, 0.6175, 0.7192, 0.5334, 0.6806
0.1195,  960.45, 0.6617, 0.6161, 0.6966, 0.5115, 0.6617
0.1225,  985.08, 0.6474, 0.6252, 0.6740, 0.5128, 0.6474
0.1256, 1009.70, 0.6417, 0.6406, 0.6611, 0.5226, 0.6417
0.1286, 1034.33, 0.6354, 0.6222, 0.6576, 0.5344, 0.6354
0.1317, 1058.96, 0.6344, 0.5944, 0.6638, 0.5312, 0.6344
0.1348, 1083.58, 0.6261, 0.5803, 0.6592, 0.4988, 0.6261
0.1378, 1108.21, 0.6023, 0.5530, 0.6372, 0.4662, 0.6023
0.1409, 1132.84, 0.5851, 0.5288, 0.6197, 0.4610, 0.5851
0.1440, 1157.47, 0.5764, 0.5236, 0.6096, 0.4516, 0.5764
0.1470, 1182.09, 0.5603, 0.5232, 0.5889, 0.4437, 0.5603
0.1501, 1206.72, 0.5466, 0.5159, 0.5731, 0.4391, 0.5466
0.1532, 1231.35, 0.5488, 0.4988, 0.5819, 0.4306, 0.5488
0.1562, 1255.97, 0.5500, 0.4990, 0.5822, 0.4376, 0.5500
0.1593, 1280.60, 0.5321, 0.4876, 0.5620, 0.4215, 0.5321
0.1623, 1305.23, 0.5161, 0.4591, 0.5531, 0.3925, 0.5161
0.1654, 1329.85, 0.5327, 0.4635, 0.5751, 0.4031, 0.5327
0.1685, 1354.48, 0.5448, 0.4783, 0.5862, 0.4001, 0.5448
0.1715, 1379.11, 0.5100, 0.4401, 0.5518, 0.3594, 0.5100
0.1746, 1403.73, 0.4782, 0.3892, 0.5227, 0.3485, 0.4782
0.1777, 1428.36, 0.4770, 0.3940, 0.5172, 0.3576, 0.4770
0.1807, 1452.99, 0.4738, 0.4245, 0.5023, 0.3625, 0.4738
0.1838, 1477.62, 0.4653, 0.4160, 0.4929, 0.3693, 0.4653
0.1868, 1502.24, 0.4601, 0.3891, 0.4954, 0.3544, 0.4601
0.1899, 1526.87, 0.4550, 0.3957, 0.4882, 0.3278, 0.4550
0.1930, 1551.50, 0.4462, 0.4114, 0.4725, 0.3215, 0.4462
0.1960, 1576.12, 0.4334, 0.4128, 0.4552, 0.3287, 0.4334
0.1991, 1600.75, 0.4129, 0.3972, 0.4308, 0.3252, 0.4129
0.2022, 1625.38, 0.4032, 0.3767, 0.4226, 0.3164, 0.4032
0.2052, 1650.00, 0.4062, 0.3580, 0.4330, 0.2998, 0.4062
0.2083, 1674.63, 0.4030, 0.3552, 0.4311, 0.2822, 0.4030
0.2114, 1699.26, 0.3955, 0.3732, 0.4153, 0.2838, 0.3955
0.2144, 1723.88, 0.3850, 0.3745, 0.4011, 0.2790, 0.3850
0.2175, 1748.51, 0.3752, 0.3543, 0.3943, 0.2721, 0.3752
0.2205, 1773.14, 0.3688, 0.3399, 0.3897, 0.2750, 0.3688
0.2236, 1797.77, 0.3611, 0.3297, 0.3825, 0.2730, 0.3611
0.2267, 1822.39, 0.3558, 0.3272, 0.3761, 0.2668, 0.3558
0.2297, 1847.02, 0.3521, 0.3375, 0.3697, 0.2464, 0.3521
0.2328, 1871.65, 0.3395, 0.3337, 0.3550, 0.2319, 0.3395
0.2359, 1896.27, 0.3265, 0.3143, 0.3407, 0.2461, 0.3265
0.2389, 1920.90, 0.3227, 0.2996, 0.3372, 0.2604, 0.3227
0.2420, 1945.53, 0.3149, 0.2882, 0.3300, 0.2525, 0.3149
0.2450, 1970.15, 0.3040, 0.2859, 0.3167, 0.2421, 0.3040
0.2481, 1994.78, 0.3021, 0.2958, 0.3113, 0.2437, 0.3021
0.2512, 2019.41, 0.2960, 0.2965, 0.3035, 0.2421, 0.2960
0.2542, 2044.03, 0.2847, 0.2781, 0.2951, 0.2295, 0.2847
0.2573, 2068.66, 0.2769, 0.2578, 0.2928, 0.2029, 0.2769
0.2604, 2093.29, 0.2629, 0.2390, 0.2804, 0.1788, 0.2629
0.2634, 2117.92, 0.2470, 0.2254, 0.2618, 0.1762, 0.2470
0.2665, 2142.54, 0.2404, 0.2224, 0.2532, 0.1807, 0.2404
0.2695, 2167.17, 0.2390, 0.2242, 0.2513, 0.1815, 0.2390
0.2726, 2191.80, 0.2376, 0.2293, 0.2482, 0.1803, 0.2376
0.2757, 2216.42, 0.2358, 0.2296, 0.2454, 0.1773, 0.2358
0.2787, 2241.05, 0.2301, 0.2215, 0.2399, 0.1726, 0.2301
0.2818, 2265.68, 0.2241, 0.2157, 0.2335, 0.1709, 0.2241
0.2849, 2290.30, 0.2175, 0.2116, 0.2260, 0.1671, 0.2175
0.2879, 2314.93, 0.2122, 0.2092, 0.2195, 0.1634, 0.2122
0.2910, 2339.56, 0.2080, 0.2075, 0.2141, 0.1615, 0.2080
0.2941, 2364.18, 0.1981, 0.1949, 0.2047, 0.1548, 0.1981
0.2971, 2388.81, 0.1912, 0.1833, 0.1982, 0.1557, 0.1912
0.3002, 2413.44, 0.1841, 0.1771, 0.1899, 0.1568, 0.1841
0.3032, 2438.07, 0.1762, 0.1715, 0.1813, 0.1508, 0.1762
0.3063, 2462.69, 0.1733, 0.1673, 0.1792, 0.1443, 0.1733
0.3094, 2487.32, 0.1713, 0.1644, 0.1777, 0.1376, 0.1713
0.3124, 2511.95, 0.1706, 0.1670, 0.1759, 0.1362, 0.1706
0.3155, 2536.57, 0.1642, 0.1644, 0.1680, 0.1333, 0.1642
0.3186, 2561.20, 0.1533, 0.1542, 0.1566, 0.1263, 0.1533
0.3216, 2585.83, 0.1496, 0.1480, 0.1533, 0.1259, 0.1496
0.3247, 2610.45, 0.1489, 0.1458, 0.1526, 0.1257, 0.1489
0.3277, 2635.08, 0.1451, 0.1438, 0.1482, 0.1226, 0.1451
0.3308, 2659.71, 0.1407, 0.1405, 0.1431, 0.1212, 0.1407
0.3339, 2684.33, 0.1369, 0.1358, 0.1395, 0.1179, 0.1369
0.3369, 2708.96, 0.1362, 0.1359, 0.1386, 0.1159, 0.1362
0.3400, 2733.59, 0.1357, 0.1359, 0.1378, 0.1160, 0.1357
0.3431, 2758.22, 0.1308, 0.1297, 0.1331, 0.1127, 0.1308
0.3461, 2782.84, 0.1256, 0.1242, 0.1280, 0.1081, 0.1256
0.3492, 2807.47, 0.1231, 0.1219, 0.1253, 0.1070, 0.1231
0.3523, 2832.10, 0.1205, 0.1198, 0.1223, 0.1059, 0.1205
0.3553, 2856.72, 0.1181, 0.1179, 0.1197, 0.1041, 0.1181
0.3584, 2881.35, 0.1160, 0.1155, 0.1175, 0.1028, 0.1160
0.3614, 2905.98, 0.1135, 0.1129, 0.1150, 0.1009, 0.1135
0.3645, 2930.60, 0.1111, 0.1105, 0.1125, 0.0990, 0.1111
0.3676, 2955.23, 0.1087, 0.1079, 0.1101, 0.0972, 0.1087
0.3706, 2979.86, 0.1060, 0.1051, 0.1074, 0.0954, 0.1060
0.3737, 3004.48, 0.1037, 0.1026, 0.1050, 0.0936, 0.1037
0.3768, 3029.11, 0.1021, 0.1010, 0.1034, 0.0922, 0.1021
0.3798, 3053.74, 0.1001, 0.0990, 0.1015, 0.0905, 0.1001
0.3829, 3078.37, 0.0969, 0.0956, 0.0982, 0.0879, 0.0969
0.3859, 3102.99, 0.0954, 0.0946, 0.0965, 0.0872, 0.0954
0.3890, 3127.62, 0.0956, 0.0947, 0.0966, 0.0886, 0.0956
0.3921, 3152.25, 0.0935, 0.0916, 0.0947, 0.0874, 0.0935
0.3951, 3176.87, 0.0895, 0.0873, 0.0908, 0.0831, 0.0895
0.3982, 3201.50, 0.0851, 0.0829, 0.0863, 0.0799, 0.0851
0.4013, 3226.13, 0.0826, 0.0807, 0.0835, 0.0785, 0.0826
0.4043, 3250.75, 0.0810, 0.0810, 0.0815, 0.0762, 0.0810
0.4074, 3275.38, 0.0790, 0.0801, 0.0793, 0.0741, 0.0790
0.4104, 3300.01, 0.0767, 0.0764, 0.0772, 0.0730, 0.0767
0.4135, 3324.63, 0.0717, 0.0711, 0.0721, 0.0701, 0.0717
0.4166, 3349.26, 0.0678, 0.0686, 0.0677, 0.0679, 0.0678
0.4196, 3373.89, 0.0686, 0.0705, 0.0683, 0.0675, 0.0686
0.4227, 3398.52, 0.0683, 0.0723, 0.0676, 0.0654, 0.0683
0.4258, 3423.14, 0.0652, 0.0710, 0.0640, 0.0623, 0.0652
0.4288, 3447.77, 0.0633, 0.0669, 0.0629, 0.0605, 0.0633
0.4319, 3472.40, 0.0622, 0.0627, 0.0629, 0.0584, 0.0622
0.4350, 3497.02, 0.0609, 0.0609, 0.0619, 0.0549, 0.0609
0.4380, 3521.65, 0.0590, 0.0612, 0.0594, 0.0526, 0.0590
0.4411, 3546.28, 0.0564, 0.0614, 0.0557, 0.0517, 0.0564
0.4441, 3570.90, 0.0533, 0.0586, 0.0522, 0.0508, 0.0533
0.4472, 3595.53, 0.0485, 0.0524, 0.0477, 0.0494, 0.0485
0.4503, 3620.16, 0.0479, 0.0523, 0.0468, 0.0505, 0.0479
0.4533, 3644.78, 0.0474, 0.0542, 0.0459, 0.0477, 0.0474
0.4564, 3669.41, 0.0436, 0.0482, 0.0429, 0.0422, 0.0436
0.4595, 3694.04, 0.0422, 0.0449, 0.0419, 0.0409, 0.0422
0.4625, 3718.67, 0.0402, 0.0449, 0.0394, 0.0387, 0.0402
0.4656, 3743.29, 0.0382, 0.0430, 0.0374, 0.0382, 0.0382
0.4686, 3767.92, 0.0367, 0.0398, 0.0361, 0.0385, 0.0367
0.4717, 3792.55, 0.0325, 0.0358, 0.0313, 0.0369, 0.0325
0.4748, 3817.17, 0.0264, 0.0317, 0.0245, 0.0309, 0.0264
0.4778, 3841.80, 0.0225, 0.0292, 0.0208, 0.0222, 0.0225
0.4809, 3866.43, 0.0193, 0.0234, 0.0184, 0.0198, 0.0193
0.4840, 3891.05, 0.0216, 0.0211, 0.0219, 0.0230, 0.0216
0.4870, 3915.68, 0.0285, 0.0293, 0.0285, 0.0266, 0.0285
0.4901, 3940.31, 0.0250, 0.0268, 0.0247, 0.0238, 0.0250
0.4932, 3964.93, 0.0195, 0.0184, 0.0196, 0.0215, 0.0195
0.4962, 3989.56, 0.0226, 0.0228, 0.0227, 0.0208, 0.0226
0.4993, 4014.19, 0.0232, 0.0278, 0.0222, 0.0207, 0.0232
0.5023, 4038.82, 0.0195, 0.0257, 0.0177, 0.0230, 0.0195
0.5054, 4063.44, 0.0176, 0.0236, 0.0159, 0.0217, 0.0176
0.5085, 4088.07, 0.0158, 0.0220, 0.0149, 0.0188, 0.0158
0.5115, 4112.70, 0.0141, 0.0236, 0.0125, 0.0182, 0.0141
0.5146, 4137.32, 0.0136, 0.0221, 0.0116, 0.0179, 0.0136
0.5177, 4161.95, 0.0102, 0.0135, 0.0103, 0.0153, 0.0102
0.5207, 4186.58, 0.0042, 0.0076, 0.0071, 0.0109, 0.0042
0.5238, 4211.20, 0.0049, 0.0165, 0.0022, 0.0103, 0.0049
0.5268, 4235.83, 0.0148, 0.0271, 0.0112, 0.0168, 0.0148
0.5299, 4260.46, 0.0146, 0.0267, 0.0120, 0.0159, 0.0146
0.5330, 4285.08, 0.0072, 0.0174, 0.0065, 0.0102, 0.0072
0.5360, 4309.71, 0.0095, 0.0161, 0.0086, 0.0187, 0.0095
0.5391, 4334.34, 0.0188, 0.0249, 0.0175, 0.0281, 0.0188
0.5422, 4358.97, 0.0200, 0.0267, 0.0196, 0.0241, 0.0200
0.5452, 4383.59, 0.0124, 0.0162, 0.0150, 0.0159, 0.0124
0.5483, 4408.22, 0.0045, 0.0124, 0.0089, 0.0134, 0.0045
0.5513, 4432.85, 0.0060, 0.0195, 0.0014, 0.0183, 0.0060
0.5544, 4457.47, 0.0104, 0.0252, 0.0051, 0.0222, 0.0104
0.5575, 4482.10, 0.0081, 0.0242, 0.0022, 0.0200, 0.0081
0.5605, 4506.73, 0.0111, 0.0247, 0.0063, 0.0215, 0.0111
0.5636, 4531.35, 0.0124, 0.0234, 0.0088, 0.0223, 0.0124
0.5667, 4555.98, 0.0059, 0.0171, 0.0017, 0.0202, 0.0059
0.5697, 4580.61, 0.0076, 0.0144, 0.0047, 0.0250, 0.0076
0.5728, 4605.23, 0.0096, 0.0161, 0.0064, 0.0278, 0.0096
0.5759, 4629.86, 0.0115, 0.0169, 0.0088, 0.0280, 0.0115
0.5789, 4654.49, 0.0160, 0.0197, 0.0141, 0.0278, 0.0160
0.5820, 4679.12, 0.0185, 0.0223, 0.0165, 0.0300, 0.0185
0.5850, 4703.74, 0.0158, 0.0199, 0.0134, 0.0285, 0.0158
0.5881, 4728.37, 0.0109, 0.0171, 0.0081, 0.0207, 0.0109
