Imatest,24.2.6, Master, SFR
File,sports ball_55.0 mm_100ISO_+1EV_Dist1_ON_Focused.tiff
Run date,07-May-2025 11:32:46,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results/+1EV - Imatest Binning

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0031,   24.63, 1.0007, 1.0004, 1.0009, 1.0000, 1.0007
0.0061,   49.25, 0.9955, 0.9938, 0.9962, 0.9942, 0.9955
0.0092,   73.88, 0.9856, 0.9836, 0.9866, 0.9829, 0.9856
0.0123,   98.51, 0.9726, 0.9708, 0.9737, 0.9684, 0.9726
0.0153,  123.13, 0.9610, 0.9533, 0.9639, 0.9566, 0.9610
0.0184,  147.76, 0.9541, 0.9428, 0.9584, 0.9466, 0.9541
0.0214,  172.39, 0.9516, 0.9422, 0.9557, 0.9419, 0.9516
0.0245,  197.01, 0.9470, 0.9374, 0.9507, 0.9427, 0.9470
0.0276,  221.64, 0.9400, 0.9269, 0.9447, 0.9368, 0.9400
0.0306,  246.27, 0.9307, 0.9107, 0.9380, 0.9229, 0.9307
0.0337,  270.89, 0.9178, 0.8940, 0.9273, 0.8994, 0.9178
0.0368,  295.52, 0.9099, 0.8787, 0.9231, 0.8792, 0.9099
0.0398,  320.15, 0.9008, 0.8588, 0.9162, 0.8806, 0.9008
0.0429,  344.77, 0.8967, 0.8600, 0.9099, 0.8822, 0.8967
0.0459,  369.40, 0.8903, 0.8655, 0.9020, 0.8582, 0.8903
0.0490,  394.03, 0.8763, 0.8534, 0.8885, 0.8369, 0.8763
0.0521,  418.65, 0.8643, 0.8418, 0.8762, 0.8291, 0.8643
0.0551,  443.28, 0.8515, 0.8263, 0.8638, 0.8206, 0.8515
0.0582,  467.91, 0.8422, 0.7980, 0.8589, 0.8250, 0.8422
0.0613,  492.53, 0.8404, 0.7818, 0.8609, 0.8250, 0.8404
0.0643,  517.16, 0.8361, 0.7946, 0.8540, 0.7973, 0.8361
0.0674,  541.79, 0.8240, 0.8105, 0.8366, 0.7608, 0.8240
0.0704,  566.41, 0.8091, 0.8108, 0.8192, 0.7392, 0.8091
0.0735,  591.04, 0.7934, 0.7919, 0.8047, 0.7343, 0.7934
0.0766,  615.67, 0.7800, 0.7536, 0.7986, 0.7126, 0.7800
0.0796,  640.29, 0.7558, 0.7219, 0.7787, 0.6571, 0.7558
