Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3411  1886  3738  2287 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,07-May-2025 11:32:46,
File, sports ball_55.0 mm_25600ISO_+1EV_Dist1_OFF_Defocus2.tiff,sports ball_55.0 mm_25600ISO_+1EV_Dist1_OFF_Defocus1.tiff,sports ball_55.0 mm_25600ISO_+1EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_25600ISO_+1EV_Dist1_ON_Defocus1.tiff,sports ball_55.0 mm_25600ISO_+1EV_Dist1_OFF_Focused.tiff,sports ball_55.0 mm_25600ISO_+1EV_Dist1_ON_Focused.tiff,sports ball_55.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus2.tiff,sports ball_55.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus1.tiff,sports ball_55.0 mm_1600ISO_+1EV_Dist1_OFF_Defocus2.tiff,sports ball_55.0 mm_1600ISO_+1EV_Dist1_OFF_Defocus1.tiff,sports ball_55.0 mm_6400ISO_+1EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_6400ISO_+1EV_Dist1_ON_Defocus1.tiff,sports ball_55.0 mm_6400ISO_+1EV_Dist1_OFF_Focused.tiff,sports ball_55.0 mm_1600ISO_+1EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_1600ISO_+1EV_Dist1_ON_Defocus1.tiff,sports ball_55.0 mm_1600ISO_+1EV_Dist1_OFF_Focused.tiff,sports ball_55.0 mm_6400ISO_+1EV_Dist1_ON_Focused.tiff,sports ball_55.0 mm_1600ISO_+1EV_Dist1_ON_Focused.tiff,sports ball_55.0 mm_100ISO_+1EV_Dist1_OFF_Defocus2.tiff,sports ball_55.0 mm_100ISO_+1EV_Dist1_OFF_Defocus1.tiff,sports ball_55.0 mm_100ISO_+1EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_100ISO_+1EV_Dist1_ON_Defocus1.tiff,sports ball_55.0 mm_100ISO_+1EV_Dist1_OFF_Focused.tiff,sports ball_55.0 mm_100ISO_+1EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0089,  0.0186,  0.0093,  0.0179,  0.0944,  0.1033,  0.0093,  0.0196,  0.0093,  0.0192,  0.0093,  0.0196,  0.1635,  0.0093,  0.0193,  0.1642,  0.1720,  0.1774,  0.0094,  0.0194,  0.0093,  0.0192,  0.1725,  0.1727
R1090 (pxl) Mean Ctr, 40.7441, 23.3368, 55.2911, 38.5364,  3.7347,  4.7571, 49.5210, 24.7291, 52.4082, 22.4462, 50.2451, 23.4556,  2.9866, 50.5421, 24.1193,  3.0609,  3.0413,  3.0394, 49.4080, 23.7694, 49.9669, 23.9305,  2.9314,  2.9486
CA (pxl) Mean Ctr, 55.4592,  4.3753,  3.5605,  5.3254,  1.7463,  2.0386, 11.4351,  2.5357,  9.0486,  0.3724,  0.7879,  6.3274,  1.3726,  2.1712,  1.6149,  0.7498,  1.1628,  0.8821,  2.1571,  1.3479,  0.7851,  0.5062,  0.8580,  0.8451
MTF50 (LW/PH) Mean Ctr,     71.8,    149.9,     74.5,    143.9,    759.4,    830.5,     75.1,    157.2,     74.6,    154.6,     74.4,    157.5,   1314.6,     75.0,    155.1,   1320.1,   1382.8,   1425.9,     75.2,    155.6,     74.7,    154.3,   1386.8,   1388.8
R1090 (/PH) Mean Ctr,     98.7,    172.3,     72.7,    104.3,   1076.4,    845.0,     81.2,    162.6,     76.7,    179.1,     80.0,    171.4,   1346.0,     79.5,    166.7,   1313.4,   1321.8,   1322.6,     81.4,    169.1,     80.5,    168.0,   1371.4,   1363.4
Peak MTF Mean Ctr,   1.151,   1.000,   1.000,   1.000,   1.020,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.004,   1.000,   1.000,   1.000,   1.003,   1.000,   1.000,   1.000,   1.000,   1.000,   1.001,   1.001
MTF50P (Cy/Pxl) Mean Ctr,  0.4224,  0.0186,  0.0093,  0.0179,  0.0943,  0.1033,  0.0093,  0.0196,  0.0093,  0.0192,  0.0093,  0.0196,  0.1634,  0.0093,  0.0193,  0.1642,  0.1720,  0.1774,  0.0094,  0.0194,  0.0093,  0.0192,  0.1724,  0.1727
MTF50P (LW/PH) Mean Ctr,   3395.8,    149.9,     74.5,    143.9,    758.3,    830.5,     75.1,    157.2,     74.6,    154.6,     74.4,    157.5,   1314.1,     75.0,    155.1,   1320.1,   1382.5,   1425.9,     75.2,    155.6,     74.7,    154.3,   1386.4,   1388.5
