Imatest,24.2.6, Master, SFR
File,sports ball_55.0 mm_100ISO_-3EV_Dist1_OFF_Focused.tiff
Run date,12-May-2025 15:56:01,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0033,   26.23, 1.0042, 1.0056, 1.0035, 1.0074, 1.0042
0.0065,   52.45, 0.9989, 1.0002, 0.9975, 1.0084, 0.9989
0.0098,   78.68, 0.9794, 0.9769, 0.9792, 0.9892, 0.9794
0.0130,  104.90, 0.9660, 0.9638, 0.9663, 0.9706, 0.9660
0.0163,  131.13, 0.9637, 0.9701, 0.9629, 0.9546, 0.9637
0.0196,  157.35, 0.9584, 0.9748, 0.9539, 0.9590, 0.9584
0.0228,  183.58, 0.9461, 0.9642, 0.9386, 0.9725, 0.9461
0.0261,  209.80, 0.9435, 0.9526, 0.9414, 0.9435, 0.9435
0.0294,  236.03, 0.9387, 0.9268, 0.9444, 0.9259, 0.9387
0.0326,  262.25, 0.9210, 0.8943, 0.9294, 0.9278, 0.9210
0.0359,  288.48, 0.9125, 0.8657, 0.9288, 0.9047, 0.9125
0.0391,  314.70, 0.8986, 0.8373, 0.9181, 0.9038, 0.8986
0.0424,  340.93, 0.8841, 0.8679, 0.8871, 0.9182, 0.8841
0.0457,  367.16, 0.8810, 0.8780, 0.8813, 0.8990, 0.8810
0.0489,  393.38, 0.8675, 0.8330, 0.8773, 0.8790, 0.8675
0.0522,  419.61, 0.8489, 0.7995, 0.8666, 0.8492, 0.8489
0.0555,  445.83, 0.8338, 0.7405, 0.8708, 0.7879, 0.8338
0.0587,  472.06, 0.8328, 0.7085, 0.8795, 0.7534, 0.8328
0.0620,  498.28, 0.8318, 0.7196, 0.8768, 0.7358, 0.8318
0.0652,  524.51, 0.7997, 0.7077, 0.8352, 0.7445, 0.7997
0.0685,  550.73, 0.7840, 0.7141, 0.8091, 0.7600, 0.7840
0.0718,  576.96, 0.8052, 0.7217, 0.8421, 0.7031, 0.8052
0.0750,  603.18, 0.8087, 0.6950, 0.8625, 0.6404, 0.8087
0.0783,  629.41, 0.7787, 0.6738, 0.8295, 0.6419, 0.7787
0.0815,  655.63, 0.7460, 0.6855, 0.7829, 0.6287, 0.7460
0.0848,  681.86, 0.7530, 0.7779, 0.7684, 0.6042, 0.7530
0.0881,  708.08, 0.7797, 0.8271, 0.7903, 0.5815, 0.7797
0.0913,  734.31, 0.7781, 0.7543, 0.8125, 0.5766, 0.7781
