Imatest,24.2.6, Master, SFR
File,sports ball_55.0 mm_1600ISO_-3EV_Dist1_ON_Defocus2.tiff
Run date,12-May-2025 15:56:01,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+55/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0032,   26.12, 0.9377, 0.9950, 0.9156, 1.0072, 0.9377
0.0065,   52.24, 0.7070, 0.7073, 0.7040, 0.7404, 0.7070
0.0097,   78.35, 0.4469, 0.4810, 0.4332, 0.4942, 0.4469
0.0130,  104.47, 0.1916, 0.1527, 0.2152, 0.2015, 0.1916
0.0162,  130.59, 0.0456, 0.0857, 0.0687, 0.0334, 0.0456
0.0195,  156.71, 0.0618, 0.1671, 0.0576, 0.0658, 0.0618
0.0227,  182.82, 0.0807, 0.0917, 0.0904, 0.0784, 0.0807
0.0260,  208.94, 0.0144, 0.2606, 0.0559, 0.0789, 0.0144
0.0292,  235.06, 0.0454, 0.3417, 0.0510, 0.1666, 0.0454
0.0325,  261.18, 0.0304, 0.1652, 0.0134, 0.2823, 0.0304
0.0357,  287.30, 0.0802, 0.2207, 0.1292, 0.1686, 0.0802
0.0390,  313.41, 0.1035, 0.2631, 0.1716, 0.0695, 0.1035
0.0422,  339.53, 0.0679, 0.1689, 0.1204, 0.0616, 0.0679
0.0455,  365.65, 0.0681, 0.1964, 0.1043, 0.2546, 0.0681
0.0487,  391.77, 0.1698, 0.4262, 0.1458, 0.3250, 0.1698
0.0520,  417.88, 0.1691, 0.3130, 0.1723, 0.3678, 0.1691
0.0552,  444.00, 0.2201, 0.2510, 0.3079, 0.5964, 0.2201
0.0585,  470.12, 0.1773, 0.4245, 0.2020, 0.5615, 0.1773
0.0617,  496.24, 0.0823, 0.3819, 0.0574, 0.2180, 0.0823
0.0650,  522.35, 0.0543, 0.2670, 0.0622, 0.2911, 0.0543
0.0682,  548.47, 0.1021, 0.2829, 0.0820, 0.3439, 0.1021
0.0715,  574.59, 0.1963, 0.2003, 0.2599, 0.4096, 0.1963
0.0747,  600.71, 0.2428, 0.2772, 0.3429, 0.4104, 0.2428
0.0780,  626.83, 0.2051, 0.4143, 0.2887, 0.4106, 0.2051
0.0812,  652.94, 0.0969, 0.5019, 0.1375, 0.6940, 0.0969
0.0845,  679.06, 0.0602, 0.1871, 0.1269, 0.5631, 0.0602
0.0877,  705.18, 0.1146, 0.3549, 0.2009, 0.1696, 0.1146
0.0910,  731.30, 0.0673, 0.5054, 0.0641, 0.5872, 0.0673
0.0942,  757.41, 0.0850, 0.0718, 0.1897, 0.7017, 0.0850
0.0975,  783.53, 0.1524, 0.3540, 0.1612, 0.3914, 0.1524
0.1007,  809.65, 0.0145, 0.2026, 0.0802, 0.3902, 0.0145
0.1040,  835.77, 0.1732, 0.5825, 0.1631, 0.4036, 0.1732
0.1072,  861.89, 0.1928, 0.7217, 0.2778, 0.5909, 0.1928
0.1104,  888.00, 0.1726, 1.2407, 0.2205, 0.5959, 0.1726
0.1137,  914.12, 0.1590, 1.8028, 0.3583, 0.2337, 0.1590
0.1169,  940.24, 0.3259, 1.5182, 0.4090, 0.3621, 0.3259
0.1202,  966.36, 0.3543, 0.4800, 0.4588, 0.0381, 0.3543
0.1234,  992.47, 0.3844, 0.4039, 0.6576, 0.5788, 0.3844
0.1267, 1018.59, 0.5686, 0.4522, 0.9664, 0.9077, 0.5686
0.1299, 1044.71, 0.3311, 0.9209, 0.7227, 0.2795, 0.3311
0.1332, 1070.83, 0.1320, 1.2326, 0.3970, 0.7864, 0.1320
0.1364, 1096.95, 0.2113, 0.9285, 0.4336, 0.8859, 0.2113
0.1397, 1123.06, 0.1688, 0.7736, 0.3913, 0.3571, 0.1688
0.1429, 1149.18, 0.2921, 0.5347, 0.3583, 0.1081, 0.2921
0.1462, 1175.30, 0.3326, 0.7025, 0.3587, 0.5062, 0.3326
0.1494, 1201.42, 0.3306, 0.8304, 0.6038, 0.6823, 0.3306
0.1527, 1227.53, 0.5387, 0.3290, 0.7707, 0.6419, 0.5387
0.1559, 1253.65, 0.5138, 1.2517, 0.3438, 0.5202, 0.5138
0.1592, 1279.77, 0.2013, 1.2241, 0.0964, 0.4486, 0.2013
0.1624, 1305.89, 0.0972, 1.4507, 0.3306, 0.2271, 0.0972
0.1657, 1332.01, 0.2161, 1.4308, 0.6044, 0.8704, 0.2161
0.1689, 1358.12, 0.1622, 0.2204, 0.3717, 0.9540, 0.1622
0.1722, 1384.24, 0.1318, 0.5102, 0.1182, 1.1242, 0.1318
0.1754, 1410.36, 0.3692, 0.5477, 0.4286, 0.8482, 0.3692
0.1787, 1436.48, 0.5645, 0.7550, 0.5513, 0.2897, 0.5645
0.1819, 1462.59, 0.4321, 0.8771, 0.3158, 0.8605, 0.4321
0.1852, 1488.71, 0.1692, 0.3953, 0.1397, 0.5047, 0.1692
0.1884, 1514.83, 0.1776, 0.1274, 0.1399, 0.8113, 0.1776
0.1917, 1540.95, 0.2592, 0.3531, 0.2138, 0.6087, 0.2592
0.1949, 1567.06, 0.2147, 0.6526, 0.2522, 0.2520, 0.2147
0.1982, 1593.18, 0.0714, 1.0560, 0.2000, 0.0631, 0.0714
0.2014, 1619.30, 0.1543, 1.1188, 0.5126, 0.2160, 0.1543
0.2047, 1645.42, 0.0609, 1.1016, 0.4300, 0.6300, 0.0609
0.2079, 1671.54, 0.1494, 1.0192, 0.1312, 0.7326, 0.1494
0.2112, 1697.65, 0.1132, 0.6436, 0.1575, 0.4807, 0.1132
0.2144, 1723.77, 0.3573, 0.1620, 0.5090, 0.6077, 0.3573
0.2176, 1749.89, 0.0089, 0.8890, 0.3483, 1.0288, 0.0089
0.2209, 1776.01, 0.5258, 0.9158, 0.5326, 1.0850, 0.5258
0.2241, 1802.12, 0.4527, 0.2860, 0.5791, 0.6018, 0.4527
0.2274, 1828.24, 0.2013, 0.4185, 0.3066, 0.9528, 0.2013
0.2306, 1854.36, 0.1727, 0.2155, 0.0640, 1.3087, 0.1727
0.2339, 1880.48, 0.2248, 0.5312, 0.2115, 0.8436, 0.2248
0.2371, 1906.60, 0.3441, 0.9134, 0.3664, 1.0895, 0.3441
0.2404, 1932.71, 0.6860, 1.5849, 0.6733, 0.8496, 0.6860
0.2436, 1958.83, 0.5506, 1.6923, 0.5510, 0.7732, 0.5506
0.2469, 1984.95, 0.0558, 0.8987, 0.1268, 0.9298, 0.0558
0.2501, 2011.07, 0.3064, 0.3788, 0.4031, 0.8816, 0.3064
0.2534, 2037.18, 0.3298, 0.1686, 0.3797, 0.6425, 0.3298
0.2566, 2063.30, 0.2858, 0.7342, 0.2768, 0.6829, 0.2858
0.2599, 2089.42, 0.1634, 0.9397, 0.1435, 0.3312, 0.1634
0.2631, 2115.54, 0.1990, 0.9543, 0.3352, 0.2565, 0.1990
0.2664, 2141.66, 0.3025, 0.9997, 0.4929, 0.2713, 0.3025
0.2696, 2167.77, 0.2560, 0.8520, 0.4125, 0.3279, 0.2560
0.2729, 2193.89, 0.5261, 0.4900, 0.6705, 0.2114, 0.5261
0.2761, 2220.01, 0.5984, 0.9068, 0.5398, 0.3791, 0.5984
0.2794, 2246.13, 0.1507, 0.4297, 0.1104, 0.1639, 0.1507
0.2826, 2272.24, 0.3745, 0.1528, 0.4737, 0.5796, 0.3745
0.2859, 2298.36, 0.3830, 0.6718, 0.6584, 0.5368, 0.3830
0.2891, 2324.48, 0.4384, 0.8505, 0.6166, 0.2796, 0.4384
0.2924, 2350.60, 0.4057, 0.3771, 0.4514, 0.3048, 0.4057
0.2956, 2376.71, 0.5994, 0.8262, 0.6199, 0.2989, 0.5994
0.2989, 2402.83, 0.6330, 0.3787, 0.8033, 0.4622, 0.6330
0.3021, 2428.95, 0.5745, 0.6268, 0.7400, 0.4096, 0.5745
0.3054, 2455.07, 0.4646, 0.2098, 0.6643, 0.1947, 0.4646
0.3086, 2481.19, 0.1184, 0.1119, 0.2131, 0.5758, 0.1184
0.3119, 2507.30, 0.3338, 0.1080, 0.3978, 0.6966, 0.3338
