Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3419  1883  3726  2297 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,12-May-2025 15:52:11,
File, sports ball_55.0 mm_100ISO_-1EV_Dist1_OFF_Defocus1.tiff,sports ball_55.0 mm_100ISO_-1EV_Dist1_OFF_Defocus2.tiff,sports ball_55.0 mm_100ISO_-1EV_Dist1_OFF_Focused.tiff,sports ball_55.0 mm_100ISO_-1EV_Dist1_ON_Defocus1.tiff,sports ball_55.0 mm_100ISO_-1EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_100ISO_-1EV_Dist1_ON_Focused.tiff,sports ball_55.0 mm_1600ISO_-1EV_Dist1_OFF_Defocus1.tiff,sports ball_55.0 mm_1600ISO_-1EV_Dist1_OFF_Defocus2.tiff,sports ball_55.0 mm_1600ISO_-1EV_Dist1_OFF_Focused.tiff,sports ball_55.0 mm_1600ISO_-1EV_Dist1_ON_Defocus1.tiff,sports ball_55.0 mm_1600ISO_-1EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_1600ISO_-1EV_Dist1_ON_Focused.tiff,sports ball_55.0 mm_6400ISO_-1EV_Dist1_OFF_Defocus1.tiff,sports ball_55.0 mm_6400ISO_-1EV_Dist1_OFF_Defocus2.tiff,sports ball_55.0 mm_6400ISO_-1EV_Dist1_OFF_Focused.tiff,sports ball_55.0 mm_6400ISO_-1EV_Dist1_ON_Defocus1.tiff,sports ball_55.0 mm_6400ISO_-1EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_6400ISO_-1EV_Dist1_ON_Focused.tiff,sports ball_55.0 mm_25600ISO_-1EV_Dist1_OFF_Defocus1.tiff,sports ball_55.0 mm_25600ISO_-1EV_Dist1_OFF_Defocus2.tiff,sports ball_55.0 mm_25600ISO_-1EV_Dist1_OFF_Focused.tiff,sports ball_55.0 mm_25600ISO_-1EV_Dist1_ON_Defocus1.tiff,sports ball_55.0 mm_25600ISO_-1EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_25600ISO_-1EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0192,  0.0094,  0.1735,  0.0194,  0.0094,  0.1728,  0.0195,  0.0093,  0.1649,  0.0194,  0.0093,  0.1910,  0.0170,  0.0091,  0.1053,  0.0172,  0.0088,  0.0718,  0.0125,  0.0077,  0.0154,  0.0129,  0.0079,  0.0488
R1090 (pxl) Mean Ctr, 24.0630, 49.4430,  2.8959, 24.3289, 53.0068,  2.8560, 23.1816, 48.6521,  2.9530, 23.5220, 54.3306,  2.6259, 26.1602, 41.3967,  4.1467, 20.5630, 50.5734,  6.4173, 20.3323, 179.4358, 25.0989, 22.3726, 63.7344, 14.9373
CA (pxl) Mean Ctr,  0.6948,  1.3461,  0.9248,  1.5166,  1.0255,  0.7956,  2.0448, 10.5140,  0.9365,  2.0857,  8.2663,  0.7153,  6.6271,  6.7897,  0.0348,  5.0576, 19.5167,  0.4646, 162.0746, 1110.4162,  3.1796, 37.5036, 42.2104,  3.1759
MTF50 (LW/PH) Mean Ctr,    154.1,     75.3,   1395.3,    156.4,     75.3,   1389.0,    156.8,     74.7,   1325.7,    155.9,     75.1,   1535.3,    136.8,     73.4,    846.7,    138.0,     70.6,    576.9,    100.6,     62.1,    124.2,    103.6,     63.9,    392.2
R1090 (/PH) Mean Ctr,    167.1,     81.3,   1388.2,    165.2,     75.8,   1407.6,    173.4,     82.6,   1361.3,    170.9,     74.0,   1530.9,    153.7,     97.1,    969.5,    195.5,     79.5,    626.4,    197.7,     22.4,    160.2,    179.7,     63.1,    269.1
Peak MTF Mean Ctr,   1.000,   1.000,   1.004,   1.000,   1.000,   1.003,   1.000,   1.000,   1.004,   1.000,   1.000,   1.001,   1.000,   1.150,   1.036,   1.000,   1.000,   1.000,   2.492,   2.525,   2.161,   2.595,   2.622,   2.289
MTF50P (Cy/Pxl) Mean Ctr,  0.0192,  0.0094,  0.1733,  0.0194,  0.0094,  0.1727,  0.0195,  0.0093,  0.1647,  0.0194,  0.0093,  0.1909,  0.0170,  0.4776,  0.1049,  0.0172,  0.0088,  0.0718,  0.4352,  0.2812,  0.3472,  0.4909,  0.5043,  0.4767
MTF50P (LW/PH) Mean Ctr,    154.1,     75.3,   1393.6,    156.4,     75.3,   1388.4,    156.8,     74.7,   1324.4,    155.9,     75.1,   1534.9,    136.8,   3839.7,    843.3,    138.0,     70.6,    576.9,   3498.6,   2261.2,   2791.8,   3947.1,   4054.6,   3833.0
