Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3419  1883  3726  2297 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 15:57:46,12-May-2025 15:57:46,12-May-2025 15:57:46,12-May-2025 15:57:46,12-May-2025 15:57:46,12-May-2025 15:57:46,12-May-2025 15:57:46,
File, sports ball_55.0 mm_6400ISO_-3EV_Dist1_ON_Focused.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist1_OFF_Defocus1.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist1_OFF_Defocus2.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist1_OFF_Focused.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist1_ON_Defocus1.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_25600ISO_-3EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , 
Lens, , , , , , , 
ISO speed, , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0214,  0.0152,  0.0082,  0.0025,  0.0110,  0.0057,  0.0039
R1090 (pxl) Mean Ctr, 22.2727, 19.4433, 114.7183, 203.6390,  4.4560, -22.5857, 184.5093
CA (pxl) Mean Ctr,  6.8254, 26.4120, 97.4321, 165.0065, 16.1080,  3.5979, 348.5420
MTF50 (LW/PH) Mean Ctr,    171.9,    122.1,     66.2,     19.7,     88.3,     45.8,     31.5
R1090 (/PH) Mean Ctr,    180.5,    206.8,     35.0,     19.7,    902.2,   -178.0,     21.8
Peak MTF Mean Ctr,   2.250,   9.794,   5.233,   6.646,  13.378,   1.156,   8.053
MTF50P (Cy/Pxl) Mean Ctr,  0.4657,  0.4856,  0.3436,  0.4224,  0.3990,  0.4941,  0.4099
MTF50P (LW/PH) Mean Ctr,   3744.1,   3904.2,   2762.6,   3396.2,   3208.2,   3972.9,   3295.8
MTF20 (Cy/Pxl) Mean Ctr,  0.0482,  0.0355,  0.3474,  0.1232,  0.0152,  0.0509,  0.0160
MTF20 (LW/PH) Mean Ctr,    387.8,    285.1,   2792.9,    990.3,    122.3,    409.4,    128.4
LSF PW50 (pxl) Mean Ctr,  0.2380,  0.2761,  0.3133,  0.3730,  0.2254,  0.3350,  0.3423
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr, -0.19040,  0.13919, -20.92035, 29.31891, -0.00000, -6.26505,  0.00000
CA (B-G %) Mean Ctr,  3.96157, -15.20459, -9.03788, 64.59821, -0.00000, -0.00000,  0.00000
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1511,  0.1192,  0.1572,  0.1499,  0.1802,  0.2138,  0.1652
s1-MTF50. Mean Ctr,     0.02138,     0.01519,     0.00824,         NaN,     0.01098,     0.00569,     0.00392
Shannon capacity Mean Ctr,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.04,  0.09,  0.02,  0.04,  0.08,  0.00,  0.00
Info Capacity C_max Mean Ctr,  1.81,  2.74,  2.21,  2.24,  3.65,  0.94,  2.60
SNRi 2x8 pixels Mean Ctr,  1.27,  5.65,  0.96,  0.23,  3.08, -18.57, -16.14
Edge location sigma 2x8 Mean Ctr,  3.60,  1.75,  4.24,  3.83,  2.88, 38.15, 28.91

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Mean Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
MTF20 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF20 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
LSF PW50 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (area %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
s1-MTF50. Mean Pt Wy,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
Shannon capacity Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_max Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
