Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3419  1883  3726  2297 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 15:51:31,12-May-2025 15:51:31,
File, sports ball_55.0 mm_25600ISO_0EV_Dist1_ON_Defocus2.tiff,sports ball_55.0 mm_25600ISO_0EV_Dist1_ON_Focused.tiff,
Camera, , 
Lens, , 
ISO speed, , 
Focal length, 18, 18
Shutter speed, , 
Aperture, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0088,  0.0220
R1090 (pxl) Mean Ctr, 37.1539, 18.4930
CA (pxl) Mean Ctr, 87.3368,  3.8860
MTF50 (LW/PH) Mean Ctr,     70.4,    176.7
R1090 (/PH) Mean Ctr,    108.2,    217.4
Peak MTF Mean Ctr,   1.541,   1.331
MTF50P (Cy/Pxl) Mean Ctr,  0.3804,  0.4865
MTF50P (LW/PH) Mean Ctr,   3058.5,   3911.2
MTF20 (Cy/Pxl) Mean Ctr,  0.0123,  0.0342
MTF20 (LW/PH) Mean Ctr,     98.7,    275.3
LSF PW50 (pxl) Mean Ctr,  0.2643,  0.2780
CA (area %) Mean Ctr,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN
CA (R-G %) Mean Ctr, -34.04089,  1.60826
CA (B-G %) Mean Ctr, -7.92431, -2.68060
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.1584,  0.1836
s1-MTF50. Mean Ctr,     0.00876,     0.02198
Shannon capacity Mean Ctr,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.07,  0.07
Info Capacity C_max Mean Ctr,  1.09,  1.07
SNRi 2x8 pixels Mean Ctr,  6.98,  6.65
Edge location sigma 2x8 Mean Ctr,  1.86,  1.70

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000,  0.0000
CA (pxl) Mean Pt Wy,  0.0000,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0,      0.0
R1090 (/PH) Mean Pt Wy,      0.0,      0.0
Peak MTF Mean Pt Wy,   0.000,   0.000
MTF50P (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000
MTF50P (LW/PH) Mean Pt Wy,      0.0,      0.0
MTF20 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000
MTF20 (LW/PH) Mean Pt Wy,      0.0,      0.0
LSF PW50 (pxl) Mean Pt Wy,  0.0000,  0.0000
CA (area %) Mean Pt Wy,  0.00000,  0.00000
CA (crossing %) Mean Pt Wy,  0.00000,  0.00000
CA (R-G %) Mean Pt Wy,  0.00000,  0.00000
CA (B-G %) Mean Pt Wy,  0.00000,  0.00000
MTF50C (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000
