Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3186  1998  3293  2141 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,12-May-2025 12:06:58,
File, car_18.0 mm_6400ISO_-1EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_6400ISO_-1EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_1600ISO_-1EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_1600ISO_-1EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_6400ISO_-1EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_6400ISO_-1EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_6400ISO_-1EV_Dist1_OFF_Focused.tiff,car_18.0 mm_1600ISO_-1EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_1600ISO_-1EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_1600ISO_-1EV_Dist1_OFF_Focused.tiff,car_18.0 mm_6400ISO_-1EV_Dist1_ON_Focused.tiff,car_18.0 mm_1600ISO_-1EV_Dist1_ON_Focused.tiff,car_18.0 mm_100ISO_-1EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_100ISO_-1EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_100ISO_-1EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_100ISO_-1EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_100ISO_-1EV_Dist1_OFF_Focused.tiff,car_18.0 mm_100ISO_-1EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0707,  0.1976,  0.0612,  0.1801,  0.0806,  0.1949,  0.1584,  0.0699,  0.1902,  0.1913,  0.1355,  0.1531,  0.0643,  0.1828,  0.0652,  0.1834,  0.1975,  0.1890
R1090 (pxl) Mean Ctr,  6.5661,  2.9609,  7.8969,  2.7332,  5.8314,  2.6577,  3.2245,  6.9205,  2.6216,  2.5516,  2.2925,  3.0101,  7.4871,  2.8256,  7.2874,  2.8700,  2.9096,  2.8043
CA (pxl) Mean Ctr,  1.3401,  0.7482,  1.1735,  0.5776,  2.2317,  1.1335,  2.2095,  0.4122,  0.4979,  0.0711,  1.0562,  0.4014,  0.3668,  0.2220,  0.1194,  0.3303,  0.3228,  0.3352
MTF50 (LW/PH) Mean Ctr,    568.4,   1588.4,    492.2,   1447.9,    647.8,   1567.2,   1273.8,    561.8,   1528.8,   1538.1,   1089.7,   1231.3,    517.2,   1470.0,    524.3,   1474.6,   1588.2,   1519.3
R1090 (/PH) Mean Ctr,    612.2,   1357.7,    509.1,   1470.8,    689.4,   1512.6,   1246.7,    580.9,   1533.4,   1575.5,   1753.5,   1335.5,    536.9,   1422.7,    551.6,   1400.7,   1381.6,   1433.5
Peak MTF Mean Ctr,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.117,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.0707,  0.1976,  0.0612,  0.1801,  0.0806,  0.1949,  0.1584,  0.0699,  0.1902,  0.1913,  0.1333,  0.1531,  0.0643,  0.1828,  0.0652,  0.1834,  0.1975,  0.1890
