Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3186  1998  3293  2141 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,12-May-2025 12:08:18,
File, car_18.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus2.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_OFF_Defocus1.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_ON_Defocus2.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_ON_Defocus1.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_OFF_Focused.tiff,car_18.0 mm_25600ISO_-2EV_Dist1_ON_Focused.tiff,
Camera, , , , , , 
Lens, , , , , , 
ISO speed, , , , , , 
Focal length, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0163,  0.0596,  0.0180,  0.0183,  0.0160,  0.0234
R1090 (pxl) Mean Ctr, 41.2067,  1.2871, 41.1826, 76.3885, 43.0357, 26.8846
CA (pxl) Mean Ctr, 27.2964,  7.7677, 76.3563, 186.1477, 124.6058, 122.2246
MTF50 (LW/PH) Mean Ctr,    131.3,    478.9,    144.4,    147.1,    128.6,    187.9
R1090 (/PH) Mean Ctr,     97.6,   3123.4,     97.6,     52.6,     93.4,    149.5
Peak MTF Mean Ctr,   1.534,   2.257,   1.097,   5.805,   1.459,   3.196
MTF50P (Cy/Pxl) Mean Ctr,  0.4885,  0.3593,  0.4996,  0.4007,  0.3920,  0.3678
MTF50P (LW/PH) Mean Ctr,   3927.5,   2889.1,   4016.7,   3221.3,   3151.8,   2957.4
MTF20 (Cy/Pxl) Mean Ctr,  0.0367,  1.6221,  0.5355,  0.0635,  0.0295,  0.0312
MTF20 (LW/PH) Mean Ctr,    295.1,  13041.6,   4305.1,    510.5,    237.1,    250.9
LSF PW50 (pxl) Mean Ctr,  0.2512,  0.2299,  0.2433,  0.2813,  0.2967,  0.2081
CA (area %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (crossing %) Mean Ctr,      NaN,      NaN,      NaN,      NaN,      NaN,      NaN
CA (R-G %) Mean Ctr, -5.28798,  5.97758, 72.25971, -0.41139, -22.25868,  5.86116
CA (B-G %) Mean Ctr, -3.66113,  3.04212, 72.07697, -34.85978, 10.85850,  7.26961
MTF50C (Cy/Pxl) Mean Ctr,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.2029,  0.2455,  0.2509,  0.2138,  0.2382,  0.1692
s1-MTF50. Mean Ctr,     0.01633,     0.05957,     0.01797,     0.01829,     0.01600,     0.02337
Shannon capacity Mean Ctr,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Ctr,  0.00,  0.03,  0.00,  0.20,  0.00,  0.04
Info Capacity C_max Mean Ctr,  1.31,  1.85,  3.56,  2.59,  2.97,  1.81
SNRi 2x8 pixels Mean Ctr, -8.35,  0.81, -7.09,  9.45, -12.43,  1.76
Edge location sigma 2x8 Mean Ctr, 11.76,  4.64,  9.98,  1.42, 20.76,  3.32

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Mean Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
MTF20 (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF20 (LW/PH) Mean Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
LSF PW50 (pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (area %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Mean Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Mean Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
s1-MTF50. Mean Pt Wy,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
Shannon capacity Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_max Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
SNRi 2x8 pixels Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Edge location sigma 2x8 Mean Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00

MTF50 (Cy/Pxl) Min Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
R1090 (pxl) Max Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (pxl) Max Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50 (LW/PH) Min Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
R1090 (/PH) Max Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Peak MTF Max Pt Wy,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
MTF50P (Cy/Pxl) Min Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF50P (LW/PH) Min Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
MTF20 (Cy/Pxl) Min Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF20 (LW/PH) Min Pt Wy,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
LSF PW50 (pxl) Max Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
CA (area %) Max Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Max Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Max Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Max Pt Wy,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Max Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
MTF Area PkNorm (Cy/Pxl) Min Pt Wy,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
s1-MTF50. Min Pt Wy,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
Shannon capacity Min Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Min Pt Wy,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
