Imatest,24.2.6, Master, SFR
File,car_18.0 mm_25600ISO_0EV_Dist1_ON_Defocus1.tiff
Run date,12-May-2025 12:00:32,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0093,   74.68, 1.0245, 1.1639, 0.9916, 1.0258, 1.0245
0.0186,  149.36, 1.0304, 1.3998, 0.9428, 1.0786, 1.0304
0.0279,  224.04, 0.9170, 1.1764, 0.8503, 1.0287, 0.9170
0.0372,  298.73, 0.7661, 0.8584, 0.7413, 0.9822, 0.7661
0.0464,  373.41, 0.7004, 0.6946, 0.6871, 1.0093, 0.7004
0.0557,  448.09, 0.7730, 1.0935, 0.6998, 0.9341, 0.7730
0.0650,  522.77, 0.6737, 1.0939, 0.6697, 0.9724, 0.6737
0.0743,  597.45, 0.4486, 0.7081, 0.6540, 0.6542, 0.4486
0.0836,  672.13, 0.3260, 0.9251, 0.6156, 0.1738, 0.3260
0.0929,  746.81, 0.1733, 0.7497, 0.3817, 0.1858, 0.1733
0.1022,  821.49, 0.4066, 0.3478, 0.4782, 0.2431, 0.4066
0.1115,  896.18, 0.7777, 1.1588, 0.7681, 0.4642, 0.7777
0.1208,  970.86, 0.5714, 1.0242, 0.4654, 0.6363, 0.5714
0.1300, 1045.54, 0.4927, 0.7816, 0.4484, 0.7126, 0.4927
0.1393, 1120.22, 0.4864, 1.4267, 0.4981, 0.4231, 0.4864
0.1486, 1194.90, 0.2104, 1.3651, 0.0460, 0.1521, 0.2104
0.1579, 1269.58, 0.3040, 0.6454, 0.2821, 0.2449, 0.3040
0.1672, 1344.26, 0.1688, 0.8425, 0.0363, 0.1467, 0.1688
0.1765, 1418.95, 0.3383, 0.7136, 0.3718, 0.5462, 0.3383
0.1858, 1493.63, 0.5508, 1.2831, 0.5361, 0.8456, 0.5508
0.1951, 1568.31, 0.2121, 0.2102, 0.3417, 0.4154, 0.2121
0.2044, 1642.99, 0.1823, 1.3905, 0.3674, 0.0966, 0.1823
0.2136, 1717.67, 0.2809, 1.4299, 0.6305, 0.0909, 0.2809
0.2229, 1792.35, 0.5402, 0.9156, 0.8785, 0.2788, 0.5402
0.2322, 1867.03, 0.4830, 1.1027, 0.6763, 0.3008, 0.4830
0.2415, 1941.71, 0.2589, 0.6869, 0.5186, 0.3092, 0.2589
0.2508, 2016.40, 0.3502, 0.7681, 0.5227, 0.3460, 0.3502
0.2601, 2091.08, 0.4728, 0.8592, 0.4862, 0.7033, 0.4728
0.2694, 2165.76, 0.4170, 0.3948, 0.4899, 0.8602, 0.4170
0.2787, 2240.44, 0.2940, 0.4285, 0.3702, 0.8543, 0.2940
0.2880, 2315.12, 0.3247, 0.8833, 0.2221, 0.6475, 0.3247
0.2972, 2389.80, 0.4275, 0.9043, 0.3653, 0.3245, 0.4275
0.3065, 2464.48, 0.2114, 0.2365, 0.2584, 0.3918, 0.2114
0.3158, 2539.16, 0.3372, 0.6678, 0.2672, 0.6033, 0.3372
0.3251, 2613.85, 1.0461, 1.3064, 1.0541, 0.6092, 1.0461
0.3344, 2688.53, 1.0804, 1.6533, 1.0228, 0.4224, 1.0804
0.3437, 2763.21, 0.4989, 1.2435, 0.3802, 0.2525, 0.4989
0.3530, 2837.89, 0.2797, 0.7464, 0.2876, 0.3252, 0.2797
0.3623, 2912.57, 0.2903, 0.3797, 0.4493, 0.3042, 0.2903
0.3715, 2987.25, 0.3126, 1.0039, 0.3191, 0.3408, 0.3126
0.3808, 3061.93, 0.3086, 0.9309, 0.2697, 0.0585, 0.3086
0.3901, 3136.62, 0.5905, 0.5490, 0.6528, 0.5141, 0.5905
0.3994, 3211.30, 0.9543, 0.8672, 1.0062, 0.7774, 0.9543
0.4087, 3285.98, 1.0879, 1.5145, 1.0232, 0.9720, 1.0879
0.4180, 3360.66, 1.1425, 1.6172, 1.0919, 1.1447, 1.1425
0.4273, 3435.34, 0.9677, 1.1392, 0.9530, 0.9556, 0.9677
0.4366, 3510.02, 0.7790, 0.8201, 0.7748, 0.7575, 0.7790
0.4459, 3584.70, 0.9456, 0.7017, 1.0244, 0.7958, 0.9456
0.4551, 3659.38, 0.9325, 0.2956, 1.1101, 0.7369, 0.9325
0.4644, 3734.07, 0.8010, 0.7876, 0.9178, 0.6511, 0.8010
0.4737, 3808.75, 0.9436, 1.5335, 0.8939, 0.5354, 0.9436
0.4830, 3883.43, 0.5702, 1.0997, 0.4939, 0.4269, 0.5702
0.4923, 3958.11, 0.4419, 0.5787, 0.4553, 0.4952, 0.4419
0.5016, 4032.79, 0.8405, 0.8870, 0.8956, 0.5335, 0.8405
0.5109, 4107.47, 0.9667, 1.2239, 0.9509, 0.5748, 0.9667
0.5202, 4182.15, 0.7322, 1.0140, 0.7419, 0.5734, 0.7322
0.5295, 4256.84, 0.3935, 0.3649, 0.4771, 0.2782, 0.3935
0.5387, 4331.52, 0.0912, 0.3961, 0.2146, 0.1481, 0.0912
0.5480, 4406.20, 0.0521, 0.3972, 0.0066, 0.2828, 0.0521
0.5573, 4480.88, 0.3369, 0.9962, 0.2257, 0.2975, 0.3369
0.5666, 4555.56, 0.5799, 1.0040, 0.5402, 0.2004, 0.5799
0.5759, 4630.24, 0.9499, 1.1645, 0.9623, 0.4715, 0.9499
0.5852, 4704.92, 1.1349, 1.6258, 1.0559, 0.8058, 1.1349
0.5945, 4779.60, 0.8049, 1.1610, 0.7515, 0.7995, 0.8049
0.6038, 4854.29, 0.9839, 1.0879, 0.9517, 1.1017, 0.9839
0.6131, 4928.97, 0.5416, 0.8997, 0.4684, 0.5103, 0.5416
0.6223, 5003.65, 0.3821, 0.8004, 0.3040, 0.7938, 0.3821
0.6316, 5078.33, 0.6899, 2.0000, 0.4500, 0.8280, 0.6899
0.6409, 5153.01, 0.7190, 2.0000, 0.6911, 0.1938, 0.7190
0.6502, 5227.69, 0.8312, 1.5069, 0.8448, 0.2245, 0.8312
0.6595, 5302.37, 0.5523, 1.4484, 0.6063, 0.4878, 0.5523
0.6688, 5377.05, 0.7950, 0.9350, 0.9602, 0.7407, 0.7950
0.6781, 5451.74, 0.7609, 0.6698, 0.8138, 1.0484, 0.7609
0.6874, 5526.42, 0.5640, 0.4122, 0.5642, 1.4322, 0.5640
0.6967, 5601.10, 0.9292, 1.5929, 1.0189, 0.8527, 0.9292
0.7059, 5675.78, 1.2117, 1.7700, 1.3272, 0.5690, 1.2117
0.7152, 5750.46, 0.5612, 0.2776, 0.6584, 1.0758, 0.5612
0.7245, 5825.14, 0.5113, 0.5813, 0.7124, 0.5861, 0.5113
0.7338, 5899.82, 0.7448, 0.9540, 1.1266, 1.0425, 0.7448
0.7431, 5974.51, 0.2895, 1.0570, 0.3846, 1.4442, 0.2895
0.7524, 6049.19, 0.8826, 0.7446, 1.1015, 0.5409, 0.8826
0.7617, 6123.87, 1.8045, 1.8424, 1.9815, 0.8190, 1.8045
0.7710, 6198.55, 2.0000, 2.0000, 2.0000, 1.3900, 2.0000
0.7803, 6273.23, 1.8637, 2.0000, 1.5985, 1.9995, 1.8637
