Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3192  1977  3300  2120 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,12-May-2025 12:17:11,
File, cup_18.0 mm_25600ISO_0EV_Dist1_OFF_Defocus2.tiff,cup_18.0 mm_25600ISO_0EV_Dist1_OFF_Defocus1.tiff,cup_18.0 mm_25600ISO_0EV_Dist1_ON_Defocus2.tiff,cup_18.0 mm_25600ISO_0EV_Dist1_ON_Defocus1.tiff,cup_18.0 mm_25600ISO_0EV_Dist1_OFF_Focused.tiff,cup_18.0 mm_25600ISO_0EV_Dist1_ON_Focused.tiff,cup_18.0 mm_6400ISO_0EV_Dist1_OFF_Defocus2.tiff,cup_18.0 mm_6400ISO_0EV_Dist1_OFF_Defocus1.tiff,cup_18.0 mm_1600ISO_0EV_Dist1_OFF_Defocus2.tiff,cup_18.0 mm_1600ISO_0EV_Dist1_OFF_Defocus1.tiff,cup_18.0 mm_6400ISO_0EV_Dist1_ON_Defocus2.tiff,cup_18.0 mm_6400ISO_0EV_Dist1_ON_Defocus1.tiff,cup_18.0 mm_6400ISO_0EV_Dist1_OFF_Focused.tiff,cup_18.0 mm_1600ISO_0EV_Dist1_ON_Defocus2.tiff,cup_18.0 mm_1600ISO_0EV_Dist1_ON_Defocus1.tiff,cup_18.0 mm_1600ISO_0EV_Dist1_OFF_Focused.tiff,cup_18.0 mm_6400ISO_0EV_Dist1_ON_Focused.tiff,cup_18.0 mm_1600ISO_0EV_Dist1_ON_Focused.tiff,cup_18.0 mm_100ISO_0EV_Dist1_OFF_Defocus2.tiff,cup_18.0 mm_100ISO_0EV_Dist1_OFF_Defocus1.tiff,cup_18.0 mm_100ISO_0EV_Dist1_ON_Defocus2.tiff,cup_18.0 mm_100ISO_0EV_Dist1_ON_Defocus1.tiff,cup_18.0 mm_100ISO_0EV_Dist1_OFF_Focused.tiff,cup_18.0 mm_100ISO_0EV_Dist1_ON_Focused.tiff,
Camera, , , , , , , , , , , , , , , , , , , , , , , , 
Lens, , , , , , , , , , , , , , , , , , , , , , , , 
ISO speed, , , , , , , , , , , , , , , , , , , , , , , , 
Focal length, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , , , , , , , , , , , , , , , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.0285,  0.0390,  0.0272,  0.0547,  0.1326,  0.0809,  0.0281,  0.0622,  0.0281,  0.0545,  0.0269,  0.0555,  0.2068,  0.0273,  0.0546,  0.1796,  0.2347,  0.1771,  0.0278,  0.0535,  0.0274,  0.0529,  0.1925,  0.1860
R1090 (pxl) Mean Ctr, 12.9546,  8.1565, 20.6564,  8.4385,  3.4255,  5.0598, 16.6154,  8.8181, 16.7492,  9.1838, 17.6469,  8.5609,  3.3710, 17.9338,  8.9386,  2.6756,  2.7874,  2.9181, 17.3122,  8.9585, 16.9489,  8.8257,  2.6374,  2.8590
CA (pxl) Mean Ctr,  3.5816,  0.9053, 10.8013,  0.7196,  2.0743,  2.8794,  0.8490,  0.4420,  0.6789,  0.3909,  2.5638,  0.4720,  0.5502,  2.2200,  0.3038,  0.2292,  1.2512,  0.6421,  0.8316,  0.2037,  0.2194,  0.2116,  0.2146,  0.2348
MTF50 (LW/PH) Mean Ctr,    229.4,    313.3,    218.4,    439.7,   1066.0,    650.7,    226.2,    500.2,    226.0,    438.6,    216.3,    446.3,   1662.3,    219.3,    438.9,   1444.0,   1887.2,   1423.8,    223.9,    430.2,    219.9,    425.3,   1547.9,   1495.7
R1090 (/PH) Mean Ctr,    310.3,    492.9,    194.6,    476.4,   1173.5,    794.5,    241.9,    455.9,    240.0,    437.7,    227.8,    469.6,   1192.5,    224.2,    449.7,   1502.5,   1442.2,   1377.6,    232.2,    448.7,    237.2,    455.5,   1524.2,   1406.1
Peak MTF Mean Ctr,   1.303,   1.021,   1.125,   1.000,   1.184,   1.040,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.4478,  0.4055,  0.3354,  0.0547,  0.1896,  0.3188,  0.0281,  0.0622,  0.0281,  0.0545,  0.0269,  0.0555,  0.2068,  0.0273,  0.0546,  0.1796,  0.2347,  0.1771,  0.0278,  0.0535,  0.0274,  0.0529,  0.1925,  0.1860
MTF50P (LW/PH) Mean Ctr,   3600.6,   3260.0,   2696.5,    439.7,   1524.2,   2563.4,    226.2,    500.2,    226.0,    438.6,    216.3,    446.3,   1662.3,    219.3,    438.9,   1444.0,   1887.2,   1423.8,    223.9,    430.2,    219.9,    425.3,   1547.9,   1495.7
