Imatest,24.2.6, Master, SFR
File,cup_18.0 mm_25600ISO_0EV_Dist1_OFF_Defocus1.tiff
Run date,12-May-2025 12:17:11,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   73.84, 0.9700, 0.9364, 0.9838, 0.9337, 0.9700
0.0184,  147.68, 0.8921, 0.8456, 0.9207, 0.7719, 0.8921
0.0276,  221.52, 0.7566, 0.7959, 0.7591, 0.6982, 0.7566
0.0367,  295.36, 0.5268, 0.7105, 0.4696, 0.6790, 0.5268
0.0459,  369.20, 0.4164, 0.6710, 0.3984, 0.6479, 0.4164
0.0551,  443.04, 0.4787, 0.8725, 0.4173, 0.5215, 0.4787
0.0643,  516.88, 0.3810, 0.9283, 0.2715, 0.1672, 0.3810
0.0735,  590.72, 0.1193, 0.5107, 0.0769, 0.3031, 0.1193
0.0827,  664.57, 0.1488, 0.5528, 0.3349, 0.3689, 0.1488
0.0918,  738.41, 0.2490, 0.6717, 0.5716, 0.3311, 0.2490
0.1010,  812.25, 0.2067, 0.5804, 0.5058, 0.6231, 0.2067
0.1102,  886.09, 0.0753, 0.2926, 0.2330, 0.5348, 0.0753
0.1194,  959.93, 0.1252, 0.5238, 0.3740, 0.4962, 0.1252
0.1286, 1033.77, 0.0731, 0.1549, 0.1503, 0.8245, 0.0731
0.1378, 1107.61, 0.1924, 0.2730, 0.2556, 0.7095, 0.1924
0.1469, 1181.45, 0.5818, 0.3837, 0.6878, 0.4009, 0.5818
0.1561, 1255.29, 0.8577, 0.8268, 1.0117, 0.3663, 0.8577
0.1653, 1329.13, 0.7808, 1.0101, 0.8249, 0.1985, 0.7808
0.1745, 1402.97, 0.3041, 0.4045, 0.3696, 0.4977, 0.3041
0.1837, 1476.81, 0.2924, 0.4616, 0.3114, 0.1783, 0.2924
0.1929, 1550.65, 0.1811, 0.2088, 0.2574, 0.2765, 0.1811
0.2021, 1624.49, 0.2397, 0.4548, 0.2411, 0.2154, 0.2397
0.2112, 1698.33, 0.3244, 1.3447, 0.1245, 0.1439, 0.3244
0.2204, 1772.17, 0.1225, 0.8560, 0.3774, 0.2824, 0.1225
0.2296, 1846.01, 0.1807, 0.7492, 0.3168, 0.5689, 0.1807
0.2388, 1919.86, 0.4372, 0.2759, 0.5922, 0.6817, 0.4372
0.2480, 1993.70, 0.6959, 0.4889, 0.8293, 0.7516, 0.6959
0.2572, 2067.54, 0.6462, 0.8123, 0.6566, 0.9430, 0.6462
0.2663, 2141.38, 0.6256, 1.1593, 0.6442, 0.6490, 0.6256
0.2755, 2215.22, 0.2755, 0.6017, 0.4229, 0.2207, 0.2755
0.2847, 2289.06, 0.6263, 0.8416, 0.6875, 0.4156, 0.6263
0.2939, 2362.90, 0.8237, 1.4221, 0.7366, 0.5821, 0.8237
0.3031, 2436.74, 0.6327, 0.7050, 0.6655, 0.1851, 0.6327
0.3123, 2510.58, 0.2897, 0.5657, 0.3275, 0.4382, 0.2897
0.3214, 2584.42, 0.2103, 0.5317, 0.1770, 0.6505, 0.2103
0.3306, 2658.26, 0.2703, 0.5158, 0.2445, 0.4385, 0.2703
0.3398, 2732.10, 0.2785, 0.5527, 0.2594, 0.4190, 0.2785
0.3490, 2805.94, 0.4384, 0.7410, 0.4735, 0.6643, 0.4384
