Imatest,24.2.6, Master, SFR
File,potted plant_18.0 mm_100ISO_-1EV_Dist1_ON_Focused.tiff
Run date,12-May-2025 13:22:14,,Build 2025-03-20
Description,
Path,/home/colourlabgpu4/Kimia/Thesis/Imatest/Dist1+18/Results

Region,1,of,1,total

Cy/Pxl,LW/PH,MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000,    0.00, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0092,   74.10, 0.9953, 0.9938, 0.9955, 0.9970, 0.9953
0.0184,  148.19, 0.9775, 0.9713, 0.9797, 0.9743, 0.9775
0.0276,  222.29, 0.9507, 0.9398, 0.9551, 0.9389, 0.9507
0.0369,  296.39, 0.9218, 0.8903, 0.9323, 0.9087, 0.9218
0.0461,  370.49, 0.8939, 0.8502, 0.9078, 0.8854, 0.8939
0.0553,  444.58, 0.8622, 0.8323, 0.8711, 0.8654, 0.8622
0.0645,  518.68, 0.8265, 0.7941, 0.8343, 0.8462, 0.8265
0.0737,  592.78, 0.8021, 0.7559, 0.8140, 0.8190, 0.8021
0.0829,  666.87, 0.7919, 0.7228, 0.8144, 0.7719, 0.7919
0.0922,  740.97, 0.7698, 0.6984, 0.7974, 0.7060, 0.7698
0.1014,  815.07, 0.7323, 0.6744, 0.7573, 0.6569, 0.7323
0.1106,  889.17, 0.6975, 0.6279, 0.7248, 0.6350, 0.6975
0.1198,  963.26, 0.6762, 0.6226, 0.6997, 0.6121, 0.6762
0.1290, 1037.36, 0.6577, 0.6270, 0.6756, 0.5844, 0.6577
0.1382, 1111.46, 0.6221, 0.5906, 0.6404, 0.5509, 0.6221
0.1475, 1185.56, 0.5897, 0.5592, 0.6080, 0.5066, 0.5897
0.1567, 1259.65, 0.5774, 0.5221, 0.6048, 0.4707, 0.5774
0.1659, 1333.75, 0.5663, 0.4893, 0.6001, 0.4578, 0.5663
0.1751, 1407.85, 0.5454, 0.4815, 0.5759, 0.4310, 0.5454
0.1843, 1481.94, 0.5241, 0.4827, 0.5492, 0.3996, 0.5241
0.1935, 1556.04, 0.4945, 0.4812, 0.5117, 0.3705, 0.4945
0.2028, 1630.14, 0.4584, 0.4637, 0.4686, 0.3533, 0.4584
0.2120, 1704.24, 0.4285, 0.4349, 0.4359, 0.3429, 0.4285
0.2212, 1778.33, 0.3975, 0.3900, 0.4085, 0.3131, 0.3975
0.2304, 1852.43, 0.3752, 0.3550, 0.3883, 0.3092, 0.3752
0.2396, 1926.53, 0.3597, 0.3428, 0.3702, 0.3105, 0.3597
0.2488, 2000.62, 0.3373, 0.3364, 0.3420, 0.2963, 0.3373
0.2580, 2074.72, 0.3177, 0.3210, 0.3199, 0.2884, 0.3177
0.2673, 2148.82, 0.3047, 0.3061, 0.3077, 0.2756, 0.3047
0.2765, 2222.92, 0.2887, 0.2968, 0.2895, 0.2601, 0.2887
0.2857, 2297.01, 0.2697, 0.2798, 0.2692, 0.2483, 0.2697
0.2949, 2371.11, 0.2509, 0.2548, 0.2521, 0.2289, 0.2509
0.3041, 2445.21, 0.2401, 0.2455, 0.2422, 0.2052, 0.2401
0.3133, 2519.30, 0.2329, 0.2454, 0.2339, 0.1868, 0.2329
0.3226, 2593.40, 0.2186, 0.2346, 0.2191, 0.1687, 0.2186
0.3318, 2667.50, 0.2030, 0.2170, 0.2038, 0.1561, 0.2030
0.3410, 2741.60, 0.1875, 0.1989, 0.1883, 0.1468, 0.1875
0.3502, 2815.69, 0.1707, 0.1791, 0.1719, 0.1353, 0.1707
0.3594, 2889.79, 0.1554, 0.1605, 0.1571, 0.1241, 0.1554
0.3686, 2963.89, 0.1407, 0.1438, 0.1424, 0.1150, 0.1407
0.3779, 3037.99, 0.1250, 0.1261, 0.1267, 0.1056, 0.1250
0.3871, 3112.08, 0.1088, 0.1096, 0.1100, 0.0952, 0.1088
0.3963, 3186.18, 0.0931, 0.0941, 0.0938, 0.0830, 0.0931
0.4055, 3260.28, 0.0801, 0.0803, 0.0807, 0.0747, 0.0801
0.4147, 3334.37, 0.0686, 0.0655, 0.0697, 0.0687, 0.0686
0.4239, 3408.47, 0.0610, 0.0550, 0.0633, 0.0604, 0.0610
0.4332, 3482.57, 0.0579, 0.0540, 0.0600, 0.0580, 0.0579
0.4424, 3556.67, 0.0494, 0.0452, 0.0512, 0.0549, 0.0494
0.4516, 3630.76, 0.0436, 0.0352, 0.0470, 0.0433, 0.0436
0.4608, 3704.86, 0.0430, 0.0360, 0.0473, 0.0322, 0.0430
0.4700, 3778.96, 0.0390, 0.0332, 0.0433, 0.0314, 0.0390
0.4792, 3853.05, 0.0374, 0.0256, 0.0433, 0.0299, 0.0374
0.4885, 3927.15, 0.0444, 0.0294, 0.0521, 0.0243, 0.0444
0.4977, 4001.25, 0.0465, 0.0341, 0.0545, 0.0129, 0.0465
0.5069, 4075.35, 0.0292, 0.0227, 0.0346, 0.0036, 0.0292
0.5161, 4149.44, 0.0083, 0.0062, 0.0107, 0.0127, 0.0083
0.5253, 4223.54, 0.0222, 0.0254, 0.0242, 0.0136, 0.0222
0.5345, 4297.64, 0.0174, 0.0311, 0.0175, 0.0240, 0.0174
0.5437, 4371.73, 0.0089, 0.0143, 0.0090, 0.0430, 0.0089
0.5530, 4445.83, 0.0196, 0.0034, 0.0233, 0.0459, 0.0196
0.5622, 4519.93, 0.0199, 0.0038, 0.0259, 0.0393, 0.0199
0.5714, 4594.03, 0.0180, 0.0060, 0.0252, 0.0432, 0.0180
0.5806, 4668.12, 0.0274, 0.0157, 0.0347, 0.0514, 0.0274
0.5898, 4742.22, 0.0459, 0.0297, 0.0557, 0.0452, 0.0459
0.5990, 4816.32, 0.0530, 0.0315, 0.0660, 0.0353, 0.0530
0.6083, 4890.42, 0.0476, 0.0354, 0.0607, 0.0264, 0.0476
0.6175, 4964.51, 0.0376, 0.0534, 0.0474, 0.0188, 0.0376
0.6267, 5038.61, 0.0330, 0.0705, 0.0372, 0.0253, 0.0330
0.6359, 5112.71, 0.0382, 0.0779, 0.0416, 0.0150, 0.0382
0.6451, 5186.80, 0.0317, 0.0727, 0.0382, 0.0089, 0.0317
0.6543, 5260.90, 0.0181, 0.0752, 0.0252, 0.0198, 0.0181
0.6636, 5335.00, 0.0107, 0.0763, 0.0202, 0.0292, 0.0107
0.6728, 5409.10, 0.0046, 0.0697, 0.0220, 0.0446, 0.0046
0.6820, 5483.19, 0.0140, 0.0622, 0.0296, 0.0566, 0.0140
0.6912, 5557.29, 0.0245, 0.0575, 0.0397, 0.0621, 0.0245
0.7004, 5631.39, 0.0339, 0.0543, 0.0496, 0.0626, 0.0339
0.7096, 5705.48, 0.0421, 0.0440, 0.0586, 0.0621, 0.0421
0.7189, 5779.58, 0.0521, 0.0318, 0.0694, 0.0615, 0.0521
0.7281, 5853.68, 0.0598, 0.0232, 0.0771, 0.0596, 0.0598
0.7373, 5927.78, 0.0658, 0.0140, 0.0836, 0.0581, 0.0658
0.7465, 6001.87, 0.0700, 0.0112, 0.0893, 0.0565, 0.0700
0.7557, 6075.97, 0.0688, 0.0215, 0.0902, 0.0516, 0.0688
0.7649, 6150.07, 0.0688, 0.0368, 0.0912, 0.0512, 0.0688
0.7741, 6224.16, 0.0713, 0.0550, 0.0966, 0.0549, 0.0713
0.7834, 6298.26, 0.0732, 0.0764, 0.1003, 0.0640, 0.0732
0.7926, 6372.36, 0.0772, 0.0916, 0.1010, 0.0854, 0.0772
0.8018, 6446.46, 0.0795, 0.1023, 0.1033, 0.1099, 0.0795
0.8110, 6520.55, 0.0778, 0.1156, 0.1072, 0.1365, 0.0778
0.8202, 6594.65, 0.0796, 0.1448, 0.1151, 0.1339, 0.0796
0.8294, 6668.75, 0.0780, 0.1690, 0.1173, 0.1203, 0.0780
0.8387, 6742.85, 0.0747, 0.1648, 0.1135, 0.1440, 0.0747
0.8479, 6816.94, 0.0710, 0.1586, 0.1034, 0.1664, 0.0710
0.8571, 6891.04, 0.0684, 0.1784, 0.0911, 0.1586, 0.0684
0.8663, 6965.14, 0.0735, 0.1806, 0.0832, 0.1550, 0.0735
0.8755, 7039.23, 0.0725, 0.1395, 0.0799, 0.1917, 0.0725
0.8847, 7113.33, 0.0739, 0.1377, 0.0881, 0.2262, 0.0739
0.8940, 7187.43, 0.0697, 0.1996, 0.0686, 0.2104, 0.0697
0.9032, 7261.53, 0.0528, 0.2080, 0.0369, 0.1793, 0.0528
0.9124, 7335.62, 0.0471, 0.1733, 0.0337, 0.1513, 0.0471
0.9216, 7409.72, 0.0616, 0.1422, 0.0607, 0.1174, 0.0616
0.9308, 7483.82, 0.0818, 0.1584, 0.0827, 0.1136, 0.0818
0.9400, 7557.91, 0.1033, 0.1675, 0.1098, 0.1452, 0.1033
0.9493, 7632.01, 0.1100, 0.1561, 0.1185, 0.1597, 0.1100
0.9585, 7706.11, 0.0946, 0.1571, 0.1001, 0.1594, 0.0946
0.9677, 7780.21, 0.0845, 0.1623, 0.1032, 0.1597, 0.0845
0.9769, 7854.30, 0.0838, 0.1449, 0.1210, 0.1416, 0.0838
0.9861, 7928.40, 0.0723, 0.1214, 0.1031, 0.1178, 0.0723
0.9953, 8002.50, 0.0887, 0.1271, 0.1142, 0.1275, 0.0887
1.0046, 8076.59, 0.0996, 0.1592, 0.1368, 0.0902, 0.0996
,
Interpolated f and MTF, Region 1 of 1 total
freq(C/P),MTF(nchan),MTF(R),MTF(G),MTF(B),MTF(Y)
0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
0.0250, 0.9584, 0.9489, 0.9621, 0.9491, 0.9584
0.0500, 0.8804, 0.8426, 0.8922, 0.8769, 0.8804
0.0750, 0.8007, 0.7513, 0.8141, 0.8125, 0.8007
0.1000, 0.7379, 0.6779, 0.7633, 0.6642, 0.7379
0.1250, 0.6658, 0.6251, 0.6861, 0.5965, 0.6658
0.1500, 0.5863, 0.5489, 0.6071, 0.4967, 0.5863
0.1750, 0.5456, 0.4816, 0.5762, 0.4313, 0.5456
0.2000, 0.4692, 0.4689, 0.4815, 0.3585, 0.4692
0.2250, 0.3883, 0.3755, 0.4001, 0.3115, 0.3883
0.2500, 0.3348, 0.3344, 0.3392, 0.2953, 0.3348
0.2750, 0.2912, 0.2983, 0.2924, 0.2626, 0.2912
0.3000, 0.2450, 0.2497, 0.2466, 0.2158, 0.2450
0.3250, 0.2145, 0.2300, 0.2151, 0.1654, 0.2145
0.3500, 0.1711, 0.1796, 0.1722, 0.1356, 0.1711
0.3750, 0.1299, 0.1316, 0.1316, 0.1085, 0.1299
0.4000, 0.0878, 0.0885, 0.0885, 0.0797, 0.0878
0.4250, 0.0607, 0.0549, 0.0629, 0.0601, 0.0607
0.4500, 0.0446, 0.0369, 0.0477, 0.0453, 0.0446
0.4750, 0.0382, 0.0291, 0.0433, 0.0306, 0.0382
0.5000, 0.0421, 0.0312, 0.0495, 0.0106, 0.0421
0.5500, 0.0161, 0.0069, 0.0187, 0.0449, 0.0161
0.6000, 0.0525, 0.0319, 0.0654, 0.0344, 0.0525
0.6500, 0.0245, 0.0740, 0.0313, 0.0146, 0.0245
